scraped_files,scraped_slug,style,note
columbia-automatic-flat-boxes_01.webp,AUTOMATIC-FLAT-BOXES,descriptive,Bundle/descriptive name — manual review needed
columbia-closet-monster-flat-box-handle_01.webp,CLOSET-MONSTER-FLAT-BOX-HANDLE,descriptive,Bundle/descriptive name — manual review needed
columbia-flat-box-handle_01.webp,FLAT-BOX-HANDLE,descriptive,Bundle/descriptive name — manual review needed
columbia-outside-90-grooved-mud-heads_01.webp,OUTSIDE-90-GROOVED-MUD-HEADS,descriptive,Bundle/descriptive name — manual review needed
"columbia-sander-head_01.webp, columbia-sander-head_02.webp",SANDER-HEAD,descriptive,Bundle/descriptive name — manual review needed
"columbia-the-commando-set_01.webp, columbia-the-commando-set_02.webp",THE-COMMANDO-SET,descriptive,Bundle/descriptive name — manual review needed
"columbia-the-phantom-sander_01.webp, columbia-the-phantom-sander_02.webp",THE-PHANTOM-SANDER,descriptive,Bundle/descriptive name — manual review needed
"columbia-the-predator-family_01.webp, columbia-the-predator-family_02.webp, columbia-the-predator-family_03.webp, columbia-the-predator-family_04.webp, columbia-the-predator-family_05.webp, columbia-the-predator-family_06.webp, columbia-the-predator-family_07.webp, columbia-the-predator-family_08.webp",THE-PREDATOR-FAMILY,descriptive,Bundle/descriptive name — manual review needed
columbia-the-predator-tactical-set_01.webp,THE-PREDATOR-TACTICAL-SET,descriptive,Bundle/descriptive name — manual review needed
"columbia-the-road-case_01.webp, columbia-the-road-case_02.webp, columbia-the-road-case_03.webp",THE-ROAD-CASE,descriptive,Bundle/descriptive name — manual review needed
"columbia-the-semi-automatic-case_01.webp, columbia-the-semi-automatic-case_02.webp",THE-SEMI-AUTOMATIC-CASE,descriptive,Bundle/descriptive name — manual review needed
columbia-the-tactical-set_01.webp,THE-TACTICAL-SET,descriptive,Bundle/descriptive name — manual review needed
"columbia-the-warrior-set_01.webp, columbia-the-warrior-set_02.webp",THE-WARRIOR-SET,descriptive,Bundle/descriptive name — manual review needed
"columbia-tomalock_01.webp, columbia-tomalock_02.webp, columbia-tomalock_03.webp",TOMALOCK,descriptive,Bundle/descriptive name — manual review needed
