catalog_sku,catalog_name,product_line
13-H-S,Columbia Aluminum Finishing Hawk,Other / Uncategorized
2KMR12,Columbia 2K Drywall Mud Roller Complete,Other / Uncategorized
CPT125B,Teflon Threaded Insert (CPT125B),Other / Uncategorized
EXT35,Extension Tube 35 in (EXT35),Other / Uncategorized
FECCL33,"Columbia 33"" Mud Roller Case",Other / Uncategorized
HH21,Reservoir Piston Spring for COL88 (HH21),Other / Uncategorized
MH-9,CTTMH9 (MH9),Other / Uncategorized
NOLI,NOLI,Other / Uncategorized
OPPK10-1,Columbia One Piece Stainless Steel 10 - in - 1 Multi Tool,Other / Uncategorized
PCLT42,Columbia Predator Cam Lock Tube,Other / Uncategorized
PCMT42,Columbia Predator Compound Tube,Other / Uncategorized
SB3-LEFT,Tomahawk Left Arm Assembly (SB3 - LEFT),Other / Uncategorized
SB4-RIGHT,Tomahawk Right Arm Assembly (SB4 - RIGHT),Other / Uncategorized
SF5,Columbia Shrink Fit Comfort Grips for Welded Stainless Steel Joint Knives,Other / Uncategorized
TCS,Columbia Semi - Auto Tool Case By Flambeau,Other / Uncategorized
TT,Columbia Throttle Tube,Other / Uncategorized
UTA,Columbia Universal Thread Adaptor,Other / Uncategorized
AH-1,Spring Housing Angle Head (AH1A),Parts – Angle Head (AH)
AH-1-3-5IN,"AH1 - 3.5 - Head Casting - 3.5""",Parts – Angle Head (AH)
AH-11,Return Spring Post Angle Head (AH11),Parts – Angle Head (AH)
AH-15,Handle Ball (AH15),Parts – Angle Head (AH)
AH-16,Retaining Spring Backer (AH16),Parts – Angle Head (AH)
AH-2-3IN-L,Left Frame Sub - Assembly 3 in (AHA2 - 3L),Parts – Angle Head (AH)
AH-2-3IN-R,Right Frame Sub - Assembly 3 in (AHA2 - 3R),Parts – Angle Head (AH)
AH-20,Angle Head Pivot Pin (AH20),Parts – Angle Head (AH)
AH-21,Angle Head Hinge Spacer (AH21),Parts – Angle Head (AH)
AH-22,Angle Head Frame Clamp (AH22),Parts – Angle Head (AH)
AH-23,Angle Head Frame Retaining Pin (AH23),Parts – Angle Head (AH)
AH-3-3IN,"AH3 - 3 - 3"" Top Blade",Parts – Angle Head (AH)
AH-6,Funnel Retainer Spring (AH6),Parts – Angle Head (AH)
AH-7-2-5IN,"AH7 - 2.5 - Frame Tension Spring - 2.5""",Parts – Angle Head (AH)
AH-7-3IN,"AH7 - 3 - Framer Tention Spring - 3""",Parts – Angle Head (AH)
AH-BALL,Angle Head Ball Adapter (AHA),Parts – Angle Head (AH)
AB1,Automatic Box Handle Body (AB1),Parts – Automatic Box (AB)
AB3A-LEFT,Automatic Box End Plate Left (AB3A LEFT),Parts – Automatic Box (AB)
AB3A-RIGHT,Automatic Box End Plate Right (AB3A RIGHT),Parts – Automatic Box (AB)
AB40,Automatic Box Air Valve Seat (AB40),Parts – Automatic Box (AB)
AB41,Automatic Box Air Valve Stem (AB41),Parts – Automatic Box (AB)
AB42,Automatic Box Air Valve Body (AB42),Parts – Automatic Box (AB)
AB43,Automatic Box Throttle Housing (AB43),Parts – Automatic Box (AB)
AB44,Automatic Box Clutch Spring (AB44),Parts – Automatic Box (AB)
AB44A,Automatic Box Clutch Spring Short (AB44A),Parts – Automatic Box (AB)
AB44B,Automatic Box Clutch Spring Long (AB44B),Parts – Automatic Box (AB)
AB45,Automatic Box Throttle Set Screw (AB45),Parts – Automatic Box (AB)
AB46,Automatic Box Throttle Pin (AB46),Parts – Automatic Box (AB)
AB47,Automatic Box Thumb Valve (AB47),Parts – Automatic Box (AB)
AB48,Automatic Box Air Valve O - Ring (AB48),Parts – Automatic Box (AB)
AB49,Automatic Box Handle Mount (AB49),Parts – Automatic Box (AB)
AB50,Automatic Box Pressure Spring (AB50),Parts – Automatic Box (AB)
AB51,Automatic Box Release Clip (AB51),Parts – Automatic Box (AB)
AB52,Automatic Box Thumb Valve Seat (AB52),Parts – Automatic Box (AB)
AB54,Automatic Box Air Valve Assembly (AB54),Parts – Automatic Box (AB)
BH-8-3,3 ft Box Handle 8 in (BH8 - 3),Parts – Box Handle (BH)
BH9-3,Brake Connecting Strap - 3',Parts – Box Handle (BH)
BH9-4,Brake Connecting Strap - 4',Parts – Box Handle (BH)
BH9-42,"Brake Connecing Strap - 42""",Parts – Box Handle (BH)
BH9-5,Brake Connecting Strap - 5',Parts – Box Handle (BH)
BH9-6,Brake Connecting Strap - 6',Parts – Box Handle (BH)
CLT-12,Cam Lock Tube Locking Sleeve (CLT12),Parts – Cam Lock Tube (CLT)
CLT-13,Cam Lock Tube Cam Body (CLT13),Parts – Cam Lock Tube (CLT)
CLT-14,Cam Lock Tube Locking Pin (CLT14),Parts – Cam Lock Tube (CLT)
CLT-16,Cam Lock Tube End Cap (CLT16),Parts – Cam Lock Tube (CLT)
CLT-BF,Columbia Cam Lock Tube Box Filler,Parts – Cam Lock Tube (CLT)
CLT15,Cam Lock Tube Return Spring (CLT15),Parts – Cam Lock Tube (CLT)
CLTHA,Columbia Tomalock Adaptor,Parts – Cam Lock Tube (CLT)
CMT-1-24,Barrel Main Body 24 in (CMT1 - 24),Parts – Compound Tube (CMT)
CMT-1A-22,Draw Tube 22 in (CMT1A - 22),Parts – Compound Tube (CMT)
CMT1-24IN,Barrel Main Body 24 in (CMT1 - 24),Parts – Compound Tube (CMT)
CMT1A-24IN,"Draw Tube - 24"" (CMT1A - 24)",Parts – Compound Tube (CMT)
CMT2,Cone insert(Bottom),Parts – Compound Tube (CMT)
CMT4,Plunger Housing (CMT4),Parts – Compound Tube (CMT)
CMT5,Plastic Handle Collar (CMT5),Parts – Compound Tube (CMT)
CMT6,Cone insert(Top),Parts – Compound Tube (CMT)
CMT8,Mastic Tube Washer (CMT8),Parts – Compound Tube (CMT)
CEXT-1,External Corner Applicator Wheel Large (CEXT1),Parts – Corner Applicator (ICA/CEXT)
CEXT-2,External Corner Applicator Wheel Small (CEXT2),Parts – Corner Applicator (ICA/CEXT)
CEXT-3,Wheel for ICATW (CEXT3),Parts – Corner Applicator (ICA/CEXT)
ICA-1,Inside Corner Applicator Body (ICA1),Parts – Corner Applicator (ICA/CEXT)
ICA-2,Inside Corner Applicator Axle (ICA2),Parts – Corner Applicator (ICA/CEXT)
ICA-3,Inside Corner Applicator Wheel (ICA3),Parts – Corner Applicator (ICA/CEXT)
ICA-4L,Inside Corner Applicator Left Frame Sub - Assembly (ICA4L),Parts – Corner Applicator (ICA/CEXT)
ICA-4R,Inside Corner Applicator Right Frame Sub - Assembly (ICA4R),Parts – Corner Applicator (ICA/CEXT)
ICA2-1,Columbia 2 Wheeled Internal 90° Applicator,Parts – Corner Applicator (ICA/CEXT)
ICATW-1,Inside 90 Applicator with Wheels (ICATW),Parts – Corner Applicator (ICA/CEXT)
ICATW-2,Inside 90 Applicator with Wheels (ICATW),Parts – Corner Applicator (ICA/CEXT)
CF-15-3-5IN,Corner Flusher Tension Spring 15 x 3.5 in (CF15 - 3.5),Parts – Corner Flusher (CF)
CF-1C,Corner Flusher Direct Plate C (CF1C),Parts – Corner Flusher (CF)
CF-38,Corner Flusher Skid Long (CF38),Parts – Corner Flusher (CF)
CF-4S,Corner Flusher Ball Spring Short (CF4S),Parts – Corner Flusher (CF)
CF-5-3-S,"Tension Spring 3.5"" - Flusher (CF5 - 3.5)",Parts – Corner Flusher (CF)
