scraped_files,scraped_sku_segment,best_catalog_sku,best_score
"columbia-1-01.webp, columbia-1-01.webp, columbia-1-02.webp",1,S1,0.667
columbia-10-01.webp,10,CT10,0.667
columbia-12-01.webp,12,CT12,0.667
columbia-14-01.webp,14,C148,0.667
columbia-18-01.webp,18,C148,0.667
columbia-2-01.webp,2,S2,0.667
columbia-2-12-01.webp,2-12,SB2-12IN,0.667
"columbia-2-5AH-01.webp, columbia-2-5AH-02.webp, columbia-2-5AH-03.webp",2-5AH,AH-1,0.571
columbia-2-5CSF-01.webp,2-5CSF,EA-CLS,0.5
columbia-2-5DF-01.webp,2-5DF,5-5FBBB,0.5
"columbia-2-5SF-01.webp, columbia-2-5SF-02.webp",2-5SF,SF5,0.571
columbia-2-8-01.webp,2-8,FA28,0.667
columbia-24-01.webp,24,CT24,0.667
"columbia-2AH-01.webp, columbia-2AH-02.webp, columbia-2AH-03.webp",2AH,AH-1,0.667
columbia-2NS-01.webp,2NS,HNS-3,0.571
columbia-3-01.webp,3,S3,0.667
"columbia-3-5AH-01.webp, columbia-3-5AH-02.webp, columbia-3-5AH-03.webp",3-5AH,AH-1,0.571
columbia-32-01.webp,32,FA323,0.571
columbia-36-01.webp,36,FA346,0.571
"columbia-3AH-01.webp, columbia-3AH-02.webp, columbia-3AH-03.webp",3AH,3BH,0.667
columbia-3NS-01.webp,3NS,13-H-S,0.571
columbia-3WTDF-01.webp,3WTDF,TBBF,0.444
columbia-4-01.webp,4,S4,0.667
columbia-40-01.webp,40,AB40,0.667
columbia-41-01.webp,41,AB41,0.667
columbia-42-01.webp,42,AB42,0.667
columbia-42a-01.webp,42A,AB42,0.571
columbia-48-01.webp,48,AB48,0.667
columbia-5-01.webp,5,S5,0.667
columbia-5-5-01.webp,5-5,5-5FBBB,0.6
"columbia-6-01.webp, columbia-6-01.webp",6,S6,0.667
columbia-63-01.webp,63,FA263,0.571
columbia-7-01.webp,7,CT7,0.5
columbia-72-01.webp,72,CT726,0.571
columbia-7a-01.webp,7A,MP7A,0.667
"columbia-8-01.webp, columbia-8-01.webp, columbia-8-02.webp",8,CT8,0.5
columbia-9-10-01.webp,9-10,9-1MT,0.667
columbia-9-12-01.webp,9-12,9-1MT,0.667
