APPROVE,catalog_sku,catalog_name,confidence,strategy,folder_desc,scraped_files,base_stem
,SBSET,Columbia Sabre Smoothing Blade Set,0.936,FOLDER_NAME,sabre smoothing blades,"columbia-SSB-01.webp, columbia-SSB-02.webp, columbia-SSB-03.webp",columbia-SSB
,CMH-8,"Closet Monster 18"" Flat Box Handle (CMH)",0.857,FOLDER_NAME,closet monster flat box handle,columbia-closet-monster-flat-box-handle_01.webp,columbia-closet-monster-flat-box-handle
,ICA-2,Inside Corner Applicator Axle (ICA2),0.8,FOLDER_NAME,inside corner applicator,"columbia-1-01.webp, columbia-1-02.webp",columbia-1
,COL-AUTOMATIC-FAT-BOY-FLAT-BOX,Columbia Automatic Fat Boy Finishing Box,0.667,FOLDER_NAME,automatic flat boxes,columbia-automatic-flat-boxes_01.webp,columbia-automatic-flat-boxes
,3BBH,Columbia Bent Box Handle -  3',0.667,FOLDER_NAME,flat box handle,columbia-flat-box-handle_01.webp,columbia-flat-box-handle
,PCLT42,Columbia Predator Cam Lock Tube,0.596,FOLDER_NAME,the predator tactical set,columbia-the-predator-tactical-set_01.webp,columbia-the-predator-tactical-set
,S1,Sander Head Main Body (S1),0.595,FOLDER_NAME,sander head,"columbia-sander-head_01.webp, columbia-sander-head_02.webp",columbia-sander-head
,PCLT42,Columbia Predator Cam Lock Tube,0.585,FOLDER_NAME,the predator family,"columbia-the-predator-family_01.webp, columbia-the-predator-family_02.webp, columbia-the-predator-family_03.webp, columbia-the-predator-family_04.webp, columbia-the-predator-family_05.webp, columbia-the-predator-family_06.webp, columbia-the-predator-family_07.webp, columbia-the-predator-family_08.webp",columbia-the-predator-family
,CC17,Corner Cobra Adjustable Inside & Outside Corner Roller (CC),0.568,FOLDER_NAME,european micro outside corner roller,columbia-COBCRE-01.webp,columbia-COBCRE
,COL-SPECIALTY-KNIFE-WITH-NYLON-HANDLE,Columbia Specialty Knife with Nylon Handle,0.56,FOLDER_NAME,twist lock handle,"columbia-8-01.webp, columbia-8-02.webp",columbia-8
,8ITFB,"Columbia Inside Track Fat Boy Finishing Box -  8""",0.552,FOLDER_NAME,inside track boxes,"columbia-K-01.webp, columbia-K-02.webp, columbia-K-03.webp, columbia-K-05.webp",columbia-K
