SKU,Name,Type,Categories,Regular price
BH9-3,Brake Connecting Strap - 3',simple,Drywall Finishing Tools > Columbia > Parts,27.0
BH9-4,Brake Connecting Strap - 4',simple,Drywall Finishing Tools > Columbia > Parts,31.0
BH9-42,"Brake Connecing Strap - 42""",simple,Drywall Finishing Tools > Columbia > Parts,29.0
BH9-5,Brake Connecting Strap - 5',simple,Drywall Finishing Tools > Columbia > Parts,34.0
BH9-6,Brake Connecting Strap - 6',simple,Drywall Finishing Tools > Columbia > Parts,36.0
CT87-CS,Rubber Seal,simple,Drywall Finishing Tools > Columbia > Parts,7.0
FFB9-5-5,"Blade 5.5""",simple,Drywall Finishing Tools > Columbia > Parts,4.0
HPA-48,HPA48 - Handle Pin Assembly,simple,Drywall Finishing Tools > Columbia > Parts,5.0
AH-6,Funnel Retainer Spring (AH6),simple,Drywall Finishing Tools > Columbia > Parts,
AH-7-2-5IN,"AH7 - 2.5 - Frame Tension Spring - 2.5""",simple,Drywall Finishing Tools > Columbia > Parts,2.0
AH-7-3IN,"AH7 - 3 - Framer Tention Spring - 3""",simple,Drywall Finishing Tools > Columbia > Parts,2.0
AH-3-3IN,"AH3 - 3 - 3"" Top Blade",simple,Drywall Finishing Tools > Columbia > Parts,28.0
AH-16,Retaining Spring Backer (AH16),simple,Drywall Finishing Tools > Columbia > Parts,
AH-2-3IN-L,Left Frame Sub - Assembly 3 in (AHA2 - 3L),simple,Drywall Finishing Tools > Columbia > Parts,
AH-2-3IN-R,Right Frame Sub - Assembly 3 in (AHA2 - 3R),simple,Drywall Finishing Tools > Columbia > Parts,
AH-11,Return Spring Post Angle Head (AH11),simple,Drywall Finishing Tools > Columbia > Parts,
AH-1-3-5IN,"AH1 - 3.5 - Head Casting - 3.5""",simple,Drywall Finishing Tools > Columbia > Parts,155.0
AH-23,Angle Head Frame Retaining Pin (AH23),simple,Drywall Finishing Tools > Columbia > Parts,
AH-21,Angle Head Hinge Spacer (AH21),simple,Drywall Finishing Tools > Columbia > Parts,
AH-20,Angle Head Pivot Pin (AH20),simple,Drywall Finishing Tools > Columbia > Parts,
AH-22,Angle Head Frame Clamp (AH22),simple,Drywall Finishing Tools > Columbia > Parts,
CEXT-3,Wheel for ICATW (CEXT3),simple,Drywall Finishing Tools > Columbia > Parts,
CEXT-2,External Corner Applicator Wheel Small (CEXT2),simple,Drywall Finishing Tools > Columbia > Parts,
CEXT-1,External Corner Applicator Wheel Large (CEXT1),simple,Drywall Finishing Tools > Columbia > Parts,
ICA-4L,Inside Corner Applicator Left Frame Sub - Assembly (ICA4L),simple,Drywall Finishing Tools > Columbia > Parts,
ICA-3,Inside Corner Applicator Wheel (ICA3),simple,Drywall Finishing Tools > Columbia > Parts,
ICA-2,Inside Corner Applicator Axle (ICA2),simple,Drywall Finishing Tools > Columbia > Parts,
ICA-4R,Inside Corner Applicator Right Frame Sub - Assembly (ICA4R),simple,Drywall Finishing Tools > Columbia > Parts,
CF-4S,Corner Flusher Ball Spring Short (CF4S),simple,Drywall Finishing Tools > Columbia > Parts,
ICATW-2,Inside 90 Applicator with Wheels (ICATW),simple,Drywall Finishing Tools > Columbia > Parts,
ICATW-1,Inside 90 Applicator with Wheels (ICATW),simple,Drywall Finishing Tools > Columbia > Parts,
CT119A,Spool Retaining Spring (CT - 119),simple,Drywall Finishing Tools > Columbia > Parts,
CT121B,Tape Spool Shaft (Quick Release),simple,Drywall Finishing Tools > Columbia > Parts,
FA362,10 - 24 x 3/4 Flat Head Screw (FA362),simple,Drywall Finishing Tools > Columbia > Parts,
CT118A,Retaining Spring Clip(Quick Realease),simple,Drywall Finishing Tools > Columbia > Parts,
CT106A,Taper Bearing Shaft - CT106 (CT - 106A),simple,Drywall Finishing Tools > Columbia > Parts,
CT123A,Taper Retaining Spring Shaft (CT - 123),simple,Drywall Finishing Tools > Columbia > Parts,
