base_stem,files,reason
columbia-outside-90-grooved-mud-heads,columbia-outside-90-grooved-mud-heads_01.webp,best_score=0.43
columbia-finishing-hawks,"columbia-finishing-hawks_01.png, columbia-finishing-hawks_02.png",best_score=0.48
columbia-6,columbia-6-01.webp,best_score=0.48
columbia-mud-pans-14-inch-C14MP-6,columbia-mud-pans-14-inch-C14MP-6-01.webp,best_score=0.48
columbia-mud-pans-16-inch-C16MP-6,columbia-mud-pans-16-inch-C16MP-6-01.webp,best_score=0.48
columbia-C,"columbia-C-01.webp, columbia-C-02.webp, columbia-C-03.webp, columbia-C-04.webp, columbia-C-05.webp, columbia-C-06.webp, columbia-C-07.webp, columbia-C-08.webp, columbia-C-09.webp, columbia-C-10.webp",best_score=0.40
columbia-10,columbia-10-01.webp,best_score=0.40
columbia-12,columbia-12-01.webp,best_score=0.40
columbia-14,columbia-14-01.webp,best_score=0.40
columbia-18,columbia-18-01.webp,best_score=0.40
columbia-2,columbia-2-01.webp,best_score=0.40
columbia-2-10,columbia-2-10-01.webp,best_score=0.40
columbia-2-12,columbia-2-12-01.webp,best_score=0.40
columbia-2-14,columbia-2-14-01.webp,best_score=0.40
columbia-2-8,columbia-2-8-01.webp,best_score=0.40
columbia-24,columbia-24-01.webp,best_score=0.40
columbia-3,columbia-3-01.webp,best_score=0.40
columbia-32,columbia-32-01.webp,best_score=0.40
columbia-36,columbia-36-01.webp,best_score=0.40
columbia-4,columbia-4-01.webp,best_score=0.40
columbia-40,columbia-40-01.webp,best_score=0.40
columbia-41,columbia-41-01.webp,best_score=0.40
columbia-42,columbia-42-01.webp,best_score=0.40
columbia-42a,columbia-42a-01.webp,best_score=0.40
columbia-48,columbia-48-01.webp,best_score=0.40
columbia-5,columbia-5-01.webp,best_score=0.40
columbia-5-5,columbia-5-5-01.webp,best_score=0.40
columbia-63,columbia-63-01.webp,best_score=0.40
columbia-7,columbia-7-01.webp,best_score=0.40
columbia-72,columbia-72-01.webp,best_score=0.40
columbia-7a,columbia-7a-01.webp,best_score=0.40
columbia-9-10,columbia-9-10-01.webp,best_score=0.40
columbia-9-12,columbia-9-12-01.webp,best_score=0.40
columbia-9-14,columbia-9-14-01.webp,best_score=0.40
columbia-9-5-5,columbia-9-5-5-01.webp,best_score=0.40
columbia-9-7,columbia-9-7-01.webp,best_score=0.40
columbia-9-8,columbia-9-8-01.webp,best_score=0.40
columbia-ahr-2-2,columbia-ahr-2-2-01.webp,best_score=0.40
columbia-ahr-2-2-5,columbia-ahr-2-2-5-01.webp,best_score=0.40
columbia-ahr-2-3,columbia-ahr-2-3-01.webp,best_score=0.40
columbia-ahr-2-3-5,columbia-ahr-2-3-5-01.webp,best_score=0.40
columbia-cl,columbia-cl-01.webp,best_score=0.40
columbia-cra-2-cra-2,columbia-cra-2-cra-2-01.webp,best_score=0.40
columbia-ctr-2,columbia-ctr-2-01.webp,best_score=0.40
columbia-ffba-41,columbia-ffba-41-01.webp,best_score=0.40
columbia-ffba-6,columbia-ffba-6-01.webp,best_score=0.40
columbia-hfbb3,columbia-hfbb3-01.webp,best_score=0.40
columbia-hfbb3a,columbia-hfbb3a-01.webp,best_score=0.40
columbia-hnsa-5-2,columbia-hnsa-5-2-01.webp,best_score=0.40
columbia-hnsa-5-3,columbia-hnsa-5-3-01.webp,best_score=0.40
columbia-itc-k,columbia-itc-k-01.webp,best_score=0.40
columbia-k,columbia-k-01.webp,best_score=0.40
columbia-mhr-k,columbia-mhr-k-01.webp,best_score=0.40
columbia-mpr-1-mpr-1,columbia-mpr-1-mpr-1-01.webp,best_score=0.40
columbia-rk,columbia-rk-01.webp,best_score=0.40
columbia-sb2-10,columbia-sb2-10-01.webp,best_score=0.40
columbia-sb2-48,columbia-sb2-48-01.webp,best_score=0.40
columbia-the-phantom-sander,"columbia-the-phantom-sander_01.webp, columbia-the-phantom-sander_02.webp",best_score=0.43
columbia-tomalock,"columbia-tomalock_01.webp, columbia-tomalock_02.webp, columbia-tomalock_03.webp",best_score=0.47
columbia-the-road-case,"columbia-the-road-case_01.webp, columbia-the-road-case_02.webp, columbia-the-road-case_03.webp",best_score=0.50
columbia-the-semi-automatic-case,"columbia-the-semi-automatic-case_01.webp, columbia-the-semi-automatic-case_02.webp",best_score=0.54
columbia-the-commando-set,"columbia-the-commando-set_01.webp, columbia-the-commando-set_02.webp",best_score=0.47
columbia-the-sabre-set,"columbia-the-sabre-set_01.png, columbia-the-sabre-set_02.png",best_score=0.47
columbia-the-tactical-set,columbia-the-tactical-set_01.webp,best_score=0.46
columbia-the-warrior-set,"columbia-the-warrior-set_01.webp, columbia-the-warrior-set_02.webp",best_score=0.42
