Product Line,SKU,Parent SKU,Type,Name,Categories,Regular price,Slug
Other / Uncategorized,13-H-S,,simple,Columbia Aluminum Finishing Hawk,Drywall Finishing Tools > Columbia > Mud Pans & Pumps,50.0,columbia-aluminum-finishing-hawk-13-h-s
Other / Uncategorized,2KMR12,,simple,Columbia 2K Drywall Mud Roller Complete,Drywall Finishing Tools > Columbia > Mud Pans & Pumps,36.0,columbia-2k-drywall-mud-roller-2kmr12
Other / Uncategorized,CPT125B,,simple,Teflon Threaded Insert (CPT125B),Drywall Finishing Tools > Columbia > Parts,,columbia-cpt125b-teflon-threaded-insert
Other / Uncategorized,EXT35,,simple,Extension Tube 35 in (EXT35),Drywall Finishing Tools > Columbia > Parts,,columbia-extension-tube-35in-ext35
Other / Uncategorized,FECCL33,,simple,"Columbia 33"" Mud Roller Case",Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,86.0,columbia-33-mud-roller-case-feccl33
Other / Uncategorized,HH21,,simple,Reservoir Piston Spring for COL88 (HH21),Drywall Finishing Tools > Columbia > Parts,,columbia-hh21-reservoir-piston-spring-col88
Other / Uncategorized,MH-9,,simple,CTTMH9 (MH9),Drywall Finishing Tools > Columbia > Parts,,columbia-cttmh9-mh9-handle-repair-part
Other / Uncategorized,NOLI,,simple,NOLI,Drywall Finishing Tools > Columbia > Parts,,columbia-automatic-taper-part-noli
Other / Uncategorized,OPPK10-1,,simple,Columbia One Piece Stainless Steel 10 - in - 1 Multi Tool,Drywall Finishing Tools > Columbia > Knives & Blades,18.0,columbia-one-piece-stainless-steel-10-in-1-multi-tool-oppk10-1
Other / Uncategorized,PCLT42,,simple,Columbia Predator Cam Lock Tube,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,290.0,columbia-predator-cam-lock-tube-pclt42
Other / Uncategorized,PCMT42,,simple,Columbia Predator Compound Tube,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,217.0,columbia-predator-carbon-fiber-compound-tube-pcmt42
Other / Uncategorized,SB3-LEFT,,simple,Tomahawk Left Arm Assembly (SB3 - LEFT),Drywall Finishing Tools > Columbia > Parts,,columbia-tomahawk-left-arm-assembly-sb3-left
Other / Uncategorized,SB4-RIGHT,,simple,Tomahawk Right Arm Assembly (SB4 - RIGHT),Drywall Finishing Tools > Columbia > Parts,,columbia-tomahawk-right-arm-assembly-sb4-right
Other / Uncategorized,SF5,,simple,Columbia Shrink Fit Comfort Grips for Welded Stainless Steel Joint Knives,Drywall Finishing Tools > Columbia > Parts,8.0,columbia-shrink-fit-comfort-grips-sf5
Other / Uncategorized,TCS,,simple,Columbia Semi - Auto Tool Case By Flambeau,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,178.0,columbia-flambeau-semi-auto-tool-case-tcs
Other / Uncategorized,TT,,simple,Columbia Throttle Tube,Drywall Finishing Tools > Columbia > Automatic Taping Tools,905.0,columbia-carbon-fiber-throttle-tube-tt
Other / Uncategorized,UTA,,simple,Columbia Universal Thread Adaptor,Drywall Finishing Tools > Columbia > Handles & Extensions,11.0,columbia-universal-thread-adaptor-uta
Parts – Angle Head (AH),AH-1,,simple,Spring Housing Angle Head (AH1A),Drywall Finishing Tools > Columbia > Parts,,columbia-ah1a-spring-housing-ah-1
Parts – Angle Head (AH),AH-1-3-5IN,,simple,"AH1 - 3.5 - Head Casting - 3.5""",Drywall Finishing Tools > Columbia > Parts,155.0,columbia-ah1-3-5-head-casting-3-5in
Parts – Angle Head (AH),AH-11,,simple,Return Spring Post Angle Head (AH11),Drywall Finishing Tools > Columbia > Parts,,columbia-ah11-return-spring-post-angle-head
Parts – Angle Head (AH),AH-15,,simple,Handle Ball (AH15),Drywall Finishing Tools > Columbia > Parts,,columbia-handle-ball-ah15
Parts – Angle Head (AH),AH-16,,simple,Retaining Spring Backer (AH16),Drywall Finishing Tools > Columbia > Parts,,columbia-retaining-spring-backer-ah16
Parts – Angle Head (AH),AH-2-3IN-L,,simple,Left Frame Sub - Assembly 3 in (AHA2 - 3L),Drywall Finishing Tools > Columbia > Parts,,columbia-3in-left-frame-sub-assembly-aha2-3l
Parts – Angle Head (AH),AH-2-3IN-R,,simple,Right Frame Sub - Assembly 3 in (AHA2 - 3R),Drywall Finishing Tools > Columbia > Parts,,columbia-right-frame-sub-assembly-3in-aha2-3r
Parts – Angle Head (AH),AH-20,,simple,Angle Head Pivot Pin (AH20),Drywall Finishing Tools > Columbia > Parts,,columbia-ah-20-angle-head-pivot-pin
Parts – Angle Head (AH),AH-21,,simple,Angle Head Hinge Spacer (AH21),Drywall Finishing Tools > Columbia > Parts,,columbia-angle-head-hinge-spacer-ah21
Parts – Angle Head (AH),AH-22,,simple,Angle Head Frame Clamp (AH22),Drywall Finishing Tools > Columbia > Parts,,columbia-angle-head-frame-clamp-ah22
Parts – Angle Head (AH),AH-23,,simple,Angle Head Frame Retaining Pin (AH23),Drywall Finishing Tools > Columbia > Parts,,columbia-angle-head-frame-retaining-pin-ah23
Parts – Angle Head (AH),AH-3-3IN,,simple,"AH3 - 3 - 3"" Top Blade",Drywall Finishing Tools > Columbia > Parts,28.0,columbia-ah3-3-inch-top-blade-ah-3-3in
