Product Line,total,simple,variable,variation
Other / Uncategorized,17,17,0,0
Parts – Angle Head (AH),16,16,0,0
Parts – Automatic Box (AB),19,19,0,0
Parts – Box Handle (BH),6,6,0,0
Parts – Cam Lock Tube (CLT),7,7,0,0
Parts – Compound Tube (CMT),9,9,0,0
Parts – Corner Applicator (ICA/CEXT),11,11,0,0
Parts – Corner Flusher (CF),18,18,0,0
Parts – Corner Roller (CR),2,2,0,0
Parts – Fasteners (FA),58,58,0,0
Parts – Flat Box (CFB),12,12,0,0
Parts – Flat Finishing Box (FFB),27,27,0,0
Parts – Handle Pin (HP),5,5,0,0
Parts – Handle Pin Assembly (HPA),1,1,0,0
Parts – Mud Pump (MP),14,14,0,0
Parts – Nail Spotter (HNS),7,7,0,0
Parts – Outside Corner Roller (OCR),9,9,0,0
Parts – Predator Fasteners (FAZ/FAJ),16,16,0,0
Parts – Predator Taper (C),23,20,0,3
Parts – Predator Taper Assembly (PA),11,11,0,0
Parts – Semi-Auto Taper (SAT),21,21,0,0
Parts – Tall Boy (TB),8,8,0,0
Parts – Taper (CT),70,70,0,0
Parts – Taper Assembly (CTA),2,2,0,0
Tool Set – Bundle,59,32,23,4
Tool – Automatic Flat Box,4,0,0,4
Tool – Automatic Taper,1,1,0,0
Tool – Blades & Knives,67,12,0,55
Tool – Corner Roller,9,9,0,0
Tool – Fat Boy Flat Box,10,0,0,10
Tool – Flat Box,16,11,0,5
Tool – Gooseneck,1,1,0,0
Tool – Handles,18,9,0,9
Tool – Mud Pump,3,3,0,0
Tool – Mud Roller,7,3,0,4
Tool – Predator Taper,2,2,0,0
Tool – Sander,6,6,0,0
⚠ Placeholder / Exploded View (not a product),4,4,0,0
