"sku","occurrence_count","source_titles","source_handles"
"BH1","2","Columbia 180 Grip Box Handle Repair Parts | Columbia Hydra-Reach Box Handle Repair Parts","columbia-180-grip-box-handle-repair-parts | columbia-hydra-reach-box-handle-repair-parts"
"BH5","2","Columbia 180 Grip Box Handle Repair Parts | Columbia Hydra-Reach Box Handle Repair Parts","columbia-180-grip-box-handle-repair-parts | columbia-hydra-reach-box-handle-repair-parts"
"BH6","2","Columbia 180 Grip Box Handle Repair Parts | Columbia Hydra-Reach Box Handle Repair Parts","columbia-180-grip-box-handle-repair-parts | columbia-hydra-reach-box-handle-repair-parts"
"CT72","2","Columbia Automatic Taper Body Repair Parts | Columbia Automatic Taper Head Repair Parts","columbia-automatic-taper-body-repair-parts | columbia-automatic-taper-head-repair-parts"
"FA207","2","Columbia Automatic Taper Body Repair Parts | Columbia Automatic Taper Head Repair Parts","columbia-automatic-taper-body-repair-parts | columbia-automatic-taper-head-repair-parts"
"FA208","2","Columbia Automatic Taper Body Repair Parts | Columbia Automatic Taper Head Repair Parts","columbia-automatic-taper-body-repair-parts | columbia-automatic-taper-head-repair-parts"
"FA213","2","Columbia Automatic Taper Head Repair Parts | Columbia Corner Flusher Box Repair Parts","columbia-automatic-taper-head-repair-parts | columbia-corner-flusher-box-repair-parts"
"FA219","3","Columbia Automatic Taper Body Repair Parts | Columbia Automatic Taper Head Repair Parts | Columbia Corner Flusher Box Repair Parts","columbia-automatic-taper-body-repair-parts | columbia-automatic-taper-head-repair-parts | columbia-corner-flusher-box-repair-parts"
"FA220","2","Columbia Automatic Taper Body Repair Parts | Columbia Automatic Taper Head Repair Parts","columbia-automatic-taper-body-repair-parts | columbia-automatic-taper-head-repair-parts"
"FA228","3","Columbia Automatic Taper Head Repair Parts | Columbia Corner Flusher Box Repair Parts | Columbia Hinged Nailspotter Repair Parts","columbia-automatic-taper-head-repair-parts | columbia-corner-flusher-box-repair-parts | columbia-hinged-nailspotter-repair-parts"
"FA229","2","Columbia Automatic Taper Head Repair Parts | Columbia Matrix Handle Repair Parts","columbia-automatic-taper-head-repair-parts | columbia-matrix-handle-repair-parts"
"FA231","3","Columbia Corner Flusher Box Repair Parts | Columbia Flat Finishing Box Repair Parts | Columbia Hinged Nailspotter Repair Parts","columbia-corner-flusher-box-repair-parts | columbia-flat-finishing-box-repair-parts | columbia-hinged-nailspotter-repair-parts"
"FA232","2","Columbia Corner Flusher Box Repair Parts | Columbia Flat Finishing Box Repair Parts","columbia-corner-flusher-box-repair-parts | columbia-flat-finishing-box-repair-parts"
"FA233","2","Columbia Automatic Taper Head Repair Parts | Columbia Flat Finishing Box Repair Parts","columbia-automatic-taper-head-repair-parts | columbia-flat-finishing-box-repair-parts"
