"old_parent_sku","old_variation_sku","old_variation_name","new_simple_parent_sku","new_simple_sku","new_simple_name","available"
"COL-COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","BH1__COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","BH1 - Mounting Plate","COL-BH1-MOUNTING-PLATE","BH1__COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","BH1 - Mounting Plate","true"
"COL-COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","BH11","BH11 - Strap Connecting Pin","COL-BH11-STRAP-CONNECTING-PIN","BH11","BH11 - Strap Connecting Pin","true"
"COL-COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","BH2","BH2 - Plate","COL-BH2-PLATE","BH2","BH2 - Plate","true"
"COL-COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","BH24A","BH24A - Bearing Sleeve","COL-BH24A-BEARING-SLEEVE","BH24A","BH24A - Bearing Sleeve","true"
"COL-COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","BH26","BH26 - Cam","COL-BH26-CAM","BH26","BH26 - Cam","true"
"COL-COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","BH3","BH3 - Lower Mounting Bracket","COL-BH3-LOWER-MOUNTING-BRACKET","BH3","BH3 - Lower Mounting Bracket","true"
"COL-COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","BH4","BH4 - Lower Brake Lever","COL-BH4-LOWER-BRAKE-LEVER","BH4","BH4 - Lower Brake Lever","true"
"COL-COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","BH5__COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","BH5 - Upper Mounting Bracket","COL-BH5-UPPER-MOUNTING-BRACKET","BH5__COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","BH5 - Upper Mounting Bracket","true"
"COL-COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","BH6__COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","BH6 - Hinge Pin","COL-BH6-HINGE-PIN","BH6__COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","BH6 - Hinge Pin","true"
"COL-COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","BH7","BH7 - Cam Follower","COL-BH7-CAM-FOLLOWER","BH7","BH7 - Cam Follower","true"
