group_id,canonical_file,file_name,duplicate_type,file_size,width,height,rmse_to_canonical,p999_to_canonical,already_hardlinked
group-0001,columbia-CT42A-01.webp,columbia-CT42A-01.webp,canonical,10542,600,600,0.0,0,no
group-0001,columbia-CT42A-01.webp,tapetech-50133-01.webp,duplicate,9300,600,600,0.71812,6,no
group-0002,columbia-CT50-02.webp,columbia-CT50-02.webp,canonical,1524,300,300,0.0,0,no
group-0002,columbia-CT50-02.webp,columbia-CT5-03.webp,duplicate,1416,300,300,0.737338,8,no
group-0003,columbia-CT57-02.webp,columbia-CT57-02.webp,canonical,2354,300,300,0.0,0,no
group-0003,columbia-CT57-02.webp,columbia-CT5-10.webp,duplicate,2226,300,300,0.905687,8,no
group-0004,columbia-CT5-11.webp,columbia-CT5-11.webp,canonical,1322,300,300,0.0,0,no
group-0004,columbia-CT5-11.webp,columbia-CT5-12.webp,duplicate,1148,300,300,0.639633,8,no
group-0005,columbia-RC-03.webp,columbia-RC-03.webp,canonical,12848,800,800,0.0,0,no
group-0005,columbia-RC-03.webp,columbia-TROWELS-03.webp,duplicate,10338,800,800,0.680731,7,no
group-0006,graco-245924-01.webp,graco-245924-01.webp,canonical,25550,1200,1200,0.0,0,no
group-0006,graco-245924-01.webp,graco-245924-02.webp,duplicate,25390,1200,1200,0.650065,6,no
group-0007,tapetech-040036F-01.webp,tapetech-040036F-01.webp,canonical,3782,600,600,0.0,0,no
group-0007,tapetech-040036F-01.webp,tapetech-040036F-02.webp,duplicate,3810,600,600,0.442611,6,no
group-0008,tapetech-050009F-01.webp,tapetech-050009F-01.webp,canonical,16988,1200,1200,0.0,0,no
group-0008,tapetech-050009F-01.webp,tapetech-050009F-02.webp,duplicate,16866,1200,1200,0.483283,6,no
group-0009,tapetech-050034F-01.webp,tapetech-050034F-01.webp,canonical,3612,500,500,0.0,0,no
group-0009,tapetech-050034F-01.webp,tapetech-050034F-02.webp,duplicate,3622,500,500,0.495252,7,no
group-0010,tapetech-050043F-01.webp,tapetech-050043F-01.webp,canonical,14604,1200,1200,0.0,0,no
group-0010,tapetech-050043F-01.webp,tapetech-050043F-02.webp,duplicate,14680,1200,1200,0.450748,6,no
group-0011,tapetech-050050F-01.webp,tapetech-050050F-01.webp,canonical,5640,500,500,0.0,0,no
group-0011,tapetech-050050F-01.webp,tapetech-050050F-02.webp,duplicate,5680,500,500,0.714562,6,no
group-0012,tapetech-050064F-01.webp,tapetech-050064F-01.webp,canonical,4588,500,500,0.0,0,no
group-0012,tapetech-050064F-01.webp,tapetech-050064F-02.webp,duplicate,4590,500,500,0.593486,6,no
group-0013,tapetech-050070F-01.webp,tapetech-050070F-01.webp,canonical,5474,500,500,0.0,0,no
group-0013,tapetech-050070F-01.webp,tapetech-050070F-02.webp,duplicate,5488,500,500,0.670283,6,no
group-0014,tapetech-050072F-01.webp,tapetech-050072F-01.webp,canonical,7856,500,500,0.0,0,no
group-0014,tapetech-050072F-01.webp,tapetech-050072F-02.webp,duplicate,7894,500,500,0.794816,7,no
group-0015,tapetech-050080-01.webp,tapetech-050080-01.webp,canonical,9700,500,500,0.0,0,no
group-0015,tapetech-050080-01.webp,tapetech-050080-02.webp,duplicate,9782,500,500,0.884085,6,no
group-0016,tapetech-050083F-01.webp,tapetech-050083F-01.webp,canonical,24510,1200,1200,0.0,0,no
group-0016,tapetech-050083F-01.webp,tapetech-050083F-02.webp,duplicate,24688,1200,1200,0.567734,6,no
group-0017,tapetech-050086F-01.webp,tapetech-050086F-01.webp,canonical,10870,500,500,0.0,0,no
group-0017,tapetech-050086F-01.webp,tapetech-050086F-02.webp,duplicate,10836,500,500,0.946064,7,no
group-0018,tapetech-050090-01.webp,tapetech-050090-01.webp,canonical,3856,500,500,0.0,0,no
group-0018,tapetech-050090-01.webp,tapetech-050090-02.webp,duplicate,3878,500,500,0.567824,6,no
group-0019,tapetech-050113F-01.webp,tapetech-050113F-01.webp,canonical,9674,500,500,0.0,0,no
group-0019,tapetech-050113F-01.webp,tapetech-050113F-02.webp,duplicate,9656,500,500,0.882572,8,no
group-0020,tapetech-050125F-01.webp,tapetech-050125F-01.webp,canonical,6072,500,500,0.0,0,no
group-0020,tapetech-050125F-01.webp,tapetech-050125F-02.webp,duplicate,6084,500,500,0.684926,7,no
group-0021,tapetech-050128F-01.webp,tapetech-050128F-01.webp,canonical,4732,500,500,0.0,0,no
group-0021,tapetech-050128F-01.webp,tapetech-050128F-02.webp,duplicate,4758,500,500,0.601411,6,no
group-0022,tapetech-050132-01.webp,tapetech-050132-01.webp,canonical,8374,500,500,0.0,0,no
group-0022,tapetech-050132-01.webp,tapetech-050132-02.webp,duplicate,8378,500,500,0.796248,8,no
group-0023,tapetech-050137F-01.webp,tapetech-050137F-01.webp,canonical,10896,500,500,0.0,0,no
group-0023,tapetech-050137F-01.webp,tapetech-050137F-02.webp,duplicate,10970,500,500,0.920813,7,no
group-0024,tapetech-050140F-01.webp,tapetech-050140F-01.webp,canonical,4824,500,500,0.0,0,no
