"brand","schematic_file","part_id","part_name","source_sku","resolved_sku","status","resolution_rule"
"Asgard","frontend/public/brands/Asgard/Schematics/Adapters/FA01-AD/schematic_data.json","722039","Discharge Tube","4671","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/Adapters/FA01-AD/schematic_data.json","709043","709043 - S-Hook","4655","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/Adapters/FA01-AD/schematic_data.json","709034","709034 - Filler O-Ring Kit 5-Pack","4654","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/Adapters/FA01-AD/schematic_data.json","700042","700042 - Connector for Filler","4642","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/Adapters/FA01-AD/schematic_data.json","709043","709043 - S-Hook","4655","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/Adapters/FA01-AD/schematic_data.json","704040","704040 - Filler Tube Assembly","4641","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","059091","059091 - 6-32 X 1/2 Fill. Hd Screw","4417","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","402002B","402002B","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","409010","409010 - Retainer Spring","4820","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","402012","402012 - Ball Retainer","12501","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","480021","480021 - Blade Tension Spring (Small)","4841","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","480017F","480017 - Center Clip (Short)","4839","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","402019","402019 - Blade Holder Stop","4813","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","059084","059084 - 8-32 X 1/4 1/2 Dog Setscrew","4414","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","420016","420016 - 2.5in Frame (Right)","13900","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","480002B","480002B","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","484014F","484014F - Center Clip Assy","4844","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","359005","359005 - 6-32 X 1/4 Bind Hd Screw","4771","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","059037","059037 - 4-40 X 1/4 Bind Hd Screw","4399","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","489022","489022 - Screw, 4-40 X 31/64","12373","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","480230","480230 - Head Frame Stop","12368","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","489013","489013 - 6-32x1/8 Socket Hd Setscrew","4847","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","420009","420009 - Carbide Blade 2.5in","13898","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","409011","409011 - Skid Blade","4821","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","420015","420015 - 2.5in Frame (Left)","13899","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","402019","402019 - Blade Holder Stop","4813","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","059037","059037 - 4-40 X 1/4 Bind Hd Screw","4399","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","402006","402006 - Insert Socket","4811","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json","359005","359005 - 6-32 X 1/4 Bind Hd Screw","4771","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","059091","059091 - 6-32 X 1/2 Fill. Hd Screw","4417","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","4020028","4020028","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","409010","409010 - Retainer Spring","4820","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","402012","402012 - Ball Retainer","12501","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","480021","480021 - Blade Tension Spring (Small)","4841","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","480017F","480017 - Center Clip (Short)","4839","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","486001","TapeTech 3"" Easy Roll Head Casting (486001)","4845","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","059084","059084 - 8-32 X 1/4 1/2 Dog Setscrew","4414","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","460005","460005","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","480008F","480008 - Spring Adjusting Cam (Left)","4836","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","46Y013","46Y013","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","450009F","450009 - 3"" Carbide Blade","4826","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","40Y011","40Y011","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","4B0015F","4B0015F","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","402006","402006 - Insert Socket","4811","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","359005","359005 - 6-32 X 1/4 Bind Hd Screw","4771","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","409020","409020","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","480007F","480007 - Spring Adjusting Cam (Right)","4835","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","05P037","05P037","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","405022","405022","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","480016","TapeTech Stainless Steel Frame, Right (480016)","4838","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","4B0002B","4B0002B","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","484G14F","484G14F","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","480026","480026 - TapeTech Replacement Angle Head Wheel","4842","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","489026","489026","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","48Y027","48Y027","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","489023","489023 - #6 SS Flat Washer","4849","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json","489029","489029 - 6-32 X 5/8 Socket Hd Screw","4851","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","059091","059091 - 6-32 X 1/2 Fill. Hd Screw","4417","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","402002B","402002B","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","409010","409010 - Retainer Spring","4820","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","402012","402012 - Ball Retainer","12501","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","480021","480021 - Blade Tension Spring (Small)","4841","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","480017F","480017 - Center Clip (Short)","4839","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","486201","486201 - 3.5"" EasyRoll Head Casting","12372","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","059084 X 2","059084 - 8-32 X 1/4 1/2 Dog Setscrew","059084","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","480216","480216 - 3.5"" EasyRoll Frame, right","12370","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","480002B X 2","480002B X 2","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","484014F","484014F - Center Clip Assy","4844","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","480005","480005 - Blade Tension Spring (Large)","4834","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","480008F","480008 - Spring Adjusting Cam (Left)","4836","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","480230 X 2","480230 - Head Frame Stop","12368","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","480007F","480007 - Spring Adjusting Cam (Right)","4835","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","489020 X 2","489020 - 4-40x5/16 Nylock Pan Hd Screw","4848","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","059037 X 4","059037 - 4-40 X 1/4 Bind Hd Screw","059037","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","489022 X 2","489022 - Screw, 4-40 X 31/64","12373","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","489023 X 2","489023 - #6 SS Flat Washer","489023","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","489027 X 2","489027 X 2","","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","480026 X 2","480026 - TapeTech Replacement Angle Head Wheel","4842","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","359005 X 2","359005 - 6-32 X 1/4 Bind Hd Screw","4771","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","402006","402006 - Insert Socket","4811","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","059037 X 4","059037 - 4-40 X 1/4 Bind Hd Screw","059037","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","402019 X 2","402019 - Blade Holder Stop","4813","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","480215","480215 - 3.5"" EasyRoll Frame, Left","12369","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","409011 X 2","409011 - Skid Blade","4821","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","480209 X 2","480209 - 3.5"" Angle Head Carbide Blade","10582","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json","489013 X 12","489013 - 6-32x1/8 Socket Hd Setscrew","4847","","cleared_unresolved","unresolved"
"Asgard","frontend/public/brands/Asgard/Schematics/AngleHeads/CA08-AD/schematic_data.json","350008","350008 - Wiper for 8"" Angle Box","4764","","cleared_unresolved","unresolved"
