brand,image_file,extension,image_body,normalized_key,sequence,assigned_product_count,assigned_skus,assigned_types,assignment_statuses,assignment_methods,coverage_status,suggested_product_count,suggested_skus,suggested_types,suggested_names,suggestion_scores
columbia,columbia-1-01.webp,.webp,1,1,1,0,,,,,orphan,0,,,,
columbia,columbia-1-02.webp,.webp,1,1,2,0,,,,,orphan,0,,,,
columbia,columbia-1-03.webp,.webp,1,1,3,0,,,,,orphan,0,,,,
columbia,columbia-1-04.webp,.webp,1,1,4,0,,,,,orphan,0,,,,
columbia,columbia-10-01.webp,.webp,10,10,1,0,,,,,orphan,0,,,,
columbia,columbia-12-01.webp,.webp,12,12,1,0,,,,,orphan,0,,,,
columbia,columbia-14-01.webp,.webp,14,14,1,0,,,,,orphan,0,,,,
columbia,columbia-18-01.webp,.webp,18,18,1,0,,,,,orphan,0,,,,
columbia,columbia-2-01.webp,.webp,2,2,1,0,,,,,orphan,0,,,,
columbia,columbia-2-02.webp,.webp,2,2,2,0,,,,,orphan,0,,,,
columbia,columbia-2-03.webp,.webp,2,2,3,0,,,,,orphan,0,,,,
columbia,columbia-2-10-01.webp,.webp,2-10,2-10,1,0,,,,,orphan,0,,,,
columbia,columbia-2-12-01.webp,.webp,2-12,2-12,1,0,,,,,orphan,0,,,,
columbia,columbia-2-14-01.webp,.webp,2-14,2-14,1,0,,,,,orphan,0,,,,
columbia,columbia-2-2-01.webp,.webp,2-2,2-2,1,0,,,,,orphan,0,,,,
columbia,columbia-2-2-5-01.webp,.webp,2-2-5,2-2-5,1,0,,,,,orphan,0,,,,
columbia,columbia-2-3-01.webp,.webp,2-3,2-3,1,0,,,,,orphan,0,,,,
columbia,columbia-2-3-5-01.webp,.webp,2-3-5,2-3-5,1,0,,,,,orphan,0,,,,
columbia,columbia-2-5AH-01.webp,.webp,2-5AH,2-5ah,1,2,COL-ANGLE-HEAD | 2-5AH,variable | variation,mapped | mapped,child_union | direct_sku,mapped,1,2-5AH,variation,"Columbia Angle Head -  2.5""",100
columbia,columbia-2-5AH-02.webp,.webp,2-5AH,2-5ah,2,2,COL-ANGLE-HEAD | 2-5AH,variable | variation,mapped | mapped,child_union | direct_sku,mapped,1,2-5AH,variation,"Columbia Angle Head -  2.5""",100
