catalog_row_number,brand,type,sku,parent_sku,parent,slug,name,status,match_methods,direct_image_count,direct_images,manual_image_count,manual_images,child_image_count,child_images,parent_fallback_image_count,parent_fallback_images,proposed_image_count,proposed_images,proposed_primary_image,proposed_variation_image
31,Columbia,simple,AH1-2,,,head-casting-2,"Head Casting - 2"" -",mapped,direct_sku,1,columbia-AH1-2-02.webp,0,,0,,0,,1,columbia-AH1-2-02.webp,columbia-AH1-2-02.webp,columbia-AH1-2-02.webp
32,Columbia,simple,AH1-2-5,,,head-casting-2-5,"Head Casting - 2.5"" -",mapped,direct_sku,1,columbia-AH1-2-5-02.webp,0,,0,,0,,1,columbia-AH1-2-5-02.webp,columbia-AH1-2-5-02.webp,columbia-AH1-2-5-02.webp
33,Columbia,simple,AH1-3,,,head-casting-3,"Head Casting - 3"" -",mapped,direct_sku,1,columbia-AH1-3-02.webp,0,,0,,0,,1,columbia-AH1-3-02.webp,columbia-AH1-3-02.webp,columbia-AH1-3-02.webp
34,Columbia,simple,AH1-3-5,,,head-casting-3-5,"Head Casting - 3.5"" -",mapped,direct_sku,1,columbia-AH1-3-5-02.webp,0,,0,,0,,1,columbia-AH1-3-5-02.webp,columbia-AH1-3-5-02.webp,columbia-AH1-3-5-02.webp
35,Columbia,simple,AH18,,,socket-wear-cap,Socket Wear Cap -,mapped,direct_sku,1,columbia-AH18-02.webp,0,,0,,0,,1,columbia-AH18-02.webp,columbia-AH18-02.webp,columbia-AH18-02.webp
36,Columbia,simple,AH1A,,,spring-housing,Spring Housing -,mapped,direct_sku,1,columbia-AH1A-02.webp,0,,0,,0,,1,columbia-AH1A-02.webp,columbia-AH1A-02.webp,columbia-AH1A-02.webp
37,Columbia,simple,AH1B,,,return-spring,Return Spring -,mapped,direct_sku,1,columbia-AH1B-02.webp,0,,0,,0,,1,columbia-AH1B-02.webp,columbia-AH1B-02.webp,columbia-AH1B-02.webp
38,Columbia,simple,AH3-2,,,2-top-blade,"2"" Top Blade -",mapped,direct_sku,1,columbia-AH3-2-02.webp,0,,0,,0,,1,columbia-AH3-2-02.webp,columbia-AH3-2-02.webp,columbia-AH3-2-02.webp
39,Columbia,simple,AH3-2-5,,,2-5-top-blade,"2.5"" Top Blade -",mapped,direct_sku,1,columbia-AH3-2-5-02.webp,0,,0,,0,,1,columbia-AH3-2-5-02.webp,columbia-AH3-2-5-02.webp,columbia-AH3-2-5-02.webp
40,Columbia,simple,AH3-3,,,3-top-blade,"3"" Top Blade -",mapped,direct_sku,1,columbia-AH3-3-02.webp,0,,0,,0,,1,columbia-AH3-3-02.webp,columbia-AH3-3-02.webp,columbia-AH3-3-02.webp
