row_source_line,sku,raw_sku,type,name,status,issues,product_kind,commerce_mode,parent_sku,schematic_group
29,TTBDL9,TTBDL9,simple,Asgard Classic Finishing Set,needs_review,visible_product_missing_image,kit,purchasable,,
31,AB1,AB1,simple,Automatic Box Handle Body (AB1),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,finishing_box
32,AB3ALEFT,AB3A-LEFT,simple,Automatic Box End Plate Left (AB3A LEFT),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,finishing_box
33,AB3ARIGHT,AB3A-RIGHT,simple,Automatic Box End Plate Right (AB3A RIGHT),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,finishing_box
34,AB40,AB40,simple,Automatic Box Air Valve Seat (AB40),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,finishing_box
35,AB41,AB41,simple,Automatic Box Air Valve Stem (AB41),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,finishing_box
36,AB42,AB42,simple,Automatic Box Air Valve Body (AB42),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,finishing_box
37,AB43,AB43,simple,Automatic Box Throttle Housing (AB43),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,finishing_box
38,AB44,AB44,simple,Automatic Box Clutch Spring (AB44),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,corner_box
39,AB44A,AB44A,simple,Automatic Box Clutch Spring Short (AB44A),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,corner_box
40,AB44B,AB44B,simple,Automatic Box Clutch Spring Long (AB44B),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,corner_box
41,AB45,AB45,simple,Automatic Box Throttle Set Screw (AB45),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,corner_box
42,AB46,AB46,simple,Automatic Box Throttle Pin (AB46),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,finishing_box
43,AB47,AB47,simple,Automatic Box Thumb Valve (AB47),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,finishing_box
44,AB48,AB48,simple,Automatic Box Air Valve O - Ring (AB48),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,finishing_box
45,AB49,AB49,simple,Automatic Box Handle Mount (AB49),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,corner_box
46,AB50,AB50,simple,Automatic Box Pressure Spring (AB50),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,finishing_box
47,AB51,AB51,simple,Automatic Box Release Clip (AB51),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,finishing_box
48,AB52,AB52,simple,Automatic Box Thumb Valve Seat (AB52),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,finishing_box
49,AB54,AB54,simple,Automatic Box Air Valve Assembly (AB54),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,finishing_box
50,AH1,AH-1,simple,Spring Housing Angle Head (AH1A),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,angle_head
51,AH135IN,AH-1-3-5IN,simple,"AH1 - 3.5 - Head Casting - 3.5""",needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,purchasable,,angle_head
52,AH11,AH-11,simple,Return Spring Post Angle Head (AH11),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,angle_head
53,AH15,AH-15,simple,Handle Ball (AH15),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,handle
54,AH16,AH-16,simple,Retaining Spring Backer (AH16),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,angle_head
55,AH23INL,AH-2-3IN-L,simple,Left Frame Sub - Assembly 3 in (AHA2 - 3L),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,angle_head
56,AH23INR,AH-2-3IN-R,simple,Right Frame Sub - Assembly 3 in (AHA2 - 3R),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,angle_head
57,AH20,AH-20,simple,Angle Head Pivot Pin (AH20),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,angle_head
58,AH21,AH-21,simple,Angle Head Hinge Spacer (AH21),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,angle_head
59,AH22,AH-22,simple,Angle Head Frame Clamp (AH22),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,angle_head
60,AH23,AH-23,simple,Angle Head Frame Retaining Pin (AH23),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,angle_head
61,AH33IN,AH-3-3IN,simple,"AH3 - 3 - 3"" Top Blade",needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,purchasable,,angle_head
62,AH6,AH-6,simple,Funnel Retainer Spring (AH6),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,angle_head
63,AH725IN,AH-7-2-5IN,simple,"AH7 - 2.5 - Frame Tension Spring - 2.5""",needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,purchasable,,angle_head
64,AH73IN,AH-7-3IN,simple,"AH7 - 3 - Framer Tention Spring - 3""",needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,purchasable,,angle_head
65,AHBALL,AH-BALL,simple,Angle Head Ball Adapter (AHA),needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,quote_only,,handle
66,AH12,AH1-2,simple,"Head Casting - 2""",needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,purchasable,,angle_head
67,AH125,AH1-2-5,simple,"Head Casting - 2.5""",needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,purchasable,,angle_head
68,AH13,AH1-3,simple,"Head Casting - 3""",needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,purchasable,,angle_head
69,AH135,AH1-3-5,simple,"Head Casting - 3.5""",needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,purchasable,,angle_head
70,AH18,AH18,simple,Socket Wear Cap,needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,purchasable,,angle_head
71,AH1A,AH1A,simple,Spring Housing,needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,purchasable,,angle_head
72,AH1B,AH1B,simple,Return Spring,needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,purchasable,,angle_head
73,AH32,AH3-2,simple,"2"" Top Blade",needs_review,schematic_group_present_compatible_tool_skus_needs_mapping,part,purchasable,,angle_head
