alias_file,canonical_file
columbia-BH9-4-01.webp,columbia-BH9-3-01.webp
columbia-BH9-42-01.webp,columbia-BH9-3-01.webp
columbia-BH9-5-01.webp,columbia-BH9-3-01.webp
columbia-BH9-6-01.webp,columbia-BH9-3-01.webp
columbia-FA260-01.webp,columbia-FA260-01.webp
columbia-FA268-02.webp,columbia-FA268-02.webp
columbia-5AH-02.webp,columbia-2AH-02.webp
columbia-5AH-03.webp,columbia-2AH-03.webp
columbia-5AH-02.webp,columbia-5AH-02.webp
columbia-5AH-02.webp,columbia-2AH-02.webp
columbia-5AH-03.webp,columbia-2AH-03.webp
columbia-2AH-01.webp,columbia-2AH-01.webp
columbia-2AH-02.webp,columbia-2AH-02.webp
columbia-2AH-03.webp,columbia-2AH-03.webp
columbia-2NS-01.webp,columbia-2NS-01.webp
columbia-5AH-02.webp,columbia-2AH-02.webp
columbia-5AH-03.webp,columbia-2AH-03.webp
columbia-5AH-02.webp,columbia-5AH-02.webp
columbia-5AH-02.webp,columbia-2AH-02.webp
columbia-5AH-03.webp,columbia-2AH-03.webp
columbia-3AH-02.webp,columbia-2AH-02.webp
columbia-3AH-03.webp,columbia-2AH-03.webp
columbia-3AH-01.webp,columbia-3AH-01.webp
columbia-3AH-02.webp,columbia-2AH-02.webp
columbia-3AH-03.webp,columbia-2AH-03.webp
columbia-3NS-01.webp,columbia-3NS-01.webp
columbia-7CFB-01.webp,columbia-7CFB-01.webp
columbia-7CFB-02.webp,columbia-7CFB-02.webp
columbia-7CFB-03.webp,columbia-7CFB-03.webp
columbia-8CFB-01.webp,columbia-8CFB-01.webp
columbia-8CFB-02.webp,columbia-7CFB-03.webp
columbia-8CFB-03.webp,columbia-7CFB-02.webp
columbia-8CFB-02.webp,columbia-7CFB-03.webp
columbia-8CFB-03.webp,columbia-7CFB-02.webp
columbia-BK-2-5-01.webp,columbia-BK-2-01.webp
columbia-BK-3-01.webp,columbia-BK-2-01.webp
columbia-BK-3-5-01.webp,columbia-BK-2-01.webp
columbia-2-3-01.webp,columbia-2-01.webp
columbia-2-3-5-01.webp,columbia-2-01.webp
columbia-2-5-01.webp,columbia-2-01.webp
columbia-FA219-01.webp,columbia-FA219-01.webp
columbia-FA239-01.webp,columbia-FA239-01.webp
columbia-FA249-01.webp,columbia-FA249-01.webp
columbia-FA292-02.webp,columbia-FA292-02.webp
columbia-CT72-01.webp,columbia-CT72-01.webp
columbia-FA207-01.webp,columbia-FA207-01.webp
columbia-FA208-02.webp,columbia-FA208-02.webp
columbia-FA213-01.webp,columbia-FA213-01.webp
columbia-FA219-01.webp,columbia-FA219-01.webp
columbia-FA220-02.webp,columbia-FA220-02.webp
columbia-FA228-01.webp,columbia-FA228-01.webp
columbia-FA229-01.webp,columbia-FA229-01.webp
columbia-FA233-01.webp,columbia-FA233-01.webp
columbia-FA238-01.webp,columbia-FA238-01.webp
columbia-FA239-01.webp,columbia-FA239-01.webp
columbia-FA241-01.webp,columbia-FA241-01.webp
columbia-FA245-02.webp,columbia-FA245-02.webp
columbia-FA253-02.webp,columbia-FA253-02.webp
columbia-FA254-01.webp,columbia-FA254-01.webp
columbia-FA257-01.webp,columbia-FA257-01.webp
columbia-FA258-01.webp,columbia-FA258-01.webp
columbia-FA265-01.webp,columbia-FA265-01.webp
columbia-40-10-01.webp,columbia-FFBR40-14-01.webp
columbia-40-12-01.webp,columbia-FFBR40-14-01.webp
columbia-40-8-01.webp,columbia-FFBR40-14-01.webp
columbia-2-10-01.webp,columbia-2-7-01.webp
columbia-2-12-01.webp,columbia-2-7-01.webp
columbia-2-14-01.webp,columbia-2-7-01.webp
columbia-2-8-01.webp,columbia-2-7-01.webp
columbia-9-10-01.webp,columbia-9-5-01.webp
columbia-9-12-01.webp,columbia-9-5-01.webp
columbia-9-14-01.webp,columbia-9-5-01.webp
columbia-9-7-01.webp,columbia-9-5-01.webp
columbia-9-8-01.webp,columbia-9-5-01.webp
columbia-CLT24-01.webp,columbia-CLT55-01.webp
columbia-CLT24-02.webp,columbia-CLT55-02.webp
columbia-CLTBF-01.webp,columbia-TBBF-01.webp
columbia-CLTBF-02.webp,columbia-TBBF-02.webp
columbia-CLTBF-03.webp,columbia-TBBF-03.webp
columbia-CLTBF-04.webp,columbia-TBBF-04.webp
columbia-5CSF-01.webp,columbia-CT87-CS-01.webp
columbia-CMT24-01.webp,columbia-CMT55-01.webp
columbia-CFB7-8-01.webp,columbia-CFB7-7-01.webp
columbia-FA258-01.webp,columbia-FA258-01.webp
columbia-FA262-02.webp,columbia-FA262-02.webp
columbia-5DF-01.webp,columbia-4DF-01.webp
columbia-CEXT90-01.webp,columbia-ICA-01.webp
columbia-CEXT90-02.webp,columbia-ICA-02.webp
columbia-8FBB-01.webp,columbia-8FFB-01.webp
columbia-8FBB-02.webp,columbia-5FFB-02.webp
columbia-HFBB3A-01.webp,columbia-HFBB3-01.webp
columbia-FSB7-01.webp,columbia-FSB7-01.webp
columbia-FSB7-02.webp,columbia-FSB7-02.webp
columbia-FSB7-03.webp,columbia-FSB7-03.webp
columbia-5FFB-01.webp,columbia-5FFB-01.webp
columbia-5FFB-02.webp,columbia-5FFB-02.webp
columbia-8FFB-02.webp,columbia-5FFB-02.webp
columbia-FA231-02.webp,columbia-FA231-02.webp
columbia-FA232-02.webp,columbia-FA232-02.webp
columbia-FA238-01.webp,columbia-FA238-01.webp
columbia-FA241-01.webp,columbia-FA241-01.webp
columbia-FA247-03.webp,columbia-FA247-03.webp
columbia-FA258-01.webp,columbia-FA258-01.webp
columbia-FA271-01.webp,columbia-FA271-01.webp
columbia-FA280-02.webp,columbia-FA280-02.webp
columbia-FFB11-10-01.webp,columbia-FFB11-8-01.webp
columbia-FFB11-12-01.webp,columbia-FFB11-8-01.webp
columbia-FFB25-12-01.webp,columbia-FFB25-10-01.webp
columbia-FFB32-01.webp,columbia-FFB32-01.webp
columbia-FFB32A-01.webp,columbia-FFB32A-01.webp
columbia-HFFB3A-01.webp,columbia-HFFB3-01.webp
columbia-HFFB4D-01.webp,columbia-FFB38-01.webp
columbia-TBGN-01.webp,columbia-GN-01.webp
columbia-5-3-01.webp,columbia-5-2-01.webp
columbia-FA228-01.webp,columbia-FA228-01.webp
columbia-FA231-02.webp,columbia-FA231-02.webp
columbia-FA241-01.webp,columbia-FA241-01.webp
columbia-FA247-03.webp,columbia-FA247-03.webp
columbia-FA260-01.webp,columbia-FA260-01.webp
columbia-FA271-01.webp,columbia-FA271-01.webp
columbia-FA280-02.webp,columbia-FA280-02.webp
columbia-FFB32-01.webp,columbia-FFB32-01.webp
columbia-FFB32A-01.webp,columbia-FFB32A-01.webp
columbia-MP23A-01.webp,columbia-MP23A-01.webp
columbia-BH1-01.webp,columbia-BH1-01.webp
columbia-BH5-01.webp,columbia-BH5-01.webp
columbia-BH6-01.webp,columbia-BH6-01.webp
columbia-FA252-02.webp,columbia-FA252-02.webp
columbia-FA256-02.webp,columbia-FA256-02.webp
columbia-FA311-01.webp,columbia-FA311-01.webp
columbia-FA312-02.webp,columbia-FA312-02.webp
columbia-HH35-01.webp,columbia-HH35-01.webp
columbia-HH8-01.webp,columbia-HH8-01.webp
columbia-ICA2-1-01.webp,columbia-ICA2-1-01.webp
columbia-ICA2-1-02.webp,columbia-ICA2-1-02.webp
columbia-ICA4-1-01.webp,columbia-ICA4-1-01.webp
columbia-ICA4-1-02.webp,columbia-ICA4-1-02.webp
columbia-ITC-K-05.webp,columbia-8FFB-01.webp
columbia-FA256-02.webp,columbia-FA256-02.webp
columbia-FA258-01.webp,columbia-FA258-01.webp
columbia-C12MP-6-01.webp,columbia-C12MP-6-01.webp
columbia-C14MP-6-01.webp,columbia-C14MP-6-01.webp
columbia-C16MP-6-01.webp,columbia-C16MP-6-01.webp
columbia-C1H-01.webp,columbia-C1HS-01.webp
columbia-C1H-02.webp,columbia-C1HS-02.webp
columbia-C1H-03.webp,columbia-C1HS-03.webp
columbia-C1H-04.webp,columbia-C1HS-04.webp
columbia-PMHS-08.webp,columbia-HMP-01.webp
columbia-SSB7-01.webp,columbia-SSB-01.webp
columbia-SSB7-02.webp,columbia-SSB-02.webp
columbia-SSB7-03.webp,columbia-SSB-03.webp
columbia-STAPER-11.webp,columbia-TAPER-03.webp
columbia-STAPER-03.webp,columbia-TAPER-05.webp
columbia-STAPER-04.webp,columbia-TAPER-06.webp
columbia-STAPER-01.webp,columbia-STAPER-01.webp
columbia-STAPER-11.webp,columbia-TAPER-03.webp
columbia-STAPER-03.webp,columbia-TAPER-05.webp
