Brands,Type,SKU,MPN,Name,Short description,Description
Columbia,simple,PHMP,PHMP,"Predator Mud Pump","Predator Mud Pump","Predator Mud Pump"
Columbia,simple,PCLT42,PCLT42,"Predator Camlock Tube 42""","Predator Camlock Tube 42""","Predator Camlock Tube 42"""
Columbia,simple,PCMT42,PCMT42,"Predator Compound Tube 42""","Predator Compound Tube 42""","Predator Compound Tube 42"""
Columbia,simple,PC1HEXT,PC1HEXT,"Predator Extendable 3'-5' Handle","Predator Extendable 3'-5' Handle","Predator Extendable 3'-5' Handle"
Columbia,simple,PC1H,PC1H,"Predator One Handle 4'","Predator One Handle 4'","Predator One Handle 4'"
Columbia,simple,PCHXL,PCHXL,"Predator Long Extendable 4'-8' Handle","Predator Long Extendable 4'-8' Handle","Predator Long Extendable 4'-8' Handle"
Columbia,simple,PMHS,PMHS,"Predator Matrix Handle Short 29""-39""","Predator Matrix Handle Short 29""-39""","Predator Matrix Handle Short 29""-39"""
Columbia,simple,PMH,PMH,"Predator Matrix Handle 40""-60""","Predator Matrix Handle 40""-60""","Predator Matrix Handle 40""-60"""
Columbia,simple,PMHL,PMHL,"Predator Matrix Handle Long 56""-76""","Predator Matrix Handle Long 56""-76""","Predator Matrix Handle Long 56""-76"""
Columbia,simple,TS,TS,"Tactical Set","Tactical Set","Tactical Set"
Columbia,simple,PTS,PTS,"Predator Tactical Set","Predator Tactical Set","Predator Tactical Set"
Columbia,simple,SACS,SACS,"Commando Set","Commando Set","Commando Set"
Columbia,simple,TWS,TWS,"Warrior Set","Warrior Set","Warrior Set"
Columbia,simple,TAPER,TAPER,"Columbia Automatic Taper (53"" length)","Columbia Automatic Taper (53"" length)","Columbia Automatic Taper (53"" length)"
Columbia,simple,PTAPER,PTAPER,"Columbia Predator Automatic Taper (Carbon Fiber) (53"" length)","Columbia Predator Automatic Taper (Carbon Fiber) (53"" length)","Columbia Predator Automatic Taper (Carbon Fiber) (53"" length)"
Columbia,simple,STAPER,STAPER,"Columbia Sawed Off Taper (39"" length)","Columbia Sawed Off Taper (39"" length)","Columbia Sawed Off Taper (39"" length)"
Columbia,simple,SPTAPER,SPTAPER,"Columbia Predator Sawed Off Taper (Carbon Fiber) (39"" length)","Columbia Predator Sawed Off Taper (Carbon Fiber) (39"" length)","Columbia Predator Sawed Off Taper (Carbon Fiber) (39"" length)"
Columbia,simple,CC,CC,"Corner Cobra","Corner Cobra","Corner Cobra"
Columbia,simple,CR,CR,"Corner Roller","Corner Roller","Corner Roller"
Columbia,simple,COBCR,COBCR,"Standard Outside Corner Roller","Standard Outside Corner Roller","Standard Outside Corner Roller"
Columbia,simple,CBNCR,CBNCR,"Bullnose Outside Corner Roller","Bullnose Outside Corner Roller","Bullnose Outside Corner Roller"
Columbia,simple,COBCRE,COBCRE,"European Outside Corner Roller","European Outside Corner Roller","European Outside Corner Roller"
Columbia,simple,COBCRW,COBCRW,"Wide Outside Corner Roller","Wide Outside Corner Roller","Wide Outside Corner Roller"
Columbia,simple,2AH,2AH,"2"" Angle Head","2"" Angle Head","2"" Angle Head"
Columbia,simple,2.5AH,2.5AH,"2.5"" Angle Head","2.5"" Angle Head","2.5"" Angle Head"
Columbia,simple,3AH,3AH,"3"" Angle Head","3"" Angle Head","3"" Angle Head"
Columbia,simple,3.5AH,3.5AH,"3.5"" Angle Head","3.5"" Angle Head","3.5"" Angle Head"
Columbia,simple,AHA,AHA,"Angle Head Adapter","Angle Head Adapter","Angle Head Adapter"
Columbia,simple,7CFB,7CFB,"7"" Corner Flusher Box","7"" Corner Flusher Box","7"" Corner Flusher Box"
Columbia,simple,8CFB,8CFB,"8"" Corner Flusher Box","8"" Corner Flusher Box","8"" Corner Flusher Box"
Columbia,simple,5.5FFB,5.5FFB,"5.5"" Flat Finisher Box","5.5"" Flat Finisher Box","5.5"" Flat Finisher Box"
Columbia,simple,7FFB,7FFB,"7"" Flat Finisher Box","7"" Flat Finisher Box","7"" Flat Finisher Box"
Columbia,simple,8FFB,8FFB,"8"" Flat Finisher Box","8"" Flat Finisher Box","8"" Flat Finisher Box"
Columbia,simple,10FFB,10FFB,"10"" Flat Finisher Box","10"" Flat Finisher Box","10"" Flat Finisher Box"
Columbia,simple,12FFB,12FFB,"12"" Flat Finisher Box","12"" Flat Finisher Box","12"" Flat Finisher Box"
Columbia,simple,14FFB,14FFB,"14"" Flat Finisher Box","14"" Flat Finisher Box","14"" Flat Finisher Box"
Columbia,simple,5.5FBB,5.5FBB,"5.5"" Fat Boy Flat Box","5.5"" Fat Boy Flat Box","5.5"" Fat Boy Flat Box"
Columbia,simple,8FBB,8FBB,"8"" Fat Boy Flat Box","8"" Fat Boy Flat Box","8"" Fat Boy Flat Box"
Columbia,simple,10FBB,10FBB,"10"" Fat Boy Flat Box","10"" Fat Boy Flat Box","10"" Fat Boy Flat Box"
Columbia,simple,12FBB,12FBB,"12"" Fat Boy Flat Box","12"" Fat Boy Flat Box","12"" Fat Boy Flat Box"
Columbia,simple,8FFBA,8FFBA,"8"" Automatic Flat Box","8"" Automatic Flat Box","8"" Automatic Flat Box"
Columbia,simple,10FFBA,10FFBA,"10"" Automatic Flat Box","10"" Automatic Flat Box","10"" Automatic Flat Box"
Columbia,simple,12FFBA,12FFBA,"12"" Automatic Flat Box","12"" Automatic Flat Box","12"" Automatic Flat Box"
Columbia,simple,14FFBA,14FFBA,"14"" Automatic Flat Box","14"" Automatic Flat Box","14"" Automatic Flat Box"
Columbia,simple,8FBBA,8FBBA,"8"" Automatic Fat Boy Box","8"" Automatic Fat Boy Box","8"" Automatic Fat Boy Box"
Columbia,simple,10FBBA,10FBBA,"10"" Automatic Fat Boy Box","10"" Automatic Fat Boy Box","10"" Automatic Fat Boy Box"
Columbia,simple,12FBBA,12FBBA,"12"" Automatic Fat Boy Box","12"" Automatic Fat Boy Box","12"" Automatic Fat Boy Box"
Columbia,simple,ITC-K,ITC-K,"Inside Track Conversion Kit","Inside Track Conversion Kit","Inside Track Conversion Kit"
Columbia,simple,2NS,2NS,"2"" Nail Spotter","2"" Nail Spotter","2"" Nail Spotter"
Columbia,simple,3NS,3NS,"3"" Nail Spotter","3"" Nail Spotter","3"" Nail Spotter"
Columbia,simple,HNSA-5-2,HNSA-5-2,"2"" Nail Spotter Wheel Conversion Kit","2"" Nail Spotter Wheel Conversion Kit","2"" Nail Spotter Wheel Conversion Kit"
Columbia,simple,HNSA-5-3,HNSA-5-3,"3"" Nail Spotter Wheel Conversion Kit","3"" Nail Spotter Wheel Conversion Kit","3"" Nail Spotter Wheel Conversion Kit"
Columbia,simple,HMP,HMP,"Hot Mud Pump","Hot Mud Pump","Hot Mud Pump"
Columbia,simple,TBMP,TBMP,"Tall Boy Hot Mud Pump","Tall Boy Hot Mud Pump","Tall Boy Hot Mud Pump"
Columbia,simple,HMP-C,HMP-C,"Hot Mud Pump (CDN version)","Hot Mud Pump (CDN version)","Hot Mud Pump (CDN version)"
Columbia,simple,BF,BF,"Box Filler","Box Filler","Box Filler"
Columbia,simple,TBBF,TBBF,"Tall Boy Box Filler","Tall Boy Box Filler","Tall Boy Box Filler"
Columbia,simple,GN,GN,"Gooseneck","Gooseneck","Gooseneck"
Columbia,simple,TBGN,TBGN,"Tall Boy Gooseneck","Tall Boy Gooseneck","Tall Boy Gooseneck"
Columbia,simple,TSB-7,TSB-7,"7"" Tomahawk","7"" Tomahawk","7"" Tomahawk"
Columbia,simple,TSB-10,TSB-10,"10"" Tomahawk","10"" Tomahawk","10"" Tomahawk"
Columbia,simple,TSB-12,TSB-12,"12"" Tomahawk","12"" Tomahawk","12"" Tomahawk"
Columbia,simple,TSB-14,TSB-14,"14"" Tomahawk","14"" Tomahawk","14"" Tomahawk"
Columbia,simple,TSB-18,TSB-18,"18"" Tomahawk","18"" Tomahawk","18"" Tomahawk"
Columbia,simple,TSB-24,TSB-24,"24"" Tomahawk","24"" Tomahawk","24"" Tomahawk"
Columbia,simple,TSB-32,TSB-32,"32"" Tomahawk","32"" Tomahawk","32"" Tomahawk"
Columbia,simple,TSB-40,TSB-40,"40"" Tomahawk","40"" Tomahawk","40"" Tomahawk"
Columbia,simple,TSB-48,TSB-48,"48"" Tomahawk","48"" Tomahawk","48"" Tomahawk"
Columbia,simple,CLTHA,CLTHA,"Tomalock Adapter","Tomalock Adapter","Tomalock Adapter"
Columbia,simple,C1H,C1H,"Columbia One Handle","Columbia One Handle","Columbia One Handle"
Columbia,simple,C1HEXT,C1HEXT,"Columbia One Extendible Handle (3-5’)","Columbia One Extendible Handle (3-5’)","Columbia One Extendible Handle (3-5’)"
Columbia,simple,CHXL,CHXL,"Columbia Long Extendible Handle (4-8’)","Columbia Long Extendible Handle (4-8’)","Columbia Long Extendible Handle (4-8’)"
Columbia,simple,C1HS,C1HS,"Columbia One Handle Stubby","Columbia One Handle Stubby","Columbia One Handle Stubby"
Columbia,simple,AHA,AHA,"Angle Head Adapter","Angle Head Adapter","Angle Head Adapter"
Columbia,simple,3BH,3BH,"3’ 180° Grip Flat Box Handle","3’ 180° Grip Flat Box Handle","3’ 180° Grip Flat Box Handle"
Columbia,simple,42BH,42BH,"42” 180° Grip Flat Box Handle","42” 180° Grip Flat Box Handle","42” 180° Grip Flat Box Handle"
Columbia,simple,4BH,4BH,"4’ 180° Grip Flat Box Handle","4’ 180° Grip Flat Box Handle","4’ 180° Grip Flat Box Handle"
