brand,category,subcategory,product_id,product_name,part_number,part_name,quantity,schematic_image,schematic_data_path
Platinum,Corner Finishers,CornerFinisher,platinum-corner-finisher,Corner Finisher,13,Large Spring,1,Platinum_Corner_Finisher-page-001.webp,frontend/public/brands/Platinum/Schematics/CornerFinishers/CornerFinisher/schematic_data.json
Platinum,Corner Finishers,CornerFinisher,platinum-corner-finisher,Corner Finisher,12,Small Spring,1,Platinum_Corner_Finisher-page-001.webp,frontend/public/brands/Platinum/Schematics/CornerFinishers/CornerFinisher/schematic_data.json
Platinum,Corner Finishers,CornerFinisher,platinum-corner-finisher,Corner Finisher,17,6-32 x 1/2 FillisterHeadScrew,2,Platinum_Corner_Finisher-page-001.webp,frontend/public/brands/Platinum/Schematics/CornerFinishers/CornerFinisher/schematic_data.json
Platinum,Corner Finishers,CornerFinisher,platinum-corner-finisher,Corner Finisher,15,Insert Socket,1,Platinum_Corner_Finisher-page-001.webp,frontend/public/brands/Platinum/Schematics/CornerFinishers/CornerFinisher/schematic_data.json
Platinum,Corner Finishers,CornerFinisher,platinum-corner-finisher,Corner Finisher,11,CF Ball Locking Clip,1,Platinum_Corner_Finisher-page-001.webp,frontend/public/brands/Platinum/Schematics/CornerFinishers/CornerFinisher/schematic_data.json
Platinum,Corner Finishers,CornerFinisher,platinum-corner-finisher,Corner Finisher,14,Spring Tension Pin,1,Platinum_Corner_Finisher-page-001.webp,frontend/public/brands/Platinum/Schematics/CornerFinishers/CornerFinisher/schematic_data.json
Platinum,Corner Finishers,CornerFinisher,platinum-corner-finisher,Corner Finisher,4,CF 6-32 x 1/8 SS Hex,10,Platinum_Corner_Finisher-page-001.webp,frontend/public/brands/Platinum/Schematics/CornerFinishers/CornerFinisher/schematic_data.json
Platinum,Corner Finishers,CornerFinisher,platinum-corner-finisher,Corner Finisher,5,Skids,2,Platinum_Corner_Finisher-page-001.webp,frontend/public/brands/Platinum/Schematics/CornerFinishers/CornerFinisher/schematic_data.json
Platinum,Corner Finishers,CornerFinisher,platinum-corner-finisher,Corner Finisher,3,Right Frame,1,Platinum_Corner_Finisher-page-001.webp,frontend/public/brands/Platinum/Schematics/CornerFinishers/CornerFinisher/schematic_data.json
Platinum,Corner Finishers,CornerFinisher,platinum-corner-finisher,Corner Finisher,6,Blade-Corner Finisher,2,Platinum_Corner_Finisher-page-001.webp,frontend/public/brands/Platinum/Schematics/CornerFinishers/CornerFinisher/schematic_data.json
Platinum,Corner Finishers,CornerFinisher,platinum-corner-finisher,Corner Finisher,1,CF Body,1,Platinum_Corner_Finisher-page-001.webp,frontend/public/brands/Platinum/Schematics/CornerFinishers/CornerFinisher/schematic_data.json
Platinum,Corner Finishers,CornerFinisher,platinum-corner-finisher,Corner Finisher,16,CF Frame Tabs,2,Platinum_Corner_Finisher-page-001.webp,frontend/public/brands/Platinum/Schematics/CornerFinishers/CornerFinisher/schematic_data.json
Platinum,Corner Finishers,CornerFinisher,platinum-corner-finisher,Corner Finisher,7,CF Bottom Clip,1,Platinum_Corner_Finisher-page-001.webp,frontend/public/brands/Platinum/Schematics/CornerFinishers/CornerFinisher/schematic_data.json
