
brand,product_name,part_number,part_name,new_part_name,col_match_name,match_ratio,reference_image_url
Platinum,Corner Finisher,13,Large Spring,Large Spring,Brake Spring,0.75,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_hh12_01.webp
Platinum,Corner Finisher,12,Small Spring,Small Spring,Brake Spring,0.6666666666666666,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_hh12_01.webp
Platinum,Corner Finisher,17,6-32 x 1/2 FillisterHeadScrew,6-32 x 1/2 FillisterHeadScrew,"6-32 x 1/2"" Fillister Slot",0.7636363636363637,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa245_01.webp
Platinum,Corner Finisher,15,Insert Socket,Insert Socket,Filler Gasket,0.6153846153846154,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_mp33_01.webp
Platinum,Corner Finisher,11,CF Ball Locking Clip,CF Ball Locking Clip,Bar Retainer Clip,0.5405405405405406,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ffb8_01.webp
Platinum,Corner Finisher,14,Spring Tension Pin,Spring Tension Pin,Spring Housing,0.625,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ah1a_01.webp
Platinum,Corner Finisher,4,CF 6-32 x 1/8 SS Hex,CF 6-32 x 1/8 SS Hex,"6-32 X 1/8"" Set Screw",0.6829268292682927,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa235_01.webp
Platinum,Corner Finisher,5,Skids,Skids,Side Blade,0.4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ah4_01.webp
Platinum,Corner Finisher,3,Right Frame,Right Frame,Pinch Brake,0.5454545454545454,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_mh17_01.webp
Platinum,Corner Finisher,6,Blade-Corner Finisher,Blade-Corner Finisher,Line Pincher,0.5454545454545454,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_hh17c_01.webp
Platinum,Corner Finisher,1,CF Body,CF Body,Piston Body,0.5555555555555556,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ct107_01.webp
Platinum,Corner Finisher,16,CF Frame Tabs,CF Frame Tabs,Frame Retainer Clip,0.5,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ah5_01.webp
Platinum,Corner Finisher,7,CF Bottom Clip,CF Bottom Clip,Bottom Cap,0.75,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_hh10b_01.webp
Platinum,Corner Finisher,10,CF Lock Clip Spring,CF Lock Clip Spring,Release Clip Pin,0.5714285714285714,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_hh31_01.webp
Platinum,Corner Finisher,9,CF Slotted Screw 8-32 x 6.35,CF Slotted Screw 8-32 x 6.35,Bleeder Screw,0.43902439024390244,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_hh16a_01.webp
Platinum,Corner Finisher,2,CF Left Frame,CF Left Frame,Bracket Brace,0.5384615384615384,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ct87a_01.webp
Platinum,Outside Corner Roller,7,Corner Roller Handle Connecting Link,Corner Roller Handle Connecting Link,Handle Connecting Link,0.7586206896551724,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_cr11_01.webp
Platinum,Outside Corner Roller,10,Jam Nut,Jam Nut,5-16 x 24 Jam Nut,0.5833333333333334,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa307_01.webp
Platinum,Outside Corner Roller,9,Corner Roller Handle Mounting Swivel,Corner Roller Handle Mounting Swivel,Handle Mounting Swivel,0.7586206896551724,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_cr6_01.webp
Platinum,Outside Corner Roller,5,Bearing Sleeve,Bearing Sleeve,Bearing Sleeve,1.0,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_cfb16_01.webp
Platinum,Outside Corner Roller,8,1/4-20 x 1-1/2 Hex Bolt,1/4-20 x 1-1/2 Hex Bolt,"1/4 -20 x 1/2"" Hex Bolt",0.9130434782608695,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa296_01.webp
Platinum,Outside Corner Roller,1,Corner Roller Head Casting,Corner Roller Head Casting,Head Casting,0.631578947368421,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_cr1_01.webp
Platinum,Outside Corner Roller,6,Roller Wheel,Roller Wheel,Box Wheel,0.6666666666666666,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ffb36_01.webp
Platinum,Outside Corner Roller,4,1/4-20 Nyloc Nut,1/4-20 Nyloc Nut,4-40 Nyloc Nut,0.8666666666666667,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa207_01.webp
Platinum,Outside Corner Roller,3,1/4-20 Nyloc Nut,1/4-20 Nyloc Nut,4-40 Nyloc Nut,0.8666666666666667,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa207_01.webp
Platinum,Flat Box,27,#10 Brass Washer,#10 Brass Washer,#10 Flat Washer,0.7741935483870968,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa268_01.webp
Platinum,Flat Box,16,FB Screw (Side Plate),FB Screw (Side Plate),"Side Plate 7""",0.5882352941176471,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_cfb3_7_01.webp
Platinum,Flat Box,44,Dial Assembly,Dial Assembly,Handle Pin Assembly,0.6875,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_hpa_48_01.webp
Platinum,Flat Box,42,"8-32 X 3/8, BHC Screw","8-32 X 3/8, BHC Screw","8-32 X 3/8"" Socket Screw",0.8,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa261_01.webp
Platinum,Flat Box,41,Spring Anchor,Spring Anchor,Spring Housing,0.6666666666666666,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ah1a_01.webp
Platinum,Flat Box,18,FB Pressure Spring Holder,FB Pressure Spring Holder,Return Spring Tube,0.6046511627906976,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ct36_01.webp
Platinum,Flat Box,12,Left Side Plate,Left Side Plate,"Side Plate 7""",0.7142857142857143,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_cfb3_7_01.webp
Platinum,Flat Box,43,Flat Box Seal,Flat Box Seal,Box Wheel,0.5454545454545454,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ffb36_01.webp
Platinum,Flat Box,25,FB Box Tire,FB Box Tire,Box Wheel,0.5,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ffb36_01.webp
Platinum,Flat Box,4,Flat Box Screw (#4),Flat Box Screw (#4),"8"" Flat Box Hinged Door Gasket",0.4489795918367347,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_hffb14_8_01.webp
Platinum,Flat Box,2,Blade Holder Assembly,Blade Holder Assembly,"Blade Holder 2""",0.7222222222222222,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_hns8_2_01.webp
Platinum,Flat Box,8,FB Washer,FB Washer,Cut Washer,0.7368421052631579,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_cr4_01.webp
Platinum,Flat Box,23,#10-32 Hex Head Shoulder Screw,#10-32 Hex Head Shoulder Screw,"10-32 x 1/4"" SS Set Screw",0.6181818181818182,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa382_01.webp
Platinum,Flat Box,22,Bearing Nyliner,Bearing Nyliner,Bearing Sleeve,0.6896551724137931,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_cfb16_01.webp
Platinum,Flat Box,37,T-Nut,T-Nut,6-32 Hex Nut,0.47058823529411764,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa232_01.webp
Platinum,Flat Box,38,AT Wing Nut,AT Wing Nut,10-24 Wing Nut,0.72,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa272_01.webp
Platinum,Flat Box,26,"FB Box Wheel, Black","FB Box Wheel, Black",Box Wheel,0.6428571428571429,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ffb36_01.webp
Platinum,Flat Box,28,Axle,Axle,Cable,0.6666666666666666,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ct72_01.webp
Platinum,Flat Box,35,Pressure Plate,Pressure Plate,"Side Plate 7""",0.5925925925925926,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_cfb3_7_01.webp
Platinum,Flat Box,39,#10-32 X 1in SHC Screw,#10-32 X 1in SHC Screw,"10-32 x 1/4"" SS Set Screw",0.723404255319149,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa382_01.webp
Platinum,Flat Box,40,Lightweight Pressure Plate Spring,Lightweight Pressure Plate Spring,Needle Return Spring,0.5283018867924528,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ct65_01.webp
Platinum,Flat Box,34,FB Screw,FB Screw,Bleeder Screw,0.6666666666666666,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_hh16a_01.webp
Platinum,Flat Box,21,#10 Brass Washer,#10 Brass Washer,#10 Flat Washer,0.7741935483870968,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa268_01.webp
Platinum,Flat Box,20,#10-32 Lock Nut,#10-32 Lock Nut,10-24 Nyloc Nut,0.8,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa271_01.webp
Platinum,Flat Box,17,Bottom Plate,Bottom Plate,Bottom Cap,0.7272727272727273,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_hh10b_01.webp
Platinum,Flat Box,19,FB Screw,FB Screw,Bleeder Screw,0.6666666666666666,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_hh16a_01.webp
Platinum,Flat Box,1,Flat Box Blade,Flat Box Blade,"2"" Top Blade",0.6153846153846154,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ah3_2_01.webp
Platinum,Flat Box,29,#14 Brass Washer,#14 Brass Washer,#10 Flat Washer,0.7096774193548387,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa268_01.webp
Platinum,Flat Box,3,#4-40 x 1/4 Fillister Head Screw,#4-40 x 1/4 Fillister Head Screw,"4-40 x 1/2"" Fillister Slot",0.7241379310344828,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa219_01.webp
Platinum,Flat Box,24,Nyliner Bearing-Straight,Nyliner Bearing-Straight,Nyliner Bearing,0.7692307692307693,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ffb38_01.webp
Platinum,Flat Box,5,Blade Holder Bracket,Blade Holder Bracket,"Blade Holder 2""",0.7428571428571429,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_hns8_2_01.webp
Platinum,Flat Box,33,Flat Box Metal Hinge,Flat Box Metal Hinge,"8"" Flat Box Hinged Door Gasket",0.56,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_hffb14_8_01.webp
