source_row_number,issue_scope,parent_sku,parent_name,parent_attribute,variation_axis,variation_value,variation_sku,variation_name,duplicate_group_size,duplicate_skus,duplicate_values,image_files,image_urls,same_as_parent_first_image,all_group_rows_inherit_parent_image,row_validation_status
266,same_parent,BH9,Brake Connecting Strap,Length,Length,3',BH9-3,Brake Connecting Strap - 3',5,"BH9-3, BH9-42, BH9-4, BH9-5, BH9-6","3', 42"", 4', 5', 6'",columbia_tools_bh9_3_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_bh9_3_01.webp,yes,yes,ready
267,same_parent,BH9,Brake Connecting Strap,Length,Length,"42""",BH9-42,"Brake Connecting Strap - 42""",5,"BH9-3, BH9-42, BH9-4, BH9-5, BH9-6","3', 42"", 4', 5', 6'",columbia_tools_bh9_3_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_bh9_3_01.webp,yes,yes,ready
268,same_parent,BH9,Brake Connecting Strap,Length,Length,4',BH9-4,Brake Connecting Strap - 4',5,"BH9-3, BH9-42, BH9-4, BH9-5, BH9-6","3', 42"", 4', 5', 6'",columbia_tools_bh9_3_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_bh9_3_01.webp,yes,yes,ready
269,same_parent,BH9,Brake Connecting Strap,Length,Length,5',BH9-5,Brake Connecting Strap - 5',5,"BH9-3, BH9-42, BH9-4, BH9-5, BH9-6","3', 42"", 4', 5', 6'",columbia_tools_bh9_3_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_bh9_3_01.webp,yes,yes,ready
270,same_parent,BH9,Brake Connecting Strap,Length,Length,6',BH9-6,Brake Connecting Strap - 6',5,"BH9-3, BH9-42, BH9-4, BH9-5, BH9-6","3', 42"", 4', 5', 6'",columbia_tools_bh9_3_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_bh9_3_01.webp,yes,yes,ready
335,same_parent,CFB7,Door Gasket,Size,Size,"7""",CFB7-7,"Door Gasket - 7""",2,"CFB7-7, CFB7-8","7"", 8""",columbia_tools_cfb7_7_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_cfb7_7_01.webp,yes,yes,ready
336,same_parent,CFB7,Door Gasket,Size,Size,"8""",CFB7-8,"Door Gasket - 8""",2,"CFB7-7, CFB7-8","7"", 8""",columbia_tools_cfb7_7_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_cfb7_7_01.webp,yes,yes,ready
7,same_parent,COL-180-GRIP-FLAT-BOX-HANDLE,Columbia 180° Grip Flat Box Handle,Handle Length,Handle Length,3',3BH,Columbia 180° Grip Flat Box Handle - 3',5,"3BH, 42BH, 4BH, 5BH, 6BH","3', 42"", 4', 5', 6'",columbia_tools_3bh_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_3bh_01.webp,yes,yes,official-brand-catalog-price-validated
8,same_parent,COL-180-GRIP-FLAT-BOX-HANDLE,Columbia 180° Grip Flat Box Handle,Handle Length,Handle Length,"42""",42BH,"Columbia 180° Grip Flat Box Handle - 42""",5,"3BH, 42BH, 4BH, 5BH, 6BH","3', 42"", 4', 5', 6'",columbia_tools_3bh_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_3bh_01.webp,yes,yes,official-brand-catalog-price-validated
9,same_parent,COL-180-GRIP-FLAT-BOX-HANDLE,Columbia 180° Grip Flat Box Handle,Handle Length,Handle Length,4',4BH,Columbia 180° Grip Flat Box Handle - 4',5,"3BH, 42BH, 4BH, 5BH, 6BH","3', 42"", 4', 5', 6'",columbia_tools_3bh_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_3bh_01.webp,yes,yes,official-brand-catalog-price-validated
10,same_parent,COL-180-GRIP-FLAT-BOX-HANDLE,Columbia 180° Grip Flat Box Handle,Handle Length,Handle Length,5',5BH,Columbia 180° Grip Flat Box Handle - 5',5,"3BH, 42BH, 4BH, 5BH, 6BH","3', 42"", 4', 5', 6'",columbia_tools_3bh_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_3bh_01.webp,yes,yes,official-brand-catalog-price-validated
11,same_parent,COL-180-GRIP-FLAT-BOX-HANDLE,Columbia 180° Grip Flat Box Handle,Handle Length,Handle Length,6',6BH,Columbia 180° Grip Flat Box Handle - 6',5,"3BH, 42BH, 4BH, 5BH, 6BH","3', 42"", 4', 5', 6'",columbia_tools_3bh_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_3bh_01.webp,yes,yes,official-brand-catalog-price-validated
39,same_parent,COL-CAM-LOCK-TUBE,Columbia Cam Lock Tube,Size,Size,"24""",CLT24,"Columbia Cam Lock Tube - 24""",4,"CLT24, CLT32, CLT42, CLT55","24"", 32"", 42"", 55""",columbia_tools_clt24_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_clt24_01.webp,no,yes,official-brand-catalog-price-validated
40,same_parent,COL-CAM-LOCK-TUBE,Columbia Cam Lock Tube,Size,Size,"32""",CLT32,"Columbia Cam Lock Tube - 32""",4,"CLT24, CLT32, CLT42, CLT55","24"", 32"", 42"", 55""",columbia_tools_clt24_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_clt24_01.webp,no,yes,official-brand-catalog-price-validated
