brand,reference_model,reference_name,reference_section,reference_page,reference_source,reference_url,reference_category,present_in_wc_by_mpn,present_in_wc_by_sku,present_in_wc_by_text,notes
Columbia Taping Tools,3NPK,Columbia Three Way Knives,,,Columbia catalog structure / columbiatools.com source pages,,,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
Columbia Taping Tools,AH,Columbia Angleheads,,,Columbia catalog structure / columbiatools.com source pages,,,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
Columbia Taping Tools,C1,Columbia One,,,Columbia catalog structure / columbiatools.com source pages,,,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
Columbia Taping Tools,DF,Columbia Direct Corner Flusher,,,Columbia catalog structure / columbiatools.com source pages,,,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
Columbia Taping Tools,FSB,Columbia Fat Boy Smoothing Blades,,,Columbia catalog structure / columbiatools.com source pages,,,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
Columbia Taping Tools,MP-6,Columbia Mud Pans,,,Columbia catalog structure / columbiatools.com source pages,,,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
Columbia Taping Tools,NPK,Columbia Nylon Putty Knives,,,Columbia catalog structure / columbiatools.com source pages,,,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
Columbia Taping Tools,NS,Columbia Nailspotters,,,Columbia catalog structure / columbiatools.com source pages,,,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
Columbia Taping Tools,OPPK,Columbia One Piece Putty Knives,,,Columbia catalog structure / columbiatools.com source pages,,,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
Columbia Taping Tools,PREDATOR-FAMILY,Columbia Predator Family,,,Columbia catalog structure / columbiatools.com source pages,,,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
