record_type,row_number,name,current_sku,proposed_sku,current_parent,proposed_parent,current_mpn,proposed_mpn,source,notes
variable,1512,TapeTech Angle Box w/ Handle,10101,TapeTechAngleBoxwHandle,,,CA08/FHTT,,current_family_key_blank_parent_mpn,children=2
variable,1513,TapeTech QSX Flat Finishing Blade,14132,TapeTechQSXFlatFinishingBlade,,,QB6003-5,,current_family_key_blank_parent_mpn,children=2
variable,1514,TapeTech Premium Stainless Steel Joint Knife,15035,JKSS-TT,,,JK01SSTT,JKSS-TT,old_production_exact_name,children=8
variation,1561,TapeTech Premium Stainless Steel Joint Knife,15035,15035,TapeTechPremiumStainlessSteelJointKnife,JKSS-TT,JK01SSTT,JK01SSTT,old_production_exact_name,
variation,1562,TapeTech Premium Stainless Steel Joint Knife,15036,15036,TapeTechPremiumStainlessSteelJointKnife,JKSS-TT,JK02SSTT,JK02SSTT,old_production_exact_name,
variation,1563,TapeTech Premium Stainless Steel Joint Knife,15037,15037,TapeTechPremiumStainlessSteelJointKnife,JKSS-TT,JK03SSTT,JK03SSTT,old_production_exact_name,
variation,1564,TapeTech Premium Stainless Steel Joint Knife,15038,15038,TapeTechPremiumStainlessSteelJointKnife,JKSS-TT,JK04SSTT,JK04SSTT,old_production_exact_name,
variation,1565,TapeTech Premium Stainless Steel Joint Knife,15039,15039,TapeTechPremiumStainlessSteelJointKnife,JKSS-TT,JK05SSTT,JK05SSTT,old_production_exact_name,
variation,1566,TapeTech Premium Stainless Steel Joint Knife,15040,15040,TapeTechPremiumStainlessSteelJointKnife,JKSS-TT,JK06SSTT,JK06SSTT,old_production_exact_name,
variation,1677,"TapeTech 1.25"" Premium Stainless Steel Joint Knife",18778,18778,TapeTechPremiumStainlessSteelJointKnife,JKSS-TT,JK125SSTT,JK125SSTT,old_production_exact_name,
variation,1678,"TapeTech 0.75"" Premium Stainless Steel Joint Knife",18779,18779,TapeTechPremiumStainlessSteelJointKnife,JKSS-TT,JK34SSTT,JK34SSTT,old_production_exact_name,
variable,1515,TapeTech Premium Stainless Steel Taping Knife,15041,TKSS-TT,,,TK08SSTT,TKSS-TT,old_production_exact_name,children=4
variation,1567,TapeTech Premium Stainless Steel Taping Knife,15041,15041,TapeTechPremiumStainlessSteelTapingKnife,TKSS-TT,TK08SSTT,TK08SSTT,old_production_exact_name,
variation,1568,TapeTech Premium Stainless Steel Taping Knife,15042,15042,TapeTechPremiumStainlessSteelTapingKnife,TKSS-TT,TK10SSTT,TK10SSTT,old_production_exact_name,
variation,1569,TapeTech Premium Stainless Steel Taping Knife,15043,15043,TapeTechPremiumStainlessSteelTapingKnife,TKSS-TT,TK12SSTT,TK12SSTT,old_production_exact_name,
variation,1570,TapeTech Premium Stainless Steel Taping Knife,15044,15044,TapeTechPremiumStainlessSteelTapingKnife,TKSS-TT,TK14SSTT,TK14SSTT,old_production_exact_name,
variable,1516,TapeTech Premium Carbon Steel Joint Knife,15045,TT-JKCS,,,JK04CSTT,TT-JKCS,old_production_manual_name_map,children=3
variation,1571,TapeTech Premium Carbon Steel Joint Knife,15045,15045,TapeTechPremiumCarbonSteelJointKnife,TT-JKCS,JK04CSTT,JK04CSTT,old_production_manual_name_map,
variation,1572,TapeTech Premium Carbon Steel Joint Knife,15046,15046,TapeTechPremiumCarbonSteelJointKnife,TT-JKCS,JK05CSTT,JK05CSTT,old_production_manual_name_map,
variation,1573,TapeTech Premium Carbon Steel Joint Knife,15047,15047,TapeTechPremiumCarbonSteelJointKnife,TT-JKCS,JK06CSTT,JK06CSTT,old_production_manual_name_map,
variable,1517,TapeTech Premium Blue Steel Taping Knife,15048,TKBS-TT,,,TK08BSTT,TKBS-TT,old_production_exact_name,children=4
variation,1574,TapeTech Premium Blue Steel Taping Knife,15048,15048,TapeTechPremiumBlueSteelTapingKnife,TKBS-TT,TK08BSTT,TK08BSTT,old_production_exact_name,
variation,1575,TapeTech Premium Blue Steel Taping Knife,15049,15049,TapeTechPremiumBlueSteelTapingKnife,TKBS-TT,TK10BSTT,TK10BSTT,old_production_exact_name,
variation,1576,TapeTech Premium Blue Steel Taping Knife,15050,15050,TapeTechPremiumBlueSteelTapingKnife,TKBS-TT,TK12BSTT,TK12BSTT,old_production_exact_name,
variation,1577,TapeTech Premium Blue Steel Taping Knife,15051,15051,TapeTechPremiumBlueSteelTapingKnife,TKBS-TT,TK14BSTT,TK14BSTT,old_production_exact_name,
variable,1518,TapeTech Premium Mud Pan,15054,TapeTechPremiumMudPan,,,MP12TT,,current_family_key_blank_parent_mpn,children=2
variable,1519,TapeTech Premium Compound Roller with Frame,72040,TapeTechPremiumCompoundRollerwithFrame,,,CROLL04CG,,current_family_key_blank_parent_mpn,children=3
variable,1520,TapeTech Compound Roller Frame,TapeTechCompoundRollerFrame,TT-CRF,,,TapeTechCompoundRollerFrame,TT-CRF,old_production_manual_name_map,children=2
variation,1671,"TapeTech 4"" Compound Roller Frame",18460,18460,TapeTechCompoundRollerFrame,TT-CRF,CROLL04,CCAGE04,old_and_description_match,current_mpn_conflicts_with_old_production
variation,1672,"TapeTech 12"" Compound Roller Frame",18462,18462,TapeTechCompoundRollerFrame,TT-CRF,CCAGE12,CCAGE12,old_production_manual_name_map,
variable,1521,"TapeTech Finishing Knife and 12"" Compound Roller Set w/ Support Handle/Adapter",TapeTechFinishingKnifeand12CompoundRollerSetwSupportHandleAdapter,TapeTechFinishingKnifeand12CompoundRollerSetwSupportHandleAdapter,,,TapeTechFinishingKnifeand12CompoundRollerSetwSupportHandleAdapter,,current_family_key_blank_parent_mpn,children=2
variable,1522,TapeTech Groover Blade,TapeTechGrooverBlade,TapeTechGrooverBlade,,,TapeTechGrooverBlade,,current_family_key_blank_parent_mpn,children=2
variation,1615,"TapeTech 1"" (27mm) Groover Blade",18258,18258,TapeTechGrooverBlade,TapeTechGrooverBlade,,EGB01,description_code,synthetic_or_blank_current_mpn
variation,1616,"TapeTech 1.3"" (34mm) Groover Blade",18259,18259,TapeTechGrooverBlade,TapeTechGrooverBlade,,EGB13,description_code,synthetic_or_blank_current_mpn
variable,1523,TapeTech Hot Knife Blade,TapeTechHotKnifeBlade,TapeTechHotKnifeBlade,,,TapeTechHotKnifeBlade,,current_family_key_blank_parent_mpn,children=3
variable,1524,TapeTech PFK Replacement Blade 2/pk,TapeTechPFKReplacementBlade2pk,PFB-TT,,,TapeTechPFKReplacementBlade2pk,PFB-TT,old_production_exact_name,children=8
variation,1580,"TapeTech 7"" PFK Replacement Blade 2/pk",16551,16551,TapeTechPFKReplacementBlade2pk,PFB-TT,TapeTech7PFKReplacementBlade,PFB07,description_code,synthetic_or_blank_current_mpn
variation,1581,"TapeTech 12"" PFK Replacement Blade 2/pk",16552,16552,TapeTechPFKReplacementBlade2pk,PFB-TT,TapeTech12PFKReplacementBlade,PFB12,description_code,synthetic_or_blank_current_mpn
variation,1582,"TapeTech 14"" PFK Replacement Blade 2/pk",16553,16553,TapeTechPFKReplacementBlade2pk,PFB-TT,TapeTech14PFKReplacementBlade,PFB14,description_code,synthetic_or_blank_current_mpn
variation,1583,"TapeTech 18"" PFK Replacement Blade 2/pk",16554,16554,TapeTechPFKReplacementBlade2pk,PFB-TT,TapeTech18PFKReplacementBlade,PFB18,description_code,synthetic_or_blank_current_mpn
variation,1584,"TapeTech 24"" PFK Replacement Blade 2/pk",16555,16555,TapeTechPFKReplacementBlade2pk,PFB-TT,TapeTech24PFKReplacementBlade,PFB24,description_code,synthetic_or_blank_current_mpn
variation,1585,"TapeTech 32"" PFK Replacement Blade 2/pk",16556,16556,TapeTechPFKReplacementBlade2pk,PFB-TT,TapeTech32PFKReplacementBlade,PFB32,description_code,synthetic_or_blank_current_mpn
variation,1586,"TapeTech 40"" PFK Replacement Blade 2/pk",16557,16557,TapeTechPFKReplacementBlade2pk,PFB-TT,TapeTech40PFKReplacementBlade,PFB40,description_code,synthetic_or_blank_current_mpn
variation,1587,"TapeTech 48"" PFK Replacement Blade 2/pk",16558,16558,TapeTechPFKReplacementBlade2pk,PFB-TT,TapeTech48PFKReplacementBlade,PFB48,description_code,synthetic_or_blank_current_mpn
variable,1525,TapeTech Premium Compound Roller,TapeTechPremiumCompoundRoller,CROLL-TT,,,TapeTechPremiumCompoundRoller,CROLL-TT,old_production_exact_name,children=3
variation,1668,"TapeTech 4"" Premium Compound Roller",18456,18456,TapeTechPremiumCompoundRoller,CROLL-TT,CROLL04,CROLL04,old_production_exact_name,
variation,1669,"TapeTech 9"" Premium Compound Roller",18457,18457,TapeTechPremiumCompoundRoller,CROLL-TT,CROLL09,CROLL09,old_production_exact_name,
variation,1670,"TapeTech 12"" Premium Compound Roller",18458,18458,TapeTechPremiumCompoundRoller,CROLL-TT,CROLL12,CROLL12,old_production_exact_name,
variable,1526,TapeTech Premium Compound Roller 3 Pack,TapeTechPremiumCompoundRoller3Pack,TapeTechPremiumCompoundRoller3Pack,,,TapeTechPremiumCompoundRoller3Pack,,current_family_key_blank_parent_mpn,children=3
variation,1684,"TapeTech 4"" Premium Compound Roller 3 Pack",72047,72047,TapeTechPremiumCompoundRoller3Pack,TapeTechPremiumCompoundRoller3Pack,TapeTechCROLL043PK,CROLL04CG3PK,description_code,synthetic_or_blank_current_mpn
variation,1685,"TapeTech 9"" Premium Compound Roller 3 Pack",72048,72048,TapeTechPremiumCompoundRoller3Pack,TapeTechPremiumCompoundRoller3Pack,TapeTechCROLL09CG3PK,CROLL09CG3PK,description_code,synthetic_or_blank_current_mpn
variation,1686,"TapeTech 12"" Premium Compound Roller 3 Pack",72049,72049,TapeTechPremiumCompoundRoller3Pack,TapeTechPremiumCompoundRoller3Pack,TapeTechCROLL12CG3PK,CROLL12CG3PK,description_code,synthetic_or_blank_current_mpn
variable,1527,TapeTech Premium Finishing Knife w/ Support Handle/Adapter,TapeTechPremiumFinishingKnifewSupportHandleAdapter,TapeTechPremiumFinishingKnifewSupportHandleAdapter,,,TapeTechPremiumFinishingKnifewSupportHandleAdapter,,current_family_key_blank_parent_mpn,children=2
variable,1528,TapeTech Premium Spatula for Decorative Finish,TapeTechPremiumSpatulaforDecorativeFinish,TapeTechPremiumSpatulaforDecorativeFinish,,,TapeTechPremiumSpatulaforDecorativeFinish,,current_family_key_blank_parent_mpn,children=4
variable,1529,TapeTech QSX Notched Blade,TapeTechQSXNotchedBlade,TapeTechQSXNotchedBlade,,,TapeTechQSXNotchedBlade,,current_family_key_blank_parent_mpn,children=2
variable,1530,TapeTech Radius Trowel - Curved,TapeTechRadiusTrowelCurved,TapeTechRadiusTrowelCurved,,,TapeTechRadiusTrowelCurved,,current_family_key_blank_parent_mpn,children=2
variation,1675,"TapeTech 20"" Radius Trowel - Curved",18557,18557,TapeTechRadiusTrowelCurved,TapeTechRadiusTrowelCurved,TapeTechRTC20TT,RTC20TT,strip_tapetech_prefix,synthetic_or_blank_current_mpn
variation,1676,"TapeTech 26"" Radius Trowel - Curved",18558,18558,TapeTechRadiusTrowelCurved,TapeTechRadiusTrowelCurved,TapeTechRTC26TT,RTC26TT,strip_tapetech_prefix,synthetic_or_blank_current_mpn
