brand,reference_model,reference_name,reference_section,reference_page,reference_source,reference_url,reference_category,present_in_wc_by_mpn,present_in_wc_by_sku,present_in_wc_by_text,notes
TapeTech,CH55TT,TapeTech 55 mm Cove Applicator Head CH55TT,Applicator Heads,17,TapeTech catalog page 17,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Applicator Heads > Cove Applicator Head,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
TapeTech,CH75TT,TapeTech 75 mm Cove Applicator Head CH75TT,Applicator Heads,17,TapeTech catalog page 17,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Applicator Heads > Cove Applicator Head,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
TapeTech,CH83TT,TapeTech 83 mm Cove Applicator Head CH83TT,Applicator Heads,17,TapeTech catalog page 17,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Applicator Heads > Cove Applicator Head,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
TapeTech,CH90TT,TapeTech 90 mm Cove Applicator Head CH90TT,Applicator Heads,17,TapeTech catalog page 17,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Applicator Heads > Cove Applicator Head,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
TapeTech,056133,TapeTech Stainless Steel Pyramid Blades 10 pack,Automatic Tapers,15,TapeTech catalog page 15,,,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
TapeTech,FBH2642TT-CF,"Extends from 26"" to 42""",Carbon Fiber Extension Box Handles,31,TapeTech catalog page 31,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > Carbon Fiber Box Handle,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
TapeTech,FBH4272TT-CF,"Extends from 42"" to 72""",Carbon Fiber Extension Box Handles,31,TapeTech catalog page 31,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > Carbon Fiber Box Handle,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
TapeTech,CTA01TT,TapeTech Compound Tube Filler Adapter,Compound Tubes & Tool Caddy,59,TapeTech catalog page 59,,Drywall Finishing Tools > TapeTech > Semi-Automatic Tools > Adapters & Accessories > Filler Adapter,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
TapeTech,502F2X,"2"" Corner Finisher Blade Change Kit (40XTT)",Corner Finishers,22,TapeTech catalog page 22,,,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
TapeTech,EZ15TT,TapeTech EasyCleanTM Flat Box,EasyClean Boxes,25,TapeTech catalog page 25,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Finishing Boxes > EasyClean Finishing Box,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
TapeTech,8134TT,"TapeTech 34"" Easy Finish Bent Flat Box Handle",Finishing Box Handles,32,TapeTech catalog page 32,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > EasyFinish Box Handle,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
TapeTech,8142TT,"TapeTech 42"" Easy Finish Bent Flat Box Handle",Finishing Box Handles,32,TapeTech catalog page 32,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > EasyFinish Box Handle,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
TapeTech,8154TT,"TapeTech 54"" Easy Finish Bent Flat Box Handle",Finishing Box Handles,32,TapeTech catalog page 32,,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > EasyFinish Box Handle,0,0,0,official/reference product model not found anywhere in wc-catalog-exported.csv brand rows
