sku,type,product_name,image_count,images_applied
AH-AD,variable,Asgard Angle Head,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag42-asgard-angle-head-AH25-AD-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag48-asgard-3-angle-head-AH30-A
AH25-AD,variation,Asgard Angle Head,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag42-asgard-angle-head-AH25-AD-01.webp
AH30-AD,variation,Asgard Angle Head,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag42-asgard-angle-head-AH25-AD-01.webp
AH35-AD,variation,Asgard Angle Head,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag42-asgard-angle-head-AH25-AD-01.webp
CFA-AD,simple,Asgard Angle Head Ball Adapter (CFA-AD),1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-angle-head-adapter-CFA-AD-01.webp
CA08-AD,simple,"Asgard 8"" Drywall Angle Box (CA08-AD)",8,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag35-asgard-angle-box-with-fixed-handle-CA08-AD-FH-AD-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag35a-as
BBH-AD,simple,Asgard Brakeless Box Handle (BBH-AD),10,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag35-asgard-angle-box-with-fixed-handle-CA08-AD-FH-AD-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag35ext-
TTBDL9,simple,Asgard Classic Finishing Set,3,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-finishing-set-10-12-boxes-AGFINISHEXT-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-finishing-set-10-12-maxx
FBHE-AD,simple,Asgard Extendable Flat Box Handle (FBHE-AD),3,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag35ext-asgard-angle-box-with-extendable-handle-CA08-AD-XH-AD-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-
XH-AD,simple,Asgard Extendable Support Handle (XH-AD),10,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag15ext-asgard-corner-roller-with-extendable-handle-CR01-AD-XH-AD-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asg
FH-AD,simple,Asgard Fiberglass Handle (FH-AD),3,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag15-asgard-corner-roller-with-fixed-handle-CR01-AD-FH-AD-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-ag35
