brand,wc_row_number,wc_type,wc_sku,wc_mpn,wc_parent,wc_name,wc_short_description_empty,wc_description_empty,wc_categories,wc_images_count,reference_match_status,reference_model,reference_name,reference_section,reference_page,reference_source,reference_url,reference_category,part_reference_name,part_reference_price,proposed_name,proposed_short_description,proposed_description,proposed_categories,proposed_images,can_update_name,can_update_short_description,can_update_description,can_update_categories,can_update_images,priority,optimization_reasons,notes
Columbia Taping Tools,35,simple,3WTDF,3WTDF,,"Columbia 3"" Widetrack Direct Corner Flusher",0,0,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools,4,matched_by_mpn,3WTDF,"Columbia Direct Corner Flusher 3"" Wide Track (3WTDF)",Corner Flushers,,Columbia catalog structure / columbiatools.com source pages,https://www.columbiatools.com/columbia-tools/corner-flushers/direct-corner-flusher/,Drywall Finishing Tools > Columbia Taping Tools > Corner Flushers > Corner Flushers > Direct Corner Flusher,,,"Columbia Direct Corner Flusher 3"" Wide Track (3WTDF)",,,Drywall Finishing Tools > Columbia Taping Tools > Corner Flushers > Corner Flushers > Direct Corner Flusher,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-direct-corner-flusher-3-inch-wide-track-3WTDF-01.webp,1,0,0,1,0,update_candidate,official/reference name differs; category can be refined to official mapping hierarchy,Columbia generated reference descriptions are temp/source-page text; description update needs manual copywriting from source page
Columbia Taping Tools,36,simple,3WTSF,3WTSF,,"Columbia 3"" Standard Corner Flusher",0,0,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools,1,matched_by_mpn,3WTSF,"Columbia Standard Corner Flusher 3"" Wide Track (3WTSF)",Corner Flushers,,Columbia catalog structure / columbiatools.com source pages,https://www.columbiatools.com/columbia-tools/corner-flushers/standard-corner-flusher/,Drywall Finishing Tools > Columbia Taping Tools > Corner Flushers > Corner Flushers > Standard Corner Flusher,,,"Columbia Standard Corner Flusher 3"" Wide Track (3WTSF)",,,Drywall Finishing Tools > Columbia Taping Tools > Corner Flushers > Corner Flushers > Standard Corner Flusher,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-standard-corner-flusher-2-5-inch-2.5SF-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-standard-corner-flusher-2-5-inch-2.5SF-02.webp",1,0,0,1,0,update_candidate,official/reference name differs; category can be refined to official mapping hierarchy,Columbia generated reference descriptions are temp/source-page text; description update needs manual copywriting from source page
Columbia Taping Tools,37,simple,AH4,AH4,,Columbia Angle Head Side Blade,0,0,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched by exact SKU/MPN; needs manual catalog check,Simple row intentionally not matched by broad product-family/context text
Columbia Taping Tools,38,simple,AH6A,AH6A,,Columbia Angle Head Ball Holder Release Clip,0,0,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched by exact SKU/MPN; needs manual catalog check,Simple row intentionally not matched by broad product-family/context text
Columbia Taping Tools,39,simple,AH8,AH8,,Columbia Angle Head Retainer Clip,0,0,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools,5,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched by exact SKU/MPN; needs manual catalog check,Simple row intentionally not matched by broad product-family/context text
Columbia Taping Tools,40,simple,AH9,AH9,,Columbia Angle Head Retainer Clip,0,0,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched by exact SKU/MPN; needs manual catalog check,Simple row intentionally not matched by broad product-family/context text
Columbia Taping Tools,41,simple,AHA,AHA,,Columbia Anglehead Adaptor,0,0,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools,1,matched_by_mpn,AHA,Columbia Anglehead Adaptor (AHA),Angleheads,,Columbia catalog structure / columbiatools.com source pages,https://www.columbiatools.com/columbia-tools/angleheads/anglehead-adaptor/,Drywall Finishing Tools > Columbia Taping Tools > Angleheads > Angleheads > Anglehead Adaptor,,,Columbia Anglehead Adaptor (AHA),,,Drywall Finishing Tools > Columbia Taping Tools > Angleheads > Angleheads > Anglehead Adaptor,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-anglehead-adaptor-AHA-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-tomahawk-smoothing-blades-7-inch-TSB7-06.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-tomahawk-smoothing-blades-7-inch-TSB7-07.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-tomahawk-smoothing-blades-7-inch-TSB7-08.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-tomahawk-smoothing-blades-7-inch-TSB7-09.webp",1,0,0,1,0,update_candidate,official/reference name differs; category can be refined to official mapping hierarchy,Columbia generated reference descriptions are temp/source-page text; description update needs manual copywriting from source page
Columbia Taping Tools,42,simple,ANGLEHEADMAINTENANCEKITS,ANGLEHEADMAINTENANCEKITS,,Anglehead Maintenance Kits,0,0,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand repair/parts row not matched to official product catalog; needs manual parts/catalog check,Repair/parts row intentionally not matched by broad product-family name
Columbia Taping Tools,43,simple,AUTOMATICFLATBOXES,AUTOMATICFLATBOXES,,Automatic Flat Boxes,0,0,Drywall Finishing Tools > Columbia Taping Tools > Finishing Boxes,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched by exact SKU/MPN; needs manual catalog check,Simple row intentionally not matched by broad product-family/context text
Columbia Taping Tools,44,simple,AUTOMATICTAPERMAINTENANCEKITS,AUTOMATICTAPERMAINTENANCEKITS,,Automatic Taper Maintenance Kits,0,0,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand repair/parts row not matched to official product catalog; needs manual parts/catalog check,Repair/parts row intentionally not matched by broad product-family name
Columbia Taping Tools,45,simple,BF,BF,,Columbia Box Filler,0,0,Drywall Finishing Tools > Columbia Taping Tools > Pumps & Accessories,2,matched_by_mpn,BF,Columbia Box Filler Standard (BF),Pumps,,Columbia catalog structure / columbiatools.com source pages,https://www.columbiatools.com/columbia-tools/pumps/box-filler/,Drywall Finishing Tools > Columbia Taping Tools > Pumps > Pumps > Box Filler,,,Columbia Box Filler Standard (BF),,,Drywall Finishing Tools > Columbia Taping Tools > Pumps > Pumps > Box Filler,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-cam-lock-tube-box-filler-CLTBF-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-cam-lock-tube-box-filler-CLTBF-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-cam-lock-tube-box-filler-CLTBF-03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-cam-lock-tube-box-filler-CLTBF-04.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-box-filler-bf-BF-01.webp",1,0,0,1,0,update_candidate,official/reference name differs; category can be refined to official mapping hierarchy,Columbia generated reference descriptions are temp/source-page text; description update needs manual copywriting from source page
Columbia Taping Tools,46,simple,BH06,BH06,,Columbia Box Handle Hinge Pin (180 Grip),0,0,Drywall Finishing Tools > Columbia Taping Tools > Handles & Extensions,2,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched by exact SKU/MPN; needs manual catalog check,Simple row intentionally not matched by broad product-family/context text
Columbia Taping Tools,47,simple,BH07,BH07,,Columbia Box Handle Cam Follower,0,0,Drywall Finishing Tools > Columbia Taping Tools > Handles & Extensions,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched by exact SKU/MPN; needs manual catalog check,Simple row intentionally not matched by broad product-family/context text
Columbia Taping Tools,48,simple,BH1,BH1,,Columbia Mounting Plate (180 Grip),0,0,Drywall Finishing Tools > Columbia Taping Tools > Handles & Extensions,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched by exact SKU/MPN; needs manual catalog check,Simple row intentionally not matched by broad product-family/context text
Columbia Taping Tools,49,simple,BH2,BH2,,Columbia Box Handle Plate (180 Grip),0,0,Drywall Finishing Tools > Columbia Taping Tools > Handles & Extensions,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched by exact SKU/MPN; needs manual catalog check,Simple row intentionally not matched by broad product-family/context text
Columbia Taping Tools,50,simple,BH4,BH4,,Columbia Lower Brake Lever,0,0,Drywall Finishing Tools > Columbia Taping Tools > Handles & Extensions,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched by exact SKU/MPN; needs manual catalog check,Simple row intentionally not matched by broad product-family/context text
Columbia Taping Tools,51,simple,BH5,BH5,,Columbia Upper Mounting Bracket (180 Grip),0,0,Drywall Finishing Tools > Columbia Taping Tools > Handles & Extensions,1,no_reference_match,,,,,,,,,,,,,,,0,0,0,0,0,manual_reference_review,brand row not matched by exact SKU/MPN; needs manual catalog check,Simple row intentionally not matched by broad product-family/context text
