wc_row_number,wc_mpn,wc_sku,changed_fields,old_name,new_name,old_short_description,new_short_description,old_description,new_description,old_categories,new_categories,notes
443,07TT,10030,"Short description, Categories",TapeTech EasyClean Automatic Taper,TapeTech EasyClean Automatic Taper,,TapeTech EasyClean Taper,TapeTech EasyClean Taper,TapeTech EasyClean Taper,Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Automatic Tapers > EasyClean Automatic Taper,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
444,8134TT,10031,"Short description, Categories","TapeTech 34"" Easy Finish Bent Flat Box Handle","TapeTech 34"" Easy Finish Bent Flat Box Handle",,"TapeTech 34"" Easy Finish Bent Flat Box Handle 8134TT","TapeTech 34"" Easy Finish Bent Flat Box Handle 8134TT","TapeTech 34"" Easy Finish Bent Flat Box Handle 8134TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > EasyFinish Box Handle,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
445,8142TT,10032,"Short description, Categories","TapeTech 42"" Easy Finish Bent Flat Box Handle","TapeTech 42"" Easy Finish Bent Flat Box Handle",,"TapeTech 42"" Easy Finish Bent Flat Box Handle 8142TT","TapeTech 42"" Easy Finish Bent Flat Box Handle 8142TT","TapeTech 42"" Easy Finish Bent Flat Box Handle 8142TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > EasyFinish Box Handle,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
446,8154TT,10033,"Short description, Categories","TapeTech 54"" Easy Finish Bent Flat Box Handle","TapeTech 54"" Easy Finish Bent Flat Box Handle",,"TapeTech 54"" Easy Finish Bent Flat Box Handle 8154TT","TapeTech 54"" Easy Finish Bent Flat Box Handle 8154TT","TapeTech 54"" Easy Finish Bent Flat Box Handle 8154TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > EasyFinish Box Handle,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
447,8172TT,10034,"Short description, Categories","TapeTech 72"" Easy Finish Bent Flat Box Handle","TapeTech 72"" Easy Finish Bent Flat Box Handle",,"TapeTech 72"" Easy Finish Bent Flat Box Handle 8172TT","TapeTech 72"" Easy Finish Bent Flat Box Handle 8172TT","TapeTech 72"" Easy Finish Bent Flat Box Handle 8172TT",Drywall Finishing Tools > TapeTech > Finishing Boxes,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Box Handles > EasyFinish Box Handle,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
487,85T,12197,"Short description, Categories",TapeTech Gooseneck,TapeTech Gooseneck,,TapeTech Gooseneck,TapeTech Gooseneck,TapeTech Gooseneck,Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > Gooseneck,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
518,16TT,12389,"Name, Short description, Categories",TapeTech Mud Applicator Head 90º Outside,TapeTech Mud Applicator Head 90o Outside,,TapeTech Mud Applicator Head 90o Outside 16TT,TapeTech Mud Applicator Head 90º Outside 16TT,TapeTech Mud Applicator Head 90º Outside 16TT,Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Applicator Heads > Outside Corner Applicator,name differs from reference; short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
519,16TT90,12390,"Name, Short description, Categories",TapeTech Mud Applicator Head 90º Inside,TapeTech Mud Applicator Head 90o Inside,,TapeTech Mud Applicator Head 90o Inside 16TT90,TapeTech Mud Applicator Head 90º Inside 16TT90,TapeTech Mud Applicator Head 90º Inside 16TT90,Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Applicator Heads > Inside Corner Applicator,name differs from reference; short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
520,90T,12391,"Short description, Categories",TapeTech Box Filler,TapeTech Box Filler,,TapeTech Box Filler 90TT,"TapeTech Box Filler 90TT<div style=""font-family: Tahoma, Geneva, sans-serif; font-size: 8pt; ""></div>","TapeTech Box Filler 90TT<div style=""font-family: Tahoma, Geneva, sans-serif; font-size: 8pt; ""></div>",Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Loading Pumps > Filler Adapter,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
559,17TT,12582,Categories,TapeTech Outside Corner Roller,TapeTech Outside Corner Roller,,,TapeTech Outside Corner Roller 17TT,TapeTech Outside Corner Roller 17TT,Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Corner Rollers > Outside Corner Roller,mpn not present in drywall tool references
560,03TT,12622,"Short description, Categories",TapeTech EasyClean Automatic Mini Taper,TapeTech EasyClean Automatic Mini Taper,,TapeTech EasyClean Automatic Mini Taper 03TT,TapeTech EasyClean Automatic Mini Taper 03TT,TapeTech EasyClean Automatic Mini Taper 03TT,Drywall Finishing Tools > TapeTech > Automatic Tapers,Drywall Finishing Tools > TapeTech > Automatic Taping & Finishing Tools > Automatic Tapers > EasyClean Automatic Mini-Taper,short description can be populated from reference; category can be replaced with TapeTech mapping hierarchy
