reference_model,reference_section,reference_catalog_page,reference_page_name,reference_enrichment_name,reference_enrichment_short_description,reference_mapping_category,reference_mapping_subcategory,reference_mapping_product,shop_reference_name,shop_reference_description,present_in_wc_catalog_by_mpn
501F25A,Corner Finishers,22,"TapeTech 2.5"" Angle Head Repair Kit 501F25A","TapeTech 2.5"" Angle Head Repair Kit 501F25A","TapeTech 2.5"" Angle Head Kit 501F25A Includes: (1) Blade Tension Spring (1) Center Clip (1) Center Clip Assembly (1) Blade Tension SPRG (2) 8-32 x 1/4 Set Screw...",,,,,,0
501F2A,Corner Finishers,22,"TapeTech 2"" Angle Head Repair Kit 501F2A","TapeTech 2"" Angle Head Repair Kit 501F2A","TapeTech 2"" Angle Head Repair Kit 501F2A Includes: (1) Blade Tension Spring (1) Center Clip (1) Center Clip Assembly (2) 8-32 x 1/4 inch Set Screw 1/2 Dog SST (...",,,,,,0
501F3A,Corner Finishers,22,"TapeTech 3"" Angle Head Repair Kit 501F3A","TapeTech 3"" Angle Head Repair Kit 501F3A","TapeTech 3"" Angle Head Repair Kit 501F3A Includes: (1) Blade Tension Spring (1) Center Clip (1) Center Clip Assembly (1) Blade Tension SPRG (2) 8-32 x 1/4 Set S...",,,,,,0
502F2,Corner Finishers,22,"TapeTech 2"" Angle Head Blade Kit 502F2","TapeTech 2"" Angle Head Blade Kit 502F2","TapeTech 2"" Angle Head Blade Kit 502F2 Includes: (2) 8-32 x 1/4 Setscrew 1/2 Dog SST (2) 2"" Carbide Blades (2) Stainless Skids (12) 4-40 x 1/8 Set Screws",,,,,,0
502F25,Corner Finishers,22,"TapeTech 2.5"" Angle Head Blade Kit 502F25","TapeTech 2.5"" Angle Head Blade Kit 502F25","TapeTech 2.5"" Angle Head Blade Kit 502F25",,,,,,0
502F2X,Corner Finishers,22,"2"" Corner Finisher Blade Change Kit (40XTT)",,,,,,,,0
502F3,Corner Finishers,22,"TapeTech 3"" Angle Head Blade Kit 502F3","TapeTech 3"" Angle Head Blade Kit 502F3","TapeTech 3"" Angle Head Blade Kit 502F3 Includes: (2) 3"" Blades, Carbide (2) Skids (12) 4-40 x 1/8 Set Screws 8-32 x 1/4 Set Screws 1/2 Dog SST",,,,,,0
76TT-CA,Loading Pumps,13,TapeTech EasyClean® Loading Pump 76TT-CA,TapeTech EasyClean® Loading Pump 76TT-CA,TapeTech EasyClean® Loading Pump 76TT-CA (Canada Only) Fills automatic drywall tools with joint compound through optional Gooseneck and Box Filler Fitting.,Automatic Taping & Finishing Tools,Loading Pumps,EasyClean Pump,,,0
BAN001TT,MudDog Premium Banjo,57,TapeTech MudDogTM Premium Taping Banjo,TapeTech MudDogTM Premium Taping Banjo,TapeTech Mud Dog Banjo,Semi-Automatic Tools,MudDog Banjo,MudDog Premium Banjo,,,0
CCAGE04,Compound Rollers,46,"TapeTech 4"" Compound Roller Frame","TapeTech 4"" Compound Roller Frame","TapeTech 4"" Compound Roller Frame CCAGE04 TapeTech drywall joint compound rollers are ideal for applying large amounts of drywall compound on walls and ceilings...",Compound Rollers,Roller Cages,Roller Cage,,,0
CH55TT,Applicator Heads,17,TapeTech 55 mm Cove Applicator Head CH55TT,TapeTech 55 mm Cove Applicator Head CH55TT,TapeTech 55 mm Cove Applicator Head CH55TT TapeTech Cove Applicator Heads apply a bead of gypsum cove adhesive in precisely the right location for optimal adhes...,Automatic Taping & Finishing Tools,Applicator Heads,Cove Applicator Head,,,0
CH75TT,Applicator Heads,17,TapeTech 75 mm Cove Applicator Head CH75TT,TapeTech 75 mm Cove Applicator Head CH75TT,TapeTech 75 mm Cove Applicator Head CH75TT TapeTech Cove Applicator Heads apply a bead of gypsum cove adhesive in precisely the right location for optimal adhes...,Automatic Taping & Finishing Tools,Applicator Heads,Cove Applicator Head,,,0
CH83TT,Applicator Heads,17,TapeTech 83 mm Cove Applicator Head CH83TT,TapeTech 83 mm Cove Applicator Head CH83TT,TapeTech 83 mm Cove Applicator Head CH83TT TapeTech Cove Applicator Heads apply a bead of gypsum cove adhesive in precisely the right location for optimal adhes...,Automatic Taping & Finishing Tools,Applicator Heads,Cove Applicator Head,,,0
