status,sku,row_index,original_basename,candidate_basename,original_url,final_url,notes
updated,ASG-ANGLE-HEAD,1,asgard-angle-head-2-5-AH25-AD-1.webp,asgard-angle-head-2-5-AH25-AD-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-angle-head-2-5-AH25-AD-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-angle-head-2-5-AH25-AD-01.webp,asgard-angle-head-2-5-AH25-AD-1.webp -> asgard-angle-head-2-5-AH25-AD-01.webp
updated,ASG-ANGLE-HEAD,1,asgard-angle-head-3-AH30-AD-1.webp,asgard-angle-head-3-AH30-AD-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-angle-head-3-AH30-AD-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-angle-head-3-AH30-AD-01.webp,asgard-angle-head-3-AH30-AD-1.webp -> asgard-angle-head-3-AH30-AD-01.webp
updated,ASG-ANGLE-HEAD,1,asgard-angle-head-3-5-AH35-AD-1.webp,asgard-angle-head-3-5-AH35-AD-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-angle-head-3-5-AH35-AD-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-angle-head-3-5-AH35-AD-01.webp,asgard-angle-head-3-5-AH35-AD-1.webp -> asgard-angle-head-3-5-AH35-AD-01.webp
updated,AH25-AD,2,asgard-angle-head-2-5-AH25-AD-1.webp,asgard-angle-head-2-5-AH25-AD-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-angle-head-2-5-AH25-AD-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-angle-head-2-5-AH25-AD-01.webp,asgard-angle-head-2-5-AH25-AD-1.webp -> asgard-angle-head-2-5-AH25-AD-01.webp
updated,AH30-AD,3,asgard-angle-head-3-AH30-AD-1.webp,asgard-angle-head-3-AH30-AD-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-angle-head-3-AH30-AD-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-angle-head-3-AH30-AD-01.webp,asgard-angle-head-3-AH30-AD-1.webp -> asgard-angle-head-3-AH30-AD-01.webp
updated,AH35-AD,4,asgard-angle-head-3-5-AH35-AD-1.webp,asgard-angle-head-3-5-AH35-AD-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-angle-head-3-5-AH35-AD-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-angle-head-3-5-AH35-AD-01.webp,asgard-angle-head-3-5-AH35-AD-1.webp -> asgard-angle-head-3-5-AH35-AD-01.webp
updated,CFA-AD,5,asgard-angle-head-adapter-CFA-AD-1.webp,asgard-angle-head-adapter-CFA-AD-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-angle-head-adapter-CFA-AD-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-angle-head-adapter-CFA-AD-01.webp,asgard-angle-head-adapter-CFA-AD-1.webp -> asgard-angle-head-adapter-CFA-AD-01.webp
updated,CA08-AD,6,asgard-applicator-box-head-only-CA08-AD-1.webp,asgard-applicator-box-head-only-CA08-AD-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-applicator-box-head-only-CA08-AD-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-applicator-box-head-only-CA08-AD-01.webp,asgard-applicator-box-head-only-CA08-AD-1.webp -> asgard-applicator-box-head-only-CA08-AD-01.webp
updated,BBHE-AD,7,asgard-brakeless-box-extendable-handle-38-60-BBHE-AD-1.webp,asgard-brakeless-box-extendable-handle-38-60-BBHE-AD-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-brakeless-box-extendable-handle-38-60-BBHE-AD-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-brakeless-box-extendable-handle-38-60-BBHE-AD-01.webp,asgard-brakeless-box-extendable-handle-38-60-BBHE-AD-1.webp -> asgard-brakeless-box-extendable-handle-38-60-BBHE-AD-01.webp
updated,BBH-AD,8,asgard-brakeless-box-handle-fixed-length-34-BBH-AD-1.webp,asgard-brakeless-box-handle-fixed-length-34-BBH-AD-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-brakeless-box-handle-fixed-length-34-BBH-AD-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-brakeless-box-handle-fixed-length-34-BBH-AD-01.webp,asgard-brakeless-box-handle-fixed-length-34-BBH-AD-1.webp -> asgard-brakeless-box-handle-fixed-length-34-BBH-AD-01.webp
empty,TTBDL9,9,,,,,
updated,FBHE-AD,10,asgard-extendable-finishing-box-handle-41-63-FBHE-AD-1.webp,asgard-extendable-finishing-box-handle-41-63-FBHE-AD-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-extendable-finishing-box-handle-41-63-FBHE-AD-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-extendable-finishing-box-handle-41-63-FBHE-AD-01.webp,asgard-extendable-finishing-box-handle-41-63-FBHE-AD-1.webp -> asgard-extendable-finishing-box-handle-41-63-FBHE-AD-01.webp
updated,XH-AD,11,asgard-extension-support-handle-43-to-76-XH-AD-1.webp,asgard-extension-support-handle-43-to-76-XH-AD-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-extension-support-handle-43-to-76-XH-AD-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-extension-support-handle-43-to-76-XH-AD-01.webp,asgard-extension-support-handle-43-to-76-XH-AD-1.webp -> asgard-extension-support-handle-43-to-76-XH-AD-01.webp
updated,XH-AD,11,asgard-extension-support-handle-43-to-76-XH-AD-2.webp,asgard-extension-support-handle-43-to-76-XH-AD-02.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-extension-support-handle-43-to-76-XH-AD-2.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-extension-support-handle-43-to-76-XH-AD-02.webp,asgard-extension-support-handle-43-to-76-XH-AD-2.webp -> asgard-extension-support-handle-43-to-76-XH-AD-02.webp
updated,XH-AD,11,asgard-extension-support-handle-43-to-76-XH-AD-3.webp,asgard-extension-support-handle-43-to-76-XH-AD-03.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-extension-support-handle-43-to-76-XH-AD-3.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-extension-support-handle-43-to-76-XH-AD-03.webp,asgard-extension-support-handle-43-to-76-XH-AD-3.webp -> asgard-extension-support-handle-43-to-76-XH-AD-03.webp
updated,FH-AD,12,asgard-fiberglass-handle-43-FH-AD-1.webp,asgard-fiberglass-handle-43-FH-AD-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-fiberglass-handle-43-FH-AD-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-fiberglass-handle-43-FH-AD-01.webp,asgard-fiberglass-handle-43-FH-AD-1.webp -> asgard-fiberglass-handle-43-FH-AD-01.webp
updated,FH-AD,12,asgard-fiberglass-handle-43-FH-AD-2.webp,asgard-fiberglass-handle-43-FH-AD-02.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-fiberglass-handle-43-FH-AD-2.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/asgard-fiberglass-handle-43-FH-AD-02.webp,asgard-fiberglass-handle-43-FH-AD-2.webp -> asgard-fiberglass-handle-43-FH-AD-02.webp
