sku,slug,brand,source_image_url,status,normalized_file
10FBB,columbia-tools-10-fat-boy-flat-box-10fbb,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/InsideTrackBoxFrontSmall.png,mapped,products/Production/launch_images/normalized/columbia_tools_10fbb_01.webp
10FBB,columbia-tools-10-fat-boy-flat-box-10fbb,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/beadwheelonbox-1.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_10fbb_02.webp
10FFB,columbia-tools-10-flat-finisher-box-10ffb,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/2023flatbox.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_10ffb_01.webp
10FFB,columbia-tools-10-flat-finisher-box-10ffb,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/beadwheelonbox.jpg,missing_source_mapping,
12FBB,columbia-tools-12-fat-boy-flat-box-12fbb,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/InsideTrackBoxFrontSmall.png,mapped,products/Production/launch_images/normalized/columbia_tools_12fbb_01.webp
12FBB,columbia-tools-12-fat-boy-flat-box-12fbb,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/beadwheelonbox-1.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_12fbb_02.webp
12FFB,columbia-tools-12-flat-finisher-box-12ffb,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/2023flatbox.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_12ffb_01.webp
12FFB,columbia-tools-12-flat-finisher-box-12ffb,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/beadwheelonbox.jpg,missing_source_mapping,
14FFB,columbia-tools-14-flat-finisher-box-14ffb,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/2023flatbox.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_14ffb_01.webp
14FFB,columbia-tools-14-flat-finisher-box-14ffb,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/beadwheelonbox.jpg,missing_source_mapping,
25AH,columbia-tools-2-5-angle-head-25ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/2.5_Angle_Head_2.5CF.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_25ah_01.webp
25AH,columbia-tools-2-5-angle-head-25ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare-1.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_25ah_02.webp
25AH,columbia-tools-2-5-angle-head-25ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1-1.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_25ah_03.webp
25AH,columbia-tools-2-5-angle-head-25ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/2_Angle_Head_2CF.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_25ah_04.webp
25AH,columbia-tools-2-5-angle-head-25ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare.jpg,missing_source_mapping,
25AH,columbia-tools-2-5-angle-head-25ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1.jpg,missing_source_mapping,
25AH,columbia-tools-2-5-angle-head-25ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/3_Angle_Head_3CF.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_25ah_05.webp
25AH,columbia-tools-2-5-angle-head-25ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare-2.jpg,missing_source_mapping,
25AH,columbia-tools-2-5-angle-head-25ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1-2.jpg,missing_source_mapping,
25AH,columbia-tools-2-5-angle-head-25ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/3.5_Angle_Head_3.5CF.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_25ah_06.webp
25CSF,columbia-tools-2-5-combo-flusher-25csf,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/combo_flusher.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_25csf_01.webp
25DF,columbia-tools-2-5-direct-flusher-25df,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/2.5_Direct_Flusher_2.5DF.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_25df_01.webp
25DF,columbia-tools-2-5-direct-flusher-25df,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/Wide_Track_Direct_Flusher_3WTDF.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_25df_02.webp
25SF,columbia-tools-2-5-standard-flusher-25sf,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/3inchflusher.png,mapped,products/Production/launch_images/normalized/columbia_tools_25sf_01.webp
25SF,columbia-tools-2-5-standard-flusher-25sf,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/2.5inchflusher-e1732573761504.png,mapped,products/Production/launch_images/normalized/columbia_tools_25sf_02.webp
2AH,columbia-tools-2-angle-head-2ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/2_Angle_Head_2CF.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_2ah_01.webp
2AH,columbia-tools-2-angle-head-2ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare.jpg,missing_source_mapping,
2AH,columbia-tools-2-angle-head-2ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1.jpg,missing_source_mapping,
2AH,columbia-tools-2-angle-head-2ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/2.5_Angle_Head_2.5CF.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_2ah_02.webp
2AH,columbia-tools-2-angle-head-2ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare-1.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_2ah_03.webp
2AH,columbia-tools-2-angle-head-2ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1-1.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_2ah_04.webp
2AH,columbia-tools-2-angle-head-2ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/3_Angle_Head_3CF.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_2ah_05.webp
2AH,columbia-tools-2-angle-head-2ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare-2.jpg,missing_source_mapping,
2AH,columbia-tools-2-angle-head-2ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1-2.jpg,missing_source_mapping,
2AH,columbia-tools-2-angle-head-2ah,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/3.5_Angle_Head_3.5CF.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_2ah_06.webp
2NS,columbia-tools-2-nail-spotter-2ns,Columbia Tools,https://www.columbiatools.com/wp-content/uploads/2022/03/2023Nailspotter2inch.jpg,mapped,products/Production/launch_images/normalized/columbia_tools_2ns_01.webp
