SKU,Type,Name,prod_images,live_images,prod_basenames,live_basenames
10FBB,simple,"Columbia 10"" Fat Boy Flat Box",https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-10-fat-boy-flat-box-10fbb-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-fat-boy-flat-box-COL-FBB-01.webp,columbia-10-fat-boy-flat-box-10fbb-1.webp,columbia-fat-boy-flat-box-COL-FBB-01.webp
10FBBA,variation,"Columbia Automatic Fat Boy Finishing Box -  10""",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-10-inch-fat-boy-automatic-assist-dry-10FBBA-01.webp,,columbia-10-inch-fat-boy-automatic-assist-dry-10FBBA-01.webp
10FFB,variation,"Columbia Flat Finishing Box -  10""",https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-flat-finishing-box-5-5-5-5FFB-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-flat-finishing-box-COL-FFB-01.webp,columbia-flat-finishing-box-5-5-5-5FFB-1.webp,columbia-flat-finishing-box-COL-FFB-01.webp
10FFBA,variation,"Columbia Automatic Flat Finishing Box -  10""",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-automatic-flat-box-COL-FFBA-01.webp,,columbia-automatic-flat-box-COL-FFBA-01.webp
10ITFB,variation,"Columbia Inside Track Fat Boy Finishing Box -  10""",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-10-inch-inside-track-fat-boy-flat-bo-10ITFB-01.webp,,columbia-10-inch-inside-track-fat-boy-flat-bo-10ITFB-01.webp
12FBB,simple,"Columbia 12"" Fat Boy Flat Box",https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-12-fat-boy-flat-box-12fbb-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-12-fat-boy-flat-box-12FBB-01.webp,columbia-12-fat-boy-flat-box-12fbb-1.webp,columbia-12-fat-boy-flat-box-12FBB-01.webp
12FBBA,variation,"Columbia Automatic Fat Boy Finishing Box -  12""",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-12-fat-boy-automatic-assist-drywall-flat-box-12FBBA-01.webp,,columbia-12-fat-boy-automatic-assist-drywall-flat-box-12FBBA-01.webp
12FFB,variation,"Columbia Flat Finishing Box -  12""",https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-flat-finishing-box-5-5-5-5FFB-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-12-flat-finishing-box-12FFB-01.webp,columbia-flat-finishing-box-5-5-5-5FFB-1.webp,columbia-12-flat-finishing-box-12FFB-01.webp
12FFBA,variation,"Columbia Automatic Flat Finishing Box -  12""",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-12-automatic-flat-box-12FFBA-01.webp,,columbia-12-automatic-flat-box-12FFBA-01.webp
12ITFB,variation,"Columbia Inside Track Fat Boy Finishing Box -  12""",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-12-inch-inside-track-fat-boy-flat-bo-12ITFB-01.webp,,columbia-12-inch-inside-track-fat-boy-flat-bo-12ITFB-01.webp
14FFB,variation,"Columbia Flat Finishing Box -  14""",https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-flat-finishing-box-5-5-5-5FFB-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-14-flat-box-14FFB-01.webp,columbia-flat-finishing-box-5-5-5-5FFB-1.webp,columbia-14-flat-box-14FFB-01.webp
14FFBA,variation,"Columbia Automatic Flat Finishing Box -  14""",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-14-automatic-flat-box-14FFBA-01.webp,,columbia-14-automatic-flat-box-14FFBA-01.webp
25AH,simple,Columbia 2.5″ Anglehead,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-25-anglehead-25ah-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-5-anglehead-25AH-01.webp,columbia-25-anglehead-25ah-1.webp,columbia-2-5-anglehead-25AH-01.webp
25CSF,simple,"Columbia 2.5"" Combo Flusher",https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-25-combo-flusher-25csf-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-combo-flusher-COL-CSF-01.webp,columbia-25-combo-flusher-25csf-1.webp,columbia-combo-flusher-COL-CSF-01.webp
25DF,simple,"Columbia 2.5"" Direct Corner Flusher",https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-25-direct-corner-flusher-25df-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-direct-corner-flusher-COL-DF-01.webp,columbia-25-direct-corner-flusher-25df-1.webp,columbia-direct-corner-flusher-COL-DF-01.webp
25SF,simple,"Columbia 2.5"" Standard Corner Flusher",https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-25-standard-corner-flusher-25sf-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-standard-corner-flusher-COL-SF-01.webp,columbia-25-standard-corner-flusher-25sf-1.webp,columbia-standard-corner-flusher-COL-SF-01.webp
2AH,variation,"Columbia Angle Head -  2""",https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-angle-head-2-2AH-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-anglehead-2AH-01.webp,columbia-angle-head-2-2AH-1.webp,columbia-2-anglehead-2AH-01.webp
2NS,variation,"Columbia Nail Spotter -  2""",https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-nail-spotter-2-2NS-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-nailspotter-2NS-01.webp,columbia-nail-spotter-2-2NS-1.webp,columbia-2-nailspotter-2NS-01.webp
35AH,simple,Columbia 3.5″ Anglehead,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-35-anglehead-35ah-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-5-anglehead-35AH-01.webp,columbia-35-anglehead-35ah-1.webp,columbia-3-5-anglehead-35AH-01.webp
35CSF,simple,"Columbia 3.5"" Combo Flusher",https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-35-combo-flusher-35csf-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-5-combo-flusher-35CSF-01.webp,columbia-35-combo-flusher-35csf-1.webp,columbia-3-5-combo-flusher-35CSF-01.webp
35DF,simple,"Columbia 3.5"" Direct Corner Flusher",https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-35-direct-corner-flusher-35df-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-5-direct-corner-flusher-35DF-01.webp,columbia-35-direct-corner-flusher-35df-1.webp,columbia-3-5-direct-corner-flusher-35DF-01.webp
35SF,simple,"Columbia 3.5"" Standard Corner Flusher",https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-35-standard-corner-flusher-35sf-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-5-standard-corner-flusher-35SF-01.webp,columbia-35-standard-corner-flusher-35sf-1.webp,columbia-3-5-standard-corner-flusher-35SF-01.webp
3AH,variation,"Columbia Angle Head -  3""",https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-angle-head-3-3AH-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-anglehead-3AH-01.webp,columbia-angle-head-3-3AH-1.webp,columbia-3-anglehead-3AH-01.webp
3BBH,variation,Columbia Bent Box Handle -  3',,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-36-inch-180-grip-bent-flat-box-handl-3BBH-01.webp,,columbia-36-inch-180-grip-bent-flat-box-handl-3BBH-01.webp
3BH,variation,Columbia 180 Grip Flat Box Handle (Fixed Length) -  3',,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-flat-box-handle-COL-BH-01.webp,,columbia-180-grip-flat-box-handle-COL-BH-01.webp
3CSF,variation,"Columbia Combo Flusher -  3""",https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-combo-flusher-2-5-2-5CSF-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-combo-flusher-3CSF-01.webp,columbia-combo-flusher-2-5-2-5CSF-1.webp,columbia-3-combo-flusher-3CSF-01.webp
3DF,variation,"Columbia Direct Flusher -  3""",https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-direct-flusher-2-5-2-5DF-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-direct-corner-flusher-3DF-01.webp,columbia-direct-flusher-2-5-2-5DF-1.webp,columbia-3-direct-corner-flusher-3DF-01.webp
3NS,variation,"Columbia Nail Spotter -  3""",https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-nail-spotter-3-3NS-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-nailspotter-3NS-01.webp,columbia-nail-spotter-3-3NS-1.webp,columbia-3-nailspotter-3NS-01.webp
