product_handle,product_title,variant_title,raw_sku,clean_sku,status,file,source_url
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,FA216 - 4-40 X 3/8” Fillister Slot,08FA216,FA216,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-fa216-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA216_01_1.jpg?v=1762537118
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,"FA231 - 6-32 x 3/8"" Hex Bolt",08FA231,FA231,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-fa231-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FA231_0886d96f-5765-4955-8c4d-5ccd03617352.jpg?v=1764001194
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,FA232 - 6-32 Hex Nut,08FA232,FA232,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-fa232-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FA232_dea3bfa2-ee39-4ec4-8f76-e5b3a8333591.jpg?v=1764182285
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,FA233 - 6-32 Nyloc Nut,08FA233,FA233,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-fa233-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA233_01_1_1f91e48c-708e-4127-aa3f-b85b220ef281.jpg?v=1748023727
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,"FA238 - 6-32 X 3/16"" Fillister Slot",08FA238,FA238,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-fa238-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA238_01_1_c3eebc83-9480-4b40-9637-5c7f47125e01.jpg?v=1764001205
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,"FA239 - 6-32 X 1/4"" Binder Slot",08FA239,FA239,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-fa239-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA239_01_1_2c871d66-6bdd-4ce7-94bf-0ce9939f3762.jpg?v=1763480522
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,"FA241 - 6-32 X 3/8"" Binder Slot",08FA241,FA241,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-fa241-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA241_01_1_8d355e00-33cc-4076-b77d-09d1995f677a.jpg?v=1763480541
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,"FA247 -  6-32 X 5/8"" Hex Bolt",08FA247,FA247,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-fa247-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FA247_fc397522-5889-4841-afc4-b7e7fa13bcdd.jpg?v=1764001234
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,FA258 - 8-32X 1/4 Half Dog Set,08FA258,FA258,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-fa258-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/COL-FA258_01_1_84ace352-37ca-4c2a-b47d-c6b9db215a81.jpg?v=1746465226
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,FA268 - #10 Flat Washer,08FA268,FA268,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-fa268-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FA268_bd097418-98a3-491a-a1ab-f39a2cae3ba0.jpg?v=1764182531
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,FA271 - 10-24 Nyloc Nut,08FA271,FA271,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-fa271-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FA271_76046d4d-e0c6-433b-a01b-6f88364f6239.jpg?v=1750246297
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,FA272 - 10-24 Wing Nut,08FA272,FA272,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-fa272-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FA272.jpg?v=1764182565
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,"FA275 - 10-24 x 7/8"" Hex Bolt",08FA275,FA275,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-fa275-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FA275.jpg?v=1767895153
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,FA280 - #10 Belleville Washer,08FA280,FA280,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-fa280-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FA280_94e61fa8-242a-4e1d-8cbb-a1b88774491c.jpg?v=1767895153
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,FFB4A - Stainless Steel Washer,08FFB4A,FFB4A,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-ffb4a-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB4A.jpg?v=1767895153
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,FFB4B - Stainless Steel Backing Washer,08FFB4B,FFB4B,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-ffb4b-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB4B.jpg?v=1767895153
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,"FFB5-7 - Axle - 7""",08FFB5-7,FFB5-7,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-ffb5-7-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FFB5-7.jpg?v=1767895153
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,"FFB5-8 - Axle - 8""",08FFB5-8,FFB5-8,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-ffb5-8-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FFB5-8.jpg?v=1767895153
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,"FFB5-10 - Axle - 10""",08FFB5-10,FFB5-10,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-ffb5-10-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FFB5-10.jpg?v=1767895153
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,"FFB5-12 - Axle - 12""",08FFB5-12,FFB5-12,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-ffb5-12-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FFB5-12.jpg?v=1767895153
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,"FFB5-14 - Axle - 14""",08FFB5-14,FFB5-14,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-ffb5-14-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/files/FFB5-14.jpg?v=1767895153
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,FFB5A - Axel Bushing,08FFB5A,FFB5A,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-ffb5a-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB5A.jpg?v=1767895153
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,FFB7 - Shoe - Right,08FFB7,FFB7,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-ffb7-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB7.jpg?v=1767895153
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,FFB7A - Shoe - Left,08FFB7A,FFB7A,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-ffb7a-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB7A.jpg?v=1767895153
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,FFB8 - Bar Retainer Clip,08FFB8,FFB8,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-ffb8-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB8.jpg?v=1767895153
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,"FFB9-5.5 - Blade 5.5""",08FFB9-5.5,FFB9-5.5,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-ffb9-5-5-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB9-5.5.jpg?v=1767895153
columbia-flat-finishing-box-repair-parts,Columbia Flat Finishing Box Repair Parts,"FFB9-7 - Blade - 7""",08FFB9-7,FFB9-7,downloaded,products\scraped_results\Columbia\parts-images\columbia-columbia-flat-finishing-box-repair-parts-ffb9-7-01.webp,https://cdn.shopify.com/s/files/1/0277/6678/4139/products/FFB9-7.jpg?v=1767895153
