SKU,Type,Name,current_first_basename,suggested_first_basename,current_images
BH6,simple,Hinge Pin,columbia-hinge-pin-BH6-2.webp,columbia-hinge-pin-BH6-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-hinge-pin-BH6-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-hinge-pin-BH6-2.webp
CFB5B,simple,Cone Ball,columbia-cone-ball-CFB5B-2.webp,columbia-cone-ball-CFB5B-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-cone-ball-CFB5B-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-cone-ball-CFB5B-2.webp
CT72,simple,Cable,columbia-cable-CT72-2.webp,columbia-cable-CT72-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-cable-CT72-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-cable-CT72-2.webp
FA207,simple,4 - 40 Nyloc Nut,columbia-4-40-nyloc-nut-FA207-2.webp,columbia-4-40-nyloc-nut-FA207-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-4-40-nyloc-nut-FA207-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-4-40-nyloc-nut-FA207-2.webp
FA213,simple,"4 - 40 x 1/4"" Binder Slot",columbia-4-40-x-1-4-binder-slot-FA213-2.webp,columbia-4-40-x-1-4-binder-slot-FA213-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-4-40-x-1-4-binder-slot-FA213-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-4-40-x-1-4-binder-slot-FA213-2.webp
FA219,simple,"4 - 40 X 1/2"" Fillister Slot",columbia-4-40-x-1-2-fillister-slot-FA219-2.webp,columbia-4-40-x-1-2-fillister-slot-FA219-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-4-40-x-1-2-fillister-slot-FA219-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-4-40-x-1-2-fillister-slot-FA219-2.webp
FA228,simple,#6 Flat Washer,columbia-6-flat-washer-FA228-2.webp,columbia-6-flat-washer-FA228-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-6-flat-washer-FA228-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-6-flat-washer-FA228-2.webp
FA229,simple,#6 Lock Washer,columbia-6-lock-washer-FA229-2.webp,columbia-6-lock-washer-FA229-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-6-lock-washer-FA229-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-6-lock-washer-FA229-2.webp
FA233,simple,6 - 32 Nyloc Nut,columbia-6-32-nyloc-nut-FA233-2.webp,columbia-6-32-nyloc-nut-FA233-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-6-32-nyloc-nut-FA233-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-6-32-nyloc-nut-FA233-2.webp
FA238,simple,"6 - 32 X 3/16"" Fillister Slot",columbia-6-32-x-3-16-fillister-slot-FA238-2.webp,columbia-6-32-x-3-16-fillister-slot-FA238-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-6-32-x-3-16-fillister-slot-FA238-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-6-32-x-3-16-fillister-slot-FA238-2.webp
FA239,simple,"6 - 32 X 1/4"" Binder Slot",columbia-6-32-x-1-4-binder-slot-FA239-2.webp,columbia-6-32-x-1-4-binder-slot-FA239-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-6-32-x-1-4-binder-slot-FA239-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-6-32-x-1-4-binder-slot-FA239-2.webp
FA241,simple,"6 - 32 X 3/8"" Binder Slot",columbia-6-32-x-3-8-binder-slot-FA241-2.webp,columbia-6-32-x-3-8-binder-slot-FA241-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-6-32-x-3-8-binder-slot-FA241-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-6-32-x-3-8-binder-slot-FA241-2.webp
FA249,simple,"8 - 32 x 3/16"" Set Screw",columbia-8-32-x-3-16-set-screw-FA249-2.webp,columbia-8-32-x-3-16-set-screw-FA249-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-8-32-x-3-16-set-screw-FA249-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-8-32-x-3-16-set-screw-FA249-2.webp
FA254,simple,8 - 32 Nyloc Nut,columbia-8-32-nyloc-nut-FA254-2.webp,columbia-8-32-nyloc-nut-FA254-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-8-32-nyloc-nut-FA254-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-8-32-nyloc-nut-FA254-2.webp
FA257,simple,"8 - 32 X 1/4"" Fillister Slot",columbia-8-32-x-1-4-fillister-slot-FA257-2.webp,columbia-8-32-x-1-4-fillister-slot-FA257-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-8-32-x-1-4-fillister-slot-FA257-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-8-32-x-1-4-fillister-slot-FA257-2.webp
FA258,simple,"8 - 32 X 1/4"" Half Dog Set",columbia-8-32-x-1-4-half-dog-set-FA258-2.webp,columbia-8-32-x-1-4-half-dog-set-FA258-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-8-32-x-1-4-half-dog-set-FA258-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-8-32-x-1-4-half-dog-set-FA258-2.webp
FA260,simple,"8 - 32 x 3/8"" Pan Slot",columbia-8-32-x-3-8-pan-slot-FA260-2.webp,columbia-8-32-x-3-8-pan-slot-FA260-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-8-32-x-3-8-pan-slot-FA260-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-8-32-x-3-8-pan-slot-FA260-2.webp
FA265,simple,"8 - 32 X 3/4"" Truss Slot",columbia-8-32-x-3-4-truss-slot-FA265-2.webp,columbia-8-32-x-3-4-truss-slot-FA265-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-8-32-x-3-4-truss-slot-FA265-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-8-32-x-3-4-truss-slot-FA265-2.webp
FA271,simple,10 - 24 Nyloc Nut,columbia-10-24-nyloc-nut-FA271-2.webp,columbia-10-24-nyloc-nut-FA271-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-10-24-nyloc-nut-FA271-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-10-24-nyloc-nut-FA271-2.webp
FA311,simple,"1/4 - 28 X 1/2"" Socket Head",columbia-1-4-28-x-1-2-socket-head-FA311-2.webp,columbia-1-4-28-x-1-2-socket-head-FA311-1.webp,https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-1-4-28-x-1-2-socket-head-FA311-1.webp | https://www.drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-1-4-28-x-1-2-socket-head-FA311-2.webp
