SKU,Type,Name,suggested_basename,suggested_url,score,reason,source_relpath
AH1-2,simple,"Head Casting - 2""",columbia-head-casting-2-AH1-2-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-head-casting-2-AH1-2-1.webp,100,current_basename,products/Production/Images/columbia-head-casting-2-AH1-2-1.webp
AH1-2-5,simple,"Head Casting - 2.5""",columbia-head-casting-2-5-AH1-2-5-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-head-casting-2-5-AH1-2-5-1.webp,100,current_basename,products/Production/Images/columbia-head-casting-2-5-AH1-2-5-1.webp
AH1-3,simple,"Head Casting - 3""",columbia-head-casting-3-AH1-3-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-head-casting-3-AH1-3-1.webp,100,current_basename,products/Production/Images/columbia-head-casting-3-AH1-3-1.webp
AH1-3-5,simple,"Head Casting - 3.5""",columbia-head-casting-3-5-AH1-3-5-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-head-casting-3-5-AH1-3-5-1.webp,100,current_basename,products/Production/Images/columbia-head-casting-3-5-AH1-3-5-1.webp
AH18,simple,Socket Wear Cap,columbia-socket-wear-cap-AH18-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-socket-wear-cap-AH18-1.webp,100,current_basename,products/Production/Images/columbia-socket-wear-cap-AH18-1.webp
AH1A,simple,Spring Housing,columbia-spring-housing-AH1A-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-spring-housing-AH1A-1.webp,100,current_basename,products/Production/Images/columbia-spring-housing-AH1A-1.webp
AH1B,simple,Return Spring,columbia-return-spring-AH1B-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-return-spring-AH1B-1.webp,100,current_basename,products/Production/Images/columbia-return-spring-AH1B-1.webp
AH3-2,simple,"2"" Top Blade",columbia-2-top-blade-AH3-2-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-2-top-blade-AH3-2-1.webp,100,current_basename,products/Production/Images/columbia-2-top-blade-AH3-2-1.webp
AH3-2-5,simple,"2.5"" Top Blade",columbia-2-5-top-blade-AH3-2-5-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-2-5-top-blade-AH3-2-5-1.webp,100,current_basename,products/Production/Images/columbia-2-5-top-blade-AH3-2-5-1.webp
AH3-3,simple,"3"" Top Blade",columbia-3-top-blade-AH3-3-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-3-top-blade-AH3-3-1.webp,100,current_basename,products/Production/Images/columbia-3-top-blade-AH3-3-1.webp
AH3-3-5,simple,"3.5"" Top Blade",columbia-3-5-top-blade-AH3-3-5-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-3-5-top-blade-AH3-3-5-1.webp,100,current_basename,products/Production/Images/columbia-3-5-top-blade-AH3-3-5-1.webp
AH5,simple,Frame Retainer Clip,columbia-frame-retainer-clip-AH5-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-frame-retainer-clip-AH5-1.webp,100,current_basename,products/Production/Images/columbia-frame-retainer-clip-AH5-1.webp
AH7-2,simple,"Frame Tension Spring - 2""",columbia-frame-tension-spring-2-AH7-2-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-frame-tension-spring-2-AH7-2-1.webp,100,current_basename,products/Production/Images/columbia-frame-tension-spring-2-AH7-2-1.webp
AH7-2-5,simple,"Frame Tension Spring - 2.5""",columbia-frame-tension-spring-2-5-AH7-2-5-1.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-frame-tension-spring-2-5-AH7-2-5-1.webp,100,current_basename,products/Production/Images/columbia-frame-tension-spring-2-5-AH7-2-5-1.webp
