SKU,Type,Name,current_image_count,current_image_basenames,current_image_exists_on_disk,parts_meta_hit,parts_meta_files,classification,exact_candidate_count,exact_candidates,fuzzy_candidate_count,fuzzy_candidates
AH1-2,simple,"Head Casting - 2""",1,columbia-head-casting-2-AH1-2-1.webp,yes,yes,columbia-columbia-angle-head-repair-parts-ah1-2-01.webp,exact_or_sku_candidate,4,other::columbia-head-casting-2-5-AH1-2-5-1.webp | other::columbia-head-casting-2-AH1-2-1.webp | other::columbia-ah1-2-01.webp | other::columbia-ah1-2-5-01.webp,0,
AH1-2-5,simple,"Head Casting - 2.5""",1,columbia-head-casting-2-5-AH1-2-5-1.webp,yes,no,,exact_or_sku_candidate,2,other::columbia-head-casting-2-5-AH1-2-5-1.webp | other::columbia-ah1-2-5-01.webp,0,
AH1-3,simple,"Head Casting - 3""",1,columbia-head-casting-3-AH1-3-1.webp,yes,yes,columbia-columbia-angle-head-repair-parts-ah1-3-01.webp,exact_or_sku_candidate,4,other::columbia-head-casting-3-5-AH1-3-5-1.webp | other::columbia-head-casting-3-AH1-3-1.webp | other::columbia-ah1-3-01.webp | other::columbia-ah1-3-5-01.webp,0,
AH1-3-5,simple,"Head Casting - 3.5""",1,columbia-head-casting-3-5-AH1-3-5-1.webp,yes,no,,exact_or_sku_candidate,2,other::columbia-head-casting-3-5-AH1-3-5-1.webp | other::columbia-ah1-3-5-01.webp,0,
AH18,simple,Socket Wear Cap,1,columbia-socket-wear-cap-AH18-1.webp,yes,yes,columbia-columbia-angle-head-repair-parts-ah18-01.webp,exact_or_sku_candidate,2,other::columbia-socket-wear-cap-AH18-1.webp | other::columbia-ah18-01.webp,0,
AH1A,simple,Spring Housing,1,columbia-spring-housing-AH1A-1.webp,yes,yes,columbia-columbia-angle-head-repair-parts-ah1a-01.webp,exact_or_sku_candidate,2,other::columbia-spring-housing-AH1A-1.webp | other::columbia-ah1a-01.webp,0,
AH1B,simple,Return Spring,1,columbia-return-spring-AH1B-1.webp,yes,yes,columbia-columbia-angle-head-repair-parts-ah1b-01.webp,exact_or_sku_candidate,2,other::columbia-return-spring-AH1B-1.webp | other::columbia-ah1b-01.webp,6,other::columbia-return-spring-CT54-1.webp::2tok::0.35 | other::columbia-return-spring-CT101-1.webp::2tok::0.35 | other::columbia-return-spring-ring-CT40-1.webp::2tok::0.33 | other::columbia-return-spring-tube-CT36-1.webp::2tok::0.33 | other::columbia-clutch-return-spring-CT81-1.webp::2tok::0.32 | other::columbia-needle-return-spring-CT65-1.webp::2tok::0.32
AH3-2,simple,"2"" Top Blade",1,columbia-2-top-blade-AH3-2-1.webp,yes,yes,columbia-columbia-angle-head-repair-parts-ah3-2-01.webp,exact_or_sku_candidate,10,other::columbia-2-5-top-blade-AH3-2-5-1.webp | other::columbia-2-angle-head-carbide-blade-ah32-1.webp | other::columbia-2-top-blade-AH3-2-1.webp | other::columbia-25-angle-head-carbide-blade-ah325-1.webp | other::columbia-ah3-2-01.webp | other::columbia-ah3-2-5-01.webp | other::ah32.webp | other::ah32.webp | other::Columbia-AH32-01.webp | other::Columbia-AH325-01.webp,2,other::columbia-3-top-blade-AH3-3-1.webp::2tok::0.28 | other::columbia-3-5-top-blade-AH3-3-5-1.webp::2tok::0.27
AH3-2-5,simple,"2.5"" Top Blade",1,columbia-2-5-top-blade-AH3-2-5-1.webp,yes,no,,exact_or_sku_candidate,4,other::columbia-2-5-top-blade-AH3-2-5-1.webp | other::columbia-25-angle-head-carbide-blade-ah325-1.webp | other::columbia-ah3-2-5-01.webp | other::Columbia-AH325-01.webp,3,other::columbia-3-5-top-blade-AH3-3-5-1.webp::2tok::0.31 | other::columbia-2-top-blade-AH3-2-1.webp::2tok::0.30 | other::columbia-3-top-blade-AH3-3-1.webp::2tok::0.30
AH3-3,simple,"3"" Top Blade",1,columbia-3-top-blade-AH3-3-1.webp,yes,yes,columbia-columbia-angle-head-repair-parts-ah3-3-01.webp,exact_or_sku_candidate,8,other::columbia-3-5-top-blade-AH3-3-5-1.webp | other::columbia-3-angle-head-carbide-blade-ah33-1.webp | other::columbia-3-top-blade-AH3-3-1.webp | other::columbia-35-angle-head-carbide-blade-ah335-1.webp | other::columbia-ah3-3-01.webp | other::columbia-ah3-3-5-01.webp | other::Columbia-AH33-01.webp | other::Columbia-AH335-01.webp,2,other::columbia-2-top-blade-AH3-2-1.webp::2tok::0.28 | other::columbia-2-5-top-blade-AH3-2-5-1.webp::2tok::0.27
AH3-3-5,simple,"3.5"" Top Blade",1,columbia-3-5-top-blade-AH3-3-5-1.webp,yes,no,,exact_or_sku_candidate,4,other::columbia-3-5-top-blade-AH3-3-5-1.webp | other::columbia-35-angle-head-carbide-blade-ah335-1.webp | other::columbia-ah3-3-5-01.webp | other::Columbia-AH335-01.webp,3,other::columbia-2-5-top-blade-AH3-2-5-1.webp::2tok::0.31 | other::columbia-2-top-blade-AH3-2-1.webp::2tok::0.30 | other::columbia-3-top-blade-AH3-3-1.webp::2tok::0.30
AH5,simple,Frame Retainer Clip,1,columbia-frame-retainer-clip-AH5-1.webp,yes,yes,columbia-columbia-angle-head-repair-parts-ah5-01.webp,exact_or_sku_candidate,3,other::columbia-frame-retainer-clip-AH5-1.webp | other::platinum-pt-cah50-PT-CAH50-01.webp | other::columbia-ah5-01.webp,7,other::columbia-bar-retainer-clip-FFB8-1.webp::2tok::0.40 | other::columbia-top-retainer-corner-clip-AH8-1.webp::2tok::0.38 | other::columbia-funnel-retainer-clip-AH6A-1.webp::2tok::0.37 | other::columbia-toe-kicker-caple-retainer-clip-CT92A-1.webp::2tok::0.37 | other::columbia-bottom-retainer-corner-clip-AH9-1.webp::2tok::0.37 | other::columbia-top-retainer-corner-clip-3-5-or-all-sizes-post-2014-AH8A-1.webp::2tok::0.29 | other::columbia-bottom-retainer-corner-clip-3-5-or-all-sizes-post-2014-AH9A-1.webp::2tok::0.28
