SKU,Type,Name,current_image_basenames,parts_meta_hit,classification,best_score,best_reason,best_source,best_basename,best_relpath,top_candidates,top_live_candidates
AH1-2,simple,"Head Casting - 2""",columbia-head-casting-2-ah1-2-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-head-casting-2-AH1-2-1.webp,products/Production/Images/columbia-head-casting-2-AH1-2-1.webp,100::current_basename::production_images::columbia-head-casting-2-AH1-2-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah1-2-01.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah1-2-5-01.webp | 90::sku_compact::production_images::columbia-head-casting-2-5-AH1-2-5-1.webp | 67::name_ratio::production_images::columbia-head-casting-CR1-1.webp,100::current_basename::columbia-head-casting-2-AH1-2-1.webp | 90::sku_compact::columbia-head-casting-2-5-AH1-2-5-1.webp | 67::name_ratio::columbia-head-casting-CR1-1.webp
AH1-2-5,simple,"Head Casting - 2.5""",columbia-head-casting-2-5-ah1-2-5-1.webp,no,strong_exact,100,current_basename,production_images,columbia-head-casting-2-5-AH1-2-5-1.webp,products/Production/Images/columbia-head-casting-2-5-AH1-2-5-1.webp,100::current_basename::production_images::columbia-head-casting-2-5-AH1-2-5-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah1-2-5-01.webp | 68::name_ratio::production_images::columbia-head-casting-CR1-1.webp | 67::name_ratio::production_images::columbia-head-casting-2-AH1-2-1.webp,100::current_basename::columbia-head-casting-2-5-AH1-2-5-1.webp | 68::name_ratio::columbia-head-casting-CR1-1.webp | 67::name_ratio::columbia-head-casting-2-AH1-2-1.webp
AH1-3,simple,"Head Casting - 3""",columbia-head-casting-3-ah1-3-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-head-casting-3-AH1-3-1.webp,products/Production/Images/columbia-head-casting-3-AH1-3-1.webp,100::current_basename::production_images::columbia-head-casting-3-AH1-3-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah1-3-01.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah1-3-5-01.webp | 90::sku_compact::production_images::columbia-head-casting-3-5-AH1-3-5-1.webp | 67::name_ratio::production_images::columbia-head-casting-CR1-1.webp,100::current_basename::columbia-head-casting-3-AH1-3-1.webp | 90::sku_compact::columbia-head-casting-3-5-AH1-3-5-1.webp | 67::name_ratio::columbia-head-casting-CR1-1.webp
AH1-3-5,simple,"Head Casting - 3.5""",columbia-head-casting-3-5-ah1-3-5-1.webp,no,strong_exact,100,current_basename,production_images,columbia-head-casting-3-5-AH1-3-5-1.webp,products/Production/Images/columbia-head-casting-3-5-AH1-3-5-1.webp,100::current_basename::production_images::columbia-head-casting-3-5-AH1-3-5-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah1-3-5-01.webp | 68::name_ratio::production_images::columbia-head-casting-CR1-1.webp | 67::name_ratio::production_images::columbia-head-casting-3-AH1-3-1.webp,100::current_basename::columbia-head-casting-3-5-AH1-3-5-1.webp | 68::name_ratio::columbia-head-casting-CR1-1.webp | 67::name_ratio::columbia-head-casting-3-AH1-3-1.webp
AH18,simple,Socket Wear Cap,columbia-socket-wear-cap-ah18-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-socket-wear-cap-AH18-1.webp,products/Production/Images/columbia-socket-wear-cap-AH18-1.webp,100::current_basename::production_images::columbia-socket-wear-cap-AH18-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah18-01.webp,100::current_basename::columbia-socket-wear-cap-AH18-1.webp
AH1A,simple,Spring Housing,columbia-spring-housing-ah1a-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-spring-housing-AH1A-1.webp,products/Production/Images/columbia-spring-housing-AH1A-1.webp,100::current_basename::production_images::columbia-spring-housing-AH1A-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah1a-01.webp,100::current_basename::columbia-spring-housing-AH1A-1.webp
AH1B,simple,Return Spring,columbia-return-spring-ah1b-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-return-spring-AH1B-1.webp,products/Production/Images/columbia-return-spring-AH1B-1.webp,100::current_basename::production_images::columbia-return-spring-AH1B-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah1b-01.webp | 76::name_overlap_2::production_images::columbia-return-spring-CT101-1.webp | 76::name_overlap_2::production_images::columbia-return-spring-CT54-1.webp | 75::name_overlap_2::production_images::columbia-clutch-return-spring-CT81-1.webp,100::current_basename::columbia-return-spring-AH1B-1.webp | 76::name_overlap_2::columbia-return-spring-CT101-1.webp | 76::name_overlap_2::columbia-return-spring-CT54-1.webp | 75::name_overlap_2::columbia-clutch-return-spring-CT81-1.webp | 75::name_overlap_2::columbia-needle-return-spring-CT65-1.webp
AH3-2,simple,"2"" Top Blade",columbia-2-top-blade-ah3-2-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-2-top-blade-AH3-2-1.webp,products/Production/Images/columbia-2-top-blade-AH3-2-1.webp,100::current_basename::production_images::columbia-2-top-blade-AH3-2-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah3-2-01.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah3-2-5-01.webp | 90::sku_compact::production_images::columbia-2-5-top-blade-AH3-2-5-1.webp | 90::sku_compact::production_images::columbia-2-angle-head-carbide-blade-ah32-1.webp,100::current_basename::columbia-2-top-blade-AH3-2-1.webp | 90::sku_compact::columbia-2-5-top-blade-AH3-2-5-1.webp | 90::sku_compact::columbia-2-angle-head-carbide-blade-ah32-1.webp | 90::sku_compact::columbia-25-angle-head-carbide-blade-ah325-1.webp
AH3-2-5,simple,"2.5"" Top Blade",columbia-2-5-top-blade-ah3-2-5-1.webp,no,strong_exact,100,current_basename,production_images,columbia-2-5-top-blade-AH3-2-5-1.webp,products/Production/Images/columbia-2-5-top-blade-AH3-2-5-1.webp,100::current_basename::production_images::columbia-2-5-top-blade-AH3-2-5-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah3-2-5-01.webp | 90::sku_compact::production_images::columbia-25-angle-head-carbide-blade-ah325-1.webp | 86::sku_compact::tsw_output::Columbia-AH325-01.webp,100::current_basename::columbia-2-5-top-blade-AH3-2-5-1.webp | 90::sku_compact::columbia-25-angle-head-carbide-blade-ah325-1.webp
AH3-3,simple,"3"" Top Blade",columbia-3-top-blade-ah3-3-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-3-top-blade-AH3-3-1.webp,products/Production/Images/columbia-3-top-blade-AH3-3-1.webp,100::current_basename::production_images::columbia-3-top-blade-AH3-3-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah3-3-01.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah3-3-5-01.webp | 90::sku_compact::production_images::columbia-3-5-top-blade-AH3-3-5-1.webp | 90::sku_compact::production_images::columbia-3-angle-head-carbide-blade-ah33-1.webp,100::current_basename::columbia-3-top-blade-AH3-3-1.webp | 90::sku_compact::columbia-3-5-top-blade-AH3-3-5-1.webp | 90::sku_compact::columbia-3-angle-head-carbide-blade-ah33-1.webp | 90::sku_compact::columbia-35-angle-head-carbide-blade-ah335-1.webp
