brand,type,sku,product_name,match_type,confidence,image_path
TapeTech,variation,AT131,TapeTech Compound Tube,name_slug,1.0,products\scraped_results\fresh_images\tapetech\tapetech-compound-tube-filler-adapter\tapetech-compound-tube-filler-adapter-01.webp
TapeTech,variation,AT132,TapeTech Compound Tube,name_slug,1.0,products\scraped_results\fresh_images\tapetech\tapetech-compound-tube-filler-adapter\tapetech-compound-tube-filler-adapter-01.webp
TapeTech,variation,AT133,TapeTech Compound Tube,name_slug,1.0,products\scraped_results\fresh_images\tapetech\tapetech-compound-tube-filler-adapter\tapetech-compound-tube-filler-adapter-01.webp
TapeTech,simple,BH,TapeTech Brakeless Box Handle - Fixed Length,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-handle-bh\tapetech-handle-bh-01.webp
TapeTech,simple,BHE,TapeTech Brakeless Box Handle - Extendable,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-handle-bhe\tapetech-handle-bhe-01.webp
TapeTech,variation,CK06CSTT,TapeTech Premium Specialty Knife,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-jointknife-ck06cstt\tapetech-jointknife-ck06cstt-01.webp
TapeTech,simple,CROLL02,"TapeTech 2"" Premium Inside Corner Compound Roller with Frame",sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-compoundroller-croll02\tapetech-compoundroller-croll02-01.webp
TapeTech,variation,CROLL04,TapeTech Premium Drywall Compound Roller (Cover Only),sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-compoundroller-croll04cg\tapetech-compoundroller-croll04cg-01.webp
TapeTech,variation,CROLL09,TapeTech Premium Drywall Compound Roller (Cover Only),sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-compoundroller-croll09cg\tapetech-compoundroller-croll09cg-01.webp
TapeTech,variation,CROLL12,TapeTech Premium Drywall Compound Roller (Cover Only),sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-compoundroller-croll12cg\tapetech-compoundroller-croll12cg-01.webp
TapeTech,simple,CROLLHAN2,"TapeTech Compound Roller Support Handle 44"" - 79"" (2m)",sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-supporthandle-crollhan2\tapetech-supporthandle-crollhan2-01.webp
TapeTech,variable,CT-TT,TapeTech Compound Tube,name_slug,1.0,products\scraped_results\fresh_images\tapetech\tapetech-compound-tube-filler-adapter\tapetech-compound-tube-filler-adapter-01.webp
TapeTech,variation,JK01SSTT,TapeTech Premium Stainless Steel Joint Knife,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-jointknife-jk01sstt\tapetech-jointknife-jk01sstt-01.webp
TapeTech,variation,JK02SSTT,TapeTech Premium Stainless Steel Joint Knife,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-jointknife-jk02sstt\tapetech-jointknife-jk02sstt-01.webp
TapeTech,variation,JK03SSTT,TapeTech Premium Stainless Steel Joint Knife,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-jointknife-jk03sstt\tapetech-jointknife-jk03sstt-01.webp
TapeTech,variation,JK04CSTT,TapeTech Premium Carbon Steel Joint Knife,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-jointknife-jk04cstt\tapetech-jointknife-jk04cstt-01.webp
TapeTech,variation,JK04SSTT,TapeTech Premium Stainless Steel Joint Knife,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-jointknife-jk04sstt\tapetech-jointknife-jk04sstt-01.webp
TapeTech,variation,JK05CSTT,TapeTech Premium Carbon Steel Joint Knife,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-jointknife-jk05cstt\tapetech-jointknife-jk05cstt-01.webp
TapeTech,variation,JK05SSTT,TapeTech Premium Stainless Steel Joint Knife,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-jointknife-jk05sstt\tapetech-jointknife-jk05sstt-01.webp
TapeTech,variation,JK06CSTT,TapeTech Premium Carbon Steel Joint Knife,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-jointknife-jk06cstt\tapetech-jointknife-jk06cstt-01.webp
TapeTech,variation,JK06SSTT,TapeTech Premium Stainless Steel Joint Knife,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-jointknife-jk06sstt\tapetech-jointknife-jk06sstt-01.webp
TapeTech,variation,MP12TT,TapeTech Stainless Steel Mud Pan,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-mudpan-mp12tt\tapetech-mudpan-mp12tt-01.webp
TapeTech,variation,MP14TT,TapeTech Stainless Steel Mud Pan,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-mudpan-mp14tt\tapetech-mudpan-mp14tt-01.webp
TapeTech,simple,MR01TT,TapeTech MudRunner® Pro,name_slug,1.0,products\scraped_results\fresh_images\tapetech\tapetech-mudrunner-pro\tapetech-mudrunner-pro-01.webp
TapeTech,simple,MRX01TT,TapeTech MudRunner® Pro Extension,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-extension-mrx01tt\tapetech-extension-mrx01tt-01.webp
TapeTech,simple,PFKHATT,TapeTech Finishing Knife Handle Adapter,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-exhandle-pfkhatt\tapetech-exhandle-pfkhatt-01.webp
TapeTech,simple,PIPEZROLL-KIT,TapeTech EasyRoll® Wheel Kit,name_slug,1.0,products\scraped_results\fresh_images\tapetech\tapetech-easyroll-wheel-kit-14533\tapetech-easyroll-wheel-kit-14533-01.webp
TapeTech,variation,PK35CSTT,TapeTech Premium Specialty Knife,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-pointingknife-pk35cstt\tapetech-pointingknife-pk35cstt-01.webp
TapeTech,variation,TK08BSTT,TapeTech Premium Blue Steel Taping Knife,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-tapingknife-tk08bstt\tapetech-tapingknife-tk08bstt-01.webp
TapeTech,variation,TK08SSTT,TapeTech Premium Stainless Steel Taping Knife,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-tapingknife-tk08sstt\tapetech-tapingknife-tk08sstt-01.webp
TapeTech,variation,TK10BSTT,TapeTech Premium Blue Steel Taping Knife,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-tapingknife-tk10bstt\tapetech-tapingknife-tk10bstt-01.webp
TapeTech,variation,TK10SSTT,TapeTech Premium Stainless Steel Taping Knife,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-tapingknife-tk10sstt\tapetech-tapingknife-tk10sstt-01.webp
TapeTech,variation,TK12BSTT,TapeTech Premium Blue Steel Taping Knife,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-tapingknife-tk12bstt\tapetech-tapingknife-tk12bstt-01.webp
TapeTech,variation,TK12SSTT,TapeTech Premium Stainless Steel Taping Knife,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-tapingknife-tk12sstt\tapetech-tapingknife-tk12sstt-01.webp
TapeTech,variation,TK14BSTT,TapeTech Premium Blue Steel Taping Knife,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-tapingknife-tk14bstt\tapetech-tapingknife-tk14bstt-01.webp
TapeTech,variation,TK14SSTT,TapeTech Premium Stainless Steel Taping Knife,sku_exact,1.0,products\scraped_results\fresh_images\tapetech\tapetech-tapingknife-tk14sstt\tapetech-tapingknife-tk14sstt-01.webp
