status,reason,source_path,source_name,target_path,target_name
planned,final single-digit suffix zero-padded,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-angle-head-2-5-AH25-AD-1.webp,asgard-angle-head-2-5-AH25-AD-1.webp,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-angle-head-2-5-AH25-AD-01.webp,asgard-angle-head-2-5-AH25-AD-01.webp
planned,final single-digit suffix zero-padded,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-angle-head-3-5-AH35-AD-1.webp,asgard-angle-head-3-5-AH35-AD-1.webp,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-angle-head-3-5-AH35-AD-01.webp,asgard-angle-head-3-5-AH35-AD-01.webp
planned,final single-digit suffix zero-padded,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-angle-head-3-AH30-AD-1.webp,asgard-angle-head-3-AH30-AD-1.webp,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-angle-head-3-AH30-AD-01.webp,asgard-angle-head-3-AH30-AD-01.webp
planned,final single-digit suffix zero-padded,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-angle-head-adapter-CFA-AD-1.webp,asgard-angle-head-adapter-CFA-AD-1.webp,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-angle-head-adapter-CFA-AD-01.webp,asgard-angle-head-adapter-CFA-AD-01.webp
planned,final single-digit suffix zero-padded,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-applicator-box-head-only-CA08-AD-1.webp,asgard-applicator-box-head-only-CA08-AD-1.webp,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-applicator-box-head-only-CA08-AD-01.webp,asgard-applicator-box-head-only-CA08-AD-01.webp
planned,final single-digit suffix zero-padded,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-brakeless-box-extendable-handle-38-60-BBHE-AD-1.webp,asgard-brakeless-box-extendable-handle-38-60-BBHE-AD-1.webp,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-brakeless-box-extendable-handle-38-60-BBHE-AD-01.webp,asgard-brakeless-box-extendable-handle-38-60-BBHE-AD-01.webp
planned,final single-digit suffix zero-padded,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-brakeless-box-handle-fixed-length-34-BBH-AD-1.webp,asgard-brakeless-box-handle-fixed-length-34-BBH-AD-1.webp,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-brakeless-box-handle-fixed-length-34-BBH-AD-01.webp,asgard-brakeless-box-handle-fixed-length-34-BBH-AD-01.webp
planned,final single-digit suffix zero-padded,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-extendable-finishing-box-handle-41-63-FBHE-AD-1.webp,asgard-extendable-finishing-box-handle-41-63-FBHE-AD-1.webp,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-extendable-finishing-box-handle-41-63-FBHE-AD-01.webp,asgard-extendable-finishing-box-handle-41-63-FBHE-AD-01.webp
planned,final single-digit suffix zero-padded,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-extension-support-handle-43-to-76-XH-AD-1.webp,asgard-extension-support-handle-43-to-76-XH-AD-1.webp,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-extension-support-handle-43-to-76-XH-AD-01.webp,asgard-extension-support-handle-43-to-76-XH-AD-01.webp
planned,final single-digit suffix zero-padded,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-extension-support-handle-43-to-76-XH-AD-2.webp,asgard-extension-support-handle-43-to-76-XH-AD-2.webp,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-extension-support-handle-43-to-76-XH-AD-02.webp,asgard-extension-support-handle-43-to-76-XH-AD-02.webp
planned,final single-digit suffix zero-padded,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-extension-support-handle-43-to-76-XH-AD-3.webp,asgard-extension-support-handle-43-to-76-XH-AD-3.webp,D:\AMD\projects\drywall-toolbox\products\Production\Images\asgard-extension-support-handle-43-to-76-XH-AD-03.webp,asgard-extension-support-handle-43-to-76-XH-AD-03.webp
