brand,type,sku,product_name,total_images,wp_count,fresh_count,match_source,wp_images,fresh_images
Columbia,simple,TT,Columbia Throttle Tube,879,768,111,wp-images+fresh_images,products\scraped_results\wp-images\asgard-ag68a-asgard-nail-spotter-NS03-AD-01.webp | products\scraped_results\wp-images\columbia-2-nailspotter-2NS-01.webp | products\scraped_results\wp-images\columbia-3-nailspotter-3NS-01.webp | products\scraped_results\wp-images\columbia-7-throttle-box-7CFB-01.webp | products\scraped_results\wp-images\columbia-7-throttle-box-7CFB-02.webp | products\scraped_results\wp-images\columbia-7-throttle-box-7CFB-03.webp | products\scraped_results\wp-images\columbia-8-throttle-box-8CFB-01.webp | products\scraped_results\wp-images\columbia-8-throttle-box-8CFB-02.webp | products\scraped_results\wp-images\columbia-8-throttle-box-8CFB-03.webp | products\scraped_results\wp-images\columbia-removable-cover-plate-attachment-block-CT34R-01.webp,products\scraped_results\fresh_images\asgard\asgard-nailspotter-ns03ad\asgard-nailspotter-ns03ad-01.webp | products\scraped_results\fresh_images\graco\tapetech\tapetech-2-nail-spotter-w-x1-ext-handle\graco-2-nail-spotter-w-x1-ext-handle-tapetech-01.webp | products\scraped_results\fresh_images\graco\tapetech\tapetech-2in-nail-spotter-head\graco-2in-nail-spotter-head-tapetech-03.webp | products\scraped_results\fresh_images\graco\tapetech\tapetech-3in-nail-spotter-head\graco-3in-nail-spotter-head-tapetech-01.webp | products\scraped_results\fresh_images\graco\tapetech\tapetech-adapter-pfkhatt\graco-adapter-pfkhatt-tapetech-01.webp
Columbia,simple,CR,Columbia Inside Corner Roller (CR),414,303,111,wp-images+fresh_images,products\scraped_results\wp-images\asgard-ag15-asgard-corner-roller-with-fixed-handle-CR01-AD-FH-AD-01.webp | products\scraped_results\wp-images\asgard-ag15a-asgard-inside-corner-roller-head-CR01-AD-01.webp | products\scraped_results\wp-images\asgard-ag15ext-asgard-corner-roller-with-extendable-handle-CR01-AD-XH-AD-01.webp | products\scraped_results\wp-images\columbia-1-4-20-x-3-8-socket-hd-screw-FA294-01.webp | products\scraped_results\wp-images\columbia-1-4-28-x-1-4-set-screw-FA302-01.webp | products\scraped_results\wp-images\columbia-10-24-x-1-4-set-screw-FA312-01.webp | products\scraped_results\wp-images\columbia-10-24-x-3-8-socket-hd-screw-FA274-01.webp | products\scraped_results\wp-images\columbia-10-24-x-7-8-pan-head-screw-FA276-01.webp | products\scraped_results\wp-images\columbia-4-40-x-3-4-bind-head-screw-FA220-01.webp | products\scraped_results\wp-images\columbia-5-40-x-3-8-bind-head-screw-FA222-01.webp,products\scraped_results\fresh_images\asgard\asgard-cornerroller-cr01ad\asgard-cornerroller-cr01ad-01.webp | products\scraped_results\fresh_images\tapetech\050070-creaser-wheel-axle\tapetech-creaser-wheel-axle-050070-01.webp | products\scraped_results\fresh_images\tapetech\050079-creaser-crank\tapetech-creaser-crank-050079-01.webp | products\scraped_results\fresh_images\tapetech\050080-screw-block\tapetech-screw-block-050080-01.webp | products\scraped_results\fresh_images\tapetech\050081-creaser-return-spring\tapetech-creaser-return-spring-050081-01.webp
Columbia,simple,TAPER,Columbia Automatic Taper (TAPER),223,189,34,wp-images+fresh_images,products\scraped_results\wp-images\asgard-ag05-asgard-the-hammer-automatic-taper-AT01-AD-01.webp | products\scraped_results\wp-images\columbia-automatic-taper-TAPER-01.webp | products\scraped_results\wp-images\columbia-automatic-taper-TAPER-02.webp | products\scraped_results\wp-images\columbia-automatic-taper-TAPER-03.webp | products\scraped_results\wp-images\columbia-automatic-taper-TAPER-04.webp | products\scraped_results\wp-images\columbia-automatic-taper-TAPER-05.webp | products\scraped_results\wp-images\columbia-automatic-taper-TAPER-06.webp | products\scraped_results\wp-images\columbia-one-predator-taper-PTAPER-01.webp | products\scraped_results\wp-images\columbia-one-predator-taper-PTAPER-02.webp | products\scraped_results\wp-images\columbia-one-predator-taper-PTAPER-03.webp,products\scraped_results\fresh_images\asgard\asgard-automatictaper-at01ad\asgard-automatictaper-at01ad-01.webp | products\scraped_results\fresh_images\graco\tapetech\tapetech-automatic-taper-extension-atx01tt\graco-automatic-taper-extension-atx01tt-tapetech-01.webp | products\scraped_results\fresh_images\graco\tapetech\tapetech-carbon-fiber-taper-14767\graco-carbon-fiber-taper-14767-tapetech-01.webp | products\scraped_results\fresh_images\tapetech\050093-taper-wheel\tapetech-taper-wheel-050093-01.webp | products\scraped_results\fresh_images\tapetech\050094-taper-wheel-spool\tapetech-taper-wheel-spool-050094-01.webp
TapeTech,variation,PIP501C10,TapeTech Flat Box Repair Kit,187,169,18,wp-images+fresh_images,products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-01.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-02.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-03.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-04.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-06.webp | products\scraped_results\wp-images\tapetech-10-flat-box-repair-kit-501c10-TapeTech10inFlatBoxRepairKit501C10-01.webp | products\scraped_results\wp-images\tapetech-10-flat-box-wiper-250026F-01.webp | products\scraped_results\wp-images\tapetech-10-flat-box-wiper-250026F-02.webp | products\scraped_results\wp-images\tapetech-10-in-replacement-flat-box-axle-for-250045-tapetech-10-in-replacement-flat--01.webp | products\scraped_results\wp-images\tapetech-10-in-replacement-flat-box-axle-for-250045-tapetech-10-in-replacement-flat--02.webp,products\scraped_results\fresh_images\graco\tapetech\tt8000pa-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes\graco-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes-tt8000pa-01.webp | products\scraped_results\fresh_images\graco\tapetech\tt8000pa-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes\graco-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes-tt8000pa-04.webp | products\scraped_results\fresh_images\tapetech\10in-flat-box-axle-70356\tapetech-flat-box-axle-70356-10in-01.webp | products\scraped_results\fresh_images\tapetech\12in-flat-box-wiper-seal\tapetech-flat-box-wiper-seal-12in-01.webp | products\scraped_results\fresh_images\tapetech\210060-tapetech-flat-box-pivot-bearing\tapetech-flat-box-pivot-bearing-210060-01.webp
TapeTech,variation,PIP501C12,TapeTech Flat Box Repair Kit,187,169,18,wp-images+fresh_images,products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-01.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-02.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-03.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-04.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-06.webp | products\scraped_results\wp-images\tapetech-10-flat-box-repair-kit-501c10-TapeTech10inFlatBoxRepairKit501C10-01.webp | products\scraped_results\wp-images\tapetech-10-flat-box-wiper-250026F-01.webp | products\scraped_results\wp-images\tapetech-10-flat-box-wiper-250026F-02.webp | products\scraped_results\wp-images\tapetech-10-in-replacement-flat-box-axle-for-250045-tapetech-10-in-replacement-flat--01.webp | products\scraped_results\wp-images\tapetech-10-in-replacement-flat-box-axle-for-250045-tapetech-10-in-replacement-flat--02.webp,products\scraped_results\fresh_images\graco\tapetech\tt8000pa-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes\graco-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes-tt8000pa-01.webp | products\scraped_results\fresh_images\graco\tapetech\tt8000pa-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes\graco-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes-tt8000pa-04.webp | products\scraped_results\fresh_images\tapetech\10in-flat-box-axle-70356\tapetech-flat-box-axle-70356-10in-01.webp | products\scraped_results\fresh_images\tapetech\12in-flat-box-wiper-seal\tapetech-flat-box-wiper-seal-12in-01.webp | products\scraped_results\fresh_images\tapetech\210060-tapetech-flat-box-pivot-bearing\tapetech-flat-box-pivot-bearing-210060-01.webp
TapeTech,variation,PIP501C7,TapeTech Flat Box Repair Kit,187,169,18,wp-images+fresh_images,products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-01.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-02.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-03.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-04.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-06.webp | products\scraped_results\wp-images\tapetech-10-flat-box-repair-kit-501c10-TapeTech10inFlatBoxRepairKit501C10-01.webp | products\scraped_results\wp-images\tapetech-10-flat-box-wiper-250026F-01.webp | products\scraped_results\wp-images\tapetech-10-flat-box-wiper-250026F-02.webp | products\scraped_results\wp-images\tapetech-10-in-replacement-flat-box-axle-for-250045-tapetech-10-in-replacement-flat--01.webp | products\scraped_results\wp-images\tapetech-10-in-replacement-flat-box-axle-for-250045-tapetech-10-in-replacement-flat--02.webp,products\scraped_results\fresh_images\graco\tapetech\tt8000pa-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes\graco-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes-tt8000pa-01.webp | products\scraped_results\fresh_images\graco\tapetech\tt8000pa-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes\graco-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes-tt8000pa-04.webp | products\scraped_results\fresh_images\tapetech\10in-flat-box-axle-70356\tapetech-flat-box-axle-70356-10in-01.webp | products\scraped_results\fresh_images\tapetech\12in-flat-box-wiper-seal\tapetech-flat-box-wiper-seal-12in-01.webp | products\scraped_results\fresh_images\tapetech\210060-tapetech-flat-box-pivot-bearing\tapetech-flat-box-pivot-bearing-210060-01.webp
TapeTech,variable,TT-FLAT-BOX-REPAIR-KIT,TapeTech Flat Box Repair Kit,187,169,18,wp-images+fresh_images,products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-01.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-02.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-03.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-04.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-06.webp | products\scraped_results\wp-images\tapetech-10-flat-box-repair-kit-501c10-TapeTech10inFlatBoxRepairKit501C10-01.webp | products\scraped_results\wp-images\tapetech-10-flat-box-wiper-250026F-01.webp | products\scraped_results\wp-images\tapetech-10-flat-box-wiper-250026F-02.webp | products\scraped_results\wp-images\tapetech-10-in-replacement-flat-box-axle-for-250045-tapetech-10-in-replacement-flat--01.webp | products\scraped_results\wp-images\tapetech-10-in-replacement-flat-box-axle-for-250045-tapetech-10-in-replacement-flat--02.webp,products\scraped_results\fresh_images\graco\tapetech\tt8000pa-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes\graco-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes-tt8000pa-01.webp | products\scraped_results\fresh_images\graco\tapetech\tt8000pa-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes\graco-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes-tt8000pa-04.webp | products\scraped_results\fresh_images\tapetech\10in-flat-box-axle-70356\tapetech-flat-box-axle-70356-10in-01.webp | products\scraped_results\fresh_images\tapetech\12in-flat-box-wiper-seal\tapetech-flat-box-wiper-seal-12in-01.webp | products\scraped_results\fresh_images\tapetech\210060-tapetech-flat-box-pivot-bearing\tapetech-flat-box-pivot-bearing-210060-01.webp
TapeTech,simple,TTBDL8,TapeTech Flat Box Combo Set,185,166,19,wp-images+fresh_images,products\scraped_results\wp-images\asgard-10-12-flat-box-combo-AGFLATEXT-01.webp | products\scraped_results\wp-images\asgard-10-12-maxx-boxx-flat-box-combo-AGFLATMAXEXT-01.webp | products\scraped_results\wp-images\asgard-10-12-power-assist-flat-box-combo-AGFLATPAEXT-01.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-01.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-02.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-03.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-04.webp | products\scraped_results\wp-images\tapetech-10-continuous-flow-flat-box-cf10h-media-06.webp | products\scraped_results\wp-images\tapetech-10-flat-box-repair-kit-501c10-TapeTech10inFlatBoxRepairKit501C10-01.webp | products\scraped_results\wp-images\tapetech-10-flat-box-wiper-250026F-01.webp,products\scraped_results\fresh_images\graco\tapetech\tt8000pa-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes\graco-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes-tt8000pa-01.webp | products\scraped_results\fresh_images\graco\tapetech\tt8000pa-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes\graco-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes-tt8000pa-04.webp | products\scraped_results\fresh_images\tapetech\10in-flat-box-axle-70356\tapetech-flat-box-axle-70356-10in-01.webp | products\scraped_results\fresh_images\tapetech\12in-flat-box-wiper-seal\tapetech-flat-box-wiper-seal-12in-01.webp | products\scraped_results\fresh_images\tapetech\199010-tapetech-xtender-handle-flat-set-screw\tapetech-xtender-handle-flat-set-screw-199010-01.webp
TapeTech,simple,BHE,TapeTech Brakeless Box Handle - Extendable,146,130,16,wp-images+fresh_images,products\scraped_results\wp-images\asgard-ag35ext-asgard-angle-box-with-extendable-handle-CA08-AD-XH-AD-01.webp | products\scraped_results\wp-images\asgard-ag88-asgard-finishing-box-handle-extendable-FBHE-AD-01.webp | products\scraped_results\wp-images\asgard-brakeless-box-handle-BBH-AD-01.webp | products\scraped_results\wp-images\asgard-brakeless-box-handle-extendable-BBHE-AD-01.webp | products\scraped_results\wp-images\tapetech-2-nail-spotter-w-extendable-handle-tt63ext-media-01.webp | products\scraped_results\wp-images\tapetech-3-nail-spotter-w-extendable-handle-tt68ext-media-01.webp | products\scraped_results\wp-images\tapetech-34-continuous-flow-flat-box-handle-cfs8034tt-media-01.webp | products\scraped_results\wp-images\tapetech-34-easy-finish-bent-flat-box-handle-8134TT-01.webp | products\scraped_results\wp-images\tapetech-34-easy-finish-bent-flat-box-handle-8134TT-02.webp | products\scraped_results\wp-images\tapetech-34-easy-finish-bent-flat-box-handle-8134TT-03.webp,products\scraped_results\fresh_images\asgard\asgard-flatboxhandle-bbhead\asgard-flatboxhandle-bbhead-01.webp | products\scraped_results\fresh_images\asgard\asgard-flatboxhandle-fbhead\asgard-flatboxhandle-fbhead-01.webp | products\scraped_results\fresh_images\graco\tapetech\tapetech-7-angle-box-w-extendable-handle\graco-7-angle-box-w-extendable-handle-tapetech-01.webp | products\scraped_results\fresh_images\graco\tapetech\tapetech-8-angle-box-w-extendable-handle\graco-8-angle-box-w-extendable-handle-tapetech-01.webp | products\scraped_results\fresh_images\graco\tapetech\tapetech-angle-box-handle-caa\graco-angle-box-handle-caa-tapetech-01.webp
TapeTech,variation,AT130,TapeTech Wizard® Finishing Box Handle,145,137,8,wp-images+fresh_images,products\scraped_results\wp-images\asgard-ag88-asgard-finishing-box-handle-extendable-FBHE-AD-01.webp | products\scraped_results\wp-images\tapetech-10-12-finishing-set-with-1-fhtt-handle-TTFFS-01.webp | products\scraped_results\wp-images\tapetech-12-14-24-premium-finishing-knives-w-support-handle-adapter-tapetech-12-14-24-premium-finish-01.webp | products\scraped_results\wp-images\tapetech-12-24-32-finishing-knives-w-support-handle-adapter-tapetech-12-24-32-finishing-kniv-01.webp | products\scraped_results\wp-images\tapetech-24-finishing-knife-and-12-compound-roller-set-w-support-handle-adapter-tapetech-24-finishing-knife-and--01.webp | products\scraped_results\wp-images\tapetech-24-premium-finishing-knife-and-9-compound-roller-set-w-support-handle-adapter-tapetech-24-premium-finishing-kn-01.webp | products\scraped_results\wp-images\tapetech-24-premium-finishing-knife-w-support-handle-adapter-tapetech-24-premium-finishing-kn-01.webp | products\scraped_results\wp-images\tapetech-32-finishing-knife-and-12-compound-roller-set-w-support-handle-adapter-tapetech-32-finishing-knife-and--01.webp | products\scraped_results\wp-images\tapetech-32-premium-finishing-knife-and-9-compound-roller-kit-w-support-handle-adapter-tapetech-32-premium-finishing-kn-01.webp | products\scraped_results\wp-images\tapetech-32-premium-finishing-knife-w-support-handle-adapter-tapetech-32-premium-finishing-kn-01.webp,products\scraped_results\fresh_images\graco\tapetech\tapetech-7-angle-box-w-extendable-handle\graco-7-angle-box-w-extendable-handle-tapetech-01.webp | products\scraped_results\fresh_images\graco\tapetech\tapetech-8-angle-box-w-extendable-handle\graco-8-angle-box-w-extendable-handle-tapetech-01.webp | products\scraped_results\fresh_images\graco\tapetech\tapetech-angle-box-handle-caa\graco-angle-box-handle-caa-tapetech-01.webp | products\scraped_results\fresh_images\graco\tapetech\tt8000pa-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes\graco-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes-tt8000pa-01.webp | products\scraped_results\fresh_images\graco\tapetech\tt8000pa-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes\graco-tapetech-wizard-compact-flat-box-handle-for-power-assist-boxes-tt8000pa-04.webp
