"Brand","Type","SKU","Parent SKU","Name","Categories","Images"
"Asgard","simple","TTBDL9","","Asgard Classic Finishing Set","Drywall Finishing Tools > Asgard > Tool Sets & Kits",""
"Columbia","simple","AB1","","Automatic Box Handle Body (AB1)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AB3A-LEFT","","Automatic Box End Plate Left (AB3A LEFT)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AB3A-RIGHT","","Automatic Box End Plate Right (AB3A RIGHT)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AB40","","Automatic Box Air Valve Seat (AB40)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AB41","","Automatic Box Air Valve Stem (AB41)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AB42","","Automatic Box Air Valve Body (AB42)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AB43","","Automatic Box Throttle Housing (AB43)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AB44","","Automatic Box Clutch Spring (AB44)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AB44A","","Automatic Box Clutch Spring Short (AB44A)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AB44B","","Automatic Box Clutch Spring Long (AB44B)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AB45","","Automatic Box Throttle Set Screw (AB45)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AB46","","Automatic Box Throttle Pin (AB46)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AB47","","Automatic Box Thumb Valve (AB47)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AB48","","Automatic Box Air Valve O - Ring (AB48)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AB49","","Automatic Box Handle Mount (AB49)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AB50","","Automatic Box Pressure Spring (AB50)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AB51","","Automatic Box Release Clip (AB51)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AB52","","Automatic Box Thumb Valve Seat (AB52)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AB54","","Automatic Box Air Valve Assembly (AB54)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AH-11","","Return Spring Post Angle Head (AH11)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AH-15","","Handle Ball (AH15)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","AH-16","","Retaining Spring Backer (AH16)","Drywall Finishing Tools > Columbia > Parts",""
