"mpn","name","pdp_url","brand","category_path","price","price_formatted","in_stock","item_type","internalid","extraction_status","extraction_error"
"TTFBC","TapeTech  7in & 10in Flat Box Combo TTFBC","https://www.shopamestools.com/TapeTech-Flat-Box-Combo-TTFBC_2","","","1480","$1,480.00","True","","15895","ok",
"TTFINISH7/10","Tape Tech Taping Tools Drywall Finishing Set","https://www.shopamestools.com/Tape-Tech-Taping-Tools-Drywall-Finishing-Set2","","","2654","$2,654.00","True","","15897","ok",
"TTFULL7/10","TapeTech Basic Full Set with 7in and 10in Boxes","https://www.shopamestools.com/TapeTech-Configured-Basic-Tool-Set_2","","","4358","$4,358.00","True","","15898","ok",
"TTJUMBO7/10","TapeTech Basic Jumbo Set with 7in and 10in Boxes","https://www.shopamestools.com/TapeTech-Basic-Jumbo-Set_2","","","6065","$6,065.00","True","","15899","ok",
"TTBBS","TapeTech Basic Box Set TTBBS","https://www.shopamestools.com/TapeTech-Drywall-Box-Set-TTBBS","","","1644","$1,644.00","True","","11728","ok",
"TTFBC","TapeTech Flat Box Combo TTFBC","https://www.shopamestools.com/TapeTech-Flat-Box-Combo-TTFBC","","","1480","$1,480.00","True","","14315","ok",
"TTCFS","TapeTech Corner Finishing Set TTCFS","https://www.shopamestools.com/TapeTech-Corner-Finishing-Set-TTCFS","","","1416","$1,416.00","True","","14316","ok",
"TTSFS","TapeTech Standard Full Set TTSFS","https://www.shopamestools.com/TapeTech-Standard-Full-Set","","","4958","$4,958.00","True","","14142","ok",
"TTPSS","TapeTech Professional Starter Set TTPSS","https://www.shopamestools.com/TapeTech-Professional-Starter-Set","","","4559","$4,559.00","True","","14140","ok",
"TTSFS-2","TapeTech Standard Full Set with 2 Pumps TTSFS-2","https://www.shopamestools.com/TapeTech-Standard-Full-Drywall-Tool-Set-w-two-Pumps","","","5357","$5,357.00","True","","14319","ok",
"TTPPS-EF","TapeTech Pro Performance Easy Finish Set TTPPS-EF","https://www.shopamestools.com/TapeTech-Pro-Performance-Easy-Finish-Set-TTPPSEF","","","7295","$7,295.00","True","","14322","ok",
"TTPPS","TapeTech Pro Performance Set TTPPS","https://www.shopamestools.com/TapeTech-Pro-Performance-Tool-Set","","","6625","$6,625.00","True","","14141","ok",
"TTBTS","TapeTech Basic Taping Set TTBTS","https://www.shopamestools.com/TapeTech-TapingSet-TTBTS","","","2829","$2,829.00","True","","22584","ok",
"TTPFB","TapeTech Paper Faced Bead Pro Set TTPFB","https://www.shopamestools.com/TapeTech-BeadProSet-TTPFB","","","1949","$1,949.00","True","","22587","ok",
"TTFTFS","TapeTech Value Full Drywall Taping & Finishing Set","https://www.shopamestools.com/TapeTech-Value-Full-Set","","","4260","$4,260.00","True","","21098","ok",
"TTFFS","TapeTech Value Drywall Finishing Set","https://www.shopamestools.com/TapeTech-Value-Finishing-Set","","","2556","$2,556.00","True","","21099","ok",
"TTFULL2SET","TapeTech Full Set X2 Contractors Pack","https://www.shopamestools.com/TapeTech-Full-Set-X2-Contractors-Pack","","","8756","$8,756.00","True","","21312","ok",
"TTFULL10/12","TapeTech Basic Full Set with 10in and 12in Boxes","https://www.shopamestools.com/TapeTech-Configured-Basic-Tool-Set","","","4378","$4,378.00","True","","15526","ok",
"TTJUMBOO10/12","TapeTech Basic Jumbo Set with 10in and 12in Boxes","https://www.shopamestools.com/TapeTech-Basic-Jumbo-Set","","","6085","$6,085.00","True","","15534","ok",
