"sku","name","pdp_url","brand","category_path","price","price_formatted","in_stock","item_type","internalid"
"13060","TapeTech  7in & 10in Flat Box Combo TTFBC","https://www.shopamestools.com/TapeTech-Flat-Box-Combo-TTFBC_2",,"","1480","$1,480.00","True",,"15895"
"13061","Tape Tech Taping Tools Drywall Finishing Set","https://www.shopamestools.com/Tape-Tech-Taping-Tools-Drywall-Finishing-Set2",,"","2654","$2,654.00","True",,"15897"
"13062","TapeTech Basic Full Set with 7in and 10in Boxes","https://www.shopamestools.com/TapeTech-Configured-Basic-Tool-Set_2",,"","4358","$4,358.00","True",,"15898"
"13063","TapeTech Basic Jumbo Set with 7in and 10in Boxes","https://www.shopamestools.com/TapeTech-Basic-Jumbo-Set_2",,"","6065","$6,065.00","True",,"15899"
"13676","TapeTech Basic Box Set TTBBS","https://www.shopamestools.com/TapeTech-Drywall-Box-Set-TTBBS",,"","1644","$1,644.00","True",,"11728"
"13677","TapeTech Flat Box Combo TTFBC","https://www.shopamestools.com/TapeTech-Flat-Box-Combo-TTFBC",,"","1480","$1,480.00","True",,"14315"
"13678","TapeTech Corner Finishing Set TTCFS","https://www.shopamestools.com/TapeTech-Corner-Finishing-Set-TTCFS",,"","1416","$1,416.00","True",,"14316"
"13680","TapeTech Standard Full Set TTSFS","https://www.shopamestools.com/TapeTech-Standard-Full-Set",,"","4958","$4,958.00","True",,"14142"
"13681","TapeTech Professional Starter Set TTPSS","https://www.shopamestools.com/TapeTech-Professional-Starter-Set",,"","4559","$4,559.00","True",,"14140"
"13683","TapeTech Standard Full Set with 2 Pumps TTSFS-2","https://www.shopamestools.com/TapeTech-Standard-Full-Drywall-Tool-Set-w-two-Pumps",,"","5357","$5,357.00","True",,"14319"
"13684","TapeTech Pro Performance Easy Finish Set TTPPS-EF","https://www.shopamestools.com/TapeTech-Pro-Performance-Easy-Finish-Set-TTPPSEF",,"","7295","$7,295.00","True",,"14322"
"13685","TapeTech Pro Performance Set TTPPS","https://www.shopamestools.com/TapeTech-Pro-Performance-Tool-Set",,"","6625","$6,625.00","True",,"14141"
"14801","TapeTech Basic Taping Set TTBTS","https://www.shopamestools.com/TapeTech-TapingSet-TTBTS",,"","2829","$2,829.00","True",,"22584"
"14803","TapeTech Paper Faced Bead Pro Set TTPFB","https://www.shopamestools.com/TapeTech-BeadProSet-TTPFB",,"","1949","$1,949.00","True",,"22587"
"70049","TapeTech Value Full Drywall Taping & Finishing Set","https://www.shopamestools.com/TapeTech-Value-Full-Set",,"","4260","$4,260.00","True",,"21098"
"70050","TapeTech Value Drywall Finishing Set","https://www.shopamestools.com/TapeTech-Value-Finishing-Set",,"","2556","$2,556.00","True",,"21099"
"70128","TapeTech Full Set X2 Contractors Pack","https://www.shopamestools.com/TapeTech-Full-Set-X2-Contractors-Pack",,"","8756","$8,756.00","True",,"21312"
"70171","TapeTech 2 Pump Set","https://www.shopamestools.com/TapeTech-2-Pump-Set",,"","1200","$1,200.00","True",,"21383"
"70173","TapeTech 10"" and 12"" Full Set","https://www.shopamestools.com/TapeTech-10in-and-12in-Full-Set-70173",,"","5299","$5,299.00","True",,"21387"
"E10128","TapeTech Basic Full Set with 10in and 12in Boxes","https://www.shopamestools.com/TapeTech-Configured-Basic-Tool-Set",,"","4378","$4,378.00","True",,"15526"
"E10354","TapeTech Basic Jumbo Set with 10in and 12in Boxes","https://www.shopamestools.com/TapeTech-Basic-Jumbo-Set",,"","6085","$6,085.00","True",,"15534"
