Brands,Type,SKU,MPN,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Sale price,Date sale price starts,Date sale price ends,Regular price,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Shipping class,Allow customer reviews?,Purchase note,Categories,Tags,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 used for variations,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 used for variations,meta:_dtb_seo_title,meta:_dtb_seo_description,ID
TapeTech,variable,TapeTechPFKReplacementBlade2pk,TapeTechPFKReplacementBlade2pk,TapeTech PFK Replacement Blade 2/pk,1,0,visible,,"TapeTech 48"" Replacement Blade PFB48 2pk",,,,,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16558/16558_TapeTech48PFKReplacementBlade_001.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16558/16558_TapeTech48PFKReplacementBlade_002.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16558/16558_TapeTech48PFKReplacementBlade_003.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16558/16558_TapeTech48PFKReplacementBlade_004.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16558/16558_TapeTech48PFKReplacementBlade_005.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16557/16557_TapeTech40PFKReplacementBlade_001.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16557/16557_TapeTech40PFKReplacementBlade_002.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16557/16557_TapeTech40PFKReplacementBlade_003.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16557/16557_TapeTech40PFKReplacementBlade_004.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16557/16557_TapeTech40PFKReplacementBlade_005.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16556/16556_TapeTech32PFKReplacementBlade_001.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16556/16556_TapeTech32PFKReplacementBlade_002.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16556/16556_TapeTech32PFKReplacementBlade_003.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16556/16556_TapeTech32PFKReplacementBlade_004.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16556/16556_TapeTech32PFKReplacementBlade_005.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16555/16555_TapeTech24PFKReplacementBlade_001.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16555/16555_TapeTech24PFKReplacementBlade_002.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16555/16555_TapeTech24PFKReplacementBlade_003.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16555/16555_TapeTech24PFKReplacementBlade_004.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16555/16555_TapeTech24PFKReplacementBlade_005.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16554/16554_TapeTech18PFKReplacementBlade_001.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16554/16554_TapeTech18PFKReplacementBlade_002.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16554/16554_TapeTech18PFKReplacementBlade_003.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16554/16554_TapeTech18PFKReplacementBlade_004.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16554/16554_TapeTech18PFKReplacementBlade_005.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16553/16553_TapeTech14PFKReplacementBlade_001.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16553/16553_TapeTech14PFKReplacementBlade_002.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16553/16553_TapeTech14PFKReplacementBlade_003.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16553/16553_TapeTech14PFKReplacementBlade_004.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16553/16553_TapeTech14PFKReplacementBlade_005.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16552/16552_TapeTech12PFKReplacementBlade_001.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16552/16552_TapeTech12PFKReplacementBlade_002.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16552/16552_TapeTech12PFKReplacementBlade_003.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16552/16552_TapeTech12PFKReplacementBlade_004.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16552/16552_TapeTech12PFKReplacementBlade_005.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16551/16551_TapeTech7PFKReplacementBlade_001.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16551/16551_TapeTech7PFKReplacementBlade_002.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16551/16551_TapeTech7PFKReplacementBlade_003.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16551/16551_TapeTech7PFKReplacementBlade_004.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16551/16551_TapeTech7PFKReplacementBlade_005.webp,,,,,,,,,,Brand,TapeTech,1,1,0,Size,"48"" | 40"" | 32"" | 24"" | 18"" | 14"" | 12"" | 7""",1,1,1,,,
TapeTech,variation,16558,TapeTech48PFKReplacementBlade,"TapeTech 48"" PFK Replacement Blade 2/pk",1,0,visible,,"TapeTech 48"" Replacement Blade PFB48 2pk",,,,104.99,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16558/16558_TapeTech48PFKReplacementBlade_001.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16558/16558_TapeTech48PFKReplacementBlade_002.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16558/16558_TapeTech48PFKReplacementBlade_003.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16558/16558_TapeTech48PFKReplacementBlade_004.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16558/16558_TapeTech48PFKReplacementBlade_005.webp,,,TapeTechPFKReplacementBlade2pk,,,,,,,Brand,TapeTech,1,1,0,Size,"48""",1,1,1,,,
TapeTech,variation,16557,TapeTech40PFKReplacementBlade,"TapeTech 40"" PFK Replacement Blade 2/pk",1,0,visible,,"TapeTech 40"" Replacement Blade PFB40 2pk",,,,91.99,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16557/16557_TapeTech40PFKReplacementBlade_001.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16557/16557_TapeTech40PFKReplacementBlade_002.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16557/16557_TapeTech40PFKReplacementBlade_003.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16557/16557_TapeTech40PFKReplacementBlade_004.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16557/16557_TapeTech40PFKReplacementBlade_005.webp,,,TapeTechPFKReplacementBlade2pk,,,,,,,Brand,TapeTech,1,1,0,Size,"40""",1,1,1,,,
TapeTech,variation,16556,TapeTech32PFKReplacementBlade,"TapeTech 32"" PFK Replacement Blade 2/pk",1,0,visible,,"TapeTech 32"" Replacement Blade PFB32 2pk",,,,71.99,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16556/16556_TapeTech32PFKReplacementBlade_001.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16556/16556_TapeTech32PFKReplacementBlade_002.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16556/16556_TapeTech32PFKReplacementBlade_003.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16556/16556_TapeTech32PFKReplacementBlade_004.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16556/16556_TapeTech32PFKReplacementBlade_005.webp,,,TapeTechPFKReplacementBlade2pk,,,,,,,Brand,TapeTech,1,1,0,Size,"32""",1,1,1,,,
TapeTech,variation,16555,TapeTech24PFKReplacementBlade,"TapeTech 24"" PFK Replacement Blade 2/pk",1,0,visible,,"TapeTech 24"" Replacement Blade PFB24 2pk",,,,55.99,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16555/16555_TapeTech24PFKReplacementBlade_001.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16555/16555_TapeTech24PFKReplacementBlade_002.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16555/16555_TapeTech24PFKReplacementBlade_003.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16555/16555_TapeTech24PFKReplacementBlade_004.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16555/16555_TapeTech24PFKReplacementBlade_005.webp,,,TapeTechPFKReplacementBlade2pk,,,,,,,Brand,TapeTech,1,1,0,Size,"24""",1,1,1,,,
TapeTech,variation,16554,TapeTech18PFKReplacementBlade,"TapeTech 18"" PFK Replacement Blade 2/pk",1,0,visible,,"TapeTech 18"" Replacement Blade PFB18 2pk",,,,43.99,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16554/16554_TapeTech18PFKReplacementBlade_001.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16554/16554_TapeTech18PFKReplacementBlade_002.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16554/16554_TapeTech18PFKReplacementBlade_003.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16554/16554_TapeTech18PFKReplacementBlade_004.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16554/16554_TapeTech18PFKReplacementBlade_005.webp,,,TapeTechPFKReplacementBlade2pk,,,,,,,Brand,TapeTech,1,1,0,Size,"18""",1,1,1,,,
TapeTech,variation,16553,TapeTech14PFKReplacementBlade,"TapeTech 14"" PFK Replacement Blade 2/pk",1,0,visible,,"TapeTech 14"" Replacement Blade PFB14 2pk",,,,36.99,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16553/16553_TapeTech14PFKReplacementBlade_001.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16553/16553_TapeTech14PFKReplacementBlade_002.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16553/16553_TapeTech14PFKReplacementBlade_003.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16553/16553_TapeTech14PFKReplacementBlade_004.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16553/16553_TapeTech14PFKReplacementBlade_005.webp,,,TapeTechPFKReplacementBlade2pk,,,,,,,Brand,TapeTech,1,1,0,Size,"14""",1,1,1,,,
TapeTech,variation,16552,TapeTech12PFKReplacementBlade,"TapeTech 12"" PFK Replacement Blade 2/pk",1,0,visible,,"TapeTech 12"" Replacement Blade PFB12 2pk",,,,32.99,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16552/16552_TapeTech12PFKReplacementBlade_001.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16552/16552_TapeTech12PFKReplacementBlade_002.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16552/16552_TapeTech12PFKReplacementBlade_003.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16552/16552_TapeTech12PFKReplacementBlade_004.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16552/16552_TapeTech12PFKReplacementBlade_005.webp,,,TapeTechPFKReplacementBlade2pk,,,,,,,Brand,TapeTech,1,1,0,Size,"12""",1,1,1,,,
TapeTech,variation,16551,TapeTech7PFKReplacementBlade,"TapeTech 7"" PFK Replacement Blade 2/pk",1,0,visible,,"TapeTech 7"" Replacement Blade PFB07 2pk",,,,24.99,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16551/16551_TapeTech7PFKReplacementBlade_001.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16551/16551_TapeTech7PFKReplacementBlade_002.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16551/16551_TapeTech7PFKReplacementBlade_003.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16551/16551_TapeTech7PFKReplacementBlade_004.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/16551/16551_TapeTech7PFKReplacementBlade_005.webp,,,TapeTechPFKReplacementBlade2pk,,,,,,,Brand,TapeTech,1,1,0,Size,"7""",1,1,1,,,
TapeTech,variable,15035,JK01SSTT,TapeTech Premium Stainless Steel Joint Knife,1,0,visible,,"<p>TapeTech 0.75"" Premium Stainless Steel Joint Knife</p>",,,,,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech/15035/15035_TapeTech1PremiumStainlessSteelJointKnife_001.webp,,,,,,,,,,Brand,TapeTech,1,1,0,Size,"0.75"" | 1.25"" | 6"" | 5"" | 4"" | 3"" | 2"" | 1""",1,1,1,,,
