category_name,subcategory_or_tool,tool_title,tool_url,sku_count,sku_list,variant_count,variants_json
New Releases,Columbia One Predator Taper,Columbia One Predator Taper,https://www.columbiatools.com/columbia-tools/automatic-tapers/columbia-one-predator-taper/,1,PTAPER,1,"[{""label"": ""Columbia One Predator Taper"", ""sku"": ""PTAPER""}]"
New Releases,Mud Pans,Mud Pans,https://www.columbiatools.com/columbia-tools/hand-tools/mud-pans/,0,,3,"[{""label"": ""12” Columbia Mud Pan 6 Pack"", ""sku"": ""C12MP-6""}, {""label"": ""14” Columbia Mud Pan 6 Pack"", ""sku"": ""C14MP-6""}, {""label"": ""16” Columbia Mud Pan 6 Pack"", ""sku"": ""C16MP-6""}]"
New Releases,Nylon Putty Knives,Nylon Putty Knives,https://www.columbiatools.com/columbia-tools/hand-tools/nylon-putty-knives/,0,,11,"[{""label"": ""1.5″ Nylon Putty Knife"", ""sku"": ""NPK1.5""}, {""label"": ""2″ Nylon Putty Knife"", ""sku"": ""NPK2""}, {""label"": ""3″ Nylon Putty Knife"", ""sku"": ""NPK3""}, {""label"": ""4″ Nylon Putty Knife"", ""sku"": ""NPK4""}, {""label"": ""5″ Nylon Putty Knife"", ""sku"": ""NPK5""}, {""label"": ""6″ Nylon Putty Knife"", ""sku"": ""NPK6""}, {""label"": ""8″ Nylon Putty Knife"", ""sku"": ""NPK8""}, {""label"": ""10″ Nylon Putty Knife"", ""sku"": ""NPK10""}, {""label"": ""3.5″ Pointing Joint Knife"", ""sku"": ""PJK3.5""}, {""label"": ""6″ Clipped Joint Knife"", ""sku"": ""CJK6""}, {""label"": ""9 in 1 Multi Tool"", ""sku"": ""9-1MT""}]"
New Releases,Trowels,Trowels,https://www.columbiatools.com/columbia-tools/hand-tools/columbia-mud-pans-3/,0,,11,"[{""label"": ""12″ GOLD FINISHING TROWEL"", ""sku"": ""12-4.7-0.7-G-C""}, {""label"": ""14″ GOLD FINISHING TROWEL"", ""sku"": ""14-4.7-0.7-G-C""}, {""label"": ""16″ GOLD FINISHING TROWEL"", ""sku"": ""16-4.7-0.7-G-C""}, {""label"": ""18″ GOLD FINISHING TROWEL"", ""sku"": ""18-4.7-0.7-G-C""}, {""label"": ""12″ GOLD CURVE TROWEL"", ""sku"": ""12-4.7-0.7-G-C-C""}, {""label"": ""14″ GOLD CURVE TROWEL"", ""sku"": ""14-4.7-0.7-G-C-C""}, {""label"": ""16″ GOLD CURVE TROWEL"", ""sku"": ""16-4.7-0.7-G-C-C""}, {""label"": ""12″ SILVER CURVE TROWEL"", ""sku"": ""12-4.7-0.4-S-C-C""}, {""label"": ""14″ SILVER CURVE TROWEL"", ""sku"": ""14-4.7-0.4-S-C-C""}, {""label"": ""12″ GOLD FINISHING TROWEL .3MM"", ""sku"": ""12-4.3-0.3-G-C""}, {""label"": ""14″ GOLD FINISHING TROWEL .3MM"", ""sku"": ""14-4.3-0.3-G-C""}]"
New Releases,Finishing Hawks,Finishing Hawks,https://www.columbiatools.com/columbia-tools/hand-tools/finishing-hawks/,0,,0,[]
New Releases,One Piece Putty Knives,One Piece Putty Knives,https://www.columbiatools.com/columbia-tools/hand-tools/nylon-putty-knives-copy/,0,,8,"[{""label"": ""Putty Knives 1.5” One Piece Putty Knife (stainless steel)"", ""sku"": ""OPPK1.5""}, {""label"": ""2” One Piece Putty Knife (stainless steel)"", ""sku"": ""OPPK2""}, {""label"": ""3” One Piece Putty Knife (stainless steel)"", ""sku"": ""OPPK3""}, {""label"": ""4” One Piece Putty Knife (stainless steel)"", ""sku"": ""OPPK4""}, {""label"": ""5” One Piece Putty Knife (stainless steel)"", ""sku"": ""OPPK5""}, {""label"": ""6” One Piece Putty Knife (stainless steel)"", ""sku"": ""OPPK6""}, {""label"": ""8” One Piece Putty Knife (stainless steel)"", ""sku"": ""OPPK8""}, {""label"": ""10-IN-1” One Piece Multi Tool (stainless steel)"", ""sku"": ""OPPK10-1""}]"
New Releases,Taping Knives,Taping Knives,https://www.columbiatools.com/columbia-tools/hand-tools/one-piece-putty-knives-copy/,0,,4,"[{""label"": ""8” Columbia Taping Knife"", ""sku"": ""CTK8""}, {""label"": ""10” Columbia Taping Knife"", ""sku"": ""CTK10""}, {""label"": ""12” Columbia Taping Knife"", ""sku"": ""CTK12""}, {""label"": ""14” Columbia Taping Knife"", ""sku"": ""CTK14""}]"
New Releases,Three Way Knives,Three Way Knives,https://www.columbiatools.com/columbia-tools/hand-tools/three-way-knives/,0,,3,"[{""label"": ""4” Three-Way Nylon Handle Putty Knife"", ""sku"": ""3NPK4""}, {""label"": ""5” Three-Way Nylon Handle Putty Knife"", ""sku"": ""3NPK5""}, {""label"": ""6” Three-Way Nylon Handle Putty Knife"", ""sku"": ""3NPK6""}]"
New Releases,Bucket Scoops,Bucket Scoops,https://www.columbiatools.com/columbia-tools/hand-tools/three-way-knives-copy/,0,,3,"[{""label"": ""6” One Piece Bucket Scoop (stainless steel)"", ""sku"": ""OPBS""}, {""label"": ""6” Comfort Grip Bucket Scoop (stainless steel)"", ""sku"": ""CBS2K""}, {""label"": ""6″ Cork Handle Bucket Scoop (stainless steel)"", ""sku"": ""BCNC""}]"
New Releases,Fat Boy Smoothing Blades,Fat Boy Smoothing Blades,https://www.columbiatools.com/columbia-tools/smoothing-blades/fatboy-smoothing-blades/,0,,11,"[{""label"": ""Fat Boy Smoothing Blades Fat Boy Smoothing Blade 7”"", ""sku"": ""FSB7""}, {""label"": ""Fat Boy Smoothing Blade 10”"", ""sku"": ""FSB10""}, {""label"": ""Fat Boy Smoothing Blade 12”"", ""sku"": ""FSB12""}, {""label"": ""Fat Boy Smoothing Blade 14”"", ""sku"": ""FSB14""}, {""label"": ""Fat Boy Smoothing Blade 16”"", ""sku"": ""FSB16""}, {""label"": ""Fat Boy Smoothing Blade 18”"", ""sku"": ""FSB18""}, {""label"": ""Fat Boy Smoothing Blade 24”"", ""sku"": ""FSB24""}, {""label"": ""Fat Boy Smoothing Blade 32”"", ""sku"": ""FSB32""}, {""label"": ""Fat Boy Smoothing Blade 40”"", ""sku"": ""FSB40""}, {""label"": ""Fat Boy Smoothing Blade 48”"", ""sku"": ""FSB48""}, {""label"": ""Fat Boy Smoothing Blade Claw"", ""sku"": ""FSBC""}]"
