sku,matched_tapetech_image_count,matched_tapetech_images,production_exact_filename_hit_count,production_exact_filename_hits,production_sku_norm_hit_count,production_sku_norm_hits,replacement_candidate_level
03TT,2,03TT_01.WEBP | 03TT_02.WEBP,0,,8,products/Production/Images/tapetech-03TT-01.webp | products/Production/Images/tapetech-03TT-02.webp | products/Production/Images/tapetech-03TT-06.webp | products/Production/Images/tapetech-03TT-09.webp | products/Production/Images/tapetech-NS03TT-01.webp | products/Production/Images/tapetech-NS03TT-02.webp | products/Production/Images/tapetech-NS03TT-03.webp | products/Production/Images/tapetech-NS03TT-04.webp,medium
07TT,9,07TT_01.WEBP | 07TT_02.WEBP | 07TT_03.WEBP | 07TT_04.WEBP | 07TT_05.WEBP | 07TT_06.WEBP | 07TT_08.WEBP | 07TT_09.WEBP | 07TT_10.WEBP,0,,98,products/Production/Images/tapetech-07TT-01.webp | products/Production/Images/tapetech-07TT-02.webp | products/Production/Images/tapetech-07TT-03.webp | products/Production/Images/tapetech-07TT-04.webp | products/Production/Images/tapetech-07TT-05.webp | products/Production/Images/tapetech-07TT-052404B-01.webp | products/Production/Images/tapetech-07TT-052404B-02.webp | products/Production/Images/tapetech-07TT-052404B-03.webp | products/Production/Images/tapetech-07TT-052404B-04.webp | products/Production/Images/tapetech-07TT-052404B-05.webp | products/Production/Images/tapetech-07TT-052415A-01.webp | products/Production/Images/tapetech-07TT-052415A-02.webp | products/Production/Images/tapetech-07TT-052415A-03.webp | products/Production/Images/tapetech-07TT-06.webp | products/Production/Images/tapetech-07TT-07.webp | products/Production/Images/tapetech-07TT-08.webp | products/Production/Images/tapetech-07TT-09.webp | products/Production/Images/tapetech-07TT-10.webp | products/Production/Images/tapetech-07TT-11.webp | products/Production/Images/tapetech-07TT-12.webp | products/Production/Images/tapetech-07TT-13.webp | products/Production/Images/tapetech-07TT-14.webp | products/Production/Images/tapetech-07TT-15.webp | products/Production/Images/tapetech-07TT-52036-01.webp | products/Production/Images/tapetech-07TT-52036-02.webp | products/Production/Images/tapetech-07TT-52036-03.webp | products/Production/Images/tapetech-07TT-52051-01.webp | products/Production/Images/tapetech-07TT-52051-02.webp | products/Production/Images/tapetech-07TT-52051-03.webp | products/Production/Images/tapetech-07TT-52052-01.webp | products/Production/Images/tapetech-07TT-52052-02.webp | products/Production/Images/tapetech-07TT-52055-01.webp | products/Production/Images/tapetech-07TT-52055-03.webp | products/Production/Images/tapetech-07TT-52080-01.webp | products/Production/Images/tapetech-07TT-52080-03.webp | products/Production/Images/tapetech-07TT-52152-01.webp | products/Production/Images/tapetech-07TT-52152-03.webp | products/Production/Images/tapetech-07TT-52226-01.webp | products/Production/Images/tapetech-07TT-52226-02.webp | products/Production/Images/tapetech-07TT-52226-03.webp | products/Production/Images/tapetech-07TT-59329-01.webp | products/Production/Images/tapetech-07TT-59330-01.webp | products/Production/Images/tapetech-07TT-59331-01.webp | products/Production/Images/tapetech-07TT-59331-02.webp | products/Production/Images/tapetech-07TT-C-01.webp | products/Production/Images/tapetech-07TT-C-02.webp | products/Production/Images/tapetech-07TT-C-03.webp | products/Production/Images/tapetech-07TT-C-04.webp | products/Production/Images/tapetech-07TT-C-05.webp | products/Production/Images/tapetech-07TT-C-06.webp | products/Production/Images/tapetech-07TT-C-07.webp | products/Production/Images/tapetech-07TT-C-08.webp | products/Production/Images/tapetech-07TT-C-09.webp | products/Production/Images/tapetech-07TT-C-10.webp | products/Production/Images/tapetech-07TT-C-11.webp | products/Production/Images/tapetech-07TT-C-12.webp | products/Production/Images/tapetech-07TT-C-13.webp | products/Production/Images/tapetech-07TT-C-14.webp | products/Production/Images/tapetech-07TT-C-15.webp | products/Production/Images/tapetech-07TT-C-16.webp | products/Production/Images/tapetech-07TT-C-17.webp | products/Production/Images/tapetech-07TT-C-18.webp | products/Production/Images/tapetech-AT01-AUTOMATICTAPERREPAIRKITFOR07TT-01.webp | products/Production/Images/tapetech-CA07TT-01.webp | products/Production/Images/tapetech-CA07TT-02.webp | products/Production/Images/tapetech-CA07TT-03.webp | products/Production/Images/tapetech-CA07TT-04.webp | products/Production/Images/tapetech-CA07TT-05.webp | products/Production/Images/tapetech-CA07TT-06.webp | products/Production/Images/tapetech-CA07TT-07.webp | products/Production/Images/tapetech-CA07TT-08.webp | products/Production/Images/tapetech-CA07TT-09.webp | products/Production/Images/tapetech-CA07TT-10.webp | products/Production/Images/tapetech-EZ07TT-01.webp | products/Production/Images/tapetech-EZ07TT-02.webp | products/Production/Images/tapetech-EZ07TT-03.webp | products/Production/Images/tapetech-EZ07TT-04.webp | products/Production/Images/tapetech-EZ07TT-05.webp | products/Production/Images/tapetech-EZ07TT-06.webp | products/Production/Images/tapetech-EZ07TT-07.webp | products/Production/Images/tapetech-EZ07TT-08.webp | products/Production/Images/tapetech-EZ07TT-09.webp | products/Production/Images/tapetech-EZ07TT-10.webp | products/Production/Images/tapetech-EZ07TT-11.webp | products/Production/Images/tapetech-EZ07TT-12.webp | products/Production/Images/tapetech-EZ07TT-13.webp | products/Production/Images/tapetech-EZ07TT-14.webp | products/Production/Images/tapetech-EZ07TT-15.webp | products/Production/Images/tapetech-EZ07TT-16.webp | products/Production/Images/tapetech-PFK07TT-002.webp | products/Production/Images/tapetech-PFK07TT-003.webp | products/Production/Images/tapetech-PFK07TT-004.webp | products/Production/Images/tapetech-PFK07TT-01.webp | products/Production/Images/tapetech-maxi-taper-07tt-w-atx01tt-extension-media-01.webp | products/Production/Images/tapetech-maxi-taper-07tt-w-atx01tt-extension-media-02.webp | products/Production/Images/tapetech-maxi-taper-07tt-w-atx01tt-extension-media-06.webp | products/Production/Images/tapetech-maxi-taper-07tt-w-atx01tt-extension-media-07.webp | products/Production/Images/tapetech-maxi-taper-07tt-w-atx01tt-extension-media-08.webp,medium
07TT-C,10,07TT-C_01.WEBP | 07TT-C_02.WEBP | 07TT-C_03.WEBP | 07TT-C_04.WEBP | 07TT-C_05.WEBP | 07TT-C_06.WEBP | 07TT-C_07.WEBP | 07TT-C_08.WEBP | 07TT-C_09.WEBP | 07TT-C_10.WEBP,0,,18,products/Production/Images/tapetech-07TT-C-01.webp | products/Production/Images/tapetech-07TT-C-02.webp | products/Production/Images/tapetech-07TT-C-03.webp | products/Production/Images/tapetech-07TT-C-04.webp | products/Production/Images/tapetech-07TT-C-05.webp | products/Production/Images/tapetech-07TT-C-06.webp | products/Production/Images/tapetech-07TT-C-07.webp | products/Production/Images/tapetech-07TT-C-08.webp | products/Production/Images/tapetech-07TT-C-09.webp | products/Production/Images/tapetech-07TT-C-10.webp | products/Production/Images/tapetech-07TT-C-11.webp | products/Production/Images/tapetech-07TT-C-12.webp | products/Production/Images/tapetech-07TT-C-13.webp | products/Production/Images/tapetech-07TT-C-14.webp | products/Production/Images/tapetech-07TT-C-15.webp | products/Production/Images/tapetech-07TT-C-16.webp | products/Production/Images/tapetech-07TT-C-17.webp | products/Production/Images/tapetech-07TT-C-18.webp,medium
15TTE,3,15TTE_01.WEBP | 15TTE_02.WEBP | 15TTE_03.WEBP,0,,12,products/Production/Images/tapetech-15TTE-01.webp | products/Production/Images/tapetech-15TTE-02.webp | products/Production/Images/tapetech-15TTE-03.webp | products/Production/Images/tapetech-15TTE-04.webp | products/Production/Images/tapetech-15TTE-05.webp | products/Production/Images/tapetech-15TTE-06.webp | products/Production/Images/tapetech-15TTE-07.webp | products/Production/Images/tapetech-15TTE-08.webp | products/Production/Images/tapetech-15TTE-09.webp | products/Production/Images/tapetech-15TTE-10.webp | products/Production/Images/tapetech-15TTE-11.webp | products/Production/Images/tapetech-15TTE-XHTT-01.webp,medium
16TT,4,16TT_01.WEBP | 16TT_02.WEBP | 16TT_03.WEBP | 16TT_04.WEBP,0,,14,products/Production/Images/tapetech-16TT-01.webp | products/Production/Images/tapetech-16TT-02.webp | products/Production/Images/tapetech-16TT-03.webp | products/Production/Images/tapetech-16TT-04.webp | products/Production/Images/tapetech-16TT-05.webp | products/Production/Images/tapetech-16TT-06.webp | products/Production/Images/tapetech-16TT-07.webp | products/Production/Images/tapetech-16TT-08.webp | products/Production/Images/tapetech-16TT-09.webp | products/Production/Images/tapetech-16TT-10.webp | products/Production/Images/tapetech-16TT90-01.webp | products/Production/Images/tapetech-16TT90-02.webp | products/Production/Images/tapetech-16TT90-03.webp | products/Production/Images/tapetech-16TT90-04.webp,medium
16TT90,3,16TT90_02.WEBP | 16TT90_03.WEBP | 16TT90_04.WEBP,0,,4,products/Production/Images/tapetech-16TT90-01.webp | products/Production/Images/tapetech-16TT90-02.webp | products/Production/Images/tapetech-16TT90-03.webp | products/Production/Images/tapetech-16TT90-04.webp,medium
17TT,2,17TT_01.WEBP | 17TT_02.WEBP,0,,9,products/Production/Images/tapetech-17TT-01.webp | products/Production/Images/tapetech-17TT-02.webp | products/Production/Images/tapetech-17TT-03.webp | products/Production/Images/tapetech-17TT-04.webp | products/Production/Images/tapetech-17TT-05.webp | products/Production/Images/tapetech-17TT-06.webp | products/Production/Images/tapetech-17TTE-01.webp | products/Production/Images/tapetech-17TTE-02.webp | products/Production/Images/tapetech-outside-corner-roller-17tte-media-01.webp,medium
17TTE,2,17TTE_01.WEBP | 17TTE_02.WEBP,0,,3,products/Production/Images/tapetech-17TTE-01.webp | products/Production/Images/tapetech-17TTE-02.webp | products/Production/Images/tapetech-outside-corner-roller-17tte-media-01.webp,medium
40XTT,3,40XTT_01.WEBP | 40XTT_02.WEBP | 40XTT_03.WEBP,0,,8,products/Production/Images/tapetech-40XTT-01.webp | products/Production/Images/tapetech-40XTT-02.webp | products/Production/Images/tapetech-40XTT-03.webp | products/Production/Images/tapetech-40XTT-04.webp | products/Production/Images/tapetech-40XTT-05.webp | products/Production/Images/tapetech-40XTT-06.webp | products/Production/Images/tapetech-40XTT-07.webp | products/Production/Images/tapetech-40XTT-08.webp,medium
42TT,3,42TT_01.WEBP | 42TT_02.WEBP | 42TT_03.WEBP,0,,14,products/Production/Images/tapetech-42TT-01.webp | products/Production/Images/tapetech-42TT-02.webp | products/Production/Images/tapetech-42TT-03.webp | products/Production/Images/tapetech-42TT-04.webp | products/Production/Images/tapetech-42TT-05.webp | products/Production/Images/tapetech-42TT-06.webp | products/Production/Images/tapetech-42TT-07.webp | products/Production/Images/tapetech-42TT-08.webp | products/Production/Images/tapetech-8042TT-01.webp | products/Production/Images/tapetech-8042TT-05.webp | products/Production/Images/tapetech-8142TT-05.webp | products/Production/Images/tapetech-CT42TT-01.webp | products/Production/Images/tapetech-CT42TT-02.webp | products/Production/Images/tapetech-CT42TT-03.webp,medium
