"row_index","sku","name","old_regular_price","new_regular_price","source","source_mpn","source_title","source_url","match_type"
"25","PTAPER","Columbia Automatic Taper - Predator Carbon Fiber 53""","","1838.55","all-wall.com","PTAPER","Columbia PREDATOR Carbon Fiber Automatic Taper","https://www.all-wall.com/Columbia-PREDATOR-Automatic-Taper","exact_or_suffix_mpn"
"44","2.5CSF","Columbia Combo Flusher - 2.5""","","163.99","all-wall.com","2.5CSF","Columbia 2.5"" Combo Flusher","https://www.all-wall.com/Columbia-Combo-Flusher-25","exact_or_suffix_mpn"
"47","3.5CSF","Columbia Combo Flusher - 3.5""","","181.99","all-wall.com","3.5CSF","Columbia 3.5"" Combo Flusher","https://www.all-wall.com/Columbia-Combo-Flusher-35","exact_or_suffix_mpn"
"191","EEX275135","TapeTech 135° Outside Corner Edger - 2.75""","","10.00","all-wall.com","EEX275135","TapeTech 2.75"" 135 Outside Corner Edger","https://www.all-wall.com/TapeTech-CornerEdger-EEX275135","exact_or_suffix_mpn"
"199","EIN10090","TapeTech 90° Inside Corner Edger - 1""","","12.00","all-wall.com","EIN10090","TapeTech 1"" 90 Inside Corner Edger","https://www.all-wall.com/TapeTech-CornerEdger-EIN10090","exact_or_suffix_mpn"
"200","EIN15090","TapeTech 90° Inside Corner Edger - 1.5""","","12.00","all-wall.com","EIN15090","TapeTech 1.5"" 90 Inside Corner Edger","https://www.all-wall.com/TapeTech-CornerEdger-EIN15090","exact_or_suffix_mpn"
"201","EIN20090","TapeTech 90° Inside Corner Edger - 2""","","12.00","all-wall.com","EIN20090","TapeTech 2"" 90 Inside Corner Edger","https://www.all-wall.com/TapeTech-CornerEdger-EIN20090","exact_or_suffix_mpn"
"203","EEX5090","TapeTech 90° Outside Corner Edger - 0.5""","","12.00","all-wall.com","EEX5090","TapeTech 0.5"" 90 Outside Corner Edger","https://www.all-wall.com/TapeTech-CornerEdger-EEX5090","exact_or_suffix_mpn"
"204","EEX7590","TapeTech 90° Outside Corner Edger - 0.75""","","12.00","all-wall.com","EEX7590","TapeTech 0.75"" 90 Outside Corner Edger","https://www.all-wall.com/TapeTech-CornerEdger-EEX7590","exact_or_suffix_mpn"
"205","EEX10090","TapeTech 90° Outside Corner Edger - 1""","","12.00","all-wall.com","EEX10090","TapeTech 1"" 90 Outside Corner Edger","https://www.all-wall.com/TapeTech-CornerEdger-EEX10090","exact_or_suffix_mpn"
"206","EEX15090","TapeTech 90° Outside Corner Edger - 1.5""","","12.00","all-wall.com","EEX15090","TapeTech 1.5"" 90 Outside Corner Edger","https://www.all-wall.com/TapeTech-CornerEdger-EEX15090","exact_or_suffix_mpn"
"326","CROLL09CG","TapeTech Premium Compound Roller with Frame - 9""","","24.99","all-wall.com","CROLL09CG","TapeTech 9"" Compound Roller with Frame","https://www.all-wall.com/TapeTech-CompoundRoller-CROLL09CG","exact_or_suffix_mpn"
"327","CROLL12CG","TapeTech Premium Compound Roller with Frame - 12""","","27.99","all-wall.com","CROLL12CG","TapeTech 12"" Compound Roller with Frame","https://www.all-wall.com/TapeTech-CompoundRoller-CROLL12CG","exact_or_suffix_mpn"
