category_name,family_name,family_type,attribute_name,member_count,member_titles,member_urls,variant_count,variants_json
Angleheads,Anglehead Adaptor,single-page,,1,Anglehead Adaptor,https://www.columbiatools.com/columbia-tools/angleheads/anglehead-adaptor/,1,"[{""label"": ""Anglehead Adaptor"", ""sku"": ""AHA""}]"
Angleheads,Angleheads,grouped-pages,Size,4,2″ Anglehead | 2.5″ AngleHead | 3″ Anglehead | 3.5″ Anglehead,https://www.columbiatools.com/columbia-tools/angleheads/2-anglehead/ | https://www.columbiatools.com/columbia-tools/angleheads/2-5-anglehead/ | https://www.columbiatools.com/columbia-tools/angleheads/3-anglehead/ | https://www.columbiatools.com/columbia-tools/angleheads/3-5-anglehead/,4,"[{""label"": ""2\"""", ""sku"": ""2AH"", ""url"": ""https://www.columbiatools.com/columbia-tools/angleheads/2-anglehead/""}, {""label"": ""2.5\"""", ""sku"": ""2.5AH"", ""url"": ""https://www.columbiatools.com/columbia-tools/angleheads/2-5-anglehead/""}, {""label"": ""3\"""", ""sku"": ""3AH"", ""url"": ""https://www.columbiatools.com/columbia-tools/angleheads/3-anglehead/""}, {""label"": ""3.5\"""", ""sku"": ""3.5AH"", ""url"": ""https://www.columbiatools.com/columbia-tools/angleheads/3-5-anglehead/""}]"
Applicators,External Corner Applicator,single-page,,1,External Corner Applicator,https://www.columbiatools.com/columbia-tools/applicators/external-corner-applicator/,1,"[{""label"": ""External Corner Applicator"", ""sku"": ""CEXT90""}]"
Applicators,Flat Applicators,single-page,,1,Flat Applicators,https://www.columbiatools.com/columbia-tools/applicators/flat-applicators/,1,"[{""label"": ""Flat Applicators"", ""sku"": ""CFLT""}]"
Applicators,Inside Corner Applicator,single-page,Size,1,Inside Corner Applicator,https://www.columbiatools.com/columbia-tools/applicators/inside-corner-applicator/,2,"[{""label"": ""2\"""", ""sku"": ""ICA2-1""}, {""label"": ""4\"""", ""sku"": ""ICA4-1""}]"
Applicators,Two Way Internal Corner Applicator,single-page,,1,Two Way Internal Corner Applicator,https://www.columbiatools.com/columbia-tools/applicators/two-way-internal-corner-applicator/,1,"[{""label"": ""Two Way Internal Corner Applicator"", ""sku"": ""ICATW""}]"
Automatic Tapers,Automatic Taper,single-page,,1,Automatic Taper,https://www.columbiatools.com/columbia-tools/automatic-tapers/automatic-taper/,1,"[{""label"": ""Automatic Taper"", ""sku"": ""TAPER""}]"
Automatic Tapers,Columbia One Predator Taper,single-page,,1,Columbia One Predator Taper,https://www.columbiatools.com/columbia-tools/automatic-tapers/columbia-one-predator-taper/,1,"[{""label"": ""Columbia One Predator Taper"", ""sku"": ""PTAPER""}]"
Automatic Tapers,Sawed Off Taper,single-page,Size,1,Sawed Off Taper,https://www.columbiatools.com/columbia-tools/automatic-tapers/sawed-off-taper/,2,"[{""label"": ""39\"""", ""sku"": ""STAPER""}, {""label"": ""53\"""", ""sku"": ""SPTAPER""}]"
Automatic Tapers,The Predator Family is Expanding,single-page,,1,The Predator Family is Expanding,https://www.columbiatools.com/columbia-tools/the-predator-family/,1,"[{""label"": ""The Predator Family is Expanding"", ""sku"": ""PCMT42""}]"
