Tool,Part Name,SKU,Price (USD)
Columbia Matrix Handle,#6 Lock Washer,FA229,1.0
Columbia Matrix Handle,"6-32 x 3/16"" Binder Slot",FA237,1.0
Columbia Matrix Handle,"8-32 x 3/16"" Pan Slot",FA256,1.0
Columbia Matrix Handle,"8-32 x 1/4"" Half Dog Set",FA258,2.0
Columbia Matrix Handle,"5/32"" x 7/8"" Roll Pin",FA317,1.0
Columbia Matrix Handle,"3/16 x 1"" Sping Pin SS",FA365,3.0
Columbia Matrix Handle,8-32 x 5/16 SS Socket Head,FA376,2.0
Columbia Matrix Handle,"1/4"" SS E-Clip",FA379,4.0
Columbia Matrix Handle,"1/8"" SS E-Clip",FA380,4.0
Columbia Matrix Handle,"10-32 x 1/4"" SS Set Screw",FA382,1.0
Columbia Matrix Handle,Extension Housing,HH5,32.0
Columbia Matrix Handle,Handle Tube,HH8,44.0
Columbia Matrix Handle,Extension Release Trigger,HH30,16.0
Columbia Matrix Handle,Release Clip Pin,HH31,13.0
Columbia Matrix Handle,Release Clip Washer,HH32,22.0
Columbia Matrix Handle,Rlease Trigger Spring,HH33,5.0
Columbia Matrix Handle,Handle Grip,HH35,7.0
Columbia Matrix Handle,Handle Mount Plate,MH1,73.0
Columbia Matrix Handle,Matrix Handle Head,MH2,4.0
Columbia Matrix Handle,Lower Mount Bracket,MH3,32.0
Columbia Matrix Handle,Mounting Bracket Stem,MH3A,4.0
Columbia Matrix Handle,Handle Grip,MH4,36.0
Columbia Matrix Handle,Connecting Link Pin,MH5,5.0
Columbia Matrix Handle,Hinge Pin,MH6,4.0
Columbia Matrix Handle,Connecting Link Fork,MH7,28.0
Columbia Matrix Handle,Brake Rod Bushing,MH8,8.0
Columbia Matrix Handle,Brake Activation Rod,MH9A,24.0
Columbia Matrix Handle,Octagon,MH10,35.0
Columbia Matrix Handle,Handle Grip Bushing,MH11,6.0
Columbia Matrix Handle,PinchBrake Spring,MH12,4.0
Columbia Matrix Handle,Large Nyliner Bushing,MH13,5.0
Columbia Matrix Handle,Pinch Brake Activator,MH15,22.0
Columbia Matrix Handle,Connecting Rod Housing,MH16,8.0
Columbia Matrix Handle,Pinch Brake,MH17,22.0
Columbia Matrix Handle,Pinch Brake Housing,MH18,19.0
Columbia Matrix Handle,Pinch Brake Sleeve,MH19,27.0
Columbia Matrix Handle,Small Nyliner Bushing,MH20,3.0
Columbia Matrix Handle,Grip Adjuster Housing,MH21,9.0
Columbia Matrix Handle,Grip Adjustment Pin,MH22,11.0
Columbia Matrix Handle,Grip Adjusting Fastener,MH23,11.0
Columbia Matrix Handle,Pinch Brake Bushing,MH24,12.0
Columbia Matrix Handle,Pinch Brake Stem,MH25,13.0
Columbia Automatic Taper Head,Insert Bushing for CT#7A,CT2,5.0
Columbia Automatic Taper Head,Right Insert Bushing (includes CT4),CT3,12.0
