ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Meta: search_keywords,Meta: seo_title,Meta: seo_description,Meta: seo_canonical,Meta: seo_robots,Meta: seo_focus_keyword,Meta: seo_secondary_keywords,Meta: schema_brand,Meta: schema_mpn,Meta: schema_condition,Meta: _dtb_brand_key,Meta: _dtb_brand_label,Meta: _dtb_product_kind,Meta: _dtb_commerce_mode,Meta: _dtb_category_key,Meta: _dtb_display_category_key,Meta: _dtb_is_parts,Meta: _dtb_parent_product_sku,Meta: _dtb_variation_axis,Meta: _dtb_variation_value,Meta: _dtb_variation_label,Meta: _dtb_default_variation_sku,Meta: _dtb_variation_sort,Meta: _dtb_inherit_parent_image,Meta: _dtb_schematic_brand,Meta: _dtb_schematic_group,Meta: _dtb_schematic_position,Meta: _dtb_replacement_part_for,Meta: _dtb_compatible_tool_skus,Meta: _dtb_validation_status,Meta: _dtb_validation_errors,Meta: _dtb_brand,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _dtb_specs_json,Meta: _includes_0_name,Meta: _includes_0_sku,Meta: _includes_1_name,Meta: _includes_1_sku,Meta: _includes_2_name,Meta: _includes_2_sku,Meta: _includes_3_name,Meta: _includes_3_sku,Meta: _includes_4_name,Meta: _includes_4_sku,Meta: _includes_5_name,Meta: _includes_5_sku,Meta: _includes_6_name,Meta: _includes_6_sku,Meta: _includes_7_name,Meta: _includes_7_sku,Meta: _includes_8_name,Meta: _includes_8_sku,Meta: _includes_9_name,Meta: _includes_9_sku,Meta: _includes_10_name,Meta: _includes_10_sku,Meta: _includes_11_name,Meta: _includes_11_sku,Meta: _includes_12_name,Meta: _includes_12_sku,Meta: _includes_13_name,Meta: _includes_13_sku,Meta: _includes_14_name,Meta: _includes_14_sku
,simple,FA216,,4-40 X 3/8” Fillister Slot,1,0,visible,The 4-40 X 3/8” Fillister Slot screw is a genuine Columbia Tools replacement part designed for the Flat Finishing Box series. This OEM component ensures precise fitment and reliable performance for your professional drywall equipment.,"<p>4-40 X 3/8” Fillister Slot screws are precision-engineered components designed specifically for the Columbia Flat Finishing Box series. These fasteners ensure your drywall finishing equipment maintains factory-grade performance and structural integrity during high-volume use. By utilizing genuine OEM hardware, you avoid the risks associated with generic fasteners, ensuring a perfect fit and reliable operation for your professional tools. <h3>Features:</h3><ul><li><strong>OEM Compatibility:</strong> Specifically manufactured for the Columbia Flat Finishing Box family.</li><li><strong>Precision Fit:</strong> Engineered to exact 4-40 thread specifications for secure, vibration-resistant assembly.</li><li><strong>Durable Construction:</strong> Built to withstand the rigorous demands of professional drywall finishing environments.</li><li><strong>Easy Maintenance:</strong> Simplifies field repairs and routine equipment upkeep to minimize downtime.</li></ul></p>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Columbia Tools > Parts,"Columbia Tools, Flat Finishing Box, Repair Parts, FA216",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa216_01.webp,,,,,,,,,1,Columbia Tools,,,,,,"FA216, Columbia Tools, Flat Finishing Box screw, 4-40 3/8 fillister, drywall repair part",Columbia FA216 4-40 x 3/8” Fillister Slot | OEM Part,Maintain your Columbia Flat Finishing Box with the genuine FA216 4-40 x 3/8” Fillister Slot screw. High-quality OEM replacement for professional tools.,/product/columbia-tools-fa216-4-40-x-3-8-fillister-slot/,"index, follow",Columbia FA216,"drywall tool repair, Columbia finishing box parts, 4-40 fillister screw, drywall equipment fastener",Columbia Tools,FA216,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,columbia-flat-finishing-box,,,,ready,,Columbia Tools,,,,,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""FA216""}, {""label"": ""Model"", ""value"": ""FA216""}, {""label"": ""Tool Groups"", ""value"": ""Flat Finishing Box""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,FA231,,"6-32 x 3/8"" Hex Bolt",1,0,visible,"The 6-32 x 3/8"" Hex Bolt is a genuine Columbia Tools replacement part designed for professional drywall finishing equipment. This OEM component ensures factory-standard reliability for your flat boxes, nailspotters, and corner flushers.","<p>6-32 x 3/8"" Hex Bolt is a precision-engineered OEM component designed to maintain the structural integrity of your Columbia Tools drywall finishing equipment. This replacement part ensures factory-standard performance and reliable operation across a variety of professional finishing tools. Built to exact specifications, this bolt provides a secure fit for critical maintenance and repair tasks. <h3>Features:</h3><ul><li><strong>Genuine OEM Quality:</strong> Manufactured by Columbia Tools to meet original factory standards for durability and fit.</li><li><strong>Broad Compatibility:</strong> Engineered for use with Flat Finishing Boxes, Hinged Nailspotters, and Corner Flusher Boxes.</li><li><strong>Precision Threading:</strong> Standard 6-32 thread sizing ensures seamless installation and consistent tension for your finishing equipment.</li></ul></p>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Columbia Tools > Parts,"Columbia Tools, Flat Finishing Box, Hinged Nailspotter, Corner Flusher Box, Repair Parts, FA231",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa231_01.webp,,,,,,,,,2,Columbia Tools,,,,,,"FA231, Columbia Tools, 6-32 x 3/8 bolt, drywall tool hardware, nailspotter repair, corner flusher parts","Columbia Tools 6-32 x 3/8"" Hex Bolt | FA231 OEM Part","Maintain your drywall tools with the genuine Columbia FA231 6-32 x 3/8"" Hex Bolt. OEM-quality replacement for flat boxes and corner flushers.",/product/columbia-tools-6-32-x-3-8-hex-bolt-fa231/,"index, follow",Columbia FA231 Hex Bolt,"drywall tool repair parts, Columbia Tools replacement, 6-32 bolt, finishing box parts",Columbia Tools,FA231,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,"columbia-flat-finishing-box, columbia-hinged-nailspotter, columbia-corner-flusher-box",,,,ready,,Columbia Tools,,,,,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""FA231""}, {""label"": ""Model"", ""value"": ""FA231""}, {""label"": ""Tool Groups"", ""value"": ""Flat Finishing Box, Hinged Nailspotter, Corner Flusher Box""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,FA232,,6-32 Hex Nut,1,0,visible,"The 6-32 Hex Nut is a genuine Columbia Tools replacement part designed to keep your drywall finishing equipment operating at factory standards. This durable fastener ensures secure, reliable performance for both flat finishing boxes and corner flushers.","<p>6-32 Hex Nut is a precision-engineered replacement component designed to maintain the structural integrity of your professional drywall finishing equipment. This OEM part ensures a secure fit and reliable performance across various Columbia tool systems, allowing for consistent operation during demanding finishing tasks. <h3>Features:</h3><ul><li><strong>Genuine OEM Quality:</strong> Manufactured to exact factory specifications for seamless integration with your existing Columbia hardware.</li><li><strong>Broad Compatibility:</strong> Engineered for use with a wide range of Columbia finishing tools, including flat finishing boxes and corner flushers.</li><li><strong>Reliable Fastening:</strong> Provides a durable, vibration-resistant connection essential for high-output drywall finishing environments.</li></ul></p>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Columbia Tools > Parts,"Columbia Tools, Flat Finishing Box, Corner Flusher Box, Repair Parts, FA232",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa232_01.webp,,,,,,,,,3,Columbia Tools,,,,,,"6-32 Hex Nut, Columbia Tools FA232, drywall finishing parts, flat box fastener, corner flusher repair, OEM hex nut",Columbia Tools 6-32 Hex Nut | OEM Drywall Repair Part FA232,Maintain your drywall equipment with the genuine Columbia Tools 6-32 Hex Nut (FA232). OEM-quality replacement part for flat boxes and corner flushers.,/product/columbia-tools-6-32-hex-nut-fa232/,"index, follow",6-32 Hex Nut,"Columbia Tools FA232, drywall tool repair parts, flat box nut, corner flusher replacement part",Columbia Tools,FA232,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,"columbia-flat-finishing-box, columbia-corner-flusher-box",,,,ready,,Columbia Tools,,,,,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""FA232""}, {""label"": ""Model"", ""value"": ""FA232""}, {""label"": ""Tool Groups"", ""value"": ""Flat Finishing Box, Corner Flusher Box""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,FA233,,6-32 Nyloc Nut,1,0,visible,"The 6-32 Nyloc Nut is a genuine Columbia Tools replacement part designed to maintain secure, vibration-resistant connections in professional drywall finishing equipment. This OEM component ensures factory-standard performance for your flat finishing boxes and automatic taper heads.","<p>6-32 Nyloc Nut provides a secure, vibration-resistant fastening solution specifically engineered for Columbia Tools drywall finishing equipment. This genuine OEM component ensures that your professional-grade tools maintain factory-standard tolerances and operational reliability during demanding daily use. Designed for seamless integration, this nut prevents loosening in high-vibration environments common in automatic taping and finishing applications. <h3>Features:</h3><ul><li><strong>OEM Precision:</strong> Manufactured to exact Columbia Tools specifications for guaranteed fitment and performance.</li><li><strong>Vibration Resistance:</strong> The integrated nylon insert provides superior locking capability compared to standard hardware.</li><li><strong>Broad Compatibility:</strong> Engineered for use across various Columbia flat finishing boxes and automatic taper head assemblies.</li><li><strong>Durable Construction:</strong> Built to withstand the rigors of professional drywall finishing environments.</li></ul></p>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Columbia Tools > Parts,"Columbia Tools, Flat Finishing Box, Automatic Taper Head, Repair Parts, FA233",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa233_01.webp,,,,,,,,,4,Columbia Tools,,,,,,"FA233, Columbia Tools nut, 6-32 locking nut, drywall finishing repair, automatic taper head parts, flat box replacement part",Columbia Tools 6-32 Nyloc Nut | FA233 OEM Replacement,Maintain your drywall tools with the genuine Columbia FA233 6-32 Nyloc Nut. OEM-quality vibration-resistant hardware for flat boxes and taper heads.,/product/columbia-tools-6-32-nyloc-nut-fa233/,"index, follow",6-32 Nyloc Nut,"Columbia Tools FA233, drywall tool repair parts, automatic taper parts, flat box hardware",Columbia Tools,FA233,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,"columbia-flat-finishing-box, columbia-automatic-taper-head",,,,ready,,Columbia Tools,,,,,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""FA233""}, {""label"": ""Model"", ""value"": ""FA233""}, {""label"": ""Tool Groups"", ""value"": ""Flat Finishing Box, Automatic Taper Head""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,FA238,,"6-32 X 3/16"" Fillister Slot",1,0,visible,"The 6-32 X 3/16"" Fillister Slot screw is a genuine Columbia Tools replacement part designed for secure, factory-spec maintenance of your drywall finishing equipment. This essential fastener ensures reliable performance across flat boxes, taper heads, and corner flushers.","<p>6-32 X 3/16"" Fillister Slot screw is a precision-engineered replacement component designed to maintain the structural integrity of your Columbia Tools drywall finishing equipment. This OEM-grade fastener ensures a secure fit for critical assemblies, preventing vibration-induced loosening during high-intensity finishing tasks. By utilizing factory-specified hardware, you preserve the operational reliability and longevity of your professional-grade tools. <h3>Features:</h3><ul><li><strong>Genuine OEM Quality:</strong> Manufactured to exact Columbia Tools specifications for seamless integration.</li><li><strong>Broad Compatibility:</strong> Engineered for use across multiple tool families, including flat finishing boxes, automatic taper heads, and corner flusher boxes.</li><li><strong>Durable Construction:</strong> High-strength material composition designed to withstand the rigors of daily job site use.</li><li><strong>Precision Threading:</strong> Standard 6-32 threading ensures consistent torque and reliable fastening in existing equipment housings.</li></ul></p>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Columbia Tools > Parts,"Columbia Tools, Flat Finishing Box, Automatic Taper Head, Corner Flusher Box, Repair Parts, FA238",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa238_01.webp,,,,,,,,,5,Columbia Tools,,,,,,"FA238, Columbia Tools screw, 6-32 fillister slot, drywall tool fastener, replacement screw for Columbia","Columbia Tools 6-32 x 3/16"" Fillister Slot Screw | FA238","Maintain your Columbia Tools equipment with the genuine FA238 6-32 x 3/16"" Fillister Slot screw. OEM-quality replacement for flat boxes and taper heads.",/product/columbia-tools-6-32-x-3-16-fillister-slot-fa238/,"index, follow",Columbia Tools FA238,"drywall tool repair parts, 6-32 fillister screw, Columbia finishing box parts, automatic taper head repair",Columbia Tools,FA238,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,"columbia-flat-finishing-box, columbia-automatic-taper-head, columbia-corner-flusher-box",,,,ready,,Columbia Tools,,,,,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""FA238""}, {""label"": ""Model"", ""value"": ""FA238""}, {""label"": ""Tool Groups"", ""value"": ""Flat Finishing Box, Automatic Taper Head, Corner Flusher Box""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,FA239,,"6-32 X 1/4"" Binder Slot",1,0,visible,"The 6-32 X 1/4"" Binder Slot (FA239) is a genuine Columbia Tools replacement part engineered for precise fitment in automatic tapers and flat finishing boxes. This OEM component ensures your professional drywall equipment remains at peak factory performance.","<p>6-32 X 1/4"" Binder Slot (FA239) serves as a critical OEM replacement component designed to maintain the structural integrity and operational precision of your Columbia Tools finishing equipment. Engineered to exact factory standards, this fastener ensures a secure fit across a wide range of professional drywall finishing systems, preventing downtime during demanding job site applications. <h3>Features:</h3><ul><li><strong>Genuine OEM Quality:</strong> Manufactured by Columbia Tools to ensure perfect compatibility and long-term reliability.</li><li><strong>Broad Compatibility:</strong> Designed for seamless integration with Flat Finishing Boxes, Automatic Taper Heads, and Automatic Taper Bodies.</li><li><strong>Precision Engineering:</strong> Built to specific 6-32 thread dimensions and 1/4-inch length for consistent, professional-grade repairs.</li></ul></p>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Columbia Tools > Parts,"Columbia Tools, Flat Finishing Box, Automatic Taper Head, Automatic Taper Body, Repair Parts, FA239",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa239_01.webp,,,,,,,,,6,Columbia Tools,,,,,,"FA239, Columbia Tools, binder slot, drywall finishing parts, automatic taper repair, flat box screw","Columbia Tools 6-32 x 1/4"" Binder Slot | FA239 OEM Part","Maintain your Columbia Tools equipment with the genuine FA239 6-32 x 1/4"" Binder Slot. OEM-quality replacement for flat boxes and automatic tapers.",/product/columbia-tools-6-32-x-1-4-binder-slot-fa239/,"index, follow",Columbia Tools FA239,"drywall tool repair parts, 6-32 binder slot, Columbia automatic taper parts, flat box fastener",Columbia Tools,FA239,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,"columbia-flat-finishing-box, columbia-automatic-taper-head, columbia-automatic-taper-body",,,,ready,,Columbia Tools,,,,,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""FA239""}, {""label"": ""Model"", ""value"": ""FA239""}, {""label"": ""Tool Groups"", ""value"": ""Flat Finishing Box, Automatic Taper Head, Automatic Taper Body""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,FA241,,"6-32 X 3/8"" Binder Slot",1,0,visible,"The 6-32 X 3/8"" Binder Slot is a genuine Columbia Tools replacement part designed for seamless integration with various drywall finishing systems. This high-quality fastener ensures your equipment remains compliant with original factory specifications.","<p>6-32 X 3/8"" Binder Slot is a precision-engineered OEM replacement component designed to maintain the structural integrity of your Columbia Tools finishing equipment. This fastener ensures a secure fit across critical drywall finishing assemblies, meeting factory standards for durability and performance in demanding job site environments. <p><strong>Features:</strong></p><ul><li><strong>Genuine OEM Quality:</strong> Manufactured specifically for Columbia Tools to ensure exact thread pitch and material compatibility.</li><li><strong>Broad Compatibility:</strong> Engineered for use with Flat Finishing Boxes, Automatic Taper Heads, Hinged Nailspotters, and Corner Flusher Boxes.</li><li><strong>Reliable Maintenance:</strong> Essential for keeping professional-grade drywall tools operating at peak efficiency and preventing mechanical failure.</li></ul></p>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Columbia Tools > Parts,"Columbia Tools, Flat Finishing Box, Automatic Taper Head, Hinged Nailspotter, Corner Flusher Box, Repair Parts, FA241",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa241_01.webp,,,,,,,,,7,Columbia Tools,,,,,,"FA241, Columbia Tools, drywall repair part, binder slot, 6-32 screw, finishing box part, taper head screw","Columbia Tools 6-32 x 3/8"" Binder Slot | FA241 OEM Part","Maintain your drywall tools with the genuine Columbia Tools 6-32 x 3/8"" Binder Slot (FA241). OEM-quality replacement for flat boxes and taper heads.",/product/columbia-tools-6-32-x-3-8-binder-slot-fa241/,"index, follow",Columbia Tools FA241,"drywall tool repair parts, 6-32 binder slot, Columbia finishing tool parts, FA241 screw",Columbia Tools,FA241,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,"columbia-flat-finishing-box, columbia-automatic-taper-head, columbia-hinged-nailspotter, columbia-corner-flusher-box",,,,ready,,Columbia Tools,,,,,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""FA241""}, {""label"": ""Model"", ""value"": ""FA241""}, {""label"": ""Tool Groups"", ""value"": ""Flat Finishing Box, Automatic Taper Head, Hinged Nailspotter, Corner Flusher Box""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,FA247,,"6-32 X 5/8"" Hex Bolt",1,0,visible,"The Columbia FA247 is a genuine 6-32 X 5/8"" Hex Bolt designed for seamless repair and maintenance of professional drywall finishing equipment. This OEM part ensures your tools operate with factory-level precision and reliability.","<p>6-32 X 5/8"" Hex Bolt is a precision-engineered OEM replacement component designed specifically for Columbia professional drywall finishing tools. This high-grade fastener ensures structural integrity and reliable performance across several critical tool assemblies, including finishing boxes and nailspotters. Using genuine factory parts maintains the tight tolerances required for smooth, consistent drywall finishing. This hex bolt provides a secure fit and the durability necessary for the demanding environment of professional job sites. <h3>Features:</h3><ul><li><strong>OEM Compatibility:</strong> Engineered specifically for use with Columbia Flat Finishing Boxes, Hinged Nailspotters, and Corner Flusher Boxes.</li><li><strong>Precision Threading:</strong> Features a standard 6-32 thread pitch and 5/8-inch length for exact fitment and secure fastening.</li><li><strong>Durable Construction:</strong> Manufactured to rigorous factory standards to withstand the mechanical stresses of daily drywall finishing operations.</li></ul></p>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Columbia Tools > Parts,"Columbia Tools, Flat Finishing Box, Hinged Nailspotter, Corner Flusher Box, Repair Parts, FA247",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa247_01.webp,,,,,,,,,8,Columbia Tools,,,,,,"FA247, Columbia bolt, 6-32 x 5/8, drywall tool screw, finishing box parts","Columbia 6-32 X 5/8"" Hex Bolt FA247 | OEM Replacement Part","Genuine Columbia FA247 6-32 X 5/8"" Hex Bolt for Flat Boxes and Nailspotters. Ensure professional drywall tool performance with OEM replacement parts.",/product/columbia-tools-6-32-x-5-8-hex-bolt-fa247/,"index, follow",Columbia FA247 Hex Bolt,"6-32 hex bolt, drywall tool parts, Columbia flat box repair, nailspotter bolt, corner flusher hardware",Columbia Tools,FA247,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,"columbia-flat-finishing-box, columbia-hinged-nailspotter, columbia-corner-flusher-box",,,,ready,,Columbia Tools,,,,,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""FA247""}, {""label"": ""Model"", ""value"": ""FA247""}, {""label"": ""Tool Groups"", ""value"": ""Flat Finishing Box, Hinged Nailspotter, Corner Flusher Box""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,FA258,,8-32X 1/4 Half Dog Set,1,0,visible,"The 8-32X 1/4 Half Dog Set is a genuine Columbia Tools replacement part designed to keep your professional drywall finishing equipment performing at factory standards. This essential hardware is compatible with a wide range of Columbia tool families, including flat boxes and automatic tapers.","<p>8-32X 1/4 Half Dog Set is a precision-engineered OEM replacement component designed to maintain the operational integrity of your Columbia Tools finishing equipment. This hardware ensures a secure fit and reliable performance across a wide range of professional drywall tools, meeting exact factory specifications for seamless integration. By utilizing genuine replacement parts, you preserve the longevity and consistency of your finishing systems during demanding job site applications. <h3>Features:</h3><ul><li><strong>Genuine OEM Quality:</strong> Manufactured by Columbia Tools to ensure perfect compatibility and durability.</li><li><strong>Broad Compatibility:</strong> Engineered for use with Flat Finishing Boxes, Automatic Taper Heads, Angle Heads, Matrix Handles, and Corner Flusher Boxes.</li><li><strong>Precision Fit:</strong> Specifically sized as an 8-32X 1/4 set to provide a secure, vibration-resistant connection for critical tool components.</li></ul></p>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Columbia Tools > Parts,"Columbia Tools, Flat Finishing Box, Automatic Taper Head, Angle Head, Matrix Handle, Corner Flusher Box, Repair Parts, FA258",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa258_01.webp,,,,,,,,,9,Columbia Tools,,,,,,"FA258, Columbia Tools, 8-32X 1/4, half dog set, drywall tool parts, flat box repair, taper head parts, corner flusher hardware",Columbia Tools 8-32X 1/4 Half Dog Set | FA258 OEM Part,Maintain your drywall tools with the genuine Columbia Tools 8-32X 1/4 Half Dog Set (FA258). OEM-quality replacement for flat boxes and taper heads.,/product/columbia-tools-8-32x-1-4-half-dog-set-fa258/,"index, follow",Columbia Tools FA258,"drywall tool repair parts, Columbia Tools replacement, 8-32 set screw, finishing box parts, automatic taper repair",Columbia Tools,FA258,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,"columbia-flat-finishing-box, columbia-automatic-taper-head, columbia-angle-head, columbia-matrix-handle, columbia-corner-flusher-box",,,,ready,,Columbia Tools,,,,,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""FA258""}, {""label"": ""Model"", ""value"": ""FA258""}, {""label"": ""Tool Groups"", ""value"": ""Flat Finishing Box, Automatic Taper Head, Angle Head, Matrix Handle, Corner Flusher Box""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,simple,FA268,,#10 Flat Washer,1,0,visible,The #10 Flat Washer (FA268) is a genuine Columbia Tools replacement part engineered for precise fitment in flat finishing boxes and grip handles. Maintain factory-grade performance with this essential OEM hardware component.,"<p>#10 Flat Washer (FA268) serves as a critical OEM component designed to maintain the structural integrity and operational precision of your Columbia Tools drywall finishing equipment. Engineered to exact factory standards, this washer ensures consistent performance and reliable hardware tension across your professional tool fleet.</p><h3>Features:</h3><ul><li><strong>Genuine OEM Quality:</strong> Manufactured specifically for Columbia Tools to ensure a perfect fit and long-term durability.</li><li><strong>Broad Compatibility:</strong> Designed for seamless integration with Columbia Flat Finishing Boxes and 180 Grip Box Handles.</li><li><strong>Precision Engineering:</strong> Built to withstand the rigorous demands of daily professional drywall finishing applications.</li></ul>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Columbia Tools > Parts,"Columbia Tools, Flat Finishing Box, 180 Grip Box Handle, Repair Parts, FA268",,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fa268_01.webp,,,,,,,,,10,Columbia Tools,,,,,,"FA268, Columbia Tools washer, #10 flat washer, drywall tool hardware, finishing box repair, 180 grip handle washer",Columbia Tools #10 Flat Washer (FA268) | OEM Replacement,Maintain your Columbia Tools equipment with the genuine FA268 #10 Flat Washer. OEM-quality replacement part for flat finishing boxes and grip handles.,/product/columbia-tools-10-flat-washer-fa268/,"index, follow",#10 Flat Washer,"Columbia Tools FA268, drywall tool repair parts, flat finishing box washer, 180 grip handle parts",Columbia Tools,FA268,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,"columbia-flat-finishing-box, columbia-180-grip-box-handle",,,,ready,,Columbia Tools,,,,,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""FA268""}, {""label"": ""Model"", ""value"": ""FA268""}, {""label"": ""Tool Groups"", ""value"": ""Flat Finishing Box, 180 Grip Box Handle""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
