Brands,Type,SKU,MPN,Parent SKU,Slug,Name,Published,Visibility in catalog,Short description,Description,Categories,Tags,Product Role,Tool Family,Builder Eligible,Builder Slot,Catalog Source,Catalog Verified,Source Page,Source Confidence,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 used for variations
Columbia,simple,PHMP,PHMP,,columbia-predator-mud-pump,Columbia Predator Mud Pump,1,visible,Official Columbia predator carbon fiber tools item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Predator Mud Pump. Product family: Predator Carbon Fiber Tools. Source: Columbia Product Catalogue 2024, page 3.","Tools > Columbia, Tools > Columbia > Predator Carbon Fiber Tools","Columbia, Predator Carbon Fiber Tools, official-catalog, tools-only",core_tool,Predator Carbon Fiber Tools,yes,mud_pump,customercatalogue2024-3.pdf-3.pdf,yes,3,verified_pdf,,,,,,0
Columbia,simple,PCLT42,PCLT42,,columbia-predator-camlock-tube-42,"Columbia Predator Camlock Tube 42""",1,visible,Official Columbia predator carbon fiber tools item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Predator Camlock Tube 42"". Product family: Predator Carbon Fiber Tools. Source: Columbia Product Catalogue 2024, page 3.","Tools > Columbia, Tools > Columbia > Predator Carbon Fiber Tools","Columbia, Predator Carbon Fiber Tools, official-catalog, tools-only",core_tool,Predator Carbon Fiber Tools,yes,compound_tube,customercatalogue2024-3.pdf-3.pdf,yes,3,verified_pdf,,,,,,0
Columbia,simple,PCMT42,PCMT42,,columbia-predator-compound-tube-42,"Columbia Predator Compound Tube 42""",1,visible,Official Columbia predator carbon fiber tools item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Predator Compound Tube 42"". Product family: Predator Carbon Fiber Tools. Source: Columbia Product Catalogue 2024, page 3.","Tools > Columbia, Tools > Columbia > Predator Carbon Fiber Tools","Columbia, Predator Carbon Fiber Tools, official-catalog, tools-only",core_tool,Predator Carbon Fiber Tools,yes,compound_tube,customercatalogue2024-3.pdf-3.pdf,yes,3,verified_pdf,,,,,,0
Columbia,simple,PC1HEXT,PC1HEXT,,columbia-predator-extendable-handle-3-5-ft,Columbia Predator Extendable Handle 3–5 ft,1,visible,Official Columbia predator carbon fiber tools item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Predator Extendable Handle 3–5 ft. Product family: Predator Carbon Fiber Tools. Source: Columbia Product Catalogue 2024, page 3.","Tools > Columbia, Tools > Columbia > Predator Carbon Fiber Tools","Columbia, Predator Carbon Fiber Tools, official-catalog, tools-only",core_tool,Predator Carbon Fiber Tools,yes,angle_head_handle,customercatalogue2024-3.pdf-3.pdf,yes,3,verified_pdf,,,,,,0
Columbia,simple,PC1H,PC1H,,columbia-predator-one-handle-4-ft,Columbia Predator One Handle 4 ft,1,visible,Official Columbia predator carbon fiber tools item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Predator One Handle 4 ft. Product family: Predator Carbon Fiber Tools. Source: Columbia Product Catalogue 2024, page 3.","Tools > Columbia, Tools > Columbia > Predator Carbon Fiber Tools","Columbia, Predator Carbon Fiber Tools, official-catalog, tools-only",core_tool,Predator Carbon Fiber Tools,yes,angle_head_handle,customercatalogue2024-3.pdf-3.pdf,yes,3,verified_pdf,,,,,,0
Columbia,simple,PCHXL,PCHXL,,columbia-predator-long-extendable-handle-4-8-ft,Columbia Predator Long Extendable Handle 4–8 ft,1,visible,Official Columbia predator carbon fiber tools item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Predator Long Extendable Handle 4–8 ft. Product family: Predator Carbon Fiber Tools. Source: Columbia Product Catalogue 2024, page 3.","Tools > Columbia, Tools > Columbia > Predator Carbon Fiber Tools","Columbia, Predator Carbon Fiber Tools, official-catalog, tools-only",core_tool,Predator Carbon Fiber Tools,yes,angle_head_handle,customercatalogue2024-3.pdf-3.pdf,yes,3,verified_pdf,,,,,,0
Columbia,simple,PMHS,PMHS,,columbia-predator-matrix-handle-short-29-39-in,Columbia Predator Matrix Handle Short 29–39 in,1,visible,Official Columbia predator carbon fiber tools item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Predator Matrix Handle Short 29–39 in. Product family: Predator Carbon Fiber Tools. Source: Columbia Product Catalogue 2024, page 3.","Tools > Columbia, Tools > Columbia > Predator Carbon Fiber Tools","Columbia, Predator Carbon Fiber Tools, official-catalog, tools-only",core_tool,Predator Carbon Fiber Tools,yes,flat_box_handle,customercatalogue2024-3.pdf-3.pdf,yes,3,verified_pdf,,,,,,0
Columbia,simple,PMH,PMH,,columbia-predator-matrix-handle-40-60-in,Columbia Predator Matrix Handle 40–60 in,1,visible,Official Columbia predator carbon fiber tools item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Predator Matrix Handle 40–60 in. Product family: Predator Carbon Fiber Tools. Source: Columbia Product Catalogue 2024, page 3.","Tools > Columbia, Tools > Columbia > Predator Carbon Fiber Tools","Columbia, Predator Carbon Fiber Tools, official-catalog, tools-only",core_tool,Predator Carbon Fiber Tools,yes,flat_box_handle,customercatalogue2024-3.pdf-3.pdf,yes,3,verified_pdf,,,,,,0
Columbia,simple,PMHL,PMHL,,columbia-predator-matrix-handle-long-56-76-in,Columbia Predator Matrix Handle Long 56–76 in,1,visible,Official Columbia predator carbon fiber tools item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Predator Matrix Handle Long 56–76 in. Product family: Predator Carbon Fiber Tools. Source: Columbia Product Catalogue 2024, page 3.","Tools > Columbia, Tools > Columbia > Predator Carbon Fiber Tools","Columbia, Predator Carbon Fiber Tools, official-catalog, tools-only",core_tool,Predator Carbon Fiber Tools,yes,flat_box_handle,customercatalogue2024-3.pdf-3.pdf,yes,3,verified_pdf,,,,,,0
Columbia,simple,TS,TS,,columbia-tactical-set,Columbia Tactical Set,1,visible,Official Columbia tool sets item from the Columbia Product Catalogue.,"Official Columbia Tools catalogue item: Tactical Set. Product family: Tool Sets. Source: Columbia Product Catalogue 2024, page 4.","Tools > Columbia, Tools > Columbia > Tool Sets","Columbia, Tool Sets, official-catalog, tools-only",tool_set,Tool Sets,yes,tool_set,customercatalogue2024-3.pdf-3.pdf,yes,4,verified_pdf,,,,,,0
