Type,SKU,Parent SKU,Slug,Name,Published,Visibility in catalog,Short description,Description,Regular price,Tax status,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Categories,Tags,Brands,Images,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 used for variations,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 used for variations,meta:search_keywords,meta:seo_title,meta:seo_description,meta:seo_canonical,meta:seo_robots,meta:seo_focus_keyword,meta:seo_secondary_keywords,meta:schema_brand,meta:schema_mpn,meta:schema_condition
variable,COL-PREDATOR-ONE-HANDLE,,columbia-predator-one-handle,Columbia Predator One Handle,1,visible,Official Columbia Predator carbon fiber tools from the Columbia Product Catalogue.,<p>Columbia Predator One Handle is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Official Columbia catalogue item</li><li>Built for professional drywall finishing workflows</li><li>Configured for accurate WooCommerce import and toolset filtering</li></ul><p><em>Catalog source page: official Columbia Product Catalogue.</em></p>,,taxable,1,,0,0,,,,,Drywall Finishing Tools > Columbia > Handles & Extensions,"Columbia, Official Columbia Catalog, Tools Only, Variable Product, Predator Carbon Fiber Tools",Columbia,,,0,Handle Length,4' Fixed | 3' - 5' Extendable | 4' - 8' Long Extendable,1.0,1.0,1.0,,,,,,"Columbia Predator One Handle, COL-PREDATOR-ONE-HANDLE, Columbia tools, Predator Carbon Fiber Tools, drywall finishing tools",Columbia Predator One Handle | Columbia Drywall Tools,"Shop Columbia Predator One Handle, an official Columbia predator carbon fiber tools product for professional drywall finishing.",,"index,follow",Columbia Predator One Handle,"Columbia Predator Carbon Fiber Tools, drywall finishing tools, COL-PREDATOR-ONE-HANDLE",Columbia,COL-PREDATOR-ONE-HANDLE,NewCondition
variation,PC1H,COL-PREDATOR-ONE-HANDLE,columbia-predator-one-handle-4-fixed-pc1h,Columbia Predator One Handle - 4' Fixed,1,visible,Official Columbia Predator carbon fiber tools from the Columbia Product Catalogue.,<p>Columbia Predator One Handle - 4&#x27; Fixed is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Handle Length: 4&#x27; Fixed</li><li>Official Columbia catalogue item</li><li>Built for professional drywall finishing workflows</li><li>Configured for accurate WooCommerce import and toolset filtering</li></ul><p><em>Catalog source page: 3.</em></p>,62.0,taxable,1,,0,0,5.0,,,,Drywall Finishing Tools > Columbia > Handles & Extensions,"Columbia, Official Columbia Catalog, Tools Only, Variation, Predator Carbon Fiber Tools",Columbia,,COL-PREDATOR-ONE-HANDLE,1,Handle Length,4' Fixed,,1.0,1.0,,,,,,"Columbia Predator One Handle - 4' Fixed, PC1H, Columbia tools, Predator Carbon Fiber Tools, drywall finishing tools",Columbia Predator One Handle - 4' Fixed | Columbia Drywall Tools,"Shop Columbia Predator One Handle - 4' Fixed, an official Columbia predator carbon fiber tools product for professional drywall finishing.",,"index,follow",Columbia Predator One Handle - 4' Fixed,"Columbia Predator Carbon Fiber Tools, drywall finishing tools, PC1H",Columbia,PC1H,NewCondition
variation,PC1HEXT,COL-PREDATOR-ONE-HANDLE,columbia-predator-one-handle-3-5-extendable-pc1hext,Columbia Predator One Handle - 3' - 5' Extendable,1,visible,Official Columbia Predator carbon fiber tools from the Columbia Product Catalogue.,<p>Columbia Predator One Handle - 3&#x27; - 5&#x27; Extendable is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Handle Length: 3&#x27; - 5&#x27; Extendable</li><li>Official Columbia catalogue item</li><li>Built for professional drywall finishing workflows</li><li>Configured for accurate WooCommerce import and toolset filtering</li></ul><p><em>Catalog source page: 3.</em></p>,138.0,taxable,1,,0,0,5.0,,,,Drywall Finishing Tools > Columbia > Handles & Extensions,"Columbia, Official Columbia Catalog, Tools Only, Variation, Predator Carbon Fiber Tools",Columbia,,COL-PREDATOR-ONE-HANDLE,2,Handle Length,3' - 5' Extendable,,1.0,1.0,,,,,,"Columbia Predator One Handle - 3' - 5' Extendable, PC1HEXT, Columbia tools, Predator Carbon Fiber Tools, drywall finishing tools",Columbia Predator One Handle - 3' - 5' Extendable | Columbia Drywall Tools,"Shop Columbia Predator One Handle - 3' - 5' Extendable, an official Columbia predator carbon fiber tools product for professional drywall finishing.",,"index,follow",Columbia Predator One Handle - 3' - 5' Extendable,"Columbia Predator Carbon Fiber Tools, drywall finishing tools, PC1HEXT",Columbia,PC1HEXT,NewCondition
variation,PCHXL,COL-PREDATOR-ONE-HANDLE,columbia-predator-one-handle-4-8-long-extendable-pchxl,Columbia Predator One Handle - 4' - 8' Long Extendable,1,visible,Official Columbia Predator carbon fiber tools from the Columbia Product Catalogue.,<p>Columbia Predator One Handle - 4&#x27; - 8&#x27; Long Extendable is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Handle Length: 4&#x27; - 8&#x27; Long Extendable</li><li>Official Columbia catalogue item</li><li>Built for professional drywall finishing workflows</li><li>Configured for accurate WooCommerce import and toolset filtering</li></ul><p><em>Catalog source page: 3.</em></p>,168.0,taxable,1,,0,0,5.0,,,,Drywall Finishing Tools > Columbia > Handles & Extensions,"Columbia, Official Columbia Catalog, Tools Only, Variation, Predator Carbon Fiber Tools",Columbia,,COL-PREDATOR-ONE-HANDLE,3,Handle Length,4' - 8' Long Extendable,,1.0,1.0,,,,,,"Columbia Predator One Handle - 4' - 8' Long Extendable, PCHXL, Columbia tools, Predator Carbon Fiber Tools, drywall finishing tools",Columbia Predator One Handle - 4' - 8' Long Extendable | Columbia Drywall Tools,"Shop Columbia Predator One Handle - 4' - 8' Long Extendable, an official Columbia predator carbon fiber tools product for professional drywall finishing.",,"index,follow",Columbia Predator One Handle - 4' - 8' Long Extendable,"Columbia Predator Carbon Fiber Tools, drywall finishing tools, PCHXL",Columbia,PCHXL,NewCondition
variable,COL-PREDATOR-MATRIX-BOX-HANDLE,,columbia-predator-matrix-box-handle,Columbia Predator Matrix Box Handle,1,visible,Official Columbia Predator carbon fiber tools from the Columbia Product Catalogue.,<p>Columbia Predator Matrix Box Handle is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Official Columbia catalogue item</li><li>Built for professional drywall finishing workflows</li><li>Configured for accurate WooCommerce import and toolset filtering</li></ul><p><em>Catalog source page: official Columbia Product Catalogue.</em></p>,,taxable,1,,0,0,,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variable Product, Predator Carbon Fiber Tools",Columbia,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-predator-matrix-box-handle-COL-PREDATOR-MATRIX-BOX-HANDLE-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-predator-matrix-box-handle-COL-PREDATOR-MATRIX-BOX-HANDLE-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-predator-matrix-box-handle-COL-PREDATOR-MATRIX-BOX-HANDLE-03.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-predator-matrix-box-handle-COL-PREDATOR-MATRIX-BOX-HANDLE-04.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-predator-matrix-box-handle-COL-PREDATOR-MATRIX-BOX-HANDLE-05.webp",,0,Size,"Short 29"" to 39"" | Regular 40"" to 60"" | Long 56"" to 76""",1.0,1.0,1.0,,,,,,"Columbia Predator Matrix Box Handle, COL-PREDATOR-MATRIX-BOX-HANDLE, Columbia tools, Predator Carbon Fiber Tools, drywall finishing tools",Columbia Predator Matrix Box Handle | Columbia Drywall Tools,"Shop Columbia Predator Matrix Box Handle, an official Columbia predator carbon fiber tools product for professional drywall finishing.",,"index,follow",Columbia Predator Matrix Box Handle,"Columbia Predator Carbon Fiber Tools, drywall finishing tools, COL-PREDATOR-MATRIX-BOX-HANDLE",Columbia,COL-PREDATOR-MATRIX-BOX-HANDLE,NewCondition
variation,PMHS,COL-PREDATOR-MATRIX-BOX-HANDLE,columbia-predator-matrix-box-handle-short-29-to-39-pmhs,"Columbia Predator Matrix Box Handle - Short 29"" to 39""",1,visible,Official Columbia Predator carbon fiber tools from the Columbia Product Catalogue.,<p>Columbia Predator Matrix Box Handle - Short 29&quot; to 39&quot; is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Size: Short 29&quot; to 39&quot;</li><li>Official Columbia catalogue item</li><li>Built for professional drywall finishing workflows</li><li>Configured for accurate WooCommerce import and toolset filtering</li></ul><p><em>Catalog source page: 3.</em></p>,384.0,taxable,1,,0,0,5.0,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variation, Predator Carbon Fiber Tools",Columbia,,COL-PREDATOR-MATRIX-BOX-HANDLE,1,Size,"Short 29"" to 39""",,1.0,1.0,,,,,,"Columbia Predator Matrix Box Handle - Short 29"" to 39"", PMHS, Columbia tools, Predator Carbon Fiber Tools, drywall finishing tools","Columbia Predator Matrix Box Handle - Short 29"" to 39"" | Columbia Drywall Tools","Shop Columbia Predator Matrix Box Handle - Short 29"" to 39"", an official Columbia predator carbon fiber tools product for professional drywall finishing.",,"index,follow","Columbia Predator Matrix Box Handle - Short 29"" to 39""","Columbia Predator Carbon Fiber Tools, drywall finishing tools, PMHS",Columbia,PMHS,NewCondition
variation,PMH,COL-PREDATOR-MATRIX-BOX-HANDLE,columbia-predator-matrix-box-handle-regular-40-to-60-pmh,"Columbia Predator Matrix Box Handle - Regular 40"" to 60""",1,visible,Official Columbia Predator carbon fiber tools from the Columbia Product Catalogue.,<p>Columbia Predator Matrix Box Handle - Regular 40&quot; to 60&quot; is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Size: Regular 40&quot; to 60&quot;</li><li>Official Columbia catalogue item</li><li>Built for professional drywall finishing workflows</li><li>Configured for accurate WooCommerce import and toolset filtering</li></ul><p><em>Catalog source page: 3.</em></p>,418.0,taxable,1,,0,0,5.0,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variation, Predator Carbon Fiber Tools",Columbia,,COL-PREDATOR-MATRIX-BOX-HANDLE,2,Size,"Regular 40"" to 60""",,1.0,1.0,,,,,,"Columbia Predator Matrix Box Handle - Regular 40"" to 60"", PMH, Columbia tools, Predator Carbon Fiber Tools, drywall finishing tools","Columbia Predator Matrix Box Handle - Regular 40"" to 60"" | Columbia Drywall Tools","Shop Columbia Predator Matrix Box Handle - Regular 40"" to 60"", an official Columbia predator carbon fiber tools product for professional drywall finishing.",,"index,follow","Columbia Predator Matrix Box Handle - Regular 40"" to 60""","Columbia Predator Carbon Fiber Tools, drywall finishing tools, PMH",Columbia,PMH,NewCondition
variation,PMHL,COL-PREDATOR-MATRIX-BOX-HANDLE,columbia-predator-matrix-box-handle-long-56-to-76-pmhl,"Columbia Predator Matrix Box Handle - Long 56"" to 76""",1,visible,Official Columbia Predator carbon fiber tools from the Columbia Product Catalogue.,<p>Columbia Predator Matrix Box Handle - Long 56&quot; to 76&quot; is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Size: Long 56&quot; to 76&quot;</li><li>Official Columbia catalogue item</li><li>Built for professional drywall finishing workflows</li><li>Configured for accurate WooCommerce import and toolset filtering</li></ul><p><em>Catalog source page: 3.</em></p>,503.0,taxable,1,,0,0,7.0,,,,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Columbia, Official Columbia Catalog, Tools Only, Variation, Predator Carbon Fiber Tools",Columbia,,COL-PREDATOR-MATRIX-BOX-HANDLE,3,Size,"Long 56"" to 76""",,1.0,1.0,,,,,,"Columbia Predator Matrix Box Handle - Long 56"" to 76"", PMHL, Columbia tools, Predator Carbon Fiber Tools, drywall finishing tools","Columbia Predator Matrix Box Handle - Long 56"" to 76"" | Columbia Drywall Tools","Shop Columbia Predator Matrix Box Handle - Long 56"" to 76"", an official Columbia predator carbon fiber tools product for professional drywall finishing.",,"index,follow","Columbia Predator Matrix Box Handle - Long 56"" to 76""","Columbia Predator Carbon Fiber Tools, drywall finishing tools, PMHL",Columbia,PMHL,NewCondition
variable,COL-TOOL-SETS,,columbia-tool-set,Columbia Tool Set,1,visible,Official Columbia finishing tool sets configured from the Columbia Product Catalogue.,<p>Columbia Tool Set is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Official Columbia Product Catalogue item</li><li>Tools-only catalog entry; maintenance and replacement parts excluded</li><li>Production-format WooCommerce import row</li></ul><p><em>Catalog source page: official Columbia Product Catalogue.</em></p>,,taxable,1,,0,0,,,,,Drywall Finishing Tools > Columbia > Tool Sets,"Columbia, Official Columbia Catalog, Tools Only, Variable Product, Tool Sets",Columbia,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tactical-set-TS-01.webp,,0,Set Type,Tactical Set | Predator Tactical Set | Commando Set | Warrior Set,1.0,1.0,1.0,,,,,,"Columbia Tool Set, COL-TOOL-SETS, Columbia tools, Tool Sets, drywall finishing tools",Columbia Tool Set | Columbia Drywall Tools,"Shop Columbia Tool Set, an official Columbia tool sets product for professional drywall finishing.",,"index,follow",Columbia Tool Set,"Columbia Tool Sets, drywall finishing tools, COL-TOOL-SETS",Columbia,COL-TOOL-SETS,NewCondition
variation,TS,COL-TOOL-SETS,columbia-tool-set-tactical-set-ts,Columbia Tool Set - Tactical Set,1,visible,Official Columbia finishing tool sets configured from the Columbia Product Catalogue.,<p>Columbia Tool Set - Tactical Set is an official Columbia tools catalog item from the Columbia Product Catalogue.</p><p><strong>Configuration:</strong></p><ul><li>Set Type: Tactical Set</li><li>Official Columbia Product Catalogue item</li><li>Tools-only catalog entry; maintenance and replacement parts excluded</li><li>Production-format WooCommerce import row</li></ul><p><em>Catalog source page: 4.</em></p>,5435.0,taxable,1,,0,0,95.0,,,,Drywall Finishing Tools > Columbia > Tool Sets,"Columbia, Official Columbia Catalog, Tools Only, Variation, Tool Sets",Columbia,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tactical-set-TS-01.webp,COL-TOOL-SETS,1,Set Type,Tactical Set,,1.0,1.0,,,,,,"Columbia Tool Set - Tactical Set, TS, Columbia tools, Tool Sets, drywall finishing tools",Columbia Tool Set - Tactical Set | Columbia Drywall Tools,"Shop Columbia Tool Set - Tactical Set, an official Columbia tool sets product for professional drywall finishing.",,"index,follow",Columbia Tool Set - Tactical Set,"Columbia Tool Sets, drywall finishing tools, TS",Columbia,TS,NewCondition
