brand,name,description_full,sku,upc,description_short
Graco,Graco Belt for RTX 1500,Replacement belt for the Graco RTX 1500.,118845,633955071759,Replacement belt for the Graco RTX 1500.
Graco,"Graco 1"" Sponge Ball Clean Out Kit (5 Pack)",Graco Genuine OEM part 248515 Sponge Ball Clean-Out kit (5 pack). For cleaning out 1 in. (25mm) ID texspray hose. The ball is simply placed in the hose and then you pump water through the hose to thouroughly clean it out.,248515,633955029309,Graco Genuine OEM part 248515 Sponge Ball Clean-Out kit (5 pack). For cleaning out 1 in. (25mm) ID texspray hose. The ball is simply placed in the hose and then you pump water through the hose to thouroughly clean it out.
Graco,"Graco 1/4"" Disk Tip B - Medium","Disk Tips fit Graco

GM 1030 TextSpray Gun 235490 and HTX2030 TextSpray Air Spray Trigger Gun 24R054 texture spray guns.",235580,633955500761,Disk Tips fit GracoGM 1030 TextSpray Gun 235490 and HTX2030 TextSpray Air Spray Trigger Gun 24R054 texture spray guns.
Graco,"Graco 1/4"" x 50' BlueMax II Hose","To maximize performance, choose Graco BlueMax™ II high-performance airless hose. With superior flexibility and durability, BlueMax II is designed to ensure you get the best results from your airless sprayer.

Rated at 3300 psi

Very Flexible

Springs on the ends to prevent kinking

1/4 nps x 1/4 nps

Blue in color

Has conductive core",240794,633955862562,"To maximize performance, choose Graco BlueMax™ II high-performance airless hose. With superior flexibility and durability, BlueMax II is designed to ensure you get the best results from your airless sprayer."
Graco,"Graco 1/8"" Disk Tip A - Small","Disk Tips fit Graco

GM 1030 TextSpray Gun 235490 and HTX2030 TextSpray Air Spray Trigger Gun 24R054 texture spray guns.",235579,633955251823,Disk Tips fit GracoGM 1030 TextSpray Gun 235490 and HTX2030 TextSpray Air Spray Trigger Gun 24R054 texture spray guns.
Graco,Graco 10MM Spray Texture Nozzle for RTX 1500,,15C887,633955030398,
Graco,Graco Packing O-Ring,,155332,,
Graco,"Graco Seal, U-Cup, .156 Shaft Dia.",,15D126,,
Graco,Graco Proconnect Endurance Lower Pump,"Graco Genuine OEM part 17C487 ProConnect Endurance Pump Lower. Fits the following (NEW 2015) Models: 390 PC, Ultra 395 PC, UltraMax II 490PC Pro, UltraMax II 495PC Pro, UltraMax II 595 PC Pro, FinishPro II 395 PC and FinishPro II 595 PC Pro.

Dimensions: 3. 3 X 6. 95 X 9. 55",17C487,633955694095,"Graco Genuine OEM part 17C487 ProConnect Endurance Pump Lower. Fits the following (NEW 2015) Models: 390 PC, Ultra 395 PC, UltraMax II 490PC Pro, UltraMax II 495PC Pro, UltraMax II 595 PC Pro, FinishPro II 395 PC and FinishPro II 595 PC Pro."
Graco,Graco Ultra QuickShot,"The Ultra QuickShot is a breakthrough technology, designed to deliver higher quality and provide results faster, created for the perfect airless finish, while virtually eliminating spits. Built with extreme spray control to quickly adjust pressure for every application.

The industry's most portable sprayer allows you to spray in the tightest of areas with precision and the highest control. Spray the broadest range of architectural coatings, from water-based paints, to solvents, and flammable-based materials. Perfect for small jobs such as cabinets, doors, trim, soffits, gutters, and more.

Instant Response Electric Powered Gun Virtually Eliminates Spits

Reduce fatigue with the industry's lightest trigger pull

Smallest, lightest airless gun ever built

Responds instantly to produce the best finish

On-Demand Precision Flow-Control System

Quickly adjust the material flow for extreme airless spray control

Easily dial-in to your desired pressure from 100-2,000 psi

6 ft Flexible Hose For Full Reach & Easy Hose Management

Easily prime, change colors, and clean in seconds

The gun and hose hold only 1 oz of coating

QuickShot ProConnect Airless Piston Pump

Durable long-life triple piston pump

32 oz Pour-N-Go Cup

Easy fill design - refill on your hip

Spray small amounts FAST

Power to Take on Every Small Job

It comes with two DEWALT 20V Lithium-ion batteries

Spray up to one gallon on each battery

Ultimate Hands-Free Portability With Belt and Holster Attachment",20B473,,"The Ultra QuickShot is a breakthrough technology, designed to deliver higher quality and provide results faster, created for the perfect airless finish, while virtually eliminating spits."
Graco,Graco Kit Replacement Nozzle,Graco 234153 KIT REPLACEMENT NOZZLE,234153,,Graco 234153 KIT REPLACEMENT NOZZLE
