brand,name,description_full,sku,upc,description_short
SurPro,"SurPro 20-30"" Magnesium Double Sided Stilt","## Elevate Your Workflow with SurPro S2 Precision Stilts

Experience the pinnacle of professional-grade stability with the SurPro S2 Magnesium Double-Sided Stilts. Engineered for the demanding drywall contractor, these stilts redefine job-site efficiency by minimizing fatigue and maximizing balance. By utilizing a sophisticated double-sided pole architecture, the S2 series provides a rock-solid foundation that allows you to maneuver with confidence, whether you are hanging board, taping, or finishing ceilings.

## Unmatched Comfort and Structural Integrity

Designed to withstand the rigors of daily heavy-duty use, the S2 features a lightweight yet incredibly durable magnesium-alloy frame. The innovative 360-degree wraparound leg bands move in harmony with your natural gait, eliminating the pressure points common in traditional single-pole designs. With a fully customizable fit—including adjustable calf height, footbed length, and lean tension—these stilts adapt to your specific biomechanics, ensuring you remain productive from the first hour to the last.

## Key Features

- **Interlock Safety System:** Patented redundancy technology provides peace of mind by securing all critical stress points during operation.
- **Hex-Extruded Frame:** The unique hexagonal geometry offers superior structural rigidity while maintaining a lightweight profile for all-day wear.
- **Double-Clamshell Design:** Enhances lateral stability and prevents the twisting motion often found in standard stilts, ensuring a consistent, balanced stance.
- **Precision Adjustability:** Features comprehensive customization for leg band positioning, footplate length, and forward/backward lean tension.
- **High-Traction Soles:** Industrial-grade, non-marking rubber soles deliver exceptional grip on both residential and commercial flooring surfaces.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | SurPro |
| Model | S2 Magnesium Double Sided |
| SKU | SURS2M2030 |
| Height Range | 20"" - 30"" |
| Max Load Capacity | 225 lbs (per pair) |
| Frame Material | Magnesium Alloy |
| Safety System | Interlock Enhanced Safety System |
| Sole Type | Non-marking, High-Grip Rubber |",SURS2M2030,,SurPro set the bar and then broke it with the invention of double-sided drywall stilts. The newly updated SurPro S2 maximizes everyday performance by further elevating your comfort and stability.
SurPro,SurPro Single Sided Stilts Strap Kit,"## Restore Your Stability and Performance

Ensure your equipment remains in peak condition with the SurPro Single Sided Stilts Strap Kit. Designed to provide a secure, reliable fit, this comprehensive replacement set restores the integrity of your stilts, allowing you to work with confidence and precision. Whether you are performing routine maintenance or replacing worn-out components, this kit delivers the professional-grade durability required for demanding job sites.

## Engineered for Reliability

Each component in this kit is crafted to meet the rigorous standards of trade professionals. By replacing frayed or damaged straps, you eliminate unnecessary movement and instability, promoting better balance and safety during extended use. The included hardware ensures a seamless installation process, getting you back to work with minimal downtime.

## Key Features

- **Comprehensive Replacement:** Includes a full set of leg, arch, and toe straps to completely refresh your single-sided stilt system.
- **Secure Fastening:** Each strap features high-quality buckles designed to maintain tension and prevent slippage throughout the workday.
- **Durable Construction:** Built to withstand the wear and tear of daily construction and drywall environments.
- **Complete Hardware Included:** Comes with all necessary screws and washers, ensuring a quick and secure attachment to your existing equipment.
- **Universal Compatibility:** Specifically engineered to fit all standard SurPro single-sided stilt models.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | SurPro |
| SKU | SURSS1002B |
| Compatibility | All Single Sided Stilts |
| Color | Black |
| Included Components | 2 Leg Band Straps (HS104S-B), 2 Arch Straps (HS107S), 2 Toe Straps (HS108W), Mounting Hardware |",SURSS1002B,,"Complete Strap Kit for all Single Sided Stilts, Black."
SurPro,SurPro Wraparound Leg Band Kit w/ Black Strap,"## Elevate Your Stability and Performance

Experience superior support and reliability with the SurPro Wraparound Leg Band Kit. Engineered for professionals who demand precision and durability on the job, this comprehensive set provides everything necessary to secure your stilts with confidence. By utilizing high-grade components, this kit ensures a snug, ergonomic fit that minimizes fatigue and maximizes control during extended periods of use.

## Professional-Grade Construction

This kit is designed to withstand the rigors of daily construction and drywall work. Each component is selected for its structural integrity, ensuring that your equipment remains stable and responsive. The included black straps offer a sleek, professional aesthetic while providing the tension required for a secure, non-slip experience. Whether you are performing routine maintenance or upgrading your current setup, this hardware package delivers the consistency and peace of mind required for high-stakes projects.

## Key Features

- **Complete Integration:** Includes a full set of wraparound bands, heavy-duty straps, and all necessary mounting hardware for a seamless installation.
- **Enhanced Ergonomics:** Designed to distribute pressure evenly, reducing discomfort during long shifts.
- **Durable Hardware:** The included bolt kit features corrosion-resistant fasteners, washers, and nuts to ensure a long-lasting, secure connection.
- **Universal Compatibility:** Engineered specifically for SurPro systems to guarantee a perfect fit and optimal performance.
- **Professional Aesthetic:** Features sleek black straps that maintain a clean, professional look on the job site.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | SurPro |
| SKU | SURSS1005FB |
| Included Bands | 2 x Wraparound Leg Bands (HS101W-F) |
| Included Straps | 2 x Black Leg Band Straps (HS104S-B) |
| Included Hardware | 4 x Bolts, 8 x Washers, 4 x Nuts (SS134) |
| Quantity | 1 Pair |",SURSS1005FB,,"Wraparound Leg Band Kit (Pair). Includes: (2) Wraparound Leg Bands (HS101W-F), (2) Black Leg Band Straps (HS104S-B), Leg Band Bolt Kit - (4) Bolts, (8) Washers and (4) Nuts (SS134)."
SurPro,SurPro Super Grip Floor Plate Kit,"## Elevate Your Stability and Safety

Experience uncompromising traction and confidence while working at height with the SurPro Super Grip Floor Plate Kit. Engineered for professionals who demand reliability, these replacement floor plates feature advanced high-friction soles designed to minimize slippage on a variety of job site surfaces. Whether you are navigating smooth concrete or finished flooring, this kit ensures your stilts maintain a secure, stable foundation throughout your workday.

## Precision Engineering for Seamless Integration

Designed with the end-user in mind, this kit provides a perfect fit for both single-sided and double-sided SurPro stilt models. The robust construction ensures long-lasting durability, standing up to the rigorous demands of daily construction, drywall, and painting tasks. By replacing worn-out plates with this high-performance kit, you restore the original factory-grade grip and balance of your equipment, keeping you productive and secure.

## Key Features

- **Enhanced Traction:** Specialized Super Grip soles provide superior surface contact to prevent accidental slips.
- **Universal Compatibility:** Fully compatible with SurPro S1 and S2 stilt series, including both single and double-sided configurations.
- **Professional Durability:** Built to withstand heavy-duty use in demanding industrial and residential environments.
- **Easy Installation:** Designed for quick, hassle-free replacement to minimize downtime on the job.
- **Complete Set:** Includes a pair of floor plates, ensuring both stilts are upgraded simultaneously for balanced performance.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | SurPro |
| Product Name | Super Grip Floor Plate Kit |
| SKU | SURSS1003 |
| Compatibility | SurPro S1 & S2 (Single & Double Sided) |
| Quantity | 1 Pair |
| Material | High-Friction Composite/Metal |",SURSS1003,,"Floor Plate Kit w/ Super Grip Soles (Pair). Fits Single Sided Stilts and Double Sided Stilts, models S1 & S2."
SurPro,SurPro Wing Bolt Kit,"## Secure Your Stability with SurPro Precision

Maintain the structural integrity of your drywall stilts with the SurPro Wing Bolt Kit. Engineered to provide a rock-solid connection, these replacement bolts are designed to prevent the common issue of loosening during high-intensity work. By utilizing specialized stop and spring washers, this kit ensures a firm, reliable grip that protects your equipment's main body from unnecessary wear and tear.

## Engineered for Reliability

As the pioneers of the signature Double Wing Bolt System, SurPro understands that stability is the foundation of professional performance. These high-grade replacement bolts are built to withstand the rigors of daily job site use, ensuring your stilts remain locked in position for maximum safety and confidence while working at height.

## Key Features

- **Integrated Washer System:** Each bolt features a specialized stop/spring washer combination to prevent loosening and protect the stilt frame.
- **Genuine SurPro Quality:** Designed specifically for compatibility with SurPro stilt models to ensure a perfect fit.
- **Enhanced Durability:** Constructed to resist vibration and mechanical stress, keeping your equipment secure throughout the workday.
- **Versatile Compatibility:** Suitable for various SurPro stilt sizes, allowing for a quick and easy maintenance refresh.
- **Complete Kit:** Includes 4 wing bolts and 4 matching washers per pack to get your equipment back in service immediately.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | SurPro |
| SKU | SURSS1008 |
| Kit Contents | 4 Wing Bolts, 4 Washers |
| Compatibility | SurPro Stilt Systems |
| Washer Type | Stop/Spring Washer Combo |",SURSS1008,,Not all Wing Bolts used on stilts are created equal.
SurPro,SurPro Heel Bracket Kit,"## Restore Your Stability and Performance

Ensure your professional-grade stilts remain in peak operating condition with the SurPro Heel Bracket Kit. Designed for precision and durability, this replacement set provides the essential support required for safe, balanced movement while working at height. Whether you are performing routine maintenance or replacing worn components, these genuine SurPro parts guarantee a seamless fit and reliable performance on the job site.

## Engineered for Reliability

Crafted to meet the rigorous demands of drywall professionals and contractors, these heel brackets offer the structural integrity needed for long-term use. The adjustable design allows for a customized fit, ensuring your stilts provide optimal comfort and control throughout your workday. By choosing authentic SurPro replacement parts, you maintain the safety standards and mechanical precision your equipment was built to deliver.

## Key Features

- **Genuine OEM Quality:** Manufactured specifically for SurPro stilts to ensure perfect compatibility and factory-standard performance.
- **Complete Maintenance Set:** Includes two adjustable heel brackets and four mounting screws (HS110W) for a comprehensive, ready-to-install solution.
- **Enhanced Stability:** Provides critical heel support, reducing fatigue and improving balance during extended periods of use.
- **Adjustable Design:** Engineered to accommodate various user preferences, allowing for precise calibration of your stilt setup.
- **Durable Construction:** Built to withstand the high-impact, heavy-duty environment of professional construction and renovation projects.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | SurPro |
| Product Name | Heel Bracket Kit |
| SKU | SURSS1009 |
| Included Components | 2 x Heel Brackets, 4 x Screws (HS110W) |
| Compatibility | Genuine SurPro Stilts |",SURSS1009,,Adjustable Heel Bracket Kit w/ Screws (Pair). Includes (2) Heel Brackets w/ (4) Screws (HS110W). Genuine SurPro Stilts Part.
SurPro,SurPro Main Body Spring Kit,"## Restore Your Stilt Performance

Ensure your equipment remains in peak operating condition with the SurPro Main Body Spring Assembly Kit. Designed specifically for professionals who rely on consistent, responsive performance, this kit provides the essential components needed to maintain the tension and stability of your stilts. By replacing worn or fatigued springs, you restore the natural bounce and structural integrity required for safe, efficient movement on the job site.

## Precision Engineering for Reliability

This comprehensive set includes everything necessary to service one full pair of stilts. Each component is manufactured to meet rigorous standards, ensuring a seamless fit and reliable operation under demanding conditions. Whether you are performing routine maintenance or addressing a loss of tension, this kit offers a straightforward, high-quality solution to keep your gear performing like new.

## Key Features

- **Complete Maintenance Solution:** Includes two high-tension springs and all necessary mounting hardware to service a full pair of stilts.
- **Optimized Performance:** Restores the original spring-back action, reducing fatigue and improving balance during extended use.
- **Professional Grade:** Engineered for durability and consistent tension, meeting the high standards expected by drywall and construction professionals.
- **Easy Installation:** Designed for a precise fit, allowing for quick replacement so you can minimize downtime.
- **Genuine Compatibility:** Specifically configured for seamless integration with SurPro stilt systems using the HS145W-O hardware specification.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | SurPro |
| Product Name | Main Body Spring Kit |
| SKU | SURSS1004O |
| Hardware Included | HS145W-O |
| Kit Contents | 2 Springs with Hardware |
| Application | One pair of stilts |",SURSS1004O,,Main Body Spring Assembly Kit. (2) Springs w/ Hardware (HS145W-O). Complete set for one pair of stilts.
SurPro,SurPro Stilts Strap Kit w/ Black Laces,"## Restore Your Stability and Performance

Ensure your SurPro stilts remain in peak operating condition with this comprehensive replacement strap kit. Designed specifically for S2 and S2X models, this set provides a complete refresh of your critical connection points, allowing you to maintain the secure, locked-in feel necessary for professional-grade work. Whether you are replacing worn-out components or performing routine maintenance, these high-quality black straps deliver the durability and reliability required for demanding job sites.

## Engineered for Durability

Each component in this kit is built to withstand the rigors of daily use, featuring robust buckles and high-tensile materials that keep your equipment firmly attached. By replacing frayed or damaged straps, you eliminate unnecessary movement and enhance your balance, significantly improving safety and comfort during extended periods of use. This kit includes all necessary hardware, ensuring a straightforward installation process so you can get back to work with confidence.

## Key Features

- **Complete Refresh:** Includes a full set of leg, arch, and toe straps to restore your stilts to factory-standard security.
- **Precision Fit:** Engineered specifically for seamless compatibility with SurPro S2 and S2X stilt models.
- **Durable Hardware:** Each strap comes equipped with heavy-duty buckles and the necessary mounting hardware for a secure, long-lasting fit.
- **Professional Grade:** Constructed from resilient materials designed to endure the high-stress environment of professional drywall and construction work.
- **All-Inclusive Kit:** Comes with two of each strap type (leg, arch, and toe) along with the required screws and washers for a complete overhaul.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | SurPro |
| SKU | SURSS1011B |
| Compatibility | S2, S2X Stilts |
| Color | Black |
| Included Components | 2x Leg Band Straps (HS164S-B), 2x Arch Straps (HS107W-B), 2x Toe Straps (HS108W-B) |
| Hardware Included | Yes (Screws and Washers) |",SURSS1011B,,"S2/S2X Stilts Strap Kit, Black (Pair). Includes: (2) Leg Band Straps w/ Buckle (HS164S-B), (2) Arch Straps w/ Buckle, Screws and Washers (HS107W-B), (2) Toe Straps w/ Buckle, Screws and Washers..."
SurPro,SurPro Double Sided Right Leg Band Kit,"## Restore Your Stability and Performance

Maintain the professional-grade reliability of your equipment with the SurPro S2 Right Leg Band Kit. Engineered specifically for seamless integration with standard SurPro Double-Sided Stilts, this replacement component ensures your gear remains secure, comfortable, and fully operational during demanding work shifts. Whether you are performing routine maintenance or replacing a worn-out part, this genuine SurPro component provides the exact fit and structural integrity required for safe operation at height.

## Precision Engineering for SurPro Stilts

Designed to meet the rigorous demands of drywall professionals and contractors, this leg band kit is crafted to provide consistent support and ergonomic alignment. By utilizing authentic replacement parts, you preserve the balance and safety standards inherent in your SurPro stilts. Please note that this specific kit is tailored for the standard S2 series and is not compatible with the S2X model, which utilizes the specialized Rocker Leg Band system.

## Key Features

- **Genuine Compatibility:** Specifically engineered for all generations of SurPro Double-Sided Stilts (excluding S2X models).
- **Right-Side Configuration:** Precision-molded to fit the right leg assembly for optimal comfort and secure attachment.
- **Durable Construction:** Built to withstand the high-impact, heavy-duty environment of professional job sites.
- **Easy Installation:** Designed for straightforward replacement, minimizing downtime so you can return to the task at hand quickly.
- **Safety-Focused Design:** Ensures the structural integrity of your stilt setup, maintaining the manufacturer's intended performance standards.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | SurPro |
| Product Name | Double Sided Right Leg Band Kit |
| SKU | SURSS1010R |
| Compatibility | All SurPro Double-Sided Stilts (Excluding S2X) |
| Side | Right |
| Part Type | Replacement Leg Band Kit |",SURSS1010R,,"This S2 Leg Band Kit (Right) works with all generations of SurPro Double-Sided Stilts, except the S2X, which features our Rocker Leg Bands. This part is the Right Leg Band only."
SurPro,SurPro Double Sided Stilts Leg Band Kit,"## Restore Your Stability and Performance

Ensure your SurPro Double-Sided Stilts remain in peak operating condition with this genuine replacement Left Leg Band. Engineered for durability and a secure fit, this component is essential for maintaining the balance and safety required for professional-grade drywall and ceiling work. By replacing worn or damaged leg bands, you restore the structural integrity of your equipment, allowing you to work with confidence and precision.

## Seamless Compatibility

Designed specifically for the SurPro S2 series, this replacement part integrates perfectly with your existing setup. Whether you are performing routine maintenance or repairing a damaged unit, this OEM-quality component ensures your stilts continue to provide the reliable support you expect on the job site. Please note that this specific kit is designed for the left leg and is compatible with all standard SurPro Double-Sided Stilts, excluding the S2X model which utilizes the specialized Rocker Leg Band system.

## Key Features

- **Genuine OEM Replacement:** Manufactured to exact factory standards to ensure a perfect fit and reliable performance.
- **Optimized for S2 Series:** Specifically engineered for compatibility with all generations of SurPro Double-Sided Stilts.
- **Enhanced Safety:** Replacing worn bands prevents slippage and instability, keeping you secure while working at height.
- **Easy Installation:** Designed for straightforward replacement, minimizing downtime so you can get back to your project quickly.
- **Durable Construction:** Built to withstand the rigors of daily professional use in demanding construction environments.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | SurPro |
| Product Name | Double Sided Stilts Leg Band Kit (Left) |
| SKU | SURSS1010L |
| Compatibility | All SurPro Double-Sided Stilts (Excludes S2X) |
| Position | Left Leg |
| Part Type | Replacement Leg Band |",SURSS1010L,,"This S2 Leg Band Kit (Left) works with all generations of SurPro Double-Sided Stilts, except the S2X, which features our Rocker Leg Bands. This part is the Left Leg Band only."
