brand,name,description_full,sku,upc,description_short
Asgard,Asgard Fiberglass Handle,"Asgard Fiberglass Support Handle

Experience the perfect balance of durability, functionality, and affordability with the

Asgard Fiberglass Support Handle. Designed for versatility, this handle system works seamlessly with Corner Rollers, Angle Boxes, Angle Heads, and Nail Spotters, making it an essential addition to your drywall finishing toolkit.

The ergonomic 1.25"" diameter ensures comfortable handling, while the innovative D-shaped fitting securely locks the handle in place within the Asgard Angle Box, preventing any rotation during use. Built with Asgard’s commitment to quality and performance, this support handle is a reliable choice for professionals seeking efficiency and ease of use.

Take your drywall tools to a new level with Asgard!",FH-AD,,Asgard Fiberglass Support Handle
Asgard,Asgard “Hammer” Automatic Taper,"Introducing the Asgard® ""HAMMER™"" Automatic Taper, setting a new standard for value in drywall tools. This innovative taper seamlessly applies joint tape and precisely measures joint compound, revolutionizing taping efficiency. The AT01-AD model boasts stainless steel side plates, a hard anodized push rod, and a cable drum, ensuring durability and corrosion resistance for long-lasting performance. Enhanced with enclosed rollers on the control tube for a comfortable grip and hand protection, the HAMMER also features a control tube flange for tape cutting convenience during high ceiling applications. With a streamlined tube protector design for maximum comfort and effortless maintenance, experience unparalleled ease and efficiency without the need for additional tools.",AT01-AD,0873876004492,"Introducing the Asgard® ""HAMMER™"" Automatic Taper, setting a new standard for value in drywall tools. This innovative taper seamlessly applies joint tape and precisely measures joint compound, revolutionizing taping efficiency. The AT01-AD model boasts stainless steel side plates, a hard anodized push rod, and a cable drum, ensuring durability and corrosion resistance for long-lasting performance. Enhanced with enclosed rollers on the control tube for a comfortable grip and hand protection, the"
Asgard,"Asgard 10"" and 12"" Flat Box Combo Set","This kit includes the following

Asgard Loading Pump LP01-AD

Asgard Filler Adapter FA01-AD

Asgard Extendable Flat Box Handle FBE-AD

Asgard 10"" Flat Box EZ10-AD

Asgard 12"" Flat Box EZ12-AD

Experience a new standard in drywall finishing with the Asgard Taping Tools Flat Box Combo. Designed for both durability and performance without the high price tag, this combo set includes a 10"" and 12"" flat box to help you achieve flawless drywall results. The smooth-operating loading pump, complete with a flat box filler, ensures fast and easy refills, while the lightweight, extendable flat box handle allows you to reach every corner with ease. Ideal for finishing flat seams and butt joints, Asgard Taping Tools deliver reliable, field-tested quality for all your drywall needs.",AGFLATEXT,,This kit includes the following
Asgard,"Asgard 10"" Flat Box","Asgard 10"" Flat Box: Advanced Drywall Tools

Experience a new level of drywall efficiency with Asgard Taping Tools by TapeTech, offering unmatched durability and functionality without the added markup. The Asgard 10"" Flat Box, featuring a sleek black exterior, is designed for compatibility with other major brand Flat Box handles. Built from superior quality alloys, this Flat Box is engineered to withstand the toughest job sites. It includes quick-release thumb latches for effortless clean-up and an easy dial adjustment for consistent, finely controlled mud output. Perfect for applying base coats to flat seams or butt joints, this Flat Box is an essential tool for any drywall professional.",EZ10-AD,0873876004515,"Experience a new level of drywall efficiency with Asgard Taping Tools by TapeTech, offering unmatched durability and functionality without the added markup. The Asgard 10"" Flat Box, featuring a sleek black exterior, is designed for compatibility with other major brand Flat Box handles. Built from superior quality alloys, this Flat Box is engineered to withstand the toughest job sites. It includes quick-release thumb latches for effortless clean-up and an easy dial adjustment for consistent, fine"
Asgard,"Asgard 10"" MaxxBox Finishing Box","Asgard 10"" MAXXBOX Flat Box

Elevate your drywall finishing with the

Asgard 10"" MAXXBOX Flat Box

—where durability and functionality meet exceptional value. Featuring a sleek black exterior, this flat box is crafted from premium-quality alloys to withstand the toughest job sites. Designed for compatibility, it works seamlessly with flat box handles from other major brands, offering ultimate flexibility.

The easy dial adjustment ensures consistent and precise mud output every time, while the

MAXXBOX®

Design holds up to 68% more mud than other high-capacity flat boxes. This means fewer fill-ups, increased efficiency, and faster production speeds—all without exhausting the user. Perfect for finishing flat seams and butt joints, the Asgard 10"" MAXXBOX delivers professional-grade results with ease.

Discover a new level of drywall tools with Asgard!",EHC10-AD,,"Asgard 10"" MAXXBOX Flat Box"
Asgard,"Asgard 10"" Power Assist Finishing Box","Asgard 10"" Power Assist Finishing Box

Achieve flawless drywall finishes with the

Asgard 10"" Power Assist Finishing Box. Engineered for precision and efficiency, this finishing box features power-assisted springs, reducing effort and providing a smoother application of joint compound. Its durable aluminum construction ensures long-lasting performance, while the stainless steel blade delivers consistent, clean edges for professional results.

Perfect for taping professionals looking to save time and reduce fatigue, the 10"" width is ideal for finishing wider seams and creating seamless transitions. Whether you're handling a large project or tackling detailed work, the Asgard Power Assist Finishing Box makes drywall finishing faster and easier without compromising quality.

Upgrade your drywall tools with Asgard's reliable and innovative design!",PA10-AD,,"Asgard 10"" Power Assist Finishing Box"
Asgard,"Asgard 12"" Flat Box","Asgard 12"" Flat Box: Superior Drywall Tools

Step up your drywall game with Asgard Taping Tools by TapeTech, delivering exceptional durability and functionality without the extra cost. The Asgard 12"" Flat Box, featuring a sleek black exterior, is designed to be compatible with handles from all major brands. Made from high-quality alloys, this Flat Box is built to endure the toughest job sites. It boasts quick-release thumb latches for easy clean-up and an easy dial adjustment for consistent, finely controlled mud output. Perfect for finishing flat seams or butt joints, this Flat Box is a must-have for any drywall professional.",EZ12-AD,0873876004522,"Step up your drywall game with Asgard Taping Tools by TapeTech, delivering exceptional durability and functionality without the extra cost. The Asgard 12"" Flat Box, featuring a sleek black exterior, is designed to be compatible with handles from all major brands. Made from high-quality alloys, this Flat Box is built to endure the toughest job sites. It boasts quick-release thumb latches for easy clean-up and an easy dial adjustment for consistent, finely controlled mud output. Perfect for finish"
Asgard,"Asgard 12"" Power Assist Finishing Box","Asgard 12"" Power Assist Finishing Box

Take your drywall finishing to the next level with the

Asgard 12"" Power Assist Finishing Box. Engineered for maximum efficiency, this box features power-assisted springs, making it easier to apply joint compound with minimal effort. Its wide 12"" blade is perfect for smoothing and finishing larger seams, creating seamless transitions and a flawless surface.

Crafted with durable aluminum housing and a premium stainless steel blade, the Asgard 12"" Power Assist Finishing Box is built to withstand heavy use while delivering consistent, professional results. It is ideal for taping professionals working on larger projects because it offers precision, reliability, and ease of use.

Finish faster and better with Asgard’s trusted innovation and quality!",PA12-AD,,"Asgard 12"" Power Assist Finishing Box"
Asgard,"Asgard 2.5"" Angle Head","The Asgard® 2.5"" Angle Head streamlines the process of feathering joint compound on both sides of internal corners with precision in a single pass. Ideal for wall-to-wall or wall-to-ceiling corners, this tool is an essential component of the taping process. After the joint tape is set into the corner using a

Corner roller, the 2.5"" Angle Head efficiently wipes down the corner, ensuring seamless results.",AH25-AD,0873876004539,"The Asgard® 2.5"" Angle Head streamlines the process of feathering joint compound on both sides of internal corners with precision in a single pass. Ideal for wall-to-wall or wall-to-ceiling corners, this tool is an essential component of the taping process. After the joint tape is set into the corner using acorner roller, the 2.5"" Angle Head efficiently wipes down the corner, ensuring seamless results."
Asgard,"Asgard 3"" Angle Head","The Asgard® Adjustable Angle Head perfectly feathers the joint compound applied to both sides of internal corners in one pass. The Angle Head can be used for wall-to-wall internal corners or wall-to-ceiling corners. This tool's “adjustable” feature refers to the ability to control the amount of spring pressure by engaging or disengaging one set of tension springs on the back of the angle head. Angle Heads, or Angle Finishers or Corner Finishers, are attached to the CA08-AD corner applicator to quickly and professionally finish internal drywall corners. The 3” Asgard Angle Head has wheels to provide the smoothest action on the wall and is spring-loaded to help compensate for slightly imperfect corners. The Angle Head is also part of the Taping process when attached to the FH-AD or XH-AD support handles with the CFA-AD adapter.",AH30-AD,873876004553,"The Asgard® Adjustable Angle Head perfectly feathers the joint compound applied to both sides of internal corners in one pass. The Angle Head can be used for wall-to-wall internal corners or wall-to-ceiling corners. This tool's “adjustable” feature refers to the ability to control the amount of spring pressure by engaging or disengaging one set of tension springs on the back of the angle head. Angle Heads, or Angle Finishers or Corner Finishers, are attached to the CA08-AD corner applicator to q"
