sku,brand,name,old_price,old_price_numeric,new_price,new_price_numeric
cttcs,Columbia Taping Tools,Columbia Sander Head,$31.99,31.99,$35.00,35
cttc1h,Columbia Taping Tools,Columbia 4' Extendable One Handle,$64.88,64.88,$80.00,80
cttc1hext,Columbia Taping Tools,Columbia 3'-5' Extendable One Handle,$112.50,112.5,$130.00,130
cttcr,Columbia Taping Tools,Columbia Inside Corner Roller,$162.75,162.75,$160.00,160
cttcobcr,Columbia Taping Tools,Columbia Outside Corner Roller,$86.52,86.52,$70.00,70
ctthmp,Columbia Taping Tools,Columbia Mud Pump (Top Disconnect),$399.00,399,$435.00,435
cttbf,Columbia Taping Tools,Columbia Box Filler,$75.99,75.99,$75.00,75
ctt10ffb,Columbia Taping Tools,"Columbia 10"" Flat Finishing Box",$400.99,400.99,$365.00,365
ctt12ffb,Columbia Taping Tools,"Columbia 12"" Flat Finishing Box",$399.00,399,$405.00,405
ctt2ns,Columbia Taping Tools,Columbia 2â€³ Nailspotter,$288.75,288.75,$195.00,195
ctt3ah,Columbia Taping Tools,Columbia 3â€³ Anglehead,$409.50,409.5,$420.00,420
ctt3ns,Columbia Taping Tools,Columbia 3â€³ Nailspotter,$299.25,299.25,$335.00,335
ctt25sf,Columbia Taping Tools,"Columbia 2.5"" Standard Corner Flusher",$113.40,113.4,$111.00,111
ctt3sf,Columbia Taping Tools,"Columbia 3"" Standard Corner Flusher",$118.65,118.65,$118.00,118
ctt8cfb,Columbia Taping Tools,Columbia 8â€³ Throttle Box,$315.00,315,$300.00,300
ctt35ah,Columbia Taping Tools,Columbia 3.5â€³ Anglehead,$454.23,454.23,$430.00,430
ctt25ah,Columbia Taping Tools,Columbia 2.5â€³ Anglehead,$421.79,421.79,$390.00,390
coom3r,Crescent Tools,9 3/4 in Wiss Straight Cut Compound Action Snips - Yellow,$16.99,16.99,$16.97,16.97
coom1r,Crescent Tools,9 3/4 in Wiss Right Cut Compound Action Snips - Red,$16.99,16.99,$16.97,16.97
coom2r,Crescent Tools,9 3/4 in Wiss Right Cut Compound Action Snips - Green,$16.99,16.99,$16.97,16.97
cooc6ccv,Crescent Tools,"Crescent 6"" Locking C-Clamp",$11.32,11.32,$14.99,14.99
lobmst18,Lobo Tool Company,"Lobo Tools 18"" Magic Squeegee Trowel",$25.12,25.12,$24.99,24.99
lobtsb8,Lobo Tool Company,"Lobo Tools 8"" Horse Hair Drywall Texture Stipple Brush",$23.50,23.5,$19.99,19.99
thr07053,3M,Angled Sanding Sponge - Fine Grit,$3.82,3.82,$3.86,3.86
thr07054,3M,4 7/8 in x 2 7/8 in x 1 in 3M Detail Area/Angled Sanding Sponge - Medium,$3.82,3.82,$5.75,5.75
thr209036acp,3M,"ScotchBlue Original Multi-Use Painter's Tape - 1-1/2"" x 60 yds.",$6.42,6.42,$7.00,7
