brand,name,sku,upc,price,price_numeric
Columbia Taping Tools,Columbia Sander Head,CTTCS,,$35.00,35
Columbia Taping Tools,Columbia 4' Extendable One Handle,CTTC1H,,$80.00,80
Columbia Taping Tools,Columbia 3'-5' Extendable One Handle,CTTC1HEXT,,$130.00,130
Columbia Taping Tools,Columbia Inside Corner Roller,CTTCR,,$160.00,160
Columbia Taping Tools,Columbia Outside Corner Roller,CTTCOBCR,,$70.00,70
Columbia Taping Tools,Columbia Mud Pump (Top Disconnect),CTTHMP,,$435.00,435
Columbia Taping Tools,Columbia Box Filler,CTTBF,,$75.00,75
Columbia Taping Tools,"Columbia 10"" Flat Finishing Box",CTT10FFB,,$365.00,365
Columbia Taping Tools,"Columbia 12"" Flat Finishing Box",CTT12FFB,,$405.00,405
Columbia Taping Tools,Columbia 2â€³ Nailspotter,CTT2NS,,$195.00,195
Columbia Taping Tools,Columbia 3â€³ Anglehead,CTT3AH,,$420.00,420
Columbia Taping Tools,Columbia 3â€³ Nailspotter,CTT3NS,,$335.00,335
Columbia Taping Tools,"Columbia 2.5"" Standard Corner Flusher",CTT25SF,,$111.00,111
Columbia Taping Tools,"Columbia 3"" Standard Corner Flusher",CTT3SF,,$118.00,118
Columbia Taping Tools,Columbia 8â€³ Throttle Box,CTT8CFB,,$300.00,300
Columbia Taping Tools,Columbia 3.5â€³ Anglehead,CTT35AH,,$430.00,430
Columbia Taping Tools,Columbia 2.5â€³ Anglehead,CTT25AH,,$390.00,390
Crescent Tools,9 3/4 in Wiss Straight Cut Compound Action Snips - Yellow,COOM3R,,$16.97,16.97
Crescent Tools,9 3/4 in Wiss Right Cut Compound Action Snips - Red,COOM1R,,$16.97,16.97
Crescent Tools,9 3/4 in Wiss Right Cut Compound Action Snips - Green,COOM2R,,$16.97,16.97
Crescent Tools,"Crescent 6"" Locking C-Clamp",COOC6CCV,,$14.99,14.99
Lobo Tool Company,"Lobo Tools 12"" Magic Squeegee Trowel",LOBMST12,,$19.99,19.99
Lobo Tool Company,"Lobo Tools 18"" Magic Squeegee Trowel",LOBMST18,,$24.99,24.99
Lobo Tool Company,"Lobo Tools 22"" Magic Squeegee Trowel",LOBMST22,,$29.99,29.99
Lobo Tool Company,"Lobo Tools 8"" Horse Hair Drywall Texture Stipple Brush",LOBTSB8,,$19.99,19.99
Lobo Tool Company,"Lobo Tools 8.5"" Tampico Shag Style Drywall Texture Stipple Brush",LOBTTSB85,,$19.99,19.99
