brand,name,description_full,sku,upc,description_short
SurPro,"SurPro 20-30"" Magnesium Double Sided Stilt","SurPro set the bar and then broke it with the invention of double-sided drywall stilts. The newly updated SurPro S2 maximizes everyday performance by further elevating your comfort and stability. Better balance and comfort equate to less fatigue and added performance for drywall contractors. Step into our best-selling stilts for drywallers, worldwide. Reach new heights with telescoping height models ranging from a minimum of 16”, to a maximum of 40”. S2 Leg Bands provide 360 degrees of comfort and security and can be raised and lowered to adjust to the desired height. Durable and lightweight hexagon extruded frames presented in aluminum will stand the test of time. Double the wing bolts for added safety and internal parts longevity. Exclusive Interlock Enhanced Safety System for safety redundancy. Industrial non-marking, superior grip soles on all models. 225 lb. Max. Load (per pair).

Features: Extra-strength, lightweight Aluminum stilt body - hex-shaped design has proven a lifetime of dependability among daily users. Double side poles that will not twist or require constant adjustment due to our square tubing design. All ranges of height adjustment. And maximum stabilization for the best balance, security, and reduced fatigue. The most personalized fit - Fully adjustable stilt height, side pole calf height, and positioning, footbed length, forward and backward lean tension, and strap positioning. Super Comfy 360° Wraparound Leg Bands that flex with you, not cut into your legs. The double-clamshell design eliminates the unbalanced feel and discomfort of traditional stilts and maximizes safety (no strap to wear thin or wear your calves thin). Auto-Locking, Non-Slip, premium cotton webbed leg, ankle, and toes straps for a comfy secure fit. Industries largest footplates for a stable stance and better balance. Double wing bolts, front and back, for added security, when up high, and increased internal parts longevity. All sizes, except 16""-24"". Safety First - Patented Interlock Safety System that adds redundancy at all crucial safety points. Non-slip SurPro Super Grip soles designed for commercial and residential job site environments",SURS2M2030,,SurPro set the bar and then broke it with the invention of double-sided drywall stilts. The newly updated SurPro S2 maximizes everyday performance by further elevating your comfort and stability.
SurPro,SurPro Single Sided Stilts Strap Kit,"Complete Strap Kit for all Single Sided Stilts, Black. (2) Leg Band Straps w/ Buckle (HS104S-B), (2) Arch Straps w/ Buckle, Screws and Washers (HS107S), (2) Toe Straps w/ Buckle, Screws and Washers (HS108W).",SURSS1002B,,"Complete Strap Kit for all Single Sided Stilts, Black."
SurPro,SurPro Wraparound Leg Band Kit w/ Black Strap,"Wraparound Leg Band Kit (Pair). Includes: (2) Wraparound Leg Bands (HS101W-F), (2) Black Leg Band Straps (HS104S-B), Leg Band Bolt Kit - (4) Bolts, (8) Washers and (4) Nuts (SS134).",SURSS1005FB,,"Wraparound Leg Band Kit (Pair). Includes: (2) Wraparound Leg Bands (HS101W-F), (2) Black Leg Band Straps (HS104S-B), Leg Band Bolt Kit - (4) Bolts, (8) Washers and (4) Nuts (SS134)."
SurPro,SurPro Super Grip Floor Plate Kit,"Floor Plate Kit w/ Super Grip Soles (Pair). Fits Single Sided Stilts and Double Sided Stilts, models S1 & S2.",SURSS1003,,"Floor Plate Kit w/ Super Grip Soles (Pair). Fits Single Sided Stilts and Double Sided Stilts, models S1 & S2."
SurPro,SurPro Wing Bolt Kit,"Not all Wing Bolts used on stilts are created equal. Our customers love that we use special stop/spring washers on each of our Wing Bolts to ensure a secure fit without damaging the main body, or loosening over time. We are the originators of the ""Double Wing Bolt System"", and each individual stilt we offer uses two wing bolts on the front, and two wing bolts on the back - 4 per stilt/8 total Wing Bolts per pair of stilts (except sizes 15""-23"" and 16""-24"" stilts, which use 2 per stilt/4 total Wing Bolts per pair). This kit includes 4 total Wing Bolts, each with a washer. If you want to replace all of your Wing Bolts on stilts utilizing our ""Double Wing Bolt"" system (all stilts sized 18""-30"", 20""-30"", 21""-31"", 24""-40"" or 26""-40"", regardless of model), you will need to order a quantity of two (8 Wing Bolts). For sizes 15""-23"" and 16""-24"" stilts, you will only need to order a quantity of one (4 Wing Bolts).",SURSS1008,,Not all Wing Bolts used on stilts are created equal.
SurPro,SurPro Heel Bracket Kit,Adjustable Heel Bracket Kit w/ Screws (Pair). Includes (2) Heel Brackets w/ (4) Screws (HS110W). Genuine SurPro Stilts Part.,SURSS1009,,Adjustable Heel Bracket Kit w/ Screws (Pair). Includes (2) Heel Brackets w/ (4) Screws (HS110W). Genuine SurPro Stilts Part.
SurPro,SurPro Main Body Spring Kit,Main Body Spring Assembly Kit. (2) Springs w/ Hardware (HS145W-O). Complete set for one pair of stilts.,SURSS1004O,,Main Body Spring Assembly Kit. (2) Springs w/ Hardware (HS145W-O). Complete set for one pair of stilts.
SurPro,SurPro Stilts Strap Kit w/ Black Laces,"S2/S2X Stilts Strap Kit, Black (Pair). Includes: (2) Leg Band Straps w/ Buckle (HS164S-B), (2) Arch Straps w/ Buckle, Screws and Washers (HS107W-B), (2) Toe Straps w/ Buckle, Screws and Washers (HS108W-B). If you are wanting Orange Leg Band Straps, which were original equipped on the S2X, please shop SS1011-O. Fits: S2, S2X Stilts",SURSS1011B,,"S2/S2X Stilts Strap Kit, Black (Pair). Includes: (2) Leg Band Straps w/ Buckle (HS164S-B), (2) Arch Straps w/ Buckle, Screws and Washers (HS107W-B), (2) Toe Straps w/ Buckle, Screws and Washers..."
SurPro,SurPro Double Sided Right Leg Band Kit,"This S2 Leg Band Kit (Right) works with all generations of SurPro Double-Sided Stilts, except the S2X, which features our Rocker Leg Bands. This part is the Right Leg Band only.",SURSS1010R,,"This S2 Leg Band Kit (Right) works with all generations of SurPro Double-Sided Stilts, except the S2X, which features our Rocker Leg Bands. This part is the Right Leg Band only."
SurPro,SurPro Double Sided Stilts Leg Band Kit,"This S2 Leg Band Kit (Left) works with all generations of SurPro Double-Sided Stilts, except the S2X, which features our Rocker Leg Bands. This part is the Left Leg Band only.",SURSS1010L,,"This S2 Leg Band Kit (Left) works with all generations of SurPro Double-Sided Stilts, except the S2X, which features our Rocker Leg Bands. This part is the Left Leg Band only."
SurPro,SurPro Floor Plate w/ Super Grip Soles Kit,"Flexion Floor Plate w/ Super Grip Soles, Pair. Includes two (2) Flexion Floor Plates, bolts and washers, springs and bushing, (4) Super Grip Soles w/ mounting screws.",SURSS2007,,"Flexion Floor Plate w/ Super Grip Soles, Pair. Includes two (2) Flexion Floor Plates, bolts and washers, springs and bushing, (4) Super Grip Soles w/ mounting screws."
SurPro,SurPro Foot Plate Kit,"Foot Plate Kit (Pair). Customers love that our foot plates are wider than the other guys. Our larger foot bed is more stable and helps with balance no matter how big or small the user's feet are. Another nice benefit of our foot plate design is that we provide two different positions to mount your arch straps; the tradition position which is on the top of the foot bed (similar to how you mount your toe straps, or secondly, you can mount them on the lower portion of the foot plate behind the heel. Our secondary mounting position tends to hold your heels more securely in place, and also offers additional security and safety benefits due to the virtually indestructible geometry. Our foot plates are a SurPro exclusive!",SURSS1012,,Foot Plate Kit (Pair). Customers love that our foot plates are wider than the other guys. Our larger foot bed is more stable and helps with balance no matter how big or small the user's feet are.
SurPro,SurPro Key & Lock Side Pole Clamp & Bracket Kit,"Key & Lock Side Pole Clamp and Bracket Kit w/ Hardware (Pair) - (2) Side Pole Clamps (HP129W), (2) Outer Metal Clamp Brackets, (2) Side Pole Bolt Assemblies (HS124W). Fits: S1 & S1X Stilts",SURSS1006,,"Key & Lock Side Pole Clamp and Bracket Kit w/ Hardware (Pair) - (2) Side Pole Clamps (HP129W), (2) Outer Metal Clamp Brackets, (2) Side Pole Bolt Assemblies (HS124W). Fits: S1 & S1X Stilts"
SurPro,SurPro Nylon Sleeve Kit,Nylon Sleeve Kit (Pair). Includes: (4) Nylon Sleeve Top (HS148M) and (4) Nylon Sleeve Bottom (HS149M).,SURSS1007,,Nylon Sleeve Kit (Pair). Includes: (4) Nylon Sleeve Top (HS148M) and (4) Nylon Sleeve Bottom (HS149M).
SurPro,SurPro Plastic Leg Band Kit for Single Sided Stilts,"Flex Leg Band Kit (Pair). Includes: (2) Flex Leg Bands (HS101W-F), (2) Leg Band Straps (HS104S-B), Leg Band Bolt Kit w/ Washers and Nuts (SS134). Fits: Sur-Stilts, and Sur-Mag Stilts models* *Note: This product will fit new generation S1 and S1X stilt models, but they are not original equipment, as S1/S1X utilize our latest Wraparound Leg Bands. Flex Leg Bands offer a comfortable and forgiving alternative to tradition aluminum leg bands due to their flexible and durable nylon construction. They are a great lightweight alternative and offer wider straps that are more comfortable on the inner leg.",SURSS1005P,,"Flex Leg Band Kit (Pair). Includes: (2) Flex Leg Bands (HS101W-F), (2) Leg Band Straps (HS104S-B), Leg Band Bolt Kit w/ Washers and Nuts (SS134)."
SurPro,SurPro Stilt Hardware Kit,"SurPro Stilt Hardware Kit includes: 8 sets of nuts & bolts, 16 leg bearings.",SURSS1001,,"SurPro Stilt Hardware Kit includes: 8 sets of nuts & bolts, 16 leg bearings."
SurPro,SurPro Stilt Socks w/ All Models-Large,Sur-Pro Stilt Socks,SURSS2004,,Sur-Pro Stilt Socks
SurPro,SurPro Stilt Socks w/ All Models-XL,Sur-Pro Stilt Socks,SURSS2005,,Sur-Pro Stilt Socks
SurPro,SurPro Stilts Leg Band Bolt Kit,"Leg Band Bolt Kit for Single-Sided Stilts. Includes: (4) 1/4""-20 x 2"" Cap Screws, (4) Locknuts and (8) Washers.",SURSS134,,"Leg Band Bolt Kit for Single-Sided Stilts. Includes: (4) 1/4""-20 x 2"" Cap Screws, (4) Locknuts and (8) Washers."
SurPro,SurPro Stilts Lower Side Pole Bolt Kit,"These Lower Side Pole Bolts secure your side poles to the Lower Side Pole Bracket on the Main Body of your sets. (2) 1/4""-20 x 1-1/2"" Cap Screws w/ (2) Locknuts and (4) Washers.",SURSS124,,"These Lower Side Pole Bolts secure your side poles to the Lower Side Pole Bracket on the Main Body of your sets. (2) 1/4""-20 x 1-1/2"" Cap Screws w/ (2) Locknuts and (4) Washers."
SurPro,SurPro Stilts Side Pole Clam Bolt Kit,SurPro Stilts Side Pole Clam Bolt Kit,SURSS132,,SurPro Stilts Side Pole Clam Bolt Kit
