brand,name,description_full,sku,upc,description_short
TapeTech,Ames Bazooka Continuous Flow Corner Finishing Bundle,"TapeTech BAZOOKA™ Continuous Flow Drywall Tools

Finish drywall projects faster than ever before when you keep your taping tool continuously at work on the wall while the Bazooka system provides a continuous flow of compound into your choice of tools.

Unlike traditional taping tools, that must be loaded and reloaded using a hand pump; Bazooka Continuous Flow can work continuously without having to stop and reload. Best of all, current Automatic Taping Tool users can move up to Bazooka Continuous Flow with minimal training.",CFCRNR,810135983815,TapeTech BAZOOKA™ Continuous Flow Drywall Tools
TapeTech,TapeTech Automatic Taper Replacement Cables - 3 Pack,"These cables are super strong. They are the best cables available for your automatic taper. Made with a higher strand count than

Standard cables. This adds 25% more tensile strength for less breakage and downtime.

Cables fit the following brands:

TapeTech

Columbia

Drywall Master

NorthStar

TapeMaster

Premier

BlueLine USA

Concorde

G2

Level5

Goldblatt

TapePro",054209-3,0053722617490,These cables are super strong. They are the best cables available for your automatic taper. Made with a higher strand count than
TapeTech,"BeroXpert 40"" Extension Handle for Smoothing Blades","Use this extension pole to minimize time spent on scaffolding and stilts, improve speed and efficiency across all levels of drywall finishing, and reach up to six feet effortlessly.
This handle

Extends from 36"" to 72"". This handle is a must-have for using your TapeTech or BeroXpert smoothing blades on ceilings or high areas.",BXEH40TT-A,810135983662,"Use this extension pole to minimize time spent on scaffolding and stilts, improve speed and efficiency across all levels of drywall finishing, and reach up to six feet effortlessly."
TapeTech,"TapeTech 41"" - 63"" XTender Finishing Box Handle","The TapeTech XTender® Finishing Box Handle attaches to the EasyClean®, EasyClean® High Capacity or Power Assist® Finishing Boxes and provides control to cleanly sweep the boxes off the joint for a perfect finish. The XTender® is the strongest extendable finishing box handle in the industry and adjusts from 41"" to 63"" for increased reach and versatility. Features Extends for greater reach with all TapeTech finishing boxes Anodized aluminum construction Extends from 41"" to 63""",TTT88TTE,,"The TapeTech XTender® Finishing Box Handle attaches to the EasyClean®, EasyClean® High Capacity or Power Assist® Finishing Boxes and provides control to cleanly sweep the boxes off the joint for a..."
TapeTech,"TapeTech 12"" EasyClean Finishing Box","The TapeTech EasyClean® Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The EasyClean Finishing Box helps produce professional results every time. The adjustable crown setting dial allows the user to easily adjust the amount of joint compound applied over the tape on the drywall joint. This is very helpful when progressing from the first finishing application to the second or third application. The pivoting axle helps to compensate when the drywall or sheetrock on one side of the joint is higher than the other side of the joint. The new EasyRoll™ wheel system allows you to expertly finish all types of outside corner bead up to two times faster than finishing by hand. EasyRoll™ wheels work with all types of outside corner bead including metal, paper-faced, vinyl and bullnose. EasyRoll™ wheels provide a shoulder to guide the finishing box along the corner bead without after-market attachments or damage to the axle. The shoulder of the EasyRoll wheels is more than three times wider than after-market products, making it easier to place, and keep, the finishing box on the corner bead. And EasyRoll™ wheels are engineered and designed to be perfectly aligned with the finishing blade, eliminating the need to tilt the finishing box like you must with common after-market wheel systems. EasyRoll™ wheels do not affect how the finishing box runs on standard flat joints. All TapeTech finishing boxes now feature EasyRoll™ wheels for finishing outside corner bead. Features Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings Finishes butt joints and flat joints on walls and ceilings Feathers edges of butt joints and flat joints",TTTEZ12TT,,The TapeTech EasyClean® Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass.
TapeTech,"TapeTech 10"" EasyClean Finishing Box","The TapeTech EasyClean Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The EasyClean Finishing Box helps produce professional results every time. The adjustable crown setting dial allows the user to easily adjust the amount of joint compound applied over the tape on the drywall joint. This is very helpful when progressing from the first finishing application to the second or third application. The pivoting axle helps to compensate when the drywall or sheetrock on one side of the joint is higher than the other side of the joint. The new EasyRoll wheel system allows you to expertly finish all types of outside corner bead up to two times faster than finishing by hand. EasyRoll wheels work with all types of outside corner bead including metal, paper-faced, vinyl and bullnose. EasyRoll wheels provide a shoulder to guide the finishing box along the corner bead without after-market attachments or damage to the axle. The shoulder of the EasyRoll wheels is more than three times wider than after-market products, making it easier to place, and keep, the finishing box on the corner bead. And EasyRoll wheels are engineered and designed to be perfectly aligned with the finishing blade, eliminating the need to tilt the finishing box like you must with common after-market wheel systems. EasyRoll wheels do not affect how the finishing box runs on standard flat joints. All TapeTech finishing boxes now feature EasyRoll wheels for finishing outside corner bead. Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings Finishes butt joints and flat joints on walls and ceilings Feathers edges of butt joints and flat joints",TTTEZ10TT,,The TapeTech EasyClean Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass.
TapeTech,TapeTech EasyClean Loading Pump,"The TapeTech 76TT EasyClean® Loading Pump combines reliability with innovation. The 76TT features the slim tube design preferred by professional finishers and robust construction for dependable performance and long life. The TapeTech 76TT Loading Pump has a redesigned head and a new Twist-lock foot valve that provides secure attachment and easy removal for cleaning and maintenance. And the 76TT does not require a paper gasket for the filler adapter or gooseneck due to an innovative, integrated O-Ring that provides a terrific seal with fewer headaches from lost, worn or damaged paper gaskets. The 76TT pump accepts the standard 85T gooseneck and 90T filler adapter. Features Fills Automatic Tapers (with 85T gooseneck) Fills finishing boxes, MudRunner®, corner applicators and nail spotters (with 90T filler adapter)",TTT76TT,,The TapeTech 76TT EasyClean® Loading Pump combines reliability with innovation.
TapeTech,TapeTech Extension Handle,"TapeTech is the first company to introduce an interchangeable handle system that allows one support handle to be used with every tool. Whether you use standard, fixed length fiberglass handles or aluminum extension support handles, you’ll need just one base handle. The base handle for the fiberglass system is model FHTT. The base handle for the extension handle system is model XHTT. The base handle fits the corner roller, corner applicator and nail spotter without any adapters. The heavy duty, easy-to-change adapter (CFA-TT) connects the new handles to the corner finishers, and the new, optimal diameter makes TapeTech handles the most ergonomic in the industry. Both base handles feature a D-shaped fitting that securely positions the handle in the Corner Applicator and positively prevents the tool from rotating during use. Note: If you use your current Nail Spotters with the new handle system you will need to mount the handle in the back holes of the tabs on the Nail Spotter.",TTTXHTT,,TapeTech is the first company to introduce an interchangeable handle system that allows one support handle to be used with every tool.
TapeTech,TapeTech Filler Adapter,"The TapeTech 90T Filler Adapter attaches to the TapeTech 72TT or 76TT EasyClean™ Pumps to fill Corner Applicators, Nail Spotters and EasyClean™, EasyClean™ High Capacity or Power Assist™ Finishing boxes with joint compound. Use with gasket 700049 (not included).",TTT90TT,,"The TapeTech 90T Filler Adapter attaches to the TapeTech 72TT or 76TT EasyClean™ Pumps to fill Corner Applicators, Nail Spotters and EasyClean™, EasyClean™ High Capacity or Power Assist™ Finishing..."
TapeTech,TapeTech EasyClean Automatic Taper,"The TapeTech 07TT EasyClean® Automatic Taper redefines quality, durability and value. The Taper simultaneously applies tape and the correct amount of joint compound for all drywall joints - dramatically improving taping efficiency. The EasyClean® cover plate can be removed with just a quarter turn for quick and easy cleaning or service. The stainless steel side plates, along with a hard anodized push rod and cable drum, prevent corrosion and provide long life. The adjustable brake allows you to set and maintain the desired tension on the main wheels. The control tube has enclosed rollers to provide the most comfortable grip while protecting your hands from the pinching that can occur with other brands. The integrated hook on the spool keeper lets you hang the taper from framing or scaffolding. The smaller diameter of the new tube protector provides maximum comfort and requires no tools to remove for easy cleaning and cable replacement. All these features make the new 07TT Taper the best choice for professional drywall finishers. Features Applies joint compound and tape to butt joints and flat joints on walls and ceilings Applies joint compound and tape to internal corners on walls and ceilings Easy clean cover plate Stainless steel side plates Hard anodized push rod and cable drum Adjustable brake Enclosed rollers on control tube Integrated hook Smaller diameter tube protector Includes (1) 050081F Extra spring (1) 054209F Extra main cable assembly (1) 056133 Extra pyramid blade (1) 059049 Extra gooser needle",TTT07TT,,"The TapeTech 07TT EasyClean® Automatic Taper redefines quality, durability and value."
