brand,name,description_full,sku,upc,description_short
Asgard,Asgard Fiberglass Handle,"## Elevate Your Drywall Finishing Precision

Achieve professional-grade results with the Asgard Fiberglass Support Handle, a cornerstone component for high-efficiency drywall finishing. Engineered for contractors who demand reliability and ergonomic comfort, this handle provides the structural integrity required for intensive daily use while maintaining a lightweight profile that reduces operator fatigue.

## Seamless Integration and Control

This versatile handle is precision-engineered to interface flawlessly with a wide array of finishing tools, including angle heads, corner rollers, angle boxes, and nail spotters. The specialized D-shaped connection point provides a rigid, non-slip interface that eliminates unwanted rotation, ensuring your tools remain perfectly aligned during critical finishing passes. With a 1.25-inch diameter, the handle offers a natural, secure grip that enhances control and maneuverability in tight corners and high-reach areas.

## Key Features

- **Universal Compatibility:** Designed to work effortlessly with Asgard angle boxes, corner rollers, angle heads, and nail spotters.
- **Anti-Rotation Design:** The integrated D-shaped fitting locks securely into place, providing superior stability and preventing tool slippage.
- **Ergonomic Construction:** Features a 1.25-inch diameter shaft optimized for comfort during extended periods of operation.
- **Durable Build:** Constructed from high-strength fiberglass to withstand the rigors of demanding job sites while remaining lightweight.
- **Professional Efficiency:** Streamlines your workflow by providing a consistent, reliable connection across multiple finishing attachments.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Asgard |
| Product Name | Fiberglass Support Handle |
| SKU | FH-AD |
| Handle Diameter | 1.25 inches |
| Material | Fiberglass |
| Compatibility | Corner Rollers, Angle Boxes, Angle Heads, Nail Spotters |",FH-AD,,Asgard Fiberglass Support Handle
Asgard,Asgard “Hammer” Automatic Taper,"## Elevate Your Drywall Workflow with the Asgard Hammer

Experience a new benchmark in professional drywall finishing with the Asgard Hammer Automatic Taper. Engineered for contractors who demand reliability without the premium price tag, this tool streamlines the taping process by simultaneously applying joint tape and dispensing the precise amount of compound required. By integrating high-grade materials and ergonomic design, the Hammer minimizes physical strain while maximizing output on every job site.

## Built for the Demanding Professional

The Asgard Hammer is constructed to withstand the rigors of daily use. Featuring robust stainless steel side plates and a hard-anodized push rod, this tool is built to resist corrosion and mechanical wear. The inclusion of a durable cable drum ensures consistent performance, while the tool-free maintenance design allows you to spend more time working and less time servicing your equipment.

## Key Features

- **Precision Application:** Seamlessly applies tape and compound in a single, fluid motion to increase your daily square footage.
- **Ergonomic Control:** Features enclosed rollers on the control tube to provide a secure, comfortable grip while protecting your hands during repetitive use.
- **High-Reach Efficiency:** Equipped with a specialized control tube flange, allowing for effortless tape cutting even when working on high ceilings or difficult angles.
- **Rugged Construction:** Built with premium stainless steel and hard-anodized components for superior longevity and resistance to job-site elements.
- **Tool-Free Maintenance:** The streamlined tube protector design allows for quick adjustments and cleaning without the need for additional hand tools.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Asgard |
| Product Name | Hammer Automatic Taper |
| Model Number | AT01-AD |
| UPC | 0873876004492 |
| Construction | Stainless Steel Side Plates, Hard Anodized Push Rod |
| Key Features | Enclosed rollers, control tube flange, tool-free maintenance |",AT01-AD,0873876004492,"Introducing the Asgard® ""HAMMER™"" Automatic Taper, setting a new standard for value in drywall tools. This innovative taper seamlessly applies joint tape and precisely measures joint compound, revolutionizing taping efficiency. The AT01-AD model boasts stainless steel side plates, a hard anodized push rod, and a cable drum, ensuring durability and corrosion resistance for long-lasting performance. Enhanced with enclosed rollers on the control tube for a comfortable grip and hand protection, the"
Asgard,"Asgard 10"" and 12"" Flat Box Combo Set","## Elevate Your Drywall Finishing Efficiency

Achieve professional-grade results with the Asgard 10"" and 12"" Flat Box Combo Set, a comprehensive solution engineered for contractors who demand reliability and precision. This all-inclusive kit streamlines your workflow, allowing you to tackle flat seams and butt joints with unmatched consistency and speed. By combining high-performance tools with an ergonomic design, Asgard provides the perfect balance of durability and value for your daily job site requirements.

## Precision Engineering for Seamless Results

Every component in this set is built to withstand the rigors of professional use while maintaining the lightweight feel necessary for all-day comfort. The included loading pump and filler adapter system drastically reduce downtime, ensuring your flat boxes are ready for the next pass in seconds. Whether you are working on residential renovations or large-scale commercial projects, this combo set delivers the smooth, clean finish that defines quality craftsmanship.

## Key Features

- **Dual-Size Versatility:** Includes both 10-inch and 12-inch flat boxes, providing the flexibility to handle various joint widths and finishing stages.
- **Rapid Refill System:** The high-capacity loading pump and dedicated filler adapter allow for quick, mess-free material transfers.
- **Ergonomic Reach:** The extendable flat box handle adjusts to your specific needs, ensuring optimal leverage and reach for ceilings and high walls.
- **Durable Construction:** Built with rugged materials designed to endure heavy-duty daily use on professional job sites.
- **Streamlined Workflow:** Designed to minimize fatigue and maximize output, helping you complete projects faster without sacrificing finish quality.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Asgard |
| SKU | AGFLATEXT |
| Included Components | 10"" Flat Box, 12"" Flat Box, Loading Pump, Filler Adapter, Extendable Handle |
| Model Numbers | LP01-AD, FA01-AD, FBE-AD, EZ10-AD, EZ12-AD |
| Application | Drywall finishing, flat seams, and butt joints |",AGFLATEXT,,This kit includes the following
Asgard,"Asgard 10"" Flat Box","## Precision Performance for Professional Drywall Finishing

Elevate your finishing standards with the Asgard 10"" Flat Box, a high-performance tool engineered for contractors who demand reliability and precision. Designed by the experts at TapeTech, this flat box delivers professional-grade results while maintaining a streamlined, cost-effective design. Whether you are tackling large-scale commercial projects or detailed residential renovations, this tool provides the consistent mud application necessary for flawless seams and butt joints.

## Built for the Job Site

Constructed from premium-grade, high-durability alloys, the Asgard 10"" Flat Box is built to endure the rigors of daily professional use. Its robust design ensures longevity, while the universal compatibility allows it to integrate seamlessly with most major brand flat box handles already in your kit. The sleek black finish is more than just aesthetic; it represents a commitment to a professional, no-nonsense tool that prioritizes efficiency and ease of maintenance.

## Key Features

- **Precision Mud Control:** Features an intuitive dial adjustment system that allows for exact, consistent mud output, ensuring a uniform finish every time.
- **Universal Compatibility:** Engineered to work effortlessly with standard flat box handles from leading industry manufacturers.
- **Rapid Maintenance:** Equipped with quick-release thumb latches, allowing for rapid disassembly and thorough cleaning at the end of the workday.
- **Heavy-Duty Construction:** Manufactured from high-strength alloys to resist wear and tear in demanding environments.
- **Versatile Application:** Ideally suited for applying base coats to flat seams and butt joints with professional-grade accuracy.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Asgard |
| Product Name | Asgard 10"" Flat Box |
| SKU | EZ10-AD |
| UPC | 0873876004515 |
| Box Width | 10 inches |
| Compatibility | Major brand flat box handles |",EZ10-AD,0873876004515,"Experience a new level of drywall efficiency with Asgard Taping Tools by TapeTech, offering unmatched durability and functionality without the added markup. The Asgard 10"" Flat Box, featuring a sleek black exterior, is designed for compatibility with other major brand Flat Box handles. Built from superior quality alloys, this Flat Box is engineered to withstand the toughest job sites. It includes quick-release thumb latches for effortless clean-up and an easy dial adjustment for consistent, fine"
Asgard,"Asgard 10"" MaxxBox Finishing Box","## Master Your Drywall Finish with the Asgard 10"" MaxxBox

Achieve professional-grade results with the Asgard 10"" MaxxBox, a high-capacity finishing tool engineered for contractors who demand efficiency and durability. Built to withstand the rigors of demanding job sites, this flat box combines robust alloy construction with an ergonomic design that minimizes fatigue during long shifts. Whether you are tackling butt joints or flat seams, this tool provides the consistent, high-quality finish required for a flawless wall surface.

## Unmatched Capacity and Precision

The MaxxBox design is a game-changer for productivity, boasting a mud capacity that is 68% greater than standard high-capacity alternatives. This significant increase in volume allows you to cover more surface area with fewer trips to the pump, drastically reducing downtime. The integrated precision dial adjustment system gives you total control over mud output, ensuring a uniform application that requires minimal sanding and touch-up work.

## Key Features

- **High-Capacity Reservoir:** Holds 68% more joint compound than competitive models, maximizing your time on the wall and increasing overall job site output.
- **Universal Compatibility:** Engineered to integrate seamlessly with standard flat box handles from all major industry manufacturers.
- **Precision Mud Control:** Features an intuitive adjustment dial that allows for exact, repeatable mud flow settings.
- **Rugged Construction:** Manufactured from premium-grade, high-strength alloys to ensure long-term reliability in harsh construction environments.
- **Ergonomic Efficiency:** Designed to balance weight and performance, reducing physical strain during high-volume finishing tasks.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Asgard |
| Product Name | 10"" MaxxBox Finishing Box |
| SKU | EHC10-AD |
| Box Width | 10 inches |
| Construction Material | Premium-Grade Alloy |
| Compatibility | Universal (Major Brand Handles) |",EHC10-AD,,"Asgard 10"" MAXXBOX Flat Box"
Asgard,"Asgard 10"" Power Assist Finishing Box","## Elevate Your Drywall Finishing Efficiency

Master the art of the perfect seam with the Asgard 10"" Power Assist Finishing Box. Designed for the high-output professional, this tool integrates advanced spring-loaded technology to minimize physical strain while maximizing the consistency of your compound application. By automating the pressure required for a smooth finish, you can maintain peak productivity throughout long shifts without sacrificing the high-quality results your clients demand.

## Precision Engineering for Professional Results

Constructed from high-grade, lightweight aluminum, this finishing box is built to withstand the rigors of daily job site use while remaining easy to maneuver. The precision-ground stainless steel blade ensures a crisp, feathered edge every time, allowing for seamless transitions between drywall panels. Whether you are tackling expansive commercial projects or detailed residential renovations, the 10-inch width provides the ideal coverage for efficient joint finishing.

## Key Features

- **Power-Assist Technology:** Integrated springs reduce operator fatigue by providing consistent, controlled pressure during application.
- **Durable Construction:** Lightweight aluminum housing offers superior longevity and resistance to job site wear.
- **Professional Blade Quality:** High-performance stainless steel blade delivers clean, uniform finishes and precise feathering.
- **Optimized Width:** The 10-inch profile is perfectly sized for finishing wider seams and achieving professional-grade transitions.
- **Ergonomic Efficiency:** Engineered to streamline your workflow, allowing for faster completion times on large-scale taping tasks.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Asgard |
| Product Name | 10"" Power Assist Finishing Box |
| SKU | PA10-AD |
| Material | Aluminum and Stainless Steel |
| Width | 10 inches |",PA10-AD,,"Asgard 10"" Power Assist Finishing Box"
Asgard,"Asgard 12"" Flat Box","## Professional-Grade Finishing Performance

Elevate your drywall finishing standards with the Asgard 12"" Flat Box. Engineered for contractors who demand reliability and precision, this tool streamlines the application of joint compound, ensuring a flawless, professional finish on every seam. By combining rugged construction with intuitive design, Asgard provides a high-performance solution that integrates seamlessly into your existing toolkit.

## Precision Engineering for Daily Use

Built to withstand the rigors of demanding job sites, this flat box is constructed from premium-grade alloys that offer superior longevity. The refined, black-anodized finish not only provides a professional aesthetic but also resists the wear and tear of daily use. Whether you are tackling flat seams or butt joints, the consistent mud output allows for faster, more efficient work, reducing the need for extensive sanding and touch-ups.

## Key Features

- **Universal Compatibility:** Designed to interface effortlessly with standard flat box handles from all major industry manufacturers.
- **Precision Mud Control:** Features an easy-to-use dial adjustment system, allowing for exact flow control to match your specific application needs.
- **Rapid Maintenance:** Equipped with quick-release thumb latches that allow for rapid opening, ensuring thorough cleaning and minimal downtime between jobs.
- **Durable Construction:** Manufactured from high-strength alloys to provide maximum impact resistance and long-term reliability.
- **Professional Versatility:** Optimized for both flat seams and butt joints, making it an essential component for high-volume drywall finishing.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Asgard |
| Product Name | 12"" Flat Box |
| SKU | EZ12-AD |
| UPC | 0873876004522 |
| Box Width | 12 inches |
| Material | High-quality alloy |
| Compatibility | Universal (Major brand handles) |",EZ12-AD,0873876004522,"Step up your drywall game with Asgard Taping Tools by TapeTech, delivering exceptional durability and functionality without the extra cost. The Asgard 12"" Flat Box, featuring a sleek black exterior, is designed to be compatible with handles from all major brands. Made from high-quality alloys, this Flat Box is built to endure the toughest job sites. It boasts quick-release thumb latches for easy clean-up and an easy dial adjustment for consistent, finely controlled mud output. Perfect for finish"
Asgard,"Asgard 12"" Power Assist Finishing Box","## Elevate Your Drywall Finishing Efficiency

Achieve professional-grade results with the Asgard 12"" Power Assist Finishing Box, a high-performance tool designed to streamline your workflow and reduce physical strain. By integrating advanced power-assist spring technology, this finishing box allows for effortless compound application, ensuring consistent pressure and a smooth, uniform finish across every seam. Whether you are tackling large-scale commercial projects or high-end residential renovations, this tool is engineered to deliver superior speed and precision.

## Built for the Demanding Professional

Constructed from high-grade, lightweight aluminum, the Asgard 12"" Power Assist Finishing Box balances durability with maneuverability. The precision-engineered stainless steel blade provides the perfect flex for feathering joints, resulting in seamless transitions that require minimal sanding. Designed for longevity in rugged job-site environments, this finishing box is the ultimate companion for drywall contractors who refuse to compromise on quality or productivity.

## Key Features

- **Power-Assist Technology:** Integrated spring mechanism significantly reduces the manual force required to dispense compound, preventing fatigue during long shifts.
- **High-Capacity 12"" Width:** Optimized for wide-seam finishing, allowing for faster coverage and fewer passes on large surface areas.
- **Premium Construction:** Features a robust aluminum housing paired with a corrosion-resistant stainless steel blade for long-term reliability.
- **Consistent Output:** Engineered to maintain a uniform compound thickness, ensuring a professional, flat finish every time.
- **Ergonomic Performance:** Designed to integrate seamlessly with standard finishing handles, providing excellent balance and control for the operator.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Asgard |
| Product Name | 12"" Power Assist Finishing Box |
| SKU | PA12-AD |
| Blade Width | 12 inches |
| Housing Material | Aluminum |
| Blade Material | Stainless Steel |
| Application | Drywall Finishing |",PA12-AD,,"Asgard 12"" Power Assist Finishing Box"
Asgard,"Asgard 2.5"" Angle Head","## Achieve Flawless Internal Corners with Precision

Elevate your drywall finishing standards with the Asgard 2.5"" Angle Head. Engineered for professionals who demand speed without sacrificing quality, this tool is designed to feather joint compound across both sides of an internal corner simultaneously. Whether you are tackling wall-to-wall junctions or complex wall-to-ceiling transitions, this angle head delivers a consistent, professional-grade finish in one fluid motion.

## Streamline Your Taping Workflow

Integrating seamlessly into your existing taping setup, the Asgard Angle Head is the perfect follow-up to your corner roller. Once the tape is firmly embedded, this tool glides effortlessly to wipe down excess compound, leaving a smooth, feathered edge that requires minimal sanding. By reducing manual labor and rework, it significantly boosts your daily productivity on the job site.

## Key Features

- **Dual-Sided Efficiency:** Simultaneously feathers both sides of an internal corner for a perfectly symmetrical finish in a single pass.
- **Versatile Application:** Optimized for use in both vertical wall-to-wall corners and horizontal wall-to-ceiling joints.
- **Professional Consistency:** Ensures uniform compound distribution, eliminating the inconsistencies often found with manual hand-tooling.
- **Optimized Workflow:** Designed to work in tandem with standard corner rollers to complete the taping process with maximum speed.
- **Durable Construction:** Built to withstand the rigors of daily professional use, ensuring long-term reliability and performance.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Asgard |
| Product Name | 2.5"" Angle Head |
| SKU | AH25-AD |
| UPC | 0873876004539 |
| Tool Size | 2.5 inches |
| Application | Internal corner finishing |",AH25-AD,0873876004539,"The Asgard® 2.5"" Angle Head streamlines the process of feathering joint compound on both sides of internal corners with precision in a single pass. Ideal for wall-to-wall or wall-to-ceiling corners, this tool is an essential component of the taping process. After the joint tape is set into the corner using acorner roller, the 2.5"" Angle Head efficiently wipes down the corner, ensuring seamless results."
Asgard,"Asgard 3"" Angle Head","## Achieve Flawless Internal Corners with Precision

Elevate your drywall finishing standards with the Asgard 3"" Adjustable Angle Head. Engineered for professionals who demand efficiency and consistency, this tool streamlines the process of feathering joint compound on internal corners. Whether you are tackling wall-to-wall joints or ceiling-to-wall transitions, this finisher ensures a smooth, professional-grade result in a single pass, significantly reducing manual sanding and touch-up time.

## Advanced Control and Versatility

The standout feature of this Angle Head is its customizable spring tension system. By engaging or disengaging the rear tension springs, you gain precise control over the pressure applied to the wall, allowing for superior adaptability across various corner conditions. Designed to work seamlessly with the CA08-AD corner applicator, this tool features integrated wheels that glide effortlessly across surfaces, while the spring-loaded mechanism compensates for minor imperfections in framing or drywall installation, ensuring a clean, uniform finish every time.

## Key Features

- **Single-Pass Efficiency:** Simultaneously feathers both sides of an internal corner for maximum productivity.
- **Adjustable Spring Tension:** Tailor the tool's resistance to match specific project requirements and compound consistencies.
- **Smooth-Glide Wheels:** Engineered for fluid movement, minimizing drag and preventing surface marring.
- **Versatile Application:** Ideal for both vertical wall-to-wall corners and horizontal wall-to-ceiling joints.
- **Professional Compatibility:** Easily integrates with standard corner applicators and support handles (via CFA-AD adapter) for a complete taping and finishing system.

## Technical Specifications

| Specification | Detail |
| :--- | :--- |
| Brand | Asgard |
| Product Name | Asgard 3"" Angle Head |
| SKU | AH30-AD |
| UPC | 873876004553 |
| Tool Type | Corner Finisher / Angle Head |
| Size | 3 inches |
| Compatibility | CA08-AD, FH-AD, XH-AD (with CFA-AD adapter) |",AH30-AD,873876004553,"The Asgard® Adjustable Angle Head perfectly feathers the joint compound applied to both sides of internal corners in one pass. The Angle Head can be used for wall-to-wall internal corners or wall-to-ceiling corners. This tool's “adjustable” feature refers to the ability to control the amount of spring pressure by engaging or disengaging one set of tension springs on the back of the angle head. Angle Heads, or Angle Finishers or Corner Finishers, are attached to the CA08-AD corner applicator to q"
