brand,name,sku,upc
Columbia Taping Tools,"Columbia ""Sawed Off"" Mini Automatic Taper",STAPER,824149009416
Columbia Taping Tools,"Columbia 1.5"" PUTTY KNIFE",NPK1.5,824149011907
Columbia Taping Tools,"Columbia 10"" Automatic Assist Drywall Tool Flat Box",10FBBA,824149008143
Columbia Taping Tools,"Columbia 10"" and 12"" Flat Box Combo",gCTBOXSET,810135984379
Columbia Taping Tools,"Columbia 10"" and 12"" Flat Box Combo Set w/ Extendable Handle",GCOLBOX-EXT,810135984287
Columbia Taping Tools,"Columbia 10"" and 12"" Full Set w/ Predator Taper Upgrade",G10105-2,810135982139
Columbia Taping Tools,"Columbia 10"" and 12"" Full Set w/ Stilts",G10105,810135980661
Columbia Taping Tools,"Columbia 10"" and 12"" Jumbo Set of Drywall Taping Tools",G70112,810135981101
Columbia Taping Tools,"Columbia 10"" Drywall Flat Finishing Box",10FFB,824149000024
Columbia Taping Tools,"Columbia 10"" Fat Boy Drywall Flat Finishing Box",10FBB,824149000017
Columbia Taping Tools,"Columbia 10"" Inside Track Fat Boy Flat Box",10ITFB,824149008402
Columbia Taping Tools,"Columbia 10"" Tomahawk Smoothing Blade",TSB-10,824149009942
Columbia Taping Tools,"Columbia 12"" Drywall Flat Finishing Box",12FFB,824149000048
Columbia Taping Tools,"Columbia 12"" Fat Boy Automatic Assist Drywall Flat Box",12FBBA,824149008112
Columbia Taping Tools,"Columbia 12"" Fat Boy Drywall Flat Finishing Box",12FBB,824149000031
Columbia Taping Tools,"Columbia 12"" Mud Pan w/ Grip",C12MPX6,824149011730
Columbia Taping Tools,"Columbia 12"" Tomahawk Smoothing Blade",TSB-12,824149009959
Columbia Taping Tools,"Columbia 14"" Automatic Assist Drywall Flat Box",14FFBA,824149008556
Columbia Taping Tools,"Columbia 14"" Drywall Flat Finishing Box",14FFB,0799648798904
Columbia Taping Tools,"Columbia 14"" Mud Pan with Magnetic Grip",C14MPX6,824149011747
Columbia Taping Tools,"Columbia 14"" Tomahawk Smoothing Blade",TSB-14,824149009966
Columbia Taping Tools,"Columbia 16"" Mud Pan with Magnetic Grip - C16MPX6",C16MPX6,824149011754
Columbia Taping Tools,"Columbia 18"" Tomahawk Smoothing Blade",TSB-18,824149009973
Columbia Taping Tools,"Columbia 2"" Angle Head w/ Wheels",2AH,824149000062
Columbia Taping Tools,"Columbia 2"" PUTTY KNIFE",NPK2,824149011914
Columbia Taping Tools,"Columbia 2.5"" Angle Head w/ Wheels",2.5AH,824149000055
Columbia Taping Tools,"Columbia 24"" Drywall Corner Finishing Compound Mud Tube",CMT24,824149008013
Columbia Taping Tools,"Columbia 24"" Tomahawk Smoothing Blade",TSB-24,824149009980
Columbia Taping Tools,"Columbia 3"" Angle Head w/ Wheels",3AH,824149000093
Columbia Taping Tools,"Columbia 3"" Nail Spotter with Featherlight Handle",g3NS & C1H,810135982511
Columbia Taping Tools,"Columbia 3"" PUTTY KNIFE",NPK3,824149011921
Columbia Taping Tools,Columbia 3' 180-Grip Bent Flat Box Handle,3BBH,824149008594
Columbia Taping Tools,"Columbia 3.5"" Angle Head w/ Wheels",3.5AH,824149000086
Columbia Taping Tools,"Columbia 3.5"" Pointing Joint Knife",PJK3.5,824149011983
Columbia Taping Tools,"Columbia 32"" Cam-Lock Compound Mud Tube",CLT32,824149008648
Columbia Taping Tools,"Columbia 32"" Drywall Corner Finishing Compound Mud Tube",CMT32,824149008020
Columbia Taping Tools,"Columbia 32"" Tomahawk Smoothing Blade",TSB-32,824149009997
Columbia Taping Tools,"Columbia 36"" 180-Grip Featherweight Flat Box Handle",3BH,824149000529
Columbia Taping Tools,"Columbia 4"" Flat Applicator Head",CFLT,824149008082
Columbia Taping Tools,"Columbia 4"" PUTTY KNIFE",NPK4,824149011938
Columbia Taping Tools,"Columbia 40"" Tomahawk Smoothing Blade",TSB-40,824149010009
Columbia Taping Tools,"Columbia 42"" 180-Grip Featherweight Flat Box Handle",42BH,824149000536
Columbia Taping Tools,"Columbia 42"" Cam-Lock Compound Mud Tube",CLT42,824149008808
Columbia Taping Tools,"Columbia 42"" Drywall Corner Finishing Compound Mud Tube",CMT42,824149008037
Columbia Taping Tools,"Columbia 48"" 180-Grip Featherweight Flat Box Handle",4BH,824149000543
Columbia Taping Tools,"Columbia 48"" Tomahawk Smoothing Blade",TSB-48,824149010016
Columbia Taping Tools,"Columbia 5"" PUTTY KNIFE",NPK5,824149011945
Columbia Taping Tools,"Columbia 5.5"" Drywall Flat Finisher Box",5.5FFB,824149008327
Columbia Taping Tools,"Columbia 55"" Cam-Lock Compound Mud Tube",CLT55,824149008655
