sku,type,image_count,filenames
ASGARD-AB8,variable,4,asgard-angle-box-w-handle-8-w-extendable-handle-4I-SJ80-1WRW-01.webp|asgard-angle-box-with-handle-4I-SJ80-1WRW-01.webp|asgard-angle-box-w-handle-8-w-fixed-handle-4K-S6F6-8HQ6-01.webp|asgard-angle-box-with-handle-4K-S6F6-8HQ6-01.webp
4I-SJ80-1WRW,variation,2,asgard-angle-box-w-handle-8-w-extendable-handle-4I-SJ80-1WRW-01.webp|asgard-angle-box-with-handle-4I-SJ80-1WRW-01.webp
4K-S6F6-8HQ6,variation,2,asgard-angle-box-w-handle-8-w-fixed-handle-4K-S6F6-8HQ6-01.webp|asgard-angle-box-with-handle-4K-S6F6-8HQ6-01.webp
9R-PIR7-OTNL,simple,1,asgard-full-taping-tool-set-pro-grade-10-12-standard-full-set-9R-PIR7-OTNL-01.webp
AGFLATEXT,simple,2,asgard-10-and-12-flat-box-combo-set-AGFLATEXT-01.webp|asgard-10-and-12-flat-box-combo-set-AGFLATEXT-02.webp
AH-AD,variable,8,asgard-3-angle-head-AH30-AD-01.webp|asgard-3-angle-head-AH30-AD-02.webp|asgard-3-angle-head-AH30-AD-03.webp|asgard-3-angle-head-AH30-AD-04.webp|asgard-3-5-angle-head-AH35-AD-01.webp|asgard-3-5-angle-head-AH35-AD-02.webp|asgard-3-5-angle-head-AH35-AD-03.webp|asgard-3-5-angle-head-AH35-AD-04.webp
AH25-AD,variation,0,
AH30-AD,variation,4,asgard-3-angle-head-AH30-AD-01.webp|asgard-3-angle-head-AH30-AD-02.webp|asgard-3-angle-head-AH30-AD-03.webp|asgard-3-angle-head-AH30-AD-04.webp
AH35-AD,variation,4,asgard-3-5-angle-head-AH35-AD-01.webp|asgard-3-5-angle-head-AH35-AD-02.webp|asgard-3-5-angle-head-AH35-AD-03.webp|asgard-3-5-angle-head-AH35-AD-04.webp
BBH-AD,simple,0,
CA08-AD,simple,6,asgard-8-drywall-angle-box-CA08-AD-01.webp|asgard-8-drywall-angle-box-CA08-AD-02.webp|asgard-8-drywall-angle-box-CA08-AD-03.webp|asgard-8-drywall-angle-box-CA08-AD-04.webp|asgard-8-drywall-angle-box-CA08-AD-05.webp|asgard-8-drywall-angle-box-CA08-AD-06.webp
CFA-AD,simple,0,
CR01-AD,simple,0,
EHC10-AD,simple,4,asgard-10-maxxbox-finishing-box-EHC10-AD-01.webp|asgard-10-maxxbox-finishing-box-EHC10-AD-02.webp|asgard-10-maxxbox-finishing-box-EHC10-AD-03.webp|asgard-10-maxxbox-finishing-box-EHC10-AD-04.webp
EZFB-AD,variable,12,asgard-10-flat-box-EZ10-AD-01.webp|asgard-10-flat-box-EZ10-AD-02.webp|asgard-10-flat-box-EZ10-AD-03.webp|asgard-10-flat-box-EZ10-AD-04.webp|asgard-10-flat-box-EZ10-AD-05.webp|asgard-10-flat-box-EZ10-AD-06.webp|asgard-12-flat-box-EZ12-AD-01.webp|asgard-12-flat-box-EZ12-AD-02.webp|asgard-12-flat-box-EZ12-AD-03.webp|asgard-12-flat-box-EZ12-AD-04.webp|asgard-12-flat-box-EZ12-AD-05.webp|asgard-12-flat-box-EZ12-AD-06.webp
EZ07-AD,variation,0,
EZ10-AD,variation,6,asgard-10-flat-box-EZ10-AD-01.webp|asgard-10-flat-box-EZ10-AD-02.webp|asgard-10-flat-box-EZ10-AD-03.webp|asgard-10-flat-box-EZ10-AD-04.webp|asgard-10-flat-box-EZ10-AD-05.webp|asgard-10-flat-box-EZ10-AD-06.webp
EZ12-AD,variation,6,asgard-12-flat-box-EZ12-AD-01.webp|asgard-12-flat-box-EZ12-AD-02.webp|asgard-12-flat-box-EZ12-AD-03.webp|asgard-12-flat-box-EZ12-AD-04.webp|asgard-12-flat-box-EZ12-AD-05.webp|asgard-12-flat-box-EZ12-AD-06.webp
FA01-AD,simple,0,
FBHE-AD,simple,0,
FH-AD,simple,0,
GN01-AD,simple,0,
HU-OI6G-88Y4,simple,0,
LP01-AD,simple,0,
ASGARD-NS,variable,12,asgard-3-inch-nail-spotter-NS03-AD-01.webp|asgard-3-nail-spotter-NS03-AD-01.webp|asgard-3-inch-nail-spotter-NS03-AD-02.webp|asgard-3-nail-spotter-NS03-AD-02.webp|asgard-3-inch-nail-spotter-NS03-AD-03.webp|asgard-3-nail-spotter-NS03-AD-03.webp|asgard-3-inch-nail-spotter-NS03-AD-04.webp|asgard-3-nail-spotter-NS03-AD-04.webp|asgard-3-inch-nail-spotter-NS03-AD-05.webp|asgard-3-nail-spotter-NS03-AD-05.webp|asgard-3-inch-nail-spotter-NS03-AD-06.webp|asgard-3-nail-spotter-NS03-AD-06.webp
NS02-AD,variation,0,
