SKU,Type,Parent,Name,Brand,Categories,Suggested image filename 1,Suggested image filename 2,Image upload status,Notes,Short description
BBH-AD,simple,,Asgard Brakeless Box Handle (BBH-AD),Asgard,Drywall Finishing Tools > Asgard > Handles & Extensions,asgard-asgard-brakeless-box-handle-bbh-ad-BBH-AD-01.webp,asgard-asgard-brakeless-box-handle-bbh-ad-BBH-AD-02.webp,,,"The Asgard Brakeless Box Handle (BBH-AD) features a friction-based design that simplifies drywall finishing, offering smooth, consistent control and universal compatibility with major finishing box brands."
CFA-AD,simple,,Asgard Angle Head Ball Adapter (CFA-AD),Asgard,Drywall Finishing Tools > Asgard > Corner & Angle Tools,asgard-asgard-angle-head-ball-adapter-cfa-ad-CFA-AD-01.webp,asgard-asgard-angle-head-ball-adapter-cfa-ad-CFA-AD-02.webp,,,"The Asgard Angle Head Ball Adapter (CFA-AD) connects your angle head to a finishing handle, providing the essential articulation needed for smooth, precise, and efficient drywall corner finishing."
CR01-AD,simple,,Asgard Inside Corner Roller (CR01-AD),Asgard,Drywall Finishing Tools > Asgard > Corner & Angle Tools,asgard-asgard-inside-corner-roller-cr01-ad-CR01-AD-01.webp,asgard-asgard-inside-corner-roller-cr01-ad-CR01-AD-02.webp,,,"The Asgard Inside Corner Roller (CR01-AD) is a durable, stainless steel tool designed to quickly and accurately embed drywall tape into internal corners, removing air pockets and excess compound for a professional, crisp finish."
FA01-AD,simple,,Asgard Box Filler Adapter (FA01-AD),Asgard,Drywall Finishing Tools > Asgard > Repair Kits & Parts,asgard-asgard-box-filler-adapter-fa01-ad-FA01-AD-01.webp,asgard-asgard-box-filler-adapter-fa01-ad-FA01-AD-02.webp,,,"Asgard Box Filler Adapter (FA01-AD) is a durable, professional-grade component that connects your loading pump to flat boxes, angle boxes, and nail spotters. Engineered for universal compatibility, it ensures fast, leak-free compound transfer to keep your drywall finishing workflow moving..."
FBHE-AD,simple,,Asgard Extendable Flat Box Handle (FBHE-AD),Asgard,Drywall Finishing Tools > Asgard > Handles & Extensions,asgard-asgard-extendable-flat-box-handle-fbhe-ad-FBHE-AD-01.webp,asgard-asgard-extendable-flat-box-handle-fbhe-ad-FBHE-AD-02.webp,,,"The Asgard Extendable Flat Box Handle offers a 41 to 63-inch telescopic range and universal compatibility. Its Brake Anywhere technology provides precise control while minimizing mechanical wear for reliable, long-term performance."
FH-AD,simple,,Asgard Fiberglass Handle (FH-AD),Asgard,Drywall Finishing Tools > Asgard > Handles & Extensions,asgard-asgard-fiberglass-handle-fh-ad-FH-AD-01.webp,asgard-asgard-fiberglass-handle-fh-ad-FH-AD-02.webp,,,"Asgard Fiberglass Handle (FH-AD) features a 43-inch length and a secure D-shaped fitting to prevent rotation, providing professional-grade stability and ergonomic control for drywall finishing tools."
GN01-AD,simple,,Asgard Gooseneck (GN01-AD),Asgard,Drywall Finishing Tools > Asgard > Repair Kits & Parts,asgard-asgard-gooseneck-gn01-ad-GN01-AD-01.webp,asgard-asgard-gooseneck-gn01-ad-GN01-AD-02.webp,,,"The Asgard Gooseneck (GN01-AD) is a professional-grade stainless steel attachment designed for efficient, leak-free compound transfer from loading pumps to automatic tapers. Featuring a protective rubber-sleeved cradle, it ensures a secure fit and long-term durability for high-volume drywall..."
HU-OI6G-88Y4,simple,,Asgard Starter Set (HU-OI6G-88Y4),Asgard,Drywall Finishing Tools > Asgard > Tool Sets & Bundles,asgard-asgard-starter-set-hu-oi6g-88y4-HU-OI6G-88Y4-01.webp,asgard-asgard-starter-set-hu-oi6g-88y4-HU-OI6G-88Y4-02.webp,,,"Asgard Starter Set is a professional-grade collection of essential drywall finishing tools, engineered for durability, efficiency, and consistent performance on the job site."
LP01-AD,simple,,Asgard Loading Pump (LP01-AD),Asgard,Drywall Finishing Tools > Asgard > Pumps & Accessories,asgard-asgard-loading-pump-lp01-ad-LP01-AD-01.webp,asgard-asgard-loading-pump-lp01-ad-LP01-AD-02.webp,,,"Asgard Loading Pump (LP01-AD) offers professional-grade compound transfer with a durable, anodized design. Featuring an integrated O-ring seal for leak-free connections and a stable footplate, it is compatible with all major automatic taping tool brands and allows for quick, tool-free cleaning."
TF-DVKN-31Q3,simple,,Asgard Taping Set (TF-DVKN-31Q3),Asgard,Drywall Finishing Tools > Asgard > Tool Sets & Bundles,asgard-asgard-taping-set-tf-dvkn-31q3-TF-DVKN-31Q3-01.webp,asgard-asgard-taping-set-tf-dvkn-31q3-TF-DVKN-31Q3-02.webp,,,"A professional-grade, all-in-one drywall finishing system featuring an automatic taper, loading pump, corner finishing tools, and extendable handles for maximum job site efficiency."
XH-AD,simple,,Asgard Extendable Support Handle (XH-AD),Asgard,Drywall Finishing Tools > Asgard > Handles & Extensions,asgard-asgard-extendable-support-handle-xh-ad-XH-AD-01.webp,asgard-asgard-extendable-support-handle-xh-ad-XH-AD-02.webp,,,"Asgard Extendable Support Handle (XH-AD) offers a versatile, telescopic reach from 43 to 77 inches. Featuring a secure D-shaped anti-rotation fitting and an ergonomic 1.25-inch grip, this lightweight aluminum handle is compatible with a wide range of drywall finishing tools."
AH8,simple,,Columbia Angle Head Retainer Clip,Columbia Taping Tools,Drywall Finishing Tools > Columbia Taping Tools > Corner & Angle Tools,columbia-taping-tools-columbia-angle-head-retainer-clip-AH8-01.webp,columbia-taping-tools-columbia-angle-head-retainer-clip-AH8-02.webp,,,Genuine Columbia Taping Tools OEM retainer or spring clip — Columbia Angle Head Retainer Clip. Exact-fit replacement for Columbia Taping Tools automatic taping systems. Part #: AH8.
ANGLEHEADMAINTENANCEKITS,simple,,Anglehead Maintenance Kits,Columbia Taping Tools,Drywall Finishing Tools > Columbia Taping Tools > Repair Kits & Parts,columbia-taping-tools-anglehead-maintenance-kits-ANGLEHEADMAINTENANCEKITS-01.webp,columbia-taping-tools-anglehead-maintenance-kits-ANGLEHEADMAINTENANCEKITS-02.webp,,,Genuine Columbia Taping Tools OEM replacement part — Anglehead Maintenance Kits. Exact-fit replacement for Columbia Taping Tools automatic taping systems. Part #: ANGLEHEADMAINTENANCEKITS.
