Brands,Type,SKU,MPN,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Sale price,Date sale price starts,Date sale price ends,Regular price,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Shipping class,Allow customer reviews?,Purchase note,Categories,Tags,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 used for variations,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 used for variations,meta:_dtb_seo_title,meta:_dtb_seo_description,ID
Asgard,variable,AsgardFinishingBox,,Asgard Finishing Box,1,0,visible,,"Asgard 12"" Flat Box",,,,,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatbox-ez12ad/asgard-flatbox-ez12ad-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatbox-ez10ad/asgard-flatbox-ez10ad-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatbox-ez07ad/asgard-flatbox-ez07ad-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,Size,"7"" | 10"" | 12""",1,1,1,,,
Asgard,variation,18004,EZ12-AD,AG30 Asgard Finishing Box,1,0,visible,,"Asgard 12"" Flat Box",,,,327.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatbox-ez12ad/asgard-flatbox-ez12ad-01.webp,,,AsgardFinishingBox,,,,,,,Brand,Asgard,1,1,0,Size,"12""",1,1,1,,,
Asgard,variation,18003,EZ10-AD,AG25 Asgard Finishing Box,1,0,visible,,"Asgard 10"" Flat Box",,,,313.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatbox-ez10ad/asgard-flatbox-ez10ad-01.webp,,,AsgardFinishingBox,,,,,,,Brand,Asgard,1,1,0,Size,"10""",1,1,1,,,
Asgard,variation,18002,EZ07-AD,AG20 Asgard Finishing Box,1,0,visible,,"Asgard 7"" Flat Box",,,,299.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatbox-ez07ad/asgard-flatbox-ez07ad-01.webp,,,AsgardFinishingBox,,,,,,,Brand,Asgard,1,1,0,Size,"7""",1,1,1,,,
Asgard,variable,AsgardMaxxBoxFinishingBox,,Asgard MaxxBox Finishing Box,1,0,visible,,"Asgard 12"" MAXXBOX Flat Box",,,,,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatbox-ehc12ad/asgard-flatbox-ehc12ad-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatbox-ehc10ad/asgard-flatbox-ehc10ad-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatbox-ehc07ad/asgard-flatbox-ehc07ad-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,Size,"7"" | 10"" | 12""",1,1,1,,,
Asgard,variation,18025,EHC12-AD,AG31 Asgard MaxxBox Finishing Box,1,0,visible,,"Asgard 12"" MAXXBOX Flat Box",,,,415.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatbox-ehc12ad/asgard-flatbox-ehc12ad-01.webp,,,AsgardMaxxBoxFinishingBox,,,,,,,Brand,Asgard,1,1,0,Size,"12""",1,1,1,,,
Asgard,variation,18024,EHC10-AD,AG26 Asgard MaxxBox Finishing Box,1,0,visible,,"Asgard 10"" MAXXBOX Flat Box",,,,374.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatbox-ehc10ad/asgard-flatbox-ehc10ad-01.webp,,,AsgardMaxxBoxFinishingBox,,,,,,,Brand,Asgard,1,1,0,Size,"10""",1,1,1,,,
Asgard,variation,18023,EHC07-AD,AG22 Asgard MaxxBox Finishing Box,1,0,visible,,"Asgard 7"" MAXXBOX Flat Box",,,,365.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatbox-ehc07ad/asgard-flatbox-ehc07ad-01.webp,,,AsgardMaxxBoxFinishingBox,,,,,,,Brand,Asgard,1,1,0,Size,"7""",1,1,1,,,
Asgard,variable,AsgardPowerAssistFinishingBox,,Asgard Power Assist Finishing Box,1,0,visible,,"Asgard 12"" POWER ASSIST® Flat Box",,,,,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatbox-pa12ad/asgard-flatbox-pa12ad-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatbox-pa10ad/asgard-flatbox-pa10ad-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatbox-pa07ad/asgard-flatbox-pa07ad-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,Size,"7"" | 10"" | 12""",1,1,1,,,
Asgard,variation,18022,PA12-AD,AG33 Asgard Power Assist Finishing Box,1,0,visible,,"Asgard 12"" POWER ASSIST® Flat Box",,,,456.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatbox-pa12ad/asgard-flatbox-pa12ad-01.webp,,,AsgardPowerAssistFinishingBox,,,,,,,Brand,Asgard,1,1,0,Size,"12""",1,1,1,,,
Asgard,variation,18021,PA10-AD,AG28 Asgard Power Assist Finishing Box,1,0,visible,,"Asgard 10"" POWER ASSIST® Flat Box",,,,442.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatbox-pa10ad/asgard-flatbox-pa10ad-01.webp,,,AsgardPowerAssistFinishingBox,,,,,,,Brand,Asgard,1,1,0,Size,"10""",1,1,1,,,
Asgard,variation,18020,PA07-AD,AG24 Asgard Power Assist Finishing Box,1,0,visible,,"Asgard 7"" POWER ASSIST® Flat Box",,,,428.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatbox-pa07ad/asgard-flatbox-pa07ad-01.webp,,,AsgardPowerAssistFinishingBox,,,,,,,Brand,Asgard,1,1,0,Size,"7""",1,1,1,,,
Asgard,variable,AsgardAngleHead,,Asgard Angle Head,1,0,visible,,"Asgard 3.5"" Angle Head",,,,,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-anglehead-ah35ad/asgard-anglehead-ah35ad-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-anglehead-ah30ad/asgard-anglehead-ah30ad-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-anglehead-ah25ad/asgard-anglehead-ah25ad-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,Size,"2.5"" | 3"" | 3.5""",1,1,1,,,
Asgard,variation,18007,AH35-AD,AG48X Asgard Angle Head,1,0,visible,,"Asgard 3.5"" Angle Head",,,,356.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-anglehead-ah35ad/asgard-anglehead-ah35ad-01.webp,,,AsgardAngleHead,,,,,,,Brand,Asgard,1,1,0,Size,"3.5""",1,1,1,,,
Asgard,variation,18006,AH30-AD,"AG48 Asgard 3"" Angle Head",1,0,visible,,"Asgard 3"" Angle Head",,,,338.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-anglehead-ah30ad/asgard-anglehead-ah30ad-01.webp,,,AsgardAngleHead,,,,,,,Brand,Asgard,1,1,0,Size,"3""",1,1,1,,,
Asgard,variation,18005,AH25-AD,AG42 Asgard Angle Head,1,0,visible,,"Asgard 2.5"" Angle Head",,,,316.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-anglehead-ah25ad/asgard-anglehead-ah25ad-01.webp,,,AsgardAngleHead,,,,,,,Brand,Asgard,1,1,0,Size,"2.5""",1,1,1,,,
Asgard,simple,18055,AGFINISHEXT,Asgard Finishing Set 10/12 Boxes,1,0,visible,,Asgard Finishing Set,,,,2293.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-finishingset-18055/asgard-finishingset-18055-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18054,AGTAPINGEXT,Asgard Taping Set with Extendable Handles,1,0,visible,,Asgard Extendable Taping Set,,,,2614.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-tapingset-18054/asgard-tapingset-18054-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18053,ADTAPINGFIXED,Asgard Taping Set with Fixed Handles,1,0,visible,,Asgard Taping Set,,,,2374.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-tapingset-18053/asgard-tapingset-18053-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18052,AGFLATPAEXT,Asgard 10/12 Power Assist Flat Box Combo,1,0,visible,,"Asgard 10"" And 12"" POWER ASSIST® Flat Box Set",,,,1594.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatboxset-18052/asgard-flatboxset-18052-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18051,AGFLATMAXEXT,Asgard 10/12 Maxx Boxx Flat Box Combo,1,0,visible,,"Asgard 10"" And 12"" MAXXBOX® Flat Box Set",,,,1415.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatboxset-18051/asgard-flatboxset-18051-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18050,AGFLATEXT,Asgard 10/12 Flat Box Combo,1,0,visible,,"Asgard 10"" And 12"" Flat Box Combo Set",,,,1355.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatboxset-18050/asgard-flatboxset-18050-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18027,XH-AD,Asgard Extendable Support Handle,1,0,visible,,Asgard Extendable Support Handle,,,,163.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-supporthandle-xhad/asgard-supporthandle-xhad-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18026,FH-AD,Asgard Fiberglass Support Handle,1,0,visible,,Asgard Fiberglass Support Handle,,,,43.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-fiberglasshandle-fhad/asgard-fiberglasshandle-fhad-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18019,BBH-AD,Asgard Brakeless Box Handle,1,0,visible,,Asgard Flat Box Handle - Brakeless,,,,128.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatboxhandle-bbhad/asgard-flatboxhandle-bbhad-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18018,BBHE-AD,Asgard Brakeless Box Handle Extendable,1,0,visible,,Asgard Extendable Flat Box Handle - Brakeless,,,,266.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatboxhandle-bbhead/asgard-flatboxhandle-bbhead-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18017,FBHE-AD,AG88 Asgard Finishing Box Handle Extendable,1,0,visible,,Asgard Extendable Flat Box Handle,,,,292.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-flatboxhandle-fbhead/asgard-flatboxhandle-fbhead-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18014,NS03-AD,AG68A Asgard Nail Spotter,1,0,visible,,"Asgard 3"" Nail Spotter",,,,270.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-nailspotter-ns03ad/asgard-nailspotter-ns03ad-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18013,CA08-AD,AG35A Asgard Corner Applicator,1,0,visible,,"Asgard 8"" Angle Box",,,,270.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-anglebox-ca08ad/asgard-anglebox-ca08ad-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18012,CR01-AD,AG15A Asgard Inside Corner Roller Head,1,0,visible,,Asgard Corner Roller,,,,161.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-cornerroller-cr01ad/asgard-cornerroller-cr01ad-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18011,GN01-AD,AG85 Asgard Gooseneck,1,0,visible,,Asgard Gooseneck,,,,100.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-gooseneck-gn01ad/asgard-gooseneck-gn01ad-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18010,FA01-AD,AG90 Asgard Filler Adapter,1,0,visible,,Asgard Filler Adapter,,,,45.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-filleradapter-fa01ad/asgard-filleradapter-fa01ad-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18009,LP01-AD,AG72 Asgard Loading Pump,1,0,visible,,Asgard Loading Pump,,,,378.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-loadingpump-lp01ad/asgard-loadingpump-lp01ad-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18008,CFA-AD,Asgard Angle Head Adapter,1,0,visible,,Asgard Angle Head Adapter,,,,40.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-adapter-cfaad/asgard-adapter-cfaad-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18001,AT01-AD,AG05 Asgard The HAMMER Automatic Taper,1,0,visible,,Asgard HAMMER Automatic Taper,,,,1271.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-automatictaper-at01ad/asgard-automatictaper-at01ad-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18064,CA08-AD_XH-AD,AG35EXT Asgard Angle Box with Extendable Handle,1,0,visible,,"Asgard 8"" Angle Box with Extendable Handle",,,,433.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-anglebox-18064/asgard-anglebox-18064-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18063,CA08-AD_FH-AD,AG35 Asgard Angle Box with Fixed Handle,1,0,visible,,"Asgard 8"" Angle Box with Handle",,,,313.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-anglebox-18063/asgard-anglebox-18063-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18062,CR01-AD_XH-AD,AG15EXT Asgard Corner Roller with Extendable Handle,1,0,visible,,Asgard Corner Roller with Extendable Handle,,,,324.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-cornerroller-18062/asgard-cornerroller-18062-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18061,CR01-AD_FH-AD,AG15 Asgard Corner Roller with Fixed Handle,1,0,visible,,Asgard Corner Roller with Handle,,,,204.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-cornerroller-18061/asgard-cornerroller-18061-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18060,AGFULLPAEXT,Asgard Full Set 10/12 Power Assist Boxes,1,0,visible,,Asgard POWER ASSIST® Full Set,,,,3908.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-fullset-18060/asgard-fullset-18060-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
Asgard,simple,18059,AGFULLMAXEXT,Asgard Full Set 10/12 Maxx Boxes,1,0,visible,,Asgard MAXXBOX® Full Set,,,,3730.0,taxable,,1,,,,,,,,,,1,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard/asgard-fullset-18059/asgard-fullset-18059-01.webp,,,,,,,,,,Brand,Asgard,1,1,0,,,,,,,,
