Brands,Type,SKU,MPN,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Sale price,Date sale price starts,Date sale price ends,Regular price,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Shipping class,Allow customer reviews?,Purchase note,Categories,Tags,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 used for variations,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 used for variations,meta:_dtb_seo_title,meta:_dtb_seo_description,ID
Graco,variable,GracoHiRiseFillTubeCompleteKit,,Graco Hi-Rise Fill Tube Complete Kit,1,0,visible,,"Graco 23"" Hi-Rise Fill Tube Complete Kit",,,,,taxable,,1,,,,,,,,,,1,,,,,,,,,,,,,,Brand,Graco,1,1,0,Length,"14"" | 23""",1,1,1,,,
Graco,variation,15025,Graco23HiRiseFillTubeCompleteKit,"Graco 23"" Hi-Rise Fill Tube Complete Kit",1,0,visible,,"Graco 23"" Hi-Rise Fill Tube Complete Kit",,,,353.18,taxable,,1,,,,,,,,,,1,,,,,,,GracoHiRiseFillTubeCompleteKit,,,,,,,Brand,Graco,1,1,0,Length,"23""",1,1,1,,,
Graco,variation,15024,Graco14HiRiseFillTubeCompleteKit,"Graco 14"" Hi-Rise Fill Tube Complete Kit",1,0,visible,,"Graco 14"" Hi-Rise Fill Tube Complete Kit",,,,313.73,taxable,,1,,,,,,,,,,1,,,,,,,GracoHiRiseFillTubeCompleteKit,,,,,,,Brand,Graco,1,1,0,Length,"14""",1,1,1,,,
Graco,variable,GracoTaperGooseneckFillTubeCompleteKit,,Graco Taper Gooseneck Fill Tube Complete Kit,1,0,visible,,Graco XL Gooseneck,,,,,taxable,,1,,,,,,,,,,1,,,,,,,,,,,,,,Brand,Graco,1,1,0,Capacity,5 Gallon | 30 Gallon XL,1,1,1,,,
Graco,variation,15027,Graco30gallonXLTaperGooseneckFillTubeCompleteKit,Graco 30 gallon XL Taper Gooseneck Fill Tube Complete Kit,1,0,visible,,Graco XL Gooseneck,,,,399.0,taxable,,1,,,,,,,,,,1,,,,,,,GracoTaperGooseneckFillTubeCompleteKit,,,,,,,Brand,Graco,1,1,0,Capacity,30 Gallon XL,1,1,1,,,
Graco,variation,15026,Graco5GallonTaperGooseneckFillTubeCompleteKit,Graco 5 Gallon Taper Gooseneck Fill Tube Complete Kit (Pro Outlet Included),1,0,visible,,Graco Gooseneck,,,,339.0,taxable,,1,,,,,,,,,,1,,,,,,,GracoTaperGooseneckFillTubeCompleteKit,,,,,,,Brand,Graco,1,1,0,Capacity,5 Gallon,1,1,1,,,
Graco,simple,14604,media,Graco FastFinish Pressure-Boosted Hopper Gun,1,0,visible,,Graco FastFinish Pressure-Boosted Hopper Gun,,,,319.0,taxable,,1,,,,,,,,,,1,,,,,,,,,,,,,,Brand,Graco,1,1,0,,,,,,,,
Graco,simple,14603,media,Graco FastFinish CF9 Air Compressor,1,0,visible,,Graco FastFinish CF9 Air Compressor,,,,1399.0,taxable,,1,,,,,,,,,,1,,,,,,,,,,,,,,Brand,Graco,1,1,0,,,,,,,,
Graco,simple,14602,media,Graco TexSpray Fast Finish Pro Texture System,1,0,visible,,Graco TexSpray FastFinish Professional Texture Sprayer,,,,1449.0,taxable,,1,,,,,,,,,,1,,,,,,,,,,,,,,Brand,Graco,1,1,0,,,,,,,,
Graco,simple,14600,media,Graco RTX 2500pi Interior Texture Sprayer,1,0,visible,,Graco RTX 2500pi Professional Interior Texture Sprayer,,,,3969.0,taxable,,1,,,,,,,,,,1,,,,,,,,,,,,,,Brand,Graco,1,1,0,,,,,,,,
