SKU,Type,Name,expected_filename,status,actual_filename,recommended_url
ASGARD-AB8,variable,"Asgard 8"" Angle Box",asgard-8-inch-angle-box-with-extendable-handle-4I-SJ80-1WRW-01.webp,ambiguous_sku_suffix,asgard-angle-box-w-handle-8-w-extendable-handle-4I-SJ80-1WRW-01.webp|asgard-angle-box-with-handle-4I-SJ80-1WRW-01.webp,
ASGARD-AB8,variable,"Asgard 8"" Angle Box",asgard-8-inch-angle-box-with-fixed-handle-4K-S6F6-8HQ6-01.webp,ambiguous_sku_suffix,asgard-angle-box-w-handle-8-w-fixed-handle-4K-S6F6-8HQ6-01.webp|asgard-angle-box-with-handle-4K-S6F6-8HQ6-01.webp,
4I-SJ80-1WRW,variation,"Asgard 8"" Angle Box with Extendable Handle (4I-SJ80-1WRW)",asgard-8-inch-angle-box-with-extendable-handle-4I-SJ80-1WRW-01.webp,ambiguous_sku_suffix,asgard-angle-box-w-handle-8-w-extendable-handle-4I-SJ80-1WRW-01.webp|asgard-angle-box-with-handle-4I-SJ80-1WRW-01.webp,
4K-S6F6-8HQ6,variation,"Asgard 8"" Angle Box with Fixed Handle (4K-S6F6-8HQ6)",asgard-8-inch-angle-box-with-fixed-handle-4K-S6F6-8HQ6-01.webp,ambiguous_sku_suffix,asgard-angle-box-w-handle-8-w-fixed-handle-4K-S6F6-8HQ6-01.webp|asgard-angle-box-with-handle-4K-S6F6-8HQ6-01.webp,
9R-PIR7-OTNL,simple,Asgard Full Taping Tool Set - PRO GRADE (10/12 Standard Full Set) (9R-PIR7-OTNL),asgard-full-taping-tool-set-pro-grade-9R-PIR7-OTNL-01.webp,sku_suffix,asgard-full-taping-tool-set-pro-grade-10-12-standard-full-set-9R-PIR7-OTNL-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-full-taping-tool-set-pro-grade-10-12-standard-full-set-9R-PIR7-OTNL-01.webp
AGFLATEXT,simple,"Asgard 10"" and 12"" Flat Box Combo Set (AGFLATEXT)",asgard-10-inch-and-12-inch-flat-box-combo-set-AGFLATEXT-01.webp,sku_suffix,asgard-10-and-12-flat-box-combo-set-AGFLATEXT-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-10-and-12-flat-box-combo-set-AGFLATEXT-01.webp
AGFLATEXT,simple,"Asgard 10"" and 12"" Flat Box Combo Set (AGFLATEXT)",asgard-10-inch-and-12-inch-flat-box-combo-set-AGFLATEXT-02.webp,sku_suffix,asgard-10-and-12-flat-box-combo-set-AGFLATEXT-02.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-10-and-12-flat-box-combo-set-AGFLATEXT-02.webp
AH-AD,variable,Asgard Angle Head,asgard-2-5-inch-angle-head-AH25-AD-01.webp,sku_suffix,asgard-angle-head-AH-AD-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-angle-head-AH-AD-01.webp
AH-AD,variable,Asgard Angle Head,asgard-3-inch-angle-head-AH30-AD-01.webp,sku_suffix,asgard-angle-head-AH-AD-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-angle-head-AH-AD-01.webp
AH-AD,variable,Asgard Angle Head,asgard-3-5-inch-angle-head-AH35-AD-01.webp,sku_suffix,asgard-angle-head-AH-AD-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/asgard-angle-head-AH-AD-01.webp
